VERSION,JAVA_CLASS,SIZE,LOC_ADDED,MAX_LOC_ADDED,AVG_LOC_ADDED,LOC_DELETED,MAX_LOC_DELETED,AVG_LOC_DELETED,CHURN,MAX_CHURN,AVG_CHURN,FIXED_DEFECTS,NUMBER_OF_COMMITS,IS_BUGGY
0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java,137,470,137,24.5,196,94,24.5,278,137,17.375,0,8,False
0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java,244,680,252,19.2,192,64,19.2,524,252,26.2,0,10,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,1026,2492,545,15.714285714285714,440,81,15.714285714285714,2052,545,36.642857142857146,0,28,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java,92,242,81,9.666666666666666,58,29,9.666666666666666,184,81,15.333333333333334,0,6,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java,180,390,168,3.75,30,12,3.75,360,168,22.5,0,8,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java,471,1266,487,18.0,324,104,18.0,1102,487,30.61111111111111,0,18,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java,204,420,124,1.2,12,2,1.2,408,124,20.4,0,10,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java,551,1242,536,10.0,140,26,10.0,1114,536,39.785714285714285,0,14,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java,149,336,133,3.8,38,14,3.8,298,133,14.9,0,10,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java,157,328,151,2.3333333333333335,14,6,2.3333333333333335,314,151,26.166666666666668,0,6,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java,147,294,147,0.0,0,0,0.0,294,147,73.5,0,2,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java,137,538,126,26.4,264,113,26.4,282,126,14.1,0,10,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java,271,560,249,2.25,18,8,2.25,542,249,33.875,0,8,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java,548,2080,410,54.666666666666664,984,401,54.666666666666664,1096,410,30.444444444444443,0,18,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java,728,1862,714,33.833333333333336,406,121,33.833333333333336,1764,714,73.5,0,12,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java,205,424,204,1.75,14,4,1.75,410,204,25.625,0,8,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/CRC32DigestManager.java,50,106,50,1.5,6,3,1.5,100,50,12.5,0,4,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DigestManager.java,185,414,184,4.4,44,16,4.4,370,184,18.5,0,10,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DistributionSchedule.java,61,132,61,1.6666666666666667,10,4,1.6666666666666667,122,61,10.166666666666666,0,6,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerCreateOp.java,157,420,167,6.625,106,26,6.625,362,167,11.3125,0,16,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerDeleteOp.java,81,184,80,2.75,22,7,2.75,162,80,10.125,0,8,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerEntry.java,84,266,83,16.333333333333332,98,46,16.333333333333332,168,83,14.0,0,6,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java,762,2924,547,58.333333333333336,1400,520,58.333333333333336,1540,547,32.083333333333336,0,24,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java,248,576,198,5.714285714285714,80,16,5.714285714285714,504,198,18.0,0,14,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerOpenOp.java,169,464,140,7.0,126,17,7.0,342,140,9.5,0,18,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerRecoveryOp.java,196,448,178,4.666666666666667,56,9,4.666666666666667,392,178,16.333333333333332,0,12,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/MacDigestManager.java,67,152,67,2.25,18,7,2.25,134,67,8.375,0,8,False
