ID,Size,Predicted,Actual
0,215,9.45179584120983E-4,NO
1,271,9.45179584120983E-4,NO
2,451,7.092198581560283E-4,NO
3,137,9.45179584120983E-4,NO
4,368,0.0014164305949008497,YES
5,764,9.45179584120983E-4,YES
6,51,0.0028248587570621473,NO
7,150,3.5486160397445E-4,NO
8,31,9.45179584120983E-4,NO
9,684,9.45179584120983E-4,YES
10,180,4.0551500405515005E-4,NO
11,196,7.092198581560283E-4,YES
12,482,7.092198581560283E-4,YES
13,40,0.0014164305949008497,NO
14,259,0.0014164305949008497,YES
15,379,7.092198581560283E-4,YES
16,510,0.0014164305949008497,YES
17,32,9.45179584120983E-4,NO
18,66,0.0028248587570621473,NO
19,187,7.092198581560283E-4,YES
20,576,9.45179584120983E-4,YES
21,158,5.675368898978433E-4,YES
22,46,0.0028248587570621473,YES
23,27,9.45179584120983E-4,NO
24,788,9.45179584120983E-4,YES
25,60,9.45179584120983E-4,NO
26,62,9.45179584120983E-4,YES
27,88,0.0014164305949008497,YES
28,52,0.0028248587570621473,YES
29,163,5.675368898978433E-4,NO
30,91,0.0028248587570621473,YES
31,147,0.0014164305949008497,NO
32,58,4.0551500405515005E-4,NO
33,44,7.092198581560283E-4,NO
34,139,7.092198581560283E-4,NO
35,282,0.0028248587570621473,NO
36,582,0.0028248587570621473,YES
37,800,9.45179584120983E-4,YES
38,216,9.45179584120983E-4,YES
39,55,5.675368898978433E-4,NO
40,184,5.675368898978433E-4,NO
41,65,0.0028248587570621473,NO
42,150,3.5486160397445E-4,YES
43,81,7.092198581560283E-4,NO
44,84,0.0014164305949008497,NO
45,905,0.0028248587570621473,YES
46,312,0.0028248587570621473,YES
47,171,9.45179584120983E-4,NO
48,153,0.0028248587570621473,YES
49,84,0.0014164305949008497,NO
50,169,9.45179584120983E-4,YES
51,189,2.8392958546280523E-4,YES
52,127,9.45179584120983E-4,YES
53,79,7.092198581560283E-4,YES
54,90,0.0028248587570621473,NO
55,85,0.0014164305949008497,NO
56,123,0.0014164305949008497,YES
57,276,0.0028248587570621473,YES
58,549,9.45179584120983E-4,YES
59,27,9.45179584120983E-4,NO
60,88,0.0014164305949008497,YES
61,283,0.0028248587570621473,YES
62,175,4.0551500405515005E-4,YES
63,507,0.0014164305949008497,YES
64,209,7.092198581560283E-4,NO
65,147,0.0014164305949008497,NO
66,98,4.730368968779565E-4,NO
67,132,7.092198581560283E-4,NO
68,236,7.092198581560283E-4,YES
69,227,0.0028248587570621473,YES
70,172,9.45179584120983E-4,NO
71,507,0.0014164305949008497,YES
72,90,0.0028248587570621473,YES
73,58,4.0551500405515005E-4,NO
74,132,7.092198581560283E-4,NO
75,529,0.0014164305949008497,YES
76,694,9.45179584120983E-4,YES
77,148,9.45179584120983E-4,YES
78,174,9.45179584120983E-4,NO
79,148,9.45179584120983E-4,NO
80,92,3.5486160397445E-4,NO
81,77,9.45179584120983E-4,NO
82,664,9.45179584120983E-4,NO
83,55,5.675368898978433E-4,NO
84,256,0.0014164305949008497,YES
85,54,5.675368898978433E-4,NO
86,38,7.092198581560283E-4,YES
87,98,4.730368968779565E-4,YES
88,39,5.675368898978433E-4,NO
89,47,9.45179584120983E-4,NO
90,69,9.45179584120983E-4,YES
91,43,7.092198581560283E-4,NO
92,94,0.0014164305949008497,YES
93,72,3.5486160397445E-4,NO
94,42,4.0551500405515005E-4,NO
95,48,9.45179584120983E-4,NO
96,63,9.45179584120983E-4,YES
97,318,0.0028248587570621473,YES
98,136,9.45179584120983E-4,YES
99,141,7.092198581560283E-4,YES
100,190,4.730368968779565E-4,YES
101,46,0.0028248587570621473,NO
102,165,0.0028248587570621473,NO
103,162,5.675368898978433E-4,NO
104,58,4.0551500405515005E-4,NO
105,148,9.45179584120983E-4,YES
106,74,7.092198581560283E-4,NO
107,36,0.0028248587570621473,NO
108,37,4.730368968779565E-4,NO
109,38,7.092198581560283E-4,NO
110,39,5.675368898978433E-4,NO
111,96,0.0014164305949008497,YES
112,88,0.0014164305949008497,NO
113,71,0.0014164305949008497,NO
114,114,0.0028248587570621473,NO
115,342,0.0028248587570621473,YES
116,84,0.0014164305949008497,NO
117,58,4.0551500405515005E-4,NO
118,129,7.092198581560283E-4,NO
119,363,7.092198581560283E-4,YES
120,242,0.0014164305949008497,YES
121,682,9.45179584120983E-4,YES
122,366,7.092198581560283E-4,YES
123,103,7.092198581560283E-4,YES
124,41,0.0014164305949008497,NO
125,66,0.0028248587570621473,NO
126,63,9.45179584120983E-4,NO
127,47,9.45179584120983E-4,NO
128,183,0.0028248587570621473,NO
129,49,7.092198581560283E-4,NO
130,50,5.675368898978433E-4,NO
131,98,4.730368968779565E-4,NO
132,143,9.45179584120983E-4,NO
133,43,7.092198581560283E-4,NO
134,42,4.0551500405515005E-4,NO
135,56,9.45179584120983E-4,NO
136,162,5.675368898978433E-4,YES
137,6523,9.45179584120983E-4,YES
138,153,0.0028248587570621473,NO
139,43,7.092198581560283E-4,NO
140,41,0.0014164305949008497,NO
141,400,0.0014164305949008497,YES
142,425,0.0014164305949008497,YES
143,1041,0.0028248587570621473,YES
144,92,3.5486160397445E-4,NO
145,355,7.092198581560283E-4,YES
146,123,0.0014164305949008497,NO
147,105,4.0551500405515005E-4,YES
148,105,4.0551500405515005E-4,YES
149,92,3.5486160397445E-4,YES
150,101,7.092198581560283E-4,NO
151,45,9.45179584120983E-4,YES
152,299,0.0028248587570621473,YES
153,32,9.45179584120983E-4,NO
154,111,9.45179584120983E-4,NO
155,35,7.092198581560283E-4,NO
156,85,0.0014164305949008497,YES
157,27,9.45179584120983E-4,NO
158,28,9.45179584120983E-4,NO
159,36,0.0028248587570621473,YES
160,574,0.0014164305949008497,YES
161,67,0.0014164305949008497,NO
162,29,7.092198581560283E-4,NO
163,72,3.5486160397445E-4,NO
164,37,4.730368968779565E-4,NO
165,51,0.0028248587570621473,NO
166,31,9.45179584120983E-4,NO
167,77,9.45179584120983E-4,YES
168,168,9.45179584120983E-4,YES
169,81,7.092198581560283E-4,YES
170,37,4.730368968779565E-4,NO
171,27,9.45179584120983E-4,NO
172,48,9.45179584120983E-4,NO
173,436,0.0028248587570621473,YES
174,77,9.45179584120983E-4,YES
175,63,9.45179584120983E-4,NO
176,76,0.0014164305949008497,NO
177,191,4.730368968779565E-4,YES
178,160,5.675368898978433E-4,NO
179,906,0.0028248587570621473,YES
180,74,7.092198581560283E-4,NO
181,94,0.0014164305949008497,NO
182,22,9.45179584120983E-4,NO
183,481,7.092198581560283E-4,NO
184,62,9.45179584120983E-4,NO
185,58,4.0551500405515005E-4,NO
186,94,0.0014164305949008497,NO
187,27,9.45179584120983E-4,NO
188,77,9.45179584120983E-4,NO
189,744,5.675368898978433E-4,YES
190,64,3.5486160397445E-4,YES
191,45,9.45179584120983E-4,NO
192,63,9.45179584120983E-4,NO
193,37,4.730368968779565E-4,NO
194,64,3.5486160397445E-4,NO
195,124,0.0014164305949008497,NO
196,172,9.45179584120983E-4,NO
197,36,0.0028248587570621473,NO
198,58,4.0551500405515005E-4,NO
199,62,9.45179584120983E-4,NO
200,132,7.092198581560283E-4,NO
201,74,7.092198581560283E-4,NO
202,83,0.0014164305949008497,NO
203,74,7.092198581560283E-4,NO
204,48,9.45179584120983E-4,NO
205,60,9.45179584120983E-4,NO
206,86,0.0014164305949008497,NO
207,355,7.092198581560283E-4,NO
208,53,0.0014164305949008497,NO
209,612,7.092198581560283E-4,YES
210,39,5.675368898978433E-4,NO
211,78,0.0014164305949008497,YES
212,85,0.0014164305949008497,YES
213,31,9.45179584120983E-4,NO
214,57,7.092198581560283E-4,NO
215,108,9.45179584120983E-4,NO
216,32,9.45179584120983E-4,NO
217,227,0.0028248587570621473,NO
218,201,5.675368898978433E-4,NO
219,80,7.092198581560283E-4,NO
220,28,9.45179584120983E-4,NO
221,57,7.092198581560283E-4,NO
222,446,7.092198581560283E-4,NO
223,103,7.092198581560283E-4,NO
224,35,7.092198581560283E-4,NO
225,98,4.730368968779565E-4,NO
226,79,7.092198581560283E-4,NO
