ID,Size,Predicted,Actual
0,215,0.0013736263736263737,NO
1,271,0.0013736263736263737,YES
2,458,0.0013736263736263737,YES
3,137,6.87757909215956E-4,YES
4,357,6.87757909215956E-4,YES
5,1242,0.0013736263736263737,YES
6,51,0.0013736263736263737,NO
7,154,0.0013736263736263737,YES
8,31,0.0013736263736263737,NO
9,928,6.87757909215956E-4,NO
10,180,6.87757909215956E-4,NO
11,260,0.0013736263736263737,YES
12,551,0.0013736263736263737,YES
13,40,2.294630564479119E-4,NO
14,361,0.0013736263736263737,YES
15,388,6.87757909215956E-4,YES
16,51,0.0013736263736263737,NO
17,577,6.87757909215956E-4,NO
18,32,0.0013736263736263737,NO
19,66,6.87757909215956E-4,NO
20,188,0.0013736263736263737,YES
21,582,6.87757909215956E-4,NO
22,158,6.87757909215956E-4,YES
23,50,6.87757909215956E-4,NO
24,27,0.0013736263736263737,NO
25,928,6.87757909215956E-4,YES
26,60,6.87757909215956E-4,NO
27,62,6.87757909215956E-4,NO
28,87,6.87757909215956E-4,NO
29,52,6.87757909215956E-4,NO
30,268,6.87757909215956E-4,NO
31,163,0.0013736263736263737,NO
32,109,6.87757909215956E-4,NO
33,147,0.0013736263736263737,NO
34,58,6.87757909215956E-4,NO
35,44,6.87757909215956E-4,NO
36,106,0.0013736263736263737,NO
37,139,6.87757909215956E-4,NO
38,326,0.0013736263736263737,NO
39,648,0.0013736263736263737,NO
40,778,6.87757909215956E-4,YES
41,314,0.0013736263736263737,YES
42,55,4.5871559633027525E-4,NO
43,191,6.87757909215956E-4,NO
44,90,0.0013736263736263737,NO
45,273,3.441156228492774E-4,NO
46,137,6.87757909215956E-4,NO
47,79,6.87757909215956E-4,NO
48,82,6.87757909215956E-4,NO
49,147,0.0013736263736263737,NO
50,422,0.0013736263736263737,NO
51,978,0.0013736263736263737,YES
52,467,0.0013736263736263737,YES
53,189,3.441156228492774E-4,NO
54,153,6.87757909215956E-4,NO
55,84,3.441156228492774E-4,YES
56,182,6.87757909215956E-4,NO
57,358,0.0013736263736263737,NO
58,126,0.0013736263736263737,NO
59,106,6.87757909215956E-4,NO
60,109,0.0013736263736263737,NO
61,85,6.87757909215956E-4,NO
62,236,0.0013736263736263737,NO
63,314,6.87757909215956E-4,YES
64,694,0.0013736263736263737,YES
65,27,0.0013736263736263737,NO
66,89,0.0013736263736263737,NO
67,301,0.0013736263736263737,YES
68,153,0.0013736263736263737,NO
69,92,0.0013736263736263737,NO
70,466,0.0013736263736263737,NO
71,93,0.0013736263736263737,NO
72,244,6.87757909215956E-4,NO
73,192,6.87757909215956E-4,NO
74,250,0.9998470012239901,YES
75,109,3.441156228492774E-4,NO
76,601,6.87757909215956E-4,NO
77,565,4.5871559633027525E-4,YES
78,69,0.0013736263736263737,NO
79,77,0.0013736263736263737,NO
80,94,0.0013736263736263737,NO
81,337,0.9998470012239901,NO
82,214,4.5871559633027525E-4,NO
83,79,0.9998622968879096,NO
84,25,0.0013736263736263737,NO
85,84,0.9998622968879096,NO
86,34,0.0013736263736263737,NO
87,33,0.0013736263736263737,NO
88,104,0.0013736263736263737,NO
89,172,0.9998033044846577,NO
90,70,4.5871559633027525E-4,NO
91,140,6.87757909215956E-4,NO
92,154,0.9998470012239901,YES
93,248,0.0013736263736263737,NO
94,275,0.0013736263736263737,YES
95,176,0.0013736263736263737,NO
96,624,6.87757909215956E-4,YES
97,91,0.0013736263736263737,YES
98,58,6.87757909215956E-4,YES
99,132,6.87757909215956E-4,NO
100,4088,0.0013736263736263737,NO
101,558,0.0013736263736263737,NO
102,727,0.0013736263736263737,YES
103,150,6.87757909215956E-4,YES
104,503,0.0013736263736263737,YES
105,325,6.87757909215956E-4,NO
106,273,6.87757909215956E-4,YES
107,136,0.0013736263736263737,NO
108,56,0.0013736263736263737,NO
109,74,0.0013736263736263737,NO
110,357,0.9998033044846577,YES
111,174,6.87757909215956E-4,NO
112,148,4.5871559633027525E-4,NO
113,92,0.0013736263736263737,NO
114,45,0.0013736263736263737,NO
115,168,0.0013736263736263737,NO
116,77,4.5871559633027525E-4,NO
117,664,0.0013736263736263737,YES
118,88,0.0013736263736263737,NO
119,260,0.0013736263736263737,YES
120,54,4.5871559633027525E-4,NO
121,48,6.87757909215956E-4,NO
122,140,0.0013736263736263737,NO
123,152,0.0013736263736263737,NO
124,39,3.441156228492774E-4,NO
125,131,6.87757909215956E-4,NO
126,47,0.0013736263736263737,NO
127,129,0.0013736263736263737,NO
128,43,0.0013736263736263737,NO
129,243,0.0013736263736263737,NO
130,62,4.5871559633027525E-4,NO
131,45,0.0013736263736263737,NO
132,94,0.0013736263736263737,YES
133,72,0.0013736263736263737,NO
134,42,0.0013736263736263737,NO
135,48,0.0013736263736263737,NO
136,89,6.87757909215956E-4,NO
137,380,6.87757909215956E-4,NO
138,138,6.87757909215956E-4,YES
139,142,6.87757909215956E-4,YES
140,191,0.0013736263736263737,NO
141,46,0.0013736263736263737,NO
142,165,0.0013736263736263737,NO
143,171,4.5871559633027525E-4,NO
144,56,6.87757909215956E-4,NO
145,179,6.87757909215956E-4,NO
146,74,4.5871559633027525E-4,NO
147,36,2.7533039647577095E-4,NO
148,37,3.441156228492774E-4,NO
149,34,4.5871559633027525E-4,NO
150,34,0.0013736263736263737,NO
151,38,3.441156228492774E-4,NO
152,39,3.441156228492774E-4,NO
153,156,0.9998470012239901,NO
154,84,0.9998622968879096,NO
155,117,0.0013736263736263737,NO
156,94,0.0013736263736263737,NO
157,71,6.87757909215956E-4,NO
158,183,6.87757909215956E-4,NO
159,85,0.0013736263736263737,NO
160,183,0.0013736263736263737,NO
161,70,0.0013736263736263737,NO
162,54,0.0013736263736263737,NO
163,160,0.9998470012239901,NO
164,125,6.87757909215956E-4,NO
165,151,6.87757909215956E-4,NO
166,421,6.87757909215956E-4,YES
167,219,0.0013736263736263737,YES
168,50,0.0013736263736263737,NO
169,42,4.5871559633027525E-4,NO
170,624,6.87757909215956E-4,NO
171,377,6.87757909215956E-4,NO
172,383,3.441156228492774E-4,NO
173,72,4.5871559633027525E-4,NO
174,92,0.0013736263736263737,NO
175,284,0.0013736263736263737,YES
176,371,0.9998470012239901,NO
177,47,0.0013736263736263737,NO
178,108,0.0013736263736263737,NO
179,111,0.0013736263736263737,NO
180,319,0.9997705369435521,NO
181,129,4.5871559633027525E-4,NO
182,49,6.87757909215956E-4,NO
183,358,6.87757909215956E-4,NO
184,277,0.9998033044846577,NO
185,49,0.0013736263736263737,NO
186,89,6.87757909215956E-4,NO
187,41,6.87757909215956E-4,NO
188,66,6.87757909215956E-4,NO
189,63,3.441156228492774E-4,NO
190,24,6.87757909215956E-4,NO
191,50,0.0013736263736263737,NO
192,72,0.0013736263736263737,NO
193,47,0.0013736263736263737,NO
194,47,0.0013736263736263737,NO
195,183,0.0013736263736263737,NO
196,49,6.87757909215956E-4,NO
197,50,0.0013736263736263737,NO
198,98,4.5871559633027525E-4,NO
199,143,0.0013736263736263737,NO
200,43,0.0013736263736263737,NO
201,42,0.0013736263736263737,NO
202,56,0.0013736263736263737,NO
203,44,0.0013736263736263737,NO
204,26,0.0013736263736263737,NO
205,254,0.0013736263736263737,NO
206,16883,0.0013736263736263737,NO
207,74,4.5871559633027525E-4,NO
208,153,4.5871559633027525E-4,NO
209,68,0.0013736263736263737,NO
210,100,0.0013736263736263737,NO
211,549,6.87757909215956E-4,YES
212,437,6.87757909215956E-4,NO
213,1033,6.87757909215956E-4,YES
214,101,0.0013736263736263737,YES
215,331,6.87757909215956E-4,YES
216,123,6.87757909215956E-4,NO
217,106,0.0013736263736263737,NO
218,106,0.0013736263736263737,NO
219,93,0.0013736263736263737,YES
220,101,0.0013736263736263737,YES
221,38,6.87757909215956E-4,NO
222,584,6.87757909215956E-4,YES
223,32,0.0013736263736263737,NO
224,111,6.87757909215956E-4,NO
225,35,0.0013736263736263737,NO
226,90,0.0013736263736263737,NO
227,27,0.0013736263736263737,NO
228,28,6.87757909215956E-4,NO
229,92,6.87757909215956E-4,NO
230,885,0.0013736263736263737,YES
231,67,6.87757909215956E-4,NO
232,29,4.5871559633027525E-4,NO
233,105,0.0013736263736263737,NO
234,72,0.0013736263736263737,NO
235,37,3.441156228492774E-4,NO
236,47,6.87757909215956E-4,NO
237,31,0.0013736263736263737,NO
238,90,6.87757909215956E-4,NO
239,223,6.87757909215956E-4,NO
240,214,4.5871559633027525E-4,NO
241,107,6.87757909215956E-4,NO
242,37,3.441156228492774E-4,NO
243,27,0.0013736263736263737,NO
244,48,0.0013736263736263737,NO
245,166,0.0013736263736263737,YES
246,213,0.0013736263736263737,NO
247,866,0.0013736263736263737,YES
248,159,0.9998852421390865,NO
249,100,0.0013736263736263737,NO
250,96,0.0013736263736263737,NO
251,841,6.87757909215956E-4,YES
252,525,0.0013736263736263737,NO
253,83,6.87757909215956E-4,NO
254,63,3.441156228492774E-4,NO
255,76,6.87757909215956E-4,NO
256,202,0.0013736263736263737,NO
257,155,4.5871559633027525E-4,YES
258,1262,0.0013736263736263737,YES
259,74,4.5871559633027525E-4,NO
260,101,0.0013736263736263737,NO
261,27,0.0013736263736263737,NO
262,22,4.5871559633027525E-4,NO
263,489,0.0013736263736263737,YES
264,62,0.0013736263736263737,NO
265,59,4.5871559633027525E-4,NO
266,99,0.0013736263736263737,NO
267,27,0.0013736263736263737,NO
268,77,4.5871559633027525E-4,NO
269,846,6.87757909215956E-4,NO
270,64,0.0013736263736263737,NO
271,45,0.0013736263736263737,NO
272,63,3.441156228492774E-4,NO
273,54,6.87757909215956E-4,NO
274,64,3.441156228492774E-4,NO
275,132,0.0013736263736263737,NO
276,177,0.0013736263736263737,NO
277,70,4.5871559633027525E-4,NO
278,36,2.7533039647577095E-4,NO
279,58,6.87757909215956E-4,NO
280,62,0.0013736263736263737,NO
281,132,6.87757909215956E-4,NO
282,74,4.5871559633027525E-4,NO
283,83,3.441156228492774E-4,YES
284,74,4.5871559633027525E-4,NO
285,48,0.0013736263736263737,NO
286,74,0.0013736263736263737,NO
287,86,6.87757909215956E-4,NO
288,355,6.87757909215956E-4,NO
289,53,6.87757909215956E-4,NO
290,798,6.87757909215956E-4,YES
291,75,4.5871559633027525E-4,NO
292,125,6.87757909215956E-4,NO
293,200,0.0013736263736263737,NO
294,134,0.9998748122183274,NO
295,57,0.0013736263736263737,NO
296,123,0.0013736263736263737,NO
297,204,0.0013736263736263737,NO
298,162,0.9998470012239901,NO
299,130,0.0013736263736263737,NO
300,108,0.0013736263736263737,NO
301,353,6.87757909215956E-4,NO
302,80,4.5871559633027525E-4,NO
303,28,6.87757909215956E-4,NO
304,57,0.0013736263736263737,NO
305,306,0.0013736263736263737,YES
306,340,6.87757909215956E-4,YES
307,103,4.5871559633027525E-4,NO
308,35,0.0013736263736263737,NO
309,98,4.5871559633027525E-4,NO
310,117,0.0013736263736263737,YES
