ID,Size,Predicted,Actual
0,215,0.0014164305949008497,NO
1,271,0.0014164305949008497,NO
2,451,0.0028248587570621473,NO
3,137,9.45179584120983E-4,NO
4,368,7.092198581560283E-4,YES
5,764,0.0028248587570621473,YES
6,51,0.0028248587570621473,NO
7,150,0.0028248587570621473,NO
8,31,0.0014164305949008497,NO
9,684,0.0014164305949008497,YES
10,180,9.45179584120983E-4,NO
11,196,0.0014164305949008497,YES
12,482,0.0014164305949008497,YES
13,40,7.092198581560283E-4,NO
14,259,9.45179584120983E-4,YES
15,379,0.0028248587570621473,YES
16,510,7.092198581560283E-4,YES
17,32,0.0028248587570621473,NO
18,66,9.45179584120983E-4,NO
19,187,0.0014164305949008497,YES
20,576,0.0028248587570621473,YES
21,158,9.45179584120983E-4,YES
22,46,0.0028248587570621473,YES
23,27,9.45179584120983E-4,NO
24,788,9.45179584120983E-4,YES
25,60,9.45179584120983E-4,NO
26,62,9.45179584120983E-4,YES
27,88,9.45179584120983E-4,YES
28,52,9.45179584120983E-4,YES
29,163,0.0014164305949008497,NO
30,91,0.0028248587570621473,YES
31,147,9.45179584120983E-4,NO
32,58,9.45179584120983E-4,NO
33,44,7.092198581560283E-4,NO
34,139,9.45179584120983E-4,NO
35,282,5.675368898978433E-4,NO
36,582,7.092198581560283E-4,YES
37,800,9.45179584120983E-4,YES
38,216,9.45179584120983E-4,YES
39,55,9.45179584120983E-4,NO
40,184,0.0028248587570621473,NO
41,65,9.45179584120983E-4,NO
42,150,9.45179584120983E-4,YES
43,81,9.45179584120983E-4,NO
44,84,9.45179584120983E-4,NO
45,905,9.45179584120983E-4,YES
46,312,9.45179584120983E-4,YES
47,171,9.45179584120983E-4,NO
48,153,7.092198581560283E-4,YES
49,84,0.0028248587570621473,NO
50,169,0.0014164305949008497,YES
51,189,0.0028248587570621473,YES
52,127,0.0014164305949008497,YES
53,79,9.45179584120983E-4,YES
54,90,9.45179584120983E-4,NO
55,85,9.45179584120983E-4,NO
56,123,0.0014164305949008497,YES
57,276,0.0014164305949008497,YES
58,549,0.0028248587570621473,YES
59,27,0.0028248587570621473,NO
60,88,9.45179584120983E-4,YES
61,283,0.0014164305949008497,YES
62,175,9.45179584120983E-4,YES
63,507,0.0014164305949008497,YES
64,209,9.45179584120983E-4,NO
65,147,9.45179584120983E-4,NO
66,98,9.45179584120983E-4,NO
67,132,7.092198581560283E-4,NO
68,236,7.092198581560283E-4,YES
69,227,9.45179584120983E-4,YES
70,172,0.0028248587570621473,NO
71,507,0.0028248587570621473,YES
72,90,0.0028248587570621473,YES
73,58,9.45179584120983E-4,NO
74,132,9.45179584120983E-4,NO
75,529,9.45179584120983E-4,YES
76,694,0.0014164305949008497,YES
77,148,9.45179584120983E-4,YES
78,174,9.45179584120983E-4,NO
79,148,9.45179584120983E-4,NO
80,92,9.45179584120983E-4,NO
81,77,0.0028248587570621473,NO
82,664,0.0014164305949008497,NO
83,55,9.45179584120983E-4,NO
84,256,9.45179584120983E-4,YES
85,54,9.45179584120983E-4,NO
86,38,9.45179584120983E-4,YES
87,98,9.45179584120983E-4,YES
88,39,9.45179584120983E-4,NO
89,47,9.45179584120983E-4,NO
90,69,9.45179584120983E-4,YES
91,43,7.092198581560283E-4,NO
92,94,9.45179584120983E-4,YES
93,72,9.45179584120983E-4,NO
94,42,9.45179584120983E-4,NO
95,48,9.45179584120983E-4,NO
96,63,9.45179584120983E-4,YES
97,318,0.0014164305949008497,YES
98,136,9.45179584120983E-4,YES
99,141,9.45179584120983E-4,YES
100,190,0.0028248587570621473,YES
101,46,9.45179584120983E-4,NO
102,165,9.45179584120983E-4,NO
103,162,0.0028248587570621473,NO
104,58,9.45179584120983E-4,NO
105,148,9.45179584120983E-4,YES
106,74,9.45179584120983E-4,NO
107,36,9.45179584120983E-4,NO
108,37,9.45179584120983E-4,NO
109,38,9.45179584120983E-4,NO
110,39,9.45179584120983E-4,NO
111,96,9.45179584120983E-4,YES
112,88,9.45179584120983E-4,NO
113,71,9.45179584120983E-4,NO
114,114,9.45179584120983E-4,NO
115,342,7.092198581560283E-4,YES
116,84,9.45179584120983E-4,NO
117,58,9.45179584120983E-4,NO
118,129,9.45179584120983E-4,NO
119,363,9.45179584120983E-4,YES
120,242,0.0028248587570621473,YES
121,682,9.45179584120983E-4,YES
122,366,9.45179584120983E-4,YES
123,103,9.45179584120983E-4,YES
124,41,9.45179584120983E-4,NO
125,66,9.45179584120983E-4,NO
126,63,9.45179584120983E-4,NO
127,47,9.45179584120983E-4,NO
128,183,9.45179584120983E-4,NO
129,49,9.45179584120983E-4,NO
130,50,9.45179584120983E-4,NO
131,98,9.45179584120983E-4,NO
132,143,9.45179584120983E-4,NO
133,43,9.45179584120983E-4,NO
134,42,9.45179584120983E-4,NO
135,56,9.45179584120983E-4,NO
136,162,9.45179584120983E-4,YES
137,6523,9.45179584120983E-4,YES
