ID,Size,Predicted,Actual
0,215,0.003106097129698839,NO
1,273,0.0031622204852034797,YES
2,460,0.003329389220064425,YES
3,138,0.0029935135182803606,NO
4,358,0.0032181733153609894,NO
5,1248,0.004005919022255176,YES
6,51,0.002937138954220818,NO
7,157,0.003049847077209805,NO
8,31,0.002937138954220818,NO
9,981,0.0035225159030720272,YES
10,180,0.003049847077209805,NO
11,262,0.0031622204852034797,NO
12,553,0.0034393835426158917,YES
13,40,0.002937138954220818,NO
14,369,0.0032181733153609894,NO
15,390,0.003273911207485954,NO
16,51,0.002937138954220818,NO
17,577,0.0034393835426158917,YES
18,32,0.002937138954220818,NO
19,66,0.002937138954220818,NO
20,188,0.003049847077209805,YES
21,582,0.0034393835426158917,YES
22,160,0.003049847077209805,YES
23,50,0.002937138954220818,NO
24,27,0.0028807651478501366,NO
25,923,0.003590166296697743,YES
26,60,0.002937138954220818,NO
27,62,0.002937138954220818,NO
28,87,0.002937138954220818,NO
29,52,0.002937138954220818,NO
30,268,0.0031622204852034797,YES
31,163,0.003049847077209805,NO
32,109,0.0029935135182803606,NO
33,147,0.003049847077209805,NO
34,58,0.002937138954220818,NO
35,44,0.002937138954220818,NO
36,106,0.0029935135182803606,YES
37,139,0.0029935135182803606,NO
38,326,0.0032181733153609894,YES
39,648,0.0034938078510115414,YES
40,792,0.0034907023924436293,YES
41,319,0.0031622204852034797,YES
42,55,0.002937138954220818,NO
43,191,0.003049847077209805,NO
44,90,0.0029935135182803606,NO
45,273,0.0031622204852034797,YES
46,137,0.0029935135182803606,NO
47,79,0.002937138954220818,NO
48,82,0.002937138954220818,NO
49,147,0.003049847077209805,NO
50,422,0.003273911207485954,YES
51,979,0.0038093964410736325,YES
52,495,0.003156810138724057,YES
53,189,0.003049847077209805,YES
54,167,0.002844554409957703,YES
55,86,0.002937138954220818,NO
56,182,0.003049847077209805,YES
57,361,0.0031422717620869104,YES
58,126,0.0029935135182803606,YES
59,106,0.0029935135182803606,NO
60,109,0.0029935135182803606,NO
61,85,0.002937138954220818,NO
62,236,0.003106097129698839,NO
63,315,0.0031622204852034797,YES
64,695,0.003547788400165408,YES
65,27,0.0028807651478501366,NO
66,89,0.0029935135182803606,NO
67,301,0.0031622204852034797,YES
68,153,0.003049847077209805,YES
69,92,0.0029935135182803606,NO
70,466,0.003329389220064425,YES
71,93,0.0029935135182803606,NO
72,244,0.003106097129698839,NO
73,192,0.003049847077209805,YES
74,252,0.003106097129698839,NO
75,109,0.0029935135182803606,NO
76,601,0.0034393835426158917,YES
77,565,0.0034393835426158917,YES
78,69,0.002937138954220818,NO
79,77,0.002937138954220818,NO
80,94,0.0029935135182803606,YES
81,337,0.0032181733153609894,NO
82,214,0.003106097129698839,NO
83,79,0.002937138954220818,NO
84,25,0.0028807651478501366,NO
85,84,0.002937138954220818,NO
86,34,0.002937138954220818,NO
87,33,0.002937138954220818,NO
88,104,0.0029935135182803606,NO
89,172,0.003049847077209805,NO
90,70,0.002937138954220818,NO
91,140,0.0029935135182803606,NO
92,156,0.003049847077209805,NO
93,248,0.003106097129698839,NO
94,277,0.0031622204852034797,YES
95,189,0.004604510154364653,NO
96,194,0.003895585365143439,NO
97,346,0.004091834346538739,NO
98,304,0.019747762509167825,NO
99,356,0.5182618795202621,YES
100,84,0.002937138954220818,NO
101,53,0.002937138954220818,NO
102,132,0.0029935135182803606,NO
103,4088,0.004607481833228113,NO
104,691,0.010077167019780198,YES
105,47,0.0026649273980827812,NO
106,101,0.0035562471889381323,NO
107,510,0.0033845619401571252,YES
108,328,0.0032181733153609894,YES
109,273,0.0031622204852034797,YES
110,136,0.0029935135182803606,NO
111,56,0.002937138954220818,NO
112,74,0.002937138954220818,NO
113,359,0.0032181733153609894,YES
114,174,0.003049847077209805,NO
115,148,0.003049847077209805,NO
116,92,0.0029935135182803606,NO
117,45,0.002937138954220818,NO
118,168,0.003049847077209805,NO
119,77,0.002937138954220818,NO
120,666,0.0034938078510115414,NO
121,88,0.0029935135182803606,NO
122,262,0.0031622204852034797,NO
123,54,0.002937138954220818,NO
124,48,0.002937138954220818,YES
125,140,0.0029935135182803606,YES
126,152,0.003049847077209805,NO
127,39,0.002937138954220818,NO
128,131,0.0029935135182803606,NO
129,47,0.002937138954220818,NO
130,129,0.0029935135182803606,NO
131,43,0.002937138954220818,NO
132,243,0.003106097129698839,YES
133,62,0.002937138954220818,NO
134,45,0.002937138954220818,NO
135,97,0.0029935135182803606,NO
136,476,0.9999974967939419,NO
137,77,0.0030533087147253703,NO
138,69,0.0030289904941961567,NO
139,104,0.004303970876705035,NO
140,115,0.00493333791282831,NO
141,421,0.9998379513274683,NO
142,61,0.0028420614159315478,NO
143,2009,1.0,NO
144,179,0.018252016957988133,NO
145,106,0.004303970876705035,NO
146,33,0.002640230062076657,NO
147,657,1.0,NO
148,295,0.7235235834427312,NO
149,872,1.0,NO
150,444,0.9999691889476378,NO
151,168,0.01431535649904421,NO
152,752,1.0,NO
153,135,0.007120220076687698,NO
154,1126,1.0,NO
155,163,0.01431535649904421,NO
156,184,0.02538564164755965,NO
157,51,0.0027157678809470137,NO
158,25,0.002613764572142848,NO
159,180,0.019586986665376584,NO
160,64,0.0028420614159315478,NO
161,101,0.004303970876705035,NO
162,512,0.999999928713063,NO
163,187,0.02538564164755965,NO
164,56,0.0027157678809470137,NO
165,39,0.002663956532252802,NO
166,261,0.2557149292041431,NO
167,73,0.0030533087147253703,NO
168,65,0.0028420614159315478,NO
169,329,0.933463419259922,NO
170,64,0.0028420614159315478,NO
171,164,0.01431535649904421,NO
172,624,0.9836413809155059,NO
173,74,0.0030533087147253703,NO
174,117,0.00493333791282831,NO
175,84,0.0033140043369864693,NO
176,226,0.006600912837847836,NO
177,76,0.0030533087147253703,NO
178,323,0.8927951561576518,NO
179,72,0.002937138954220818,NO
180,42,0.002937138954220818,NO
181,48,0.002937138954220818,NO
182,89,0.0029935135182803606,NO
183,380,0.003273911207485954,NO
184,141,0.0029935135182803606,NO
185,148,0.002913285619121115,NO
186,191,0.003049847077209805,NO
187,46,0.002937138954220818,NO
188,165,0.003049847077209805,NO
189,171,0.003049847077209805,NO
190,56,0.002937138954220818,NO
191,179,0.003049847077209805,NO
192,74,0.002937138954220818,NO
193,36,0.002937138954220818,NO
194,37,0.002937138954220818,NO
195,34,0.002937138954220818,NO
196,34,0.002937138954220818,NO
197,38,0.002937138954220818,NO
198,39,0.002937138954220818,NO
199,156,0.003049847077209805,NO
200,84,0.002937138954220818,NO
201,117,0.0029935135182803606,NO
202,94,0.0029935135182803606,NO
203,71,0.002937138954220818,NO
204,183,0.003049847077209805,NO
205,85,0.002937138954220818,NO
206,183,0.003049847077209805,NO
207,70,0.002937138954220818,NO
208,54,0.002937138954220818,NO
209,160,0.003049847077209805,NO
210,125,0.0029935135182803606,NO
211,151,0.003049847077209805,NO
212,422,0.003273911207485954,NO
213,221,0.003106097129698839,NO
214,50,0.002937138954220818,NO
215,42,0.002937138954220818,NO
216,624,0.0034938078510115414,NO
217,377,0.0032181733153609894,NO
218,383,0.003273911207485954,YES
219,72,0.002937138954220818,NO
220,92,0.0029935135182803606,NO
221,282,0.0031622204852034797,NO
222,371,0.0032181733153609894,NO
223,47,0.002937138954220818,NO
224,108,0.0029935135182803606,NO
225,111,0.0029935135182803606,NO
226,319,0.0031622204852034797,NO
227,129,0.0029935135182803606,NO
228,49,0.002937138954220818,NO
229,358,0.0032181733153609894,NO
230,277,0.0031622204852034797,NO
231,49,0.002937138954220818,NO
232,89,0.0029935135182803606,NO
233,41,0.002937138954220818,NO
234,66,0.002937138954220818,NO
235,63,0.002937138954220818,NO
236,24,0.0028807651478501366,NO
237,50,0.002937138954220818,NO
238,72,0.002937138954220818,NO
239,47,0.002937138954220818,NO
240,47,0.002937138954220818,NO
241,183,0.003049847077209805,NO
242,49,0.002937138954220818,NO
243,50,0.002937138954220818,NO
244,98,0.0029935135182803606,NO
245,143,0.0029935135182803606,NO
246,43,0.002937138954220818,NO
247,42,0.002937138954220818,NO
248,56,0.002937138954220818,NO
249,44,0.002937138954220818,NO
250,26,0.0028807651478501366,NO
251,254,0.003106097129698839,NO
252,16883,0.003050853542184176,NO
253,74,0.002937138954220818,NO
254,153,0.003049847077209805,NO
255,68,0.002937138954220818,NO
256,100,0.0029935135182803606,NO
257,550,0.0033845619401571252,NO
258,437,0.003329389220064425,NO
259,1038,0.0038597307250554575,NO
260,104,0.0029935135182803606,NO
261,332,0.0032181733153609894,NO
262,123,0.0029935135182803606,NO
263,106,0.0029935135182803606,NO
264,106,0.0029935135182803606,NO
265,94,0.0029935135182803606,NO
266,101,0.0029935135182803606,NO
267,38,0.002937138954220818,NO
268,628,0.003258728780110815,NO
269,32,0.002937138954220818,NO
270,111,0.0029935135182803606,NO
271,35,0.002937138954220818,NO
272,90,0.0029935135182803606,NO
273,27,0.0028807651478501366,NO
274,28,0.0028807651478501366,NO
275,92,0.0029935135182803606,NO
276,956,0.01255223372996472,YES
277,67,0.002937138954220818,NO
278,29,0.0028807651478501366,NO
279,105,0.0029935135182803606,NO
280,72,0.002937138954220818,NO
281,37,0.002937138954220818,NO
282,47,0.002937138954220818,NO
283,31,0.002937138954220818,NO
284,90,0.0029935135182803606,NO
285,223,0.003106097129698839,NO
286,214,0.003106097129698839,NO
287,107,0.0029935135182803606,NO
288,37,0.002937138954220818,NO
289,27,0.0028807651478501366,NO
290,48,0.002937138954220818,NO
291,167,0.003049847077209805,NO
292,213,0.003106097129698839,NO
293,867,0.0037065998630887932,NO
294,159,0.003049847077209805,NO
295,100,0.0029935135182803606,NO
296,96,0.0029935135182803606,NO
297,842,0.0036542313017902503,NO
298,525,0.0033845619401571252,NO
299,83,0.002937138954220818,NO
300,63,0.002937138954220818,NO
301,76,0.002937138954220818,NO
302,202,0.003049847077209805,NO
303,155,0.003049847077209805,NO
304,1263,0.004052890189427922,NO
305,74,0.002937138954220818,NO
306,101,0.0029935135182803606,NO
307,27,0.0028807651478501366,NO
308,22,0.0028807651478501366,NO
309,491,0.003329389220064425,NO
310,62,0.002937138954220818,NO
311,59,0.002937138954220818,NO
312,99,0.0029935135182803606,NO
313,27,0.0028807651478501366,NO
314,77,0.002937138954220818,NO
315,846,0.0037065998630887932,YES
316,64,0.002937138954220818,NO
317,45,0.002937138954220818,NO
318,63,0.002937138954220818,NO
319,54,0.002937138954220818,NO
320,64,0.002937138954220818,NO
321,132,0.0029935135182803606,NO
322,177,0.003049847077209805,NO
323,70,0.002937138954220818,NO
324,36,0.002937138954220818,NO
325,58,0.002937138954220818,NO
326,62,0.002937138954220818,NO
327,132,0.0029935135182803606,NO
328,74,0.002937138954220818,NO
329,86,0.002937138954220818,NO
330,74,0.002937138954220818,NO
331,48,0.002937138954220818,NO
332,74,0.002937138954220818,NO
333,86,0.002937138954220818,NO
334,355,0.0032181733153609894,NO
335,53,0.002937138954220818,NO
336,804,0.0034907023924436293,NO
337,75,0.002937138954220818,NO
338,125,0.0029935135182803606,NO
339,200,0.003049847077209805,NO
340,134,0.0029935135182803606,NO
341,57,0.002937138954220818,NO
342,123,0.0029935135182803606,NO
343,266,0.0030844446810794155,NO
344,162,0.003049847077209805,NO
345,130,0.0029935135182803606,NO
346,108,0.0029935135182803606,NO
347,354,0.0032181733153609894,NO
348,88,0.002859467244591359,NO
349,28,0.0028807651478501366,NO
350,58,0.002937138954220818,NO
351,308,0.0031622204852034797,NO
352,343,0.0032181733153609894,NO
353,103,0.0029935135182803606,NO
354,35,0.002937138954220818,NO
355,98,0.0029935135182803606,NO
356,117,0.0029935135182803606,NO
