ID,Size,Predicted,Actual
0,212,1.0879862150698922E-4,NO
1,274,1.1814075361144951E-4,NO
2,461,1.2426288464017902E-4,YES
3,138,1.0987515173884875E-4,NO
4,358,1.2196524036354824E-4,NO
5,1272,2.794292736407235E-4,YES
6,51,1.0297584532392251E-4,NO
7,45,1.0297584532392251E-4,NO
8,157,1.1293598654147139E-4,NO
9,31,1.0297584532392251E-4,NO
10,1406,0.7631542015656774,YES
11,55,1.0297584532392251E-4,NO
12,204,1.1569975231381914E-4,NO
13,55,1.0297584532392251E-4,NO
14,103,1.0654518572297962E-4,NO
15,34,1.0092694131076244E-4,NO
16,83,1.0654518572297962E-4,NO
17,285,1.093297695644194E-4,NO
18,83,1.0654518572297962E-4,NO
19,129,8.919731679903876E-4,NO
20,867,1.1191900676917459E-4,YES
21,380,0.9999999717734493,NO
22,40,1.0297584532392251E-4,NO
23,387,1.233119380657474E-4,YES
24,390,1.233119380657474E-4,NO
25,51,1.0297584532392251E-4,NO
26,637,1.2398219401626648E-4,YES
27,32,1.0297584532392251E-4,NO
28,68,1.0654518572297962E-4,YES
29,547,1.2494412531653296E-4,YES
30,566,1.246676997439118E-4,NO
31,314,1.2023593442240526E-4,YES
32,907,1.0659864983628295E-4,YES
33,275,1.606619339252695E-4,NO
34,31,1.0297584532392251E-4,NO
35,50,1.0297584532392251E-4,NO
36,27,1.0297584532392251E-4,NO
37,175,1.1293598654147139E-4,NO
38,50,1.0297584532392251E-4,NO
39,62,1.0297584532392251E-4,NO
40,87,1.0654518572297962E-4,NO
41,52,1.0297584532392251E-4,NO
42,373,1.2196524036354824E-4,NO
43,224,1.1569975231381914E-4,NO
44,118,1.0987515173884875E-4,YES
45,83,1.0654518572297962E-4,NO
46,147,1.0987515173884875E-4,NO
47,58,1.0297584532392251E-4,NO
48,44,1.0297584532392251E-4,NO
49,106,1.0654518572297962E-4,NO
50,238,0.6769493359238089,NO
51,43,1.0307578747314009E-4,NO
52,185,0.023347747249786173,YES
53,189,1.1293598654147139E-4,NO
54,151,1.0987515173884875E-4,NO
55,364,4.3651561443878707E-4,NO
56,910,0.0614717923940265,NO
57,889,0.05191909324947861,NO
58,43,1.0297584532392251E-4,NO
59,325,5.137932064589914E-4,NO
60,27,1.0297584532392251E-4,NO
61,55,1.0297584532392251E-4,NO
62,93,1.0019004166059026E-4,NO
63,191,1.1293598654147139E-4,NO
64,90,1.0654518572297962E-4,NO
65,89,1.0654518572297962E-4,NO
66,272,4.5689673940066893E-4,NO
67,152,1.0987515173884875E-4,NO
68,90,1.0654518572297962E-4,YES
69,82,1.0654518572297962E-4,NO
70,148,1.0987515173884875E-4,NO
71,421,4.8056498980658235E-4,YES
72,1190,0.025527678675414667,YES
73,528,2.4205696317691812E-4,YES
74,205,4.474595600197243E-4,YES
75,190,1.1293598654147139E-4,NO
76,86,1.0654518572297962E-4,NO
77,212,4.474595600197243E-4,YES
78,404,5.2693230510089E-4,NO
79,572,1.3775514440939138E-4,NO
80,132,4.1819413532249007E-4,NO
81,168,1.1293598654147139E-4,NO
82,109,1.0654518572297962E-4,YES
83,85,1.0654518572297962E-4,NO
84,107,4.046686088980131E-4,NO
85,237,1.1569975231381914E-4,NO
86,511,2.6132297096020636E-4,YES
87,47,1.0297584532392251E-4,NO
88,1328,0.02218119093834232,YES
89,27,1.0297584532392251E-4,NO
90,89,1.0654518572297962E-4,NO
91,482,1.1550051341516608E-4,YES
92,226,0.6532601602733628,YES
93,166,1.1293598654147139E-4,NO
94,92,1.0654518572297962E-4,YES
95,476,1.2480874116086992E-4,NO
96,93,1.0654518572297962E-4,YES
97,244,1.1814075361144951E-4,NO
98,204,1.1569975231381914E-4,NO
99,252,1.1814075361144951E-4,NO
100,119,4.1819413532249007E-4,NO
101,733,8.503394849423918E-4,NO
102,630,0.031324040530235187,NO
103,69,1.0654518572297962E-4,NO
104,77,1.0654518572297962E-4,NO
105,97,1.0654518572297962E-4,NO
106,380,1.234316147645247E-4,NO
107,214,1.1569975231381914E-4,NO
108,38,1.0307578747314009E-4,NO
109,79,1.0654518572297962E-4,NO
110,25,1.0297584532392251E-4,NO
111,84,1.0654518572297962E-4,NO
112,34,1.0297584532392251E-4,NO
113,33,1.0297584532392251E-4,NO
114,104,1.0654518572297962E-4,NO
115,193,1.0413238262639742E-4,NO
116,70,1.0654518572297962E-4,NO
117,140,1.0987515173884875E-4,NO
118,22,9.146544878782214E-5,NO
119,156,1.1293598654147139E-4,NO
120,142,1.0987515173884875E-4,NO
