ID,Size,Predicted,Actual
0,215,0.008782065660053852,NO
1,271,0.008782065660053852,YES
2,458,0.3195004555583515,YES
3,137,0.008782065660053852,YES
4,357,9.546740998470387E-4,YES
5,1242,5.22094395982524E-54,YES
6,51,0.008782065660053852,NO
7,154,0.2394470086968135,YES
8,31,0.008782065660053852,NO
9,928,0.6691333843175793,NO
10,180,0.008782065660053852,NO
11,260,0.07001933466448389,YES
12,551,0.4840673214128325,YES
13,40,0.008782065660053852,NO
14,361,0.005165990135315441,YES
15,388,0.013688164254894655,YES
16,51,0.5198310669571229,NO
17,577,4.973964635314512E-70,NO
18,32,0.008782065660053852,NO
19,66,0.008782065660053852,NO
20,188,3.0606592102085574E-72,YES
21,582,1.515452237278753E-70,NO
22,158,6.403656768730021E-4,YES
23,50,6.403656768730021E-4,NO
24,27,0.008782065660053852,NO
25,928,4.361326967158822E-69,YES
26,60,0.008782065660053852,NO
27,62,6.403656768730021E-4,NO
28,87,6.403656768730021E-4,NO
29,52,6.403656768730021E-4,NO
30,268,2.100431326249806E-72,NO
31,163,0.008782065660053852,NO
32,109,0.0010895641600116755,NO
33,147,0.008782065660053852,NO
34,58,0.2394470086968135,NO
35,44,0.008782065660053852,NO
36,106,0.6932230746325984,NO
37,139,0.008782065660053852,NO
38,326,0.7449603035134514,NO
39,648,6.238085967220321E-66,NO
40,778,1.1312427309246202E-67,YES
41,314,0.09032402561280775,YES
42,55,0.008782065660053852,NO
43,191,0.30251402791294524,NO
44,90,0.510397165623422,NO
45,273,0.9721899636330292,NO
46,137,0.03785087284822402,NO
47,79,0.8932596326440874,NO
48,82,0.2394470086968135,NO
49,147,0.34195473722377967,NO
50,422,0.9653392596604542,NO
51,978,2.6608854428718027E-61,YES
52,467,5.974574829494629E-66,YES
53,189,0.9554931770345637,NO
54,153,0.009220285390711841,NO
55,84,0.008782065660053852,YES
56,182,1.3313807800764424E-70,NO
57,358,0.999999288547725,NO
58,126,9.963682894827777E-74,NO
59,106,0.001722780144046516,NO
60,109,0.510397165623422,NO
61,85,0.008782065660053852,NO
62,236,0.11975224871864257,NO
63,314,2.7058494574777163E-72,YES
64,694,0.7270195882672104,YES
65,27,0.008782065660053852,NO
66,89,6.403656768730021E-4,NO
67,301,0.9320999760563009,YES
68,153,0.30892279114921084,NO
69,92,0.9852757967690866,NO
70,466,0.5085716062027921,NO
71,93,0.9852757967690866,NO
72,244,0.9968138384464988,NO
73,192,0.9745931910307974,NO
74,250,0.9946871213982941,YES
75,109,0.8158573802295181,NO
76,601,7.028556834601593E-4,NO
77,565,0.9999998845295126,YES
78,69,0.004051740115246413,NO
79,77,0.6199815022664301,NO
80,94,0.6675917703769506,NO
81,337,0.01675784899854835,NO
82,214,0.4955821444852649,NO
83,79,0.6200807259880184,NO
84,25,0.38484620760516114,NO
85,84,0.6468685230731905,NO
86,34,0.446380102421039,NO
87,33,0.446380102421039,NO
88,104,0.6701698634090377,NO
89,172,0.6709119623999557,NO
90,70,0.6024614848682941,NO
91,140,0.6909856161785344,NO
92,154,0.6859824282927754,YES
93,248,9.546740998470387E-4,NO
94,275,1.9653618653000313E-74,YES
95,176,0.2394470086968135,NO
96,624,2.9716111111437966E-68,YES
97,91,6.403656768730021E-4,YES
98,58,0.008782065660053852,YES
99,132,0.2394470086968135,NO
100,4088,1.8899108513521684E-85,NO
101,558,0.016901775367730347,NO
102,727,1.5766800814899317E-67,YES
103,150,6.403656768730021E-4,YES
104,503,0.9550424001100771,YES
105,325,0.9993816505015554,NO
106,273,1.7712454557071928E-71,YES
107,136,0.1325790360153754,NO
108,56,0.5330860280581887,NO
109,74,0.9661440710735546,NO
110,357,0.9990552279443902,YES
111,174,0.008782065660053852,NO
112,148,0.008782065660053852,NO
113,92,0.008782065660053852,NO
114,45,0.561374478618636,NO
115,168,0.10810449406516055,NO
116,77,0.008782065660053852,NO
117,664,0.008782065660053852,YES
118,88,0.446380102421039,NO
119,260,0.0670738154296304,YES
120,54,0.008782065660053852,NO
121,48,9.546740998470387E-4,NO
122,140,0.022569419508490927,NO
123,152,0.8355853278258871,NO
124,39,0.008782065660053852,NO
125,131,0.6992937067257512,NO
126,47,0.008782065660053852,NO
127,129,0.0349457895010916,NO
128,43,0.008782065660053852,NO
129,243,0.223316655801511,NO
130,62,0.0029935543538606307,NO
131,45,0.49896506109338085,NO
132,94,0.0040709326755496746,YES
133,72,0.008782065660053852,NO
134,42,0.008782065660053852,NO
135,48,0.008782065660053852,NO
136,89,0.001722780144046516,NO
137,380,0.044733167856090654,NO
138,138,6.403656768730021E-4,YES
139,142,9.903327244610662E-4,YES
140,191,6.403656768730021E-4,NO
141,46,0.008782065660053852,NO
142,165,0.008782065660053852,NO
143,171,0.42074481331090524,NO
144,56,0.2892801523352411,NO
145,179,0.026660800777935357,NO
146,74,0.008782065660053852,NO
147,36,0.008782065660053852,NO
148,37,0.008782065660053852,NO
149,34,0.0016383524356230223,NO
150,34,0.446380102421039,NO
151,38,0.008782065660053852,NO
152,39,0.008782065660053852,NO
153,156,0.6859824282927754,NO
154,84,0.6468685230731905,NO
155,117,0.04015926525909672,NO
156,94,0.42074481331090524,NO
157,71,0.8648473278301336,NO
158,183,1.7938439131017136E-71,NO
159,85,0.8648473278301336,NO
160,183,0.864498076045081,NO
161,70,0.6665379670035821,NO
162,54,0.5330860280581887,NO
163,160,0.6942821469212509,NO
164,125,2.9479138652699974E-69,NO
165,151,1.7327959834052237E-70,NO
166,421,5.820875506901479E-69,YES
167,219,0.3346181109871742,YES
168,50,0.5198310669571229,NO
169,42,0.020699662141530163,NO
170,624,0.008602694651783132,NO
171,377,0.028789559311634037,NO
172,383,0.7679003365251544,NO
173,72,0.6199815022664301,NO
174,92,0.6566052395906843,NO
175,284,0.8848984281914692,YES
176,371,0.0026714213587339455,NO
177,47,0.5198310669571229,NO
178,108,0.7862804481221339,NO
179,111,0.6932230746325984,NO
180,319,0.9492250844853377,NO
181,129,0.009721955419004476,NO
182,49,0.5198310669571229,NO
183,358,0.07110602627051864,NO
184,277,0.6610102846671753,NO
185,49,0.5818196797237474,NO
186,89,0.6624332401533627,NO
187,41,0.008782065660053852,NO
188,66,0.008782065660053852,NO
189,63,0.008782065660053852,NO
190,24,0.38484620760516114,NO
191,50,0.5198310669571229,NO
192,72,0.6827212414249157,NO
193,47,0.5198310669571229,NO
194,47,0.008782065660053852,NO
195,183,0.008782065660053852,NO
196,49,0.008782065660053852,NO
197,50,0.008782065660053852,NO
198,98,0.008782065660053852,NO
199,143,0.008782065660053852,NO
200,43,0.008782065660053852,NO
201,42,0.008782065660053852,NO
202,56,0.008782065660053852,NO
203,44,0.49896506109338085,NO
204,26,0.38484620760516114,NO
205,254,0.28565215661825083,NO
206,16883,5.983717095991493E-139,NO
