ID,Size,Predicted,Actual
0,212,2.3501662603399026E-5,NO
1,274,2.7572996980637898E-5,NO
2,461,7.357934673169518E-5,YES
3,138,2.163393491060756E-5,NO
4,358,3.886401019306677E-5,NO
5,1272,0.9944038686787221,YES
6,51,2.3110121390277608E-5,NO
7,45,2.4047353478714017E-5,NO
8,157,2.17804700126853E-5,NO
9,31,2.4047353478714017E-5,NO
10,1406,0.9999999998515277,YES
11,55,2.3110121390277608E-5,NO
12,204,2.27011985564171E-5,NO
13,55,2.3110121390277608E-5,NO
14,103,2.1947757501686443E-5,NO
15,34,2.3477750536092323E-5,NO
16,83,2.241694944927866E-5,NO
17,285,2.5734902988487997E-5,NO
18,83,2.241694944927866E-5,NO
19,129,2.533591545669415E-4,NO
20,867,0.009580013834241284,YES
21,380,0.9999993833787084,NO
22,40,2.4047353478714017E-5,NO
23,387,4.334224827061834E-5,YES
24,390,4.334224827061834E-5,NO
25,51,2.3110121390277608E-5,NO
26,637,4.16960300734708E-4,YES
27,32,2.4047353478714017E-5,NO
28,68,2.3110121390277608E-5,YES
29,547,1.449485450121253E-4,YES
30,566,1.757605312143572E-4,NO
31,314,3.2131970389793566E-5,YES
32,907,0.020538651763210385,YES
33,275,2.981734216994333E-4,NO
34,31,2.4047353478714017E-5,NO
35,50,2.4047353478714017E-5,NO
36,27,2.525641367823802E-5,NO
37,175,2.2132900843012203E-5,NO
38,50,2.4047353478714017E-5,NO
39,62,2.3110121390277608E-5,NO
40,87,2.241694944927866E-5,NO
41,52,2.3110121390277608E-5,NO
42,373,3.886401019306677E-5,NO
43,224,2.3501662603399026E-5,NO
44,118,2.168918105573168E-5,YES
45,83,2.241694944927866E-5,NO
46,147,2.163393491060756E-5,NO
47,58,2.3110121390277608E-5,NO
48,44,2.4047353478714017E-5,NO
49,106,2.1947757501686443E-5,NO
50,238,0.231257261443917,NO
51,43,2.6083150548406706E-5,NO
52,185,0.004786982946169074,YES
53,189,2.2132900843012203E-5,NO
54,151,2.163393491060756E-5,NO
55,364,1.2821035052013366E-4,NO
56,910,0.9996650207617569,NO
57,889,0.9994815965374149,NO
58,43,2.4047353478714017E-5,NO
59,325,1.041559312393382E-4,NO
60,27,2.525641367823802E-5,NO
61,55,2.3110121390277608E-5,NO
62,93,2.101799395300076E-5,NO
63,191,2.2132900843012203E-5,NO
64,90,2.241694944927866E-5,NO
65,89,2.241694944927866E-5,NO
66,272,8.767314605372388E-5,NO
67,152,2.17804700126853E-5,NO
68,90,2.241694944927866E-5,YES
69,82,2.241694944927866E-5,NO
70,148,2.163393491060756E-5,NO
71,421,1.8761860194851964E-4,YES
72,1190,0.9999228029843605,YES
73,528,0.0011963002604813246,YES
74,205,7.684267887708594E-5,YES
75,190,2.2132900843012203E-5,NO
76,86,2.241694944927866E-5,NO
77,212,7.955206683436721E-5,YES
78,404,0.001636688306499713,NO
79,572,1.6831595907996092E-4,NO
80,132,7.323021912817005E-5,NO
81,168,2.17804700126853E-5,NO
82,109,2.1947757501686443E-5,YES
83,85,2.241694944927866E-5,NO
84,107,9.010398575576498E-5,NO
85,237,2.45577021589852E-5,NO
86,511,1.9292690932343516E-4,YES
87,47,2.4047353478714017E-5,NO
88,1328,0.9999772794977844,YES
89,27,2.525641367823802E-5,NO
90,89,2.241694944927866E-5,NO
91,482,8.378216919515556E-5,YES
