ID,Size,Predicted,Actual
0,212,1.681760766040323E-5,NO
1,274,1.9731045842212128E-5,NO
2,461,5.265356033927031E-5,YES
3,138,1.5481067971530175E-5,NO
4,358,2.7810906076513843E-5,NO
5,1272,0.9918137429888492,YES
6,51,1.653742196047645E-5,NO
7,45,1.720810249332489E-5,NO
8,157,1.5585927949042433E-5,NO
9,31,1.720810249332489E-5,NO
10,1406,0.9999999999999999,YES
11,55,1.653742196047645E-5,NO
12,204,1.624479809229295E-5,NO
13,55,1.653742196047645E-5,NO
14,103,1.5705638268629626E-5,NO
15,34,1.583308843974496E-5,NO
16,83,1.6041390383129354E-5,NO
17,285,1.8154439568797488E-5,NO
18,83,1.6041390383129354E-5,NO
19,129,6.131659416473966E-5,NO
20,867,0.006874067454682885,YES
21,380,0.9969493280024199,NO
22,40,1.720810249332489E-5,NO
23,387,3.1015552051676786E-5,YES
24,390,3.1015552051676786E-5,NO
25,51,1.653742196047645E-5,NO
26,637,2.984069537848557E-4,YES
27,32,1.720810249332489E-5,NO
28,68,1.653742196047645E-5,YES
29,547,1.037276385837121E-4,YES
30,566,1.2577832106912235E-4,NO
31,314,2.299344548123767E-5,YES
32,907,0.015327378468323284,YES
33,275,2.9641166660498183E-4,NO
34,31,1.720810249332489E-5,NO
35,50,1.720810249332489E-5,NO
36,27,1.8073302953132637E-5,NO
37,175,1.5838126184572607E-5,NO
38,50,1.720810249332489E-5,NO
39,62,1.653742196047645E-5,NO
40,87,1.6041390383129354E-5,NO
41,52,1.653742196047645E-5,NO
42,373,2.7810906076513843E-5,NO
43,224,1.681760766040323E-5,NO
44,118,1.552060190778705E-5,YES
45,83,1.6041390383129354E-5,NO
46,147,1.5481067971530175E-5,NO
47,58,1.653742196047645E-5,NO
48,44,1.720810249332489E-5,NO
49,106,1.5705638268629626E-5,NO
50,238,0.0038453117048726296,NO
51,43,1.583308843974496E-5,NO
52,185,6.852884945493891E-4,YES
53,189,1.5838126184572607E-5,NO
54,151,1.5481067971530175E-5,NO
55,364,9.413769392366614E-5,NO
56,910,0.9996630298533574,NO
57,889,0.999342953608226,NO
58,43,1.720810249332489E-5,NO
59,325,7.415939314360732E-5,NO
60,27,1.8073302953132637E-5,NO
61,55,1.653742196047645E-5,NO
62,93,1.5705638268629626E-5,NO
63,191,1.5838126184572607E-5,NO
64,90,1.6041390383129354E-5,NO
65,89,1.6041390383129354E-5,NO
66,272,6.273936907055615E-5,NO
67,152,1.5585927949042433E-5,NO
68,90,1.6041390383129354E-5,YES
69,82,1.6041390383129354E-5,NO
70,148,1.5481067971530175E-5,NO
71,421,1.3426468492696867E-4,YES
72,1190,0.9999384383476022,YES
73,528,8.520380589089937E-4,YES
74,205,5.498885983567801E-5,YES
75,190,1.5838126184572607E-5,NO
76,86,1.6041390383129354E-5,NO
77,212,5.692775014739944E-5,YES
78,404,0.0011658425043036033,NO
79,572,1.1984377563556405E-4,NO
80,132,5.240371856936418E-5,NO
81,168,1.5585927949042433E-5,NO
82,109,1.5705638268629626E-5,YES
83,85,1.6041390383129354E-5,NO
84,107,2.872253621235172E-5,NO
85,237,1.7573306662033443E-5,NO
86,511,1.3265737283572424E-4,YES
87,47,1.720810249332489E-5,NO
88,1328,0.9999830498398043,YES
89,27,1.8073302953132637E-5,NO
90,89,1.6041390383129354E-5,NO
91,482,6.151583732665621E-5,YES
92,226,0.012350800518625511,YES
93,166,1.5585927949042433E-5,NO
94,92,1.5705638268629626E-5,YES
95,476,6.151583732665621E-5,NO
96,93,1.5705638268629626E-5,YES
97,244,1.7573306662033443E-5,NO
98,204,1.624479809229295E-5,NO
99,252,1.7573306662033443E-5,NO
100,119,5.253753676480421E-5,NO
101,733,0.0032369010632452883,NO
102,630,0.043770766184119285,NO
103,69,1.653742196047645E-5,NO
104,77,1.6041390383129354E-5,NO
105,97,1.5705638268629626E-5,NO
106,380,2.8537284725863944E-5,NO
107,214,1.681760766040323E-5,NO
108,38,1.583308843974496E-5,NO
109,79,1.6041390383129354E-5,NO
110,25,1.8073302953132637E-5,NO
111,84,1.6041390383129354E-5,NO
