ID,Size,Predicted,Actual
0,212,1.209848712330098E-7,NO
1,274,3.767342431200627E-8,NO
2,461,3.9197354328561775E-8,YES
3,138,3.441202566049603E-8,NO
4,358,3.867308574515108E-8,NO
5,1272,0.0019040330732054626,YES
6,51,3.226703854388858E-8,NO
7,45,3.226703854388858E-8,NO
8,157,3.536825458140051E-8,NO
9,31,3.226703854388858E-8,NO
10,1406,0.9980455238911268,YES
11,55,3.226703854388858E-8,NO
12,204,3.623560924935866E-8,NO
13,55,3.226703854388858E-8,NO
14,103,3.3375316900730575E-8,NO
15,34,1.1143003944818178E-7,NO
16,83,3.3375316900730575E-8,NO
17,285,1.5118450734084283E-6,NO
18,83,3.3375316900730575E-8,NO
19,129,2.2007547954665955E-6,NO
20,867,3.464251333652766E-8,YES
21,380,0.9999999970072502,NO
22,40,3.226703854388858E-8,NO
23,387,3.867308574515108E-8,YES
24,390,3.867308574515108E-8,NO
25,51,3.226703854388858E-8,NO
26,637,3.875923632318232E-8,YES
27,32,3.226703854388858E-8,NO
28,68,3.3375316900730575E-8,YES
29,547,3.922643890141258E-8,YES
30,566,3.922643890141258E-8,NO
31,314,1.346569602434668E-7,YES
32,907,4.499794084234993E-7,YES
33,275,9.014024723287978E-7,NO
34,31,3.226703854388858E-8,NO
35,50,3.226703854388858E-8,NO
36,27,3.226703854388858E-8,NO
37,175,3.536825458140051E-8,NO
38,50,3.226703854388858E-8,NO
39,62,3.226703854388858E-8,NO
40,87,3.3375316900730575E-8,NO
41,52,3.226703854388858E-8,NO
42,373,3.867308574515108E-8,NO
43,224,3.623560924935866E-8,NO
44,118,3.441202566049603E-8,YES
45,83,1.1143481586914135E-7,NO
46,147,3.536825458140051E-8,NO
47,58,3.226703854388858E-8,NO
48,44,3.226703854388858E-8,NO
49,106,3.441202566049603E-8,NO
50,238,0.07386962095559312,NO
51,43,1.1528486095814045E-7,NO
52,185,2.588350585916327E-4,YES
53,189,3.623560924935866E-8,NO
54,151,3.536825458140051E-8,NO
55,364,4.920451521128968E-7,NO
56,910,0.0013358862650045145,NO
57,889,9.745507585906572E-4,NO
58,43,1.1533279669155517E-7,NO
59,325,1.2997942358446967E-5,NO
60,27,3.226703854388858E-8,NO
