ID,Size,Predicted,Actual
0,215,5.642958760185778E-8,NO
1,273,2.538309998214336E-8,YES
2,460,5.0815294902196044E-8,YES
3,138,2.1486902716341135E-8,NO
4,358,3.2355306897655414E-8,NO
5,1154,0.9999999999973477,YES
6,51,2.241047316052796E-8,NO
7,157,2.1731585890532575E-8,NO
8,31,2.241047316052796E-8,NO
9,1009,2.847221911784396E-4,YES
10,193,4.9609703960600564E-8,NO
11,83,8.889821650345679E-8,YES
12,262,2.538309998214336E-8,NO
13,638,3.3419055169836088E-6,YES
14,40,2.241047316052796E-8,NO
15,374,1.648266118618905E-7,NO
16,390,3.800073942152513E-8,NO
17,51,2.241047316052796E-8,NO
18,579,1.7651601606134274E-6,YES
19,32,2.241047316052796E-8,NO
20,66,2.1932100181936612E-8,NO
21,260,1.0083984526821299E-6,YES
22,596,0.011407963351067611,NO
23,198,6.446667256160685E-7,NO
24,50,2.241047316052796E-8,NO
25,27,2.3050455552648414E-8,NO
26,926,0.0020172378531525693,NO
27,60,2.1932100181936612E-8,NO
28,62,2.1932100181936612E-8,NO
29,87,2.1605638119577367E-8,NO
30,52,2.1932100181936612E-8,NO
31,297,8.346231698022443E-7,NO
32,163,2.1731585890532575E-8,NO
33,118,4.795278403252677E-8,NO
34,83,8.889821650345679E-8,NO
35,147,2.1486902716341135E-8,NO
36,58,2.1932100181936612E-8,NO
37,44,2.241047316052796E-8,NO
38,106,1.0537322720402486E-7,NO
39,192,5.648012649245117E-5,NO
40,151,4.8180771280000084E-8,NO
41,352,6.50478293395892E-8,YES
42,752,1.1904750216969777E-4,YES
43,877,2.7646162075483055E-4,YES
44,319,1.6399468343983528E-6,YES
45,27,1.0029849282192184E-7,NO
46,55,2.1932100181936612E-8,NO
47,94,9.851235293380566E-8,NO
48,191,2.212415566029528E-8,NO
49,90,2.1605638119577367E-8,NO
50,90,9.395649954129395E-8,NO
51,271,1.367349259362619E-7,YES
52,138,5.3478722337315263E-8,NO
53,79,2.1605638119577367E-8,NO
54,82,2.1605638119577367E-8,NO
55,147,2.1486902716341135E-8,NO
56,422,4.159123653956521E-8,YES
57,1026,0.9597807928772669,YES
58,530,4.123953928829491E-5,NO
59,189,2.212415566029528E-8,YES
60,167,5.408771393012657E-8,YES
61,86,2.1605638119577367E-8,NO
62,195,2.3361112941368547E-7,YES
63,374,1.6486552632229232E-7,YES
64,573,0.9999999795587942,NO
65,126,2.1385228546189234E-8,YES
66,106,5.332352627123732E-8,YES
67,109,2.1424547395675185E-8,NO
68,85,2.1605638119577367E-8,NO
69,237,5.8209989886428545E-8,NO
70,345,6.545805690219449E-8,YES
71,47,4.842618413532444E-8,NO
72,781,1.0035249106556966E-5,YES
73,27,2.3050455552648414E-8,NO
74,89,2.1605638119577367E-8,NO
75,300,5.3289173604251565E-6,YES
76,166,3.769113276328196E-6,NO
77,92,2.1605638119577367E-8,NO
78,497,0.25927791403024886,YES
79,93,2.1424547395675185E-8,NO
80,244,2.4285030272776778E-8,NO
81,183,1.1760083905225898E-7,YES
82,252,2.4285030272776778E-8,NO
83,109,2.1424547395675185E-8,YES
84,607,7.810900027933983E-5,YES
85,565,3.3116148357187074E-6,YES
86,69,2.1932100181936612E-8,NO
87,77,2.1605638119577367E-8,NO
88,97,1.154108030263678E-7,NO
89,343,7.946239144871102E-8,NO
90,214,2.2672513632935147E-8,NO
91,79,2.1605638119577367E-8,NO
92,25,2.3050455552648414E-8,NO
93,84,2.1605638119577367E-8,NO
94,34,2.241047316052796E-8,NO
95,33,2.241047316052796E-8,NO
96,104,2.1424547395675185E-8,NO
97,172,2.1731585890532575E-8,NO
98,70,2.1932100181936612E-8,NO
99,140,2.1486902716341135E-8,NO
100,156,2.1731585890532575E-8,NO
101,142,6.150278916907625E-7,NO
102,152,1.3535430967153751E-6,NO
103,31,4.533865331312273E-8,NO
104,60,5.522757901085654E-8,NO
105,60,5.522757901085654E-8,NO
106,876,1.0,NO
107,61,5.522757901085654E-8,NO
108,185,7.924773331520884E-6,NO
109,264,0.003946148410023768,NO
110,248,2.4285030272776778E-8,NO
111,286,4.3434649496640123E-7,YES
112,185,3.598277917724644E-7,NO
113,194,2.212415566029528E-8,NO
114,346,3.2355306897655414E-8,NO
115,309,7.03942083510747E-8,NO
116,363,0.0026704169755448186,YES
117,84,2.1605638119577367E-8,NO
118,53,2.1932100181936612E-8,NO
119,132,2.1385228546189234E-8,YES
120,4088,1.0,NO
121,721,0.22667984905574765,YES
122,47,2.241047316052796E-8,NO
123,101,2.1424547395675185E-8,NO
124,517,6.25380361172322E-7,YES
125,327,1.6242152174185812E-7,YES
126,274,8.93511315085325E-7,YES
127,136,2.1486902716341135E-8,YES
128,56,2.1932100181936612E-8,NO
129,74,2.1605638119577367E-8,YES
130,361,2.0053313997817984E-5,YES
131,174,2.1731585890532575E-8,NO
132,148,2.1486902716341135E-8,NO
133,92,2.1605638119577367E-8,NO
134,45,2.241047316052796E-8,NO
135,168,2.1731585890532575E-8,NO
136,77,2.1605638119577367E-8,NO
137,666,2.0531397628993917E-7,NO
138,88,2.1605638119577367E-8,NO
139,263,6.317596193602771E-8,NO
140,54,2.1932100181936612E-8,NO
141,51,1.207218357851046E-7,NO
142,132,4.888408001844181E-7,NO
143,160,4.589142572947301E-8,YES
144,152,2.1486902716341135E-8,NO
145,39,2.241047316052796E-8,NO
146,677,1.0,NO
147,131,2.1385228546189234E-8,NO
148,47,2.241047316052796E-8,NO
149,129,2.1385228546189234E-8,NO
150,43,2.241047316052796E-8,NO
151,257,7.140094132518627E-7,NO
152,356,0.9967411511451728,NO
153,62,2.1932100181936612E-8,NO
154,45,2.241047316052796E-8,NO
155,97,2.1424547395675185E-8,NO
156,476,5.672536292829323E-8,NO
157,77,2.1605638119577367E-8,NO
158,69,2.1932100181936612E-8,NO
159,104,2.1424547395675185E-8,NO
160,115,2.1385228546189234E-8,NO
161,421,4.159123653956521E-8,NO
162,61,2.1932100181936612E-8,NO
163,2009,0.9999355834946364,NO
164,179,2.212415566029528E-8,NO
165,106,2.1424547395675185E-8,NO
166,33,2.241047316052796E-8,NO
167,657,2.0531397628993917E-7,NO
168,295,2.670596979145842E-8,NO
169,872,1.601808609655798E-6,NO
170,444,5.0815294902196044E-8,NO
171,168,2.1731585890532575E-8,NO
172,752,4.315223084519182E-7,NO
173,135,2.1486902716341135E-8,NO
174,1126,6.189558687189859E-5,NO
175,163,2.1731585890532575E-8,NO
176,184,2.212415566029528E-8,NO
177,51,2.241047316052796E-8,NO
178,25,2.3050455552648414E-8,NO
179,180,2.212415566029528E-8,NO
180,64,2.1932100181936612E-8,NO
181,101,2.1424547395675185E-8,NO
182,512,7.209680138073523E-8,NO
183,187,2.212415566029528E-8,NO
184,56,2.1932100181936612E-8,NO
185,39,2.241047316052796E-8,NO
186,261,2.538309998214336E-8,NO
187,73,2.1605638119577367E-8,NO
188,65,2.1932100181936612E-8,NO
189,329,3.0151490437695826E-8,NO
190,64,2.1932100181936612E-8,NO
191,164,2.1731585890532575E-8,NO
192,624,1.4732357082591896E-7,NO
193,74,2.1605638119577367E-8,NO
194,117,2.1385228546189234E-8,NO
195,84,2.1605638119577367E-8,NO
196,226,2.3387851068315374E-8,NO
197,76,2.1605638119577367E-8,NO
198,323,3.0151490437695826E-8,NO
199,72,2.1932100181936612E-8,NO
200,42,2.241047316052796E-8,NO
201,48,2.241047316052796E-8,NO
202,89,2.1605638119577367E-8,NO
203,380,3.494941770335189E-8,NO
204,141,2.1486902716341135E-8,NO
205,148,2.1486902716341135E-8,NO
206,191,2.212415566029528E-8,NO
207,46,2.241047316052796E-8,NO
208,165,2.1731585890532575E-8,NO
209,171,2.1731585890532575E-8,NO
210,56,2.1932100181936612E-8,NO
