ID,Size,Predicted,Actual
0,215,1.1364288219966097E-5,NO
1,273,3.509712033280315E-6,YES
2,460,3.618891993288416E-6,YES
3,138,3.255881938647002E-6,NO
4,358,3.596200558849224E-6,NO
5,1154,0.9999993246025288,YES
6,51,3.0372987931922836E-6,NO
7,157,3.2945784764711117E-6,NO
8,31,2.9891401169304082E-6,NO
9,1009,2.2558738968088578E-4,YES
10,193,1.029936348142635E-5,NO
11,83,1.6755538966194602E-5,YES
12,262,3.485394838796464E-6,NO
13,638,9.171235324975412E-5,YES
14,40,2.9891401169304082E-6,NO
15,374,1.1926607646940276E-5,NO
16,390,3.6137754716199994E-6,NO
17,51,3.0372987931922836E-6,NO
18,579,1.5327586044690432E-4,YES
19,32,2.9891401169304082E-6,NO
20,66,3.084090326847242E-6,NO
21,260,8.931334052205272E-5,YES
22,596,0.020821783639607395,NO
23,198,1.4409400797672016E-4,NO
24,50,3.0372987931922836E-6,NO
25,27,2.9891401169304082E-6,NO
26,926,0.003381710254496851,NO
27,60,3.0372987931922836E-6,NO
28,62,3.084090326847242E-6,NO
29,87,3.1294281731333917E-6,NO
30,52,3.0372987931922836E-6,NO
31,297,3.29237867850851E-4,NO
32,163,3.2945784764711117E-6,NO
33,118,9.883413452785804E-6,NO
34,83,1.6755538966194602E-5,NO
35,147,3.255881938647002E-6,NO
36,58,3.0372987931922836E-6,NO
37,44,3.0372987931922836E-6,NO
38,106,2.206623948216237E-5,NO
39,192,0.003269362326563571,NO
40,151,1.0079826356732109E-5,NO
41,352,1.0738213710932316E-5,YES
42,752,0.002089885746670667,YES
43,877,8.875366500035752E-4,YES
44,319,6.331723613732109E-5,YES
45,27,2.028390952582386E-5,NO
46,55,3.0372987931922836E-6,NO
47,94,2.263907125444678E-5,NO
48,191,3.3663344050749485E-6,NO
49,90,3.1294281731333917E-6,NO
50,90,1.9286207626190707E-5,NO
51,271,2.6423591060451218E-5,YES
52,138,1.0884978805976772E-5,NO
53,79,3.1294281731333917E-6,NO
54,82,3.1294281731333917E-6,NO
