ID,Size,Predicted,Actual
0,215,1.2200114005197708E-8,NO
1,273,5.317140529850688E-9,YES
2,460,1.4972232010831504E-8,YES
3,138,4.202101607345833E-9,NO
4,358,7.49169286613537E-9,NO
5,1154,1.0,YES
6,51,4.71041893100231E-9,NO
7,157,4.202101607345833E-9,NO
8,31,5.054783305442119E-9,NO
9,1009,0.0045698231100306805,YES
10,193,1.142150369243622E-8,NO
11,83,1.127095619340645E-8,YES
12,262,4.905011307973114E-9,NO
13,638,3.0388440099029523E-6,YES
14,40,4.71041893100231E-9,NO
15,374,1.8274480882431205E-8,NO
16,390,1.0240883233691878E-8,NO
17,51,4.71041893100231E-9,NO
18,579,1.3060378415706675E-6,YES
19,32,5.054783305442119E-9,NO
20,66,4.4638997377522764E-9,NO
21,260,1.0163705156021377E-7,YES
22,596,0.18807347067697885,NO
23,198,2.206387778732775E-7,NO
24,50,4.71041893100231E-9,NO
25,27,5.054783305442119E-9,NO
26,926,0.04036397012652238,NO
27,60,4.71041893100231E-9,NO
28,62,4.71041893100231E-9,NO
29,87,4.4638997377522764E-9,NO
30,52,4.71041893100231E-9,NO
31,297,3.262194757258567E-7,NO
32,163,4.25905316265181E-9,NO
33,118,1.096942213760382E-8,NO
34,83,1.127095619340645E-8,NO
35,147,4.202101607345833E-9,NO
36,58,4.71041893100231E-9,NO
37,44,4.71041893100231E-9,NO
38,106,3.151883602109272E-8,NO
39,192,3.908440333476361E-5,NO
40,151,1.0932824055244206E-8,NO
41,352,1.5351459828742704E-8,YES
42,752,4.3248563694373243E-4,YES
43,877,0.002963732456638018,YES
44,319,1.2058174775281896E-6,YES
45,27,2.8622733043371963E-8,NO
46,55,4.71041893100231E-9,NO
47,94,1.232922723863642E-8,NO
48,191,4.389928786580088E-9,NO
49,90,4.301968579631267E-9,NO
50,90,1.232922723863642E-8,NO
51,271,3.8956602374690346E-8,YES
52,138,1.1141166037659542E-8,NO
53,79,4.4638997377522764E-9,NO
54,82,4.4638997377522764E-9,NO
55,147,4.202101607345833E-9,NO
56,422,1.2279000551408294E-8,YES
57,1026,0.9999109974290453,YES
58,530,5.784444320346416E-5,NO
59,189,4.389928786580088E-9,YES
60,167,1.1292163511922202E-8,YES
61,86,4.4638997377522764E-9,NO
62,195,7.398902292587028E-8,YES
63,374,5.297618870804736E-8,YES
64,573,0.9999994865623276,NO
65,126,4.216168317005713E-9,YES
66,106,1.140594652513305E-8,YES
67,109,4.301968579631267E-9,NO
68,85,4.4638997377522764E-9,NO
69,237,1.2200114005197708E-8,NO
70,345,1.4244703664278956E-8,YES
71,47,9.016029897811421E-9,NO
72,781,1.7316805184892913E-5,YES
73,27,5.054783305442119E-9,NO
74,89,4.301968579631267E-9,NO
75,300,3.787389194157105E-6,YES
76,166,2.4181432979509813E-6,NO
77,92,4.301968579631267E-9,NO
78,497,0.7063286237705435,YES
79,93,4.301968579631267E-9,NO
80,244,4.905011307973114E-9,NO
81,183,3.0620883021704385E-8,YES
82,252,4.905011307973114E-9,NO
83,109,4.301968579631267E-9,YES
84,607,1.8657046456897592E-4,YES
85,565,3.6090558990135344E-6,YES
86,69,4.4638997377522764E-9,NO
87,77,4.4638997377522764E-9,NO
88,97,3.151883602109272E-8,NO
89,343,1.9862964171415555E-8,NO
90,214,4.601503875946694E-9,NO
91,79,4.4638997377522764E-9,NO
92,25,5.054783305442119E-9,NO
93,84,4.4638997377522764E-9,NO
94,34,5.054783305442119E-9,NO
95,33,5.054783305442119E-9,NO
96,104,4.301968579631267E-9,NO
97,172,4.25905316265181E-9,NO
98,70,4.4638997377522764E-9,NO
99,140,4.202101607345833E-9,NO
100,156,4.202101607345833E-9,NO
101,142,3.484890892305883E-8,NO
102,152,5.559945196059153E-8,NO
103,31,9.611164221215184E-9,NO
104,60,9.20363273481075E-9,NO
105,60,9.20363273481075E-9,NO
106,876,1.0,NO
107,61,9.20363273481075E-9,NO
108,185,3.2609187525614515E-7,NO
109,264,4.4597615016235774E-5,NO
110,248,4.905011307973114E-9,NO
111,286,1.3373994841120168E-7,YES
112,185,1.071262949723482E-7,NO
113,194,4.389928786580088E-9,NO
114,346,7.49169286613537E-9,NO
115,309,1.5540975186057893E-8,NO
116,363,0.009339313970015728,YES
117,84,4.4638997377522764E-9,NO
118,53,4.71041893100231E-9,NO
119,132,4.216168317005713E-9,YES
120,4088,1.0,NO
121,721,0.9142015645927254,YES
122,47,4.71041893100231E-9,NO
123,101,4.301968579631267E-9,NO
124,517,3.6589542487202824E-7,YES
125,327,4.814498354953791E-8,YES
126,274,3.695727123411902E-7,YES
127,136,4.216168317005713E-9,YES
128,56,4.71041893100231E-9,NO
129,74,4.4638997377522764E-9,YES
130,361,1.996230903614136E-5,YES
131,174,4.25905316265181E-9,NO
132,148,4.202101607345833E-9,NO
133,92,4.301968579631267E-9,NO
134,45,4.71041893100231E-9,NO
135,168,4.25905316265181E-9,NO
136,77,4.4638997377522764E-9,NO
137,666,1.9002282213680146E-7,NO
138,88,4.301968579631267E-9,NO
139,263,1.4097504276431737E-8,NO
140,54,4.71041893100231E-9,NO
141,51,3.45113914118787E-8,NO
142,132,3.238865859754664E-8,NO
143,160,8.682193383557492E-9,YES
144,152,4.202101607345833E-9,NO
145,39,4.71041893100231E-9,NO
146,677,1.0,NO
147,131,4.216168317005713E-9,NO
148,47,4.71041893100231E-9,NO
149,129,4.216168317005713E-9,NO
150,43,4.71041893100231E-9,NO
151,257,9.005050217143704E-8,NO
152,356,0.2730109999188866,NO
153,62,4.71041893100231E-9,NO
154,45,4.71041893100231E-9,NO
155,97,4.301968579631267E-9,NO
156,476,1.8565558019712406E-8,NO
157,77,4.4638997377522764E-9,NO
158,69,4.4638997377522764E-9,NO
159,104,4.301968579631267E-9,NO
160,115,4.216168317005713E-9,NO
161,421,1.2279000551408294E-8,NO
162,61,4.71041893100231E-9,NO
163,2009,1.0,NO
164,179,4.25905316265181E-9,NO
165,106,4.301968579631267E-9,NO
166,33,5.054783305442119E-9,NO
167,657,1.339678779838117E-7,NO
168,295,5.861572906037709E-9,NO
169,872,5.701283067186635E-6,NO
170,444,1.4972232010831504E-8,NO
171,168,4.25905316265181E-9,NO
