ID,Size,Predicted,Actual
0,215,0.09,NO
1,273,0.37,YES
2,460,0.74,YES
3,138,0.09,NO
4,358,0.69,NO
5,1248,0.67,YES
6,51,0.01,NO
7,157,0.77,NO
8,31,0.0,NO
9,981,0.63,YES
10,180,0.51,NO
11,262,0.33,NO
12,553,0.72,YES
13,40,0.02,NO
14,369,0.95,NO
15,390,0.74,NO
16,51,0.01,NO
17,577,0.53,YES
18,32,0.0,NO
19,66,0.08900000000000001,NO
20,188,0.33,YES
21,582,0.53,YES
22,160,0.74,YES
23,50,0.02,NO
24,27,0.0,NO
25,923,0.75,YES
26,60,0.012,NO
27,62,0.09616666666666668,NO
28,87,0.02,NO
29,52,0.0,NO
30,268,0.2,YES
31,163,0.68,NO
32,109,0.57,NO
33,147,0.2,NO
34,58,0.0,NO
35,44,0.47,NO
36,106,0.57,YES
37,139,0.02,NO
38,326,0.46,YES
39,648,0.48,YES
40,792,0.8,YES
41,319,0.57,YES
42,55,0.0,NO
43,191,0.16,NO
44,90,0.3498809523809524,NO
45,273,0.22,YES
46,137,0.04,NO
47,79,0.56,NO
48,82,0.04,NO
49,147,0.2,NO
50,422,0.57,YES
51,979,0.62,YES
52,495,0.75,YES
53,189,0.16,YES
54,167,0.59,YES
55,86,0.39,NO
56,182,0.42,YES
57,361,0.81,YES
58,126,0.06,YES
59,106,0.57,NO
60,109,0.57,NO
61,85,0.03,NO
62,236,0.19,NO
63,315,0.61,YES
64,695,0.63,YES
65,27,0.0,NO
66,89,0.1873809523809524,NO
67,301,0.51,YES
68,153,0.73,YES
69,92,0.5457142857142857,NO
70,466,0.72,YES
71,93,0.4696666666666667,NO
72,244,0.19,NO
73,192,0.13,YES
74,252,0.28,NO
75,109,0.57,NO
76,601,0.52,YES
77,565,0.7,YES
78,69,0.634,NO
79,77,0.02,NO
80,94,0.5121666666666667,YES
81,337,0.48,NO
82,214,0.09,NO
83,79,0.56,NO
84,25,0.0,NO
85,84,0.02,NO
86,34,0.0,NO
87,33,0.0,NO
88,104,0.9,NO
89,172,0.55,NO
90,70,0.59,NO
91,140,0.06,NO
92,156,0.75,NO
93,248,0.19,NO
94,277,0.42,YES
95,189,0.92,NO
96,194,0.91,NO
