ID,Size,Predicted,Actual
0,215,0.17,NO
1,274,0.5823809523809523,YES
2,461,0.71,YES
3,138,0.2,NO
4,358,0.226,NO
5,1248,0.97,YES
6,51,0.0,NO
7,45,0.66,NO
8,157,0.31416666666666665,NO
9,31,0.0,NO
10,1008,0.47,YES
11,55,0.47,NO
12,204,0.52,NO
13,55,0.0,NO
14,103,0.06,NO
15,83,0.31433333333333335,NO
16,262,0.83,NO
17,83,0.9891666666666667,NO
18,867,0.97,YES
19,40,0.0,NO
20,387,0.61,YES
21,390,0.89,NO
22,51,0.0,NO
23,637,0.89,YES
24,32,0.0,NO
25,68,0.2,YES
26,547,0.99,YES
27,566,0.99,NO
28,314,0.96,YES
29,839,0.99,YES
30,211,0.75,NO
31,31,0.0,NO
32,50,0.003333333333333333,NO
33,27,0.0,NO
34,175,0.33,NO
35,50,0.04,NO
36,62,0.02166666666666666,NO
37,87,0.16,NO
38,52,0.0,NO
39,373,0.92,NO
40,224,0.72,NO
41,118,0.0,YES
42,83,0.7826666666666667,NO
43,147,0.07,NO
44,58,0.26559523809523805,NO
45,44,0.22,NO
46,106,0.5495,NO
47,189,0.51,NO
48,151,0.34,NO
49,352,0.226,YES
50,849,0.92,YES
51,877,0.79,YES
52,41,0.01,NO
53,319,0.2285,YES
54,27,0.0,NO
55,55,0.013333333333333332,NO
56,94,0.6857619047619048,NO
57,191,0.37,NO
58,90,0.007333333333333334,NO
59,90,0.007333333333333334,NO
60,271,0.82,YES
61,152,0.72,NO
62,90,0.74,YES
63,82,0.19333333333333336,NO
64,147,0.07,NO
65,422,0.89,YES
66,1059,0.91,YES
67,530,0.92,YES
68,205,0.83,YES
69,190,0.97,NO
70,86,0.15666666666666665,NO
71,207,0.78,YES
72,397,0.97,YES
73,573,0.92,NO
74,126,0.01,YES
75,167,0.62,YES
76,109,0.0,YES
77,85,0.04,NO
78,237,0.69,NO
79,424,0.99,YES
80,47,0.018333333333333337,NO
81,1118,0.96,YES
82,27,0.0,NO
83,89,0.0,NO
84,474,0.97,YES
85,166,0.0,NO
86,92,0.30909523809523803,NO
87,476,1.0,YES
88,93,0.2543571428571429,NO
89,244,0.25,NO
90,204,0.53,YES
91,252,0.08083333333333333,NO
92,109,0.0,YES
93,618,0.91,YES
