ID,Size,Predicted,Actual
0,215,0.11,NO
1,273,0.45,YES
2,460,0.64,YES
3,138,0.25,NO
4,358,0.72,NO
5,1248,0.67,YES
6,51,0.0,NO
7,157,0.7,NO
8,31,0.01,NO
9,981,0.62,YES
10,180,0.74,NO
11,262,0.52,NO
12,553,0.64,YES
13,40,0.02,NO
14,369,0.83,NO
15,390,0.73,NO
16,51,0.0,NO
17,577,0.4,YES
18,32,0.01,NO
19,66,0.09,NO
20,188,0.37,YES
21,582,0.4,YES
22,160,0.64,YES
23,50,0.0,NO
24,27,0.0,NO
25,923,0.83,YES
26,60,0.003333333333333333,NO
27,62,0.129,NO
28,87,0.01,NO
29,52,0.0,NO
30,268,0.2,YES
31,163,0.8,NO
32,109,0.735,NO
33,147,0.26,NO
34,58,0.003333333333333333,NO
35,44,0.59,NO
36,106,0.735,YES
37,139,0.0,NO
38,326,0.35,YES
39,648,0.4,YES
40,792,0.73,YES
41,319,0.61,YES
42,55,0.0,NO
43,191,0.26,NO
44,90,0.4655,NO
45,273,0.23,YES
46,137,0.01,NO
47,79,0.66,NO
48,82,0.03,NO
49,147,0.26,NO
50,422,0.4,YES
51,979,0.63,YES
52,495,0.66,YES
53,189,0.26,YES
54,167,0.47,YES
55,86,0.58,NO
56,182,0.6,YES
57,361,0.56,YES
58,126,0.02,YES
59,106,0.735,NO
60,109,0.735,NO
61,85,0.01,NO
62,236,0.15,NO
63,315,0.66,YES
64,695,0.68,YES
65,27,0.0,NO
66,89,0.1456666666666667,NO
67,301,0.76,YES
68,153,0.7,YES
69,92,0.5580000000000002,NO
70,466,0.84,YES
71,93,0.5103333333333333,NO
72,244,0.15,NO
73,192,0.25,YES
74,252,0.44,NO
75,109,0.735,NO
76,601,0.4,YES
77,565,0.84,YES
78,69,0.67,NO
79,77,0.06,NO
80,94,0.557,YES
81,337,0.36,NO
82,214,0.11,NO
83,79,0.66,NO
84,25,0.0,NO
85,84,0.0,NO
86,34,0.04,NO
87,33,0.02,NO
88,104,0.885,NO
89,172,0.77,NO
90,70,0.65,NO
91,140,0.01,NO
92,156,0.65,NO
93,248,0.15,NO
94,277,0.65,YES
95,189,0.85,NO
96,194,0.61,NO
97,346,0.67,NO
98,304,0.72,NO
99,356,0.46,YES
100,84,0.37,NO
101,53,0.09,NO
102,132,0.0,NO
103,4088,0.4,NO
104,691,0.53,YES
105,47,0.22,NO
106,101,0.47,NO
107,510,0.81,YES
108,328,0.75,YES
109,273,0.23,YES
110,136,0.01,NO
111,56,0.003333333333333333,NO
112,74,0.0,NO
113,359,0.65,YES
114,174,0.75,NO
115,148,0.66,NO
116,92,0.5580000000000002,NO
117,45,0.63,NO
118,168,0.78,NO
119,77,0.06,NO
120,666,0.67,NO
121,88,0.04,NO
122,262,0.41,NO
123,54,0.0,NO
124,48,0.04,YES
125,140,0.01,YES
126,152,0.66,NO
127,39,0.02,NO
128,131,0.0,NO
129,47,0.04,NO
130,129,0.01,NO
131,43,0.2,NO
132,243,0.15,YES
133,62,0.129,NO
134,45,0.63,NO
135,97,0.72,NO
136,476,0.9,NO
137,77,0.9,NO
138,69,0.37,NO
139,104,0.07,NO
140,115,0.04,NO
141,421,0.95,NO
142,61,0.39,NO
143,2009,0.97,NO
144,179,0.28,NO
145,106,0.06,NO
146,33,0.02,NO
147,657,0.86,NO
148,295,0.72,NO
149,872,0.9,NO
150,444,0.91,NO
151,168,0.11,NO
152,752,0.88,NO
153,135,0.5,NO
154,1126,0.9,NO
155,163,0.15,NO
156,184,0.45,NO
157,51,0.07666666666666666,NO
158,25,0.01,NO
159,180,0.27,NO
160,64,0.7,NO
161,101,0.11,NO
162,512,0.84,NO
163,187,0.5,NO
164,56,0.006666666666666665,NO
165,39,0.03,NO
166,261,0.76,NO
167,73,0.41,NO
168,65,0.72,NO
169,329,0.61,NO
170,64,0.7,NO
171,164,0.15,NO
172,624,0.58,NO
173,74,0.71,NO
174,117,0.05,NO
175,84,0.98,NO
176,226,0.82,NO
177,76,0.83,NO
178,323,0.61,NO
179,72,0.05,NO
180,42,0.2,NO
181,48,0.04,NO
182,89,0.1456666666666667,NO
183,380,0.38,NO
184,141,0.7,NO
185,148,0.47,NO
186,191,0.26,NO
187,46,0.57,NO
188,165,0.8,NO
189,171,0.77,NO
190,56,0.003333333333333333,NO
191,179,0.74,NO
192,74,0.0,NO
193,36,0.08,NO
194,37,0.1,NO
195,34,0.04,NO
