ID,Size,Predicted,Actual
0,212,0.0010593997497277514,NO
1,274,3.158079596026101E-4,NO
2,461,3.272272201972204E-4,YES
3,138,2.8362890867882E-4,NO
4,358,3.254399733292658E-4,NO
5,1272,0.13974049749848794,YES
6,51,2.5849809927178943E-4,NO
7,45,2.5510797435609664E-4,NO
8,157,2.892515226164563E-4,NO
9,31,2.516725752278375E-4,NO
10,1406,0.8123058325999127,YES
11,55,2.5849809927178943E-4,NO
12,204,3.0191134941054084E-4,NO
13,55,2.5849809927178943E-4,NO
14,103,2.7466395918464645E-4,NO
15,34,8.783407631785701E-4,NO
16,83,2.6836655881963594E-4,NO
17,285,0.007071769381833265,NO
18,83,2.6836655881963594E-4,NO
19,129,0.004948849441430458,NO
20,867,2.3780271191167453E-4,YES
21,380,0.9999696759221928,NO
22,40,2.5510797435609664E-4,NO
23,387,3.2719733354185233E-4,YES
24,390,3.2719733354185233E-4,NO
25,51,2.5849809927178943E-4,NO
26,637,3.0434637104170636E-4,YES
27,32,2.516725752278375E-4,NO
28,68,2.651304044433239E-4,YES
29,547,3.203371401508933E-4,YES
30,566,3.1750373061746395E-4,NO
31,314,0.0010928464087012735,YES
32,907,8.669578520497418E-4,YES
33,275,0.0015728564671853758,NO
34,31,2.516725752278375E-4,NO
35,50,2.5849809927178943E-4,NO
36,27,2.516725752278375E-4,NO
37,175,2.9456529841289427E-4,NO
38,50,2.5849809927178943E-4,NO
39,62,2.6183991640532384E-4,NO
40,87,2.6836655881963594E-4,NO
41,52,2.5849809927178943E-4,NO
42,373,3.2614093118296254E-4,NO
43,224,3.063637175780272E-4,NO
44,118,2.777193205182956E-4,YES
45,83,9.165681321916438E-4,NO
46,147,2.8647747373391444E-4,NO
47,58,2.6183991640532384E-4,NO
48,44,2.5510797435609664E-4,NO
49,106,2.7466395918464645E-4,NO
50,238,0.3724529266121081,NO
51,43,9.351359380632027E-4,NO
52,185,0.039370181187949736,YES
53,189,2.970997860058111E-4,NO
54,151,2.892515226164563E-4,NO
55,364,0.006408670864924869,NO
56,910,0.919736414478299,NO
57,889,0.9318471384116958,NO
58,43,8.86750802962236E-4,NO
59,325,0.047017531987497856,NO
60,27,2.516725752278375E-4,NO
61,55,2.5849809927178943E-4,NO
62,93,9.443082135165786E-4,NO
63,191,2.995492873655144E-4,NO
64,90,2.715453962333936E-4,NO
65,89,9.178695886989561E-4,NO
66,272,0.039693264477222885,NO
67,152,0.0010078123060199536,NO
68,90,2.715453962333936E-4,YES
69,82,2.6836655881963594E-4,NO
70,148,9.777054563913218E-4,NO
71,421,0.042234922677989124,YES
72,1190,0.8194609385166854,YES
73,528,0.0013812711949287239,YES
74,205,0.006164513076705007,YES
75,190,2.970997860058111E-4,NO
76,86,2.6836655881963594E-4,NO
77,212,0.03840716978435728,YES
78,404,0.045690229219128256,NO
79,572,0.001278048749762532,NO
80,132,0.005634454201780146,NO
81,168,9.963635877470079E-4,NO
82,109,2.777193205182956E-4,YES
83,85,2.6836655881963594E-4,NO
84,107,0.0027057323575490587,NO
85,237,3.084495037316131E-4,NO
86,511,0.0021045254751517538,YES
87,47,2.5849809927178943E-4,NO
88,1328,0.7303823937162898,YES
89,27,2.516725752278375E-4,NO
90,89,2.715453962333936E-4,NO
91,482,0.0010875909664828124,YES
92,226,0.6390643306808461,YES
93,166,2.919483476558469E-4,NO
