ID,Size,Predicted,Actual
0,215,7.987262498751308E-4,NO
1,273,0.0011110593957940704,YES
2,460,0.009542458093825843,YES
3,138,6.974216209369535E-4,NO
4,358,0.0026229166289977648,NO
5,1248,0.9999999976391332,YES
6,51,7.397053300084962E-4,NO
7,157,7.284322713048125E-4,NO
8,31,8.194323509559669E-4,NO
9,981,0.9997541865280631,YES
10,180,7.284322713048125E-4,NO
11,262,0.0011110593957940704,NO
12,553,0.05185586663691806,YES
13,40,8.194323509559669E-4,NO
14,369,0.0026229166289977648,NO
15,390,0.003846668777456809,NO
16,51,7.397053300084962E-4,NO
17,577,0.05185586663691806,YES
18,32,8.194323509559669E-4,NO
19,66,7.397053300084962E-4,NO
20,188,7.987262498751308E-4,YES
21,582,0.05185586663691806,YES
22,160,7.284322713048125E-4,YES
23,50,8.194323509559669E-4,NO
24,27,8.194323509559669E-4,NO
25,923,0.9991721272670909,YES
26,60,7.397053300084962E-4,NO
27,62,7.397053300084962E-4,NO
28,87,7.010010545884554E-4,NO
29,52,7.397053300084962E-4,NO
30,268,0.0011110593957940704,YES
31,163,7.284322713048125E-4,NO
32,109,7.010010545884554E-4,NO
33,147,6.974216209369535E-4,NO
34,58,7.397053300084962E-4,NO
35,44,8.194323509559669E-4,NO
36,106,7.010010545884554E-4,YES
37,139,6.974216209369535E-4,NO
38,326,0.0018767587550486179,YES
39,648,0.1816603187387499,YES
40,792,0.9452543687023255,YES
41,319,0.0018767587550486179,YES
42,55,7.397053300084962E-4,NO
43,191,7.987262498751308E-4,NO
44,90,7.010010545884554E-4,NO
45,273,0.0011110593957940704,YES
46,137,6.974216209369535E-4,NO
47,79,7.397053300084962E-4,NO
48,82,7.397053300084962E-4,NO
49,147,6.974216209369535E-4,NO
50,422,0.005917623613179505,YES
51,979,0.9997794986050267,YES
52,495,0.012568987166141427,YES
53,189,7.987262498751308E-4,YES
54,167,6.336474457113177E-4,YES
55,86,7.010010545884554E-4,NO
56,182,7.284322713048125E-4,YES
57,361,0.0026229166289977648,YES
58,126,6.974216209369535E-4,YES
59,106,7.010010545884554E-4,NO
60,109,7.010010545884554E-4,NO
61,85,7.010010545884554E-4,NO
62,236,9.194263514308725E-4,NO
63,315,0.0014094297848136457,YES
64,695,0.522589407708386,YES
65,27,8.194323509559669E-4,NO
66,89,7.010010545884554E-4,NO
67,301,0.0014094297848136457,YES
68,153,7.284322713048125E-4,YES
69,92,7.010010545884554E-4,NO
70,466,0.009542458093825843,YES
71,93,7.010010545884554E-4,NO
72,244,9.194263514308725E-4,NO
73,192,7.987262498751308E-4,YES
74,252,0.0011110593957940704,NO
75,109,7.010010545884554E-4,NO
76,601,0.09709559900031327,YES
77,565,0.05185586663691806,YES
78,69,7.397053300084962E-4,NO
79,77,7.397053300084962E-4,NO
80,94,7.010010545884554E-4,YES
81,337,0.0018767587550486179,NO
82,214,7.987262498751308E-4,NO
83,79,7.397053300084962E-4,NO
84,25,8.194323509559669E-4,NO
85,84,7.010010545884554E-4,NO
86,34,8.194323509559669E-4,NO
87,33,8.194323509559669E-4,NO
88,104,7.010010545884554E-4,NO
89,172,7.284322713048125E-4,NO
90,70,7.397053300084962E-4,NO
91,140,6.974216209369535E-4,NO
92,156,7.284322713048125E-4,NO
93,248,9.194263514308725E-4,NO
94,277,0.0011110593957940704,YES
95,189,0.003185628221255334,NO
96,194,0.005584113055986992,NO
97,346,0.0074611814880045195,NO
98,304,0.4532908661098727,NO
99,356,0.9999995548487199,YES
100,84,7.010010545884554E-4,NO
101,53,7.397053300084962E-4,NO
102,132,6.974216209369535E-4,NO
103,4088,1.0,NO
104,691,0.7715837346866801,YES
105,47,6.372776088392295E-4,NO
106,101,6.288465655952662E-4,NO
107,510,0.016106647664556658,YES
108,328,0.0018767587550486179,YES
109,273,0.0011110593957940704,YES
110,136,6.974216209369535E-4,NO
111,56,7.397053300084962E-4,NO
112,74,7.397053300084962E-4,NO
113,359,0.0026229166289977648,YES
114,174,7.284322713048125E-4,NO
115,148,6.974216209369535E-4,NO
116,92,7.010010545884554E-4,NO
117,45,8.194323509559669E-4,NO
118,168,7.284322713048125E-4,NO
119,77,7.397053300084962E-4,NO
120,666,0.3248234036774406,NO
121,88,7.010010545884554E-4,NO
122,262,0.0011110593957940704,NO
123,54,7.397053300084962E-4,NO
124,48,8.194323509559669E-4,YES
125,140,6.974216209369535E-4,YES
126,152,7.284322713048125E-4,NO
127,39,8.194323509559669E-4,NO
128,131,6.974216209369535E-4,NO
