ID,Size,Predicted,Actual
0,212,2.54107272470286E-4,NO
1,274,2.641874880887706E-4,NO
2,461,2.748712154690397E-4,YES
3,138,2.4132222339501042E-4,NO
4,358,2.711957820179457E-4,NO
5,1272,8.030675317824382E-4,YES
6,51,2.2628341253968696E-4,NO
7,45,2.2628341253968696E-4,NO
8,157,2.480263350716097E-4,NO
9,31,2.2628341253968696E-4,NO
10,1406,0.01994135292303683,YES
11,55,2.2628341253968696E-4,NO
12,204,2.54107272470286E-4,NO
13,55,2.2628341253968696E-4,NO
14,103,2.3405376678155916E-4,NO
15,34,2.2700855983098935E-4,NO
16,83,2.3405376678155916E-4,NO
17,285,2.601723918689976E-4,NO
18,83,2.3405376678155916E-4,NO
19,129,5.462624103620858E-4,NO
20,867,2.4293817847599684E-4,YES
21,380,0.7066963423192115,NO
22,40,2.2628341253968696E-4,NO
23,387,2.711957820179457E-4,YES
24,390,2.711957820179457E-4,NO
25,51,2.2628341253968696E-4,NO
26,637,2.7179975047805874E-4,YES
27,32,2.2628341253968696E-4,NO
28,68,2.3405376678155916E-4,YES
29,547,2.750751147691338E-4,YES
30,566,2.750751147691338E-4,NO
31,314,2.641874880887706E-4,YES
32,907,3.0086521754138826E-4,YES
33,275,5.909869245682287E-4,NO
34,31,2.2628341253968696E-4,NO
35,50,2.2628341253968696E-4,NO
36,27,2.2628341253968696E-4,NO
37,175,2.480263350716097E-4,NO
38,50,2.2628341253968696E-4,NO
39,62,2.2628341253968696E-4,NO
40,87,2.3405376678155916E-4,NO
41,52,2.2628341253968696E-4,NO
42,373,2.711957820179457E-4,NO
43,224,2.54107272470286E-4,NO
44,118,2.4132222339501042E-4,YES
45,83,2.3405376678155916E-4,NO
46,147,2.480263350716097E-4,NO
47,58,2.2628341253968696E-4,NO
48,44,2.2628341253968696E-4,NO
49,106,2.4132222339501042E-4,NO
50,238,0.0072908494366849515,NO
51,43,2.3235851442120233E-4,NO
52,185,0.0017182820815826493,YES
53,189,2.54107272470286E-4,NO
54,151,2.480263350716097E-4,NO
55,364,0.001046041548816592,NO
56,910,0.14288416865774267,NO
57,889,0.14322614997658434,NO
58,43,2.2628341253968696E-4,NO
59,325,0.002246379270949529,NO
60,27,2.2628341253968696E-4,NO
61,55,2.2628341253968696E-4,NO
62,93,2.3405376678155916E-4,NO
63,191,2.54107272470286E-4,NO
64,90,2.3405376678155916E-4,NO
65,89,2.3405376678155916E-4,NO
66,272,0.001015244266246433,NO
67,152,2.480263350716097E-4,NO
68,90,2.3405376678155916E-4,YES
69,82,2.3405376678155916E-4,NO
70,148,2.480263350716097E-4,NO
71,421,0.0010697795588065116,YES
72,1190,0.07362622973039978,YES
73,528,5.896931232668841E-4,YES
74,205,9.941209778971069E-4,YES
75,190,2.54107272470286E-4,NO
76,86,2.3405376678155916E-4,NO
77,212,9.941209778971069E-4,YES
78,404,0.0013442143998928704,NO
79,572,5.871054026211978E-4,NO
80,132,9.308943674397454E-4,NO
81,168,2.480263350716097E-4,NO
82,109,2.4132222339501042E-4,YES
83,85,2.3405376678155916E-4,NO
84,107,4.3649390037952537E-4,NO
85,237,2.595106810003759E-4,NO
86,511,3.7132980412533505E-4,YES
87,47,2.2628341253968696E-4,NO
88,1328,0.06628213939417109,YES
89,27,2.2628341253968696E-4,NO
90,89,2.3405376678155916E-4,NO
91,482,2.7101289048863774E-4,YES
92,226,0.02039532184146451,YES
93,166,2.480263350716097E-4,NO
94,92,2.3405376678155916E-4,YES
95,476,2.748712154690397E-4,NO
96,93,2.3405376678155916E-4,YES
97,244,2.595106810003759E-4,NO
98,204,2.54107272470286E-4,NO
99,252,2.595106810003759E-4,NO
100,119,9.308943674397454E-4,NO
101,733,5.340405727181692E-4,NO
102,630,0.0804584507097058,NO
