ID,Size,Predicted,Actual
0,215,0.005012807306902631,NO
1,273,0.005283097983935248,YES
2,460,0.010520725056977504,YES
3,138,0.0044757945948724715,NO
4,358,0.006724496303302605,NO
5,1154,0.9999999994780575,YES
6,51,0.004667279545541722,NO
7,157,0.004526532219901713,NO
8,31,0.004667279545541722,NO
9,1009,0.8137314477476899,YES
10,193,0.004892160548318171,NO
11,83,0.004966149125283824,YES
12,262,0.005283097983935248,NO
13,638,0.07758211005085448,YES
14,40,0.004667279545541722,NO
15,374,0.01690512789581156,NO
16,390,0.007888547110117498,NO
17,51,0.004667279545541722,NO
18,579,0.04571732141519873,YES
19,32,0.004667279545541722,NO
20,66,0.004568107107891994,NO
21,260,0.02514219157157647,YES
22,596,0.9796735987578347,NO
23,198,0.009825938649033274,NO
24,50,0.004667279545541722,NO
25,27,0.004799924649116929,NO
26,926,0.5982025382965231,NO
27,60,0.004568107107891994,NO
28,62,0.004568107107891994,NO
29,87,0.004500416273225777,NO
30,52,0.004568107107891994,NO
31,297,0.011553783615505998,NO
32,163,0.004526532219901713,NO
33,118,0.00472953951280044,NO
34,83,0.004966149125283824,NO
35,147,0.0044757945948724715,NO
36,58,0.004568107107891994,NO
37,44,0.004667279545541722,NO
38,106,0.004738194035289989,NO
39,192,0.030960613890363385,NO
40,151,0.004751918836438477,NO
41,352,0.007078481843330714,YES
42,752,0.4380894677919657,YES
43,877,0.42364345520105817,YES
44,319,0.027016812902095656,YES
45,27,0.005053113837696407,NO
46,55,0.004568107107891994,NO
47,94,0.005205699028487054,NO
48,191,0.004607924878974621,NO
49,90,0.004500416273225777,NO
50,90,0.004966149125283824,NO
51,271,0.005608746422969895,YES
52,138,0.004751918836438477,NO
53,79,0.004500416273225777,NO
54,82,0.004500416273225777,NO
55,147,0.0044757945948724715,NO
56,422,0.00862746547339836,YES
57,1026,0.9970785094200341,YES
58,530,0.03468207758447597,NO
59,189,0.004607924878974621,YES
60,167,0.004805771496554881,YES
61,86,0.004500416273225777,NO
62,195,0.009671481339539201,YES
63,374,0.015192812103799998,YES
64,573,0.7826036230757187,NO
65,126,0.004454709867118968,YES
66,106,0.004738194035289989,YES
67,109,0.004462863737506445,NO
68,85,0.004500416273225777,NO
69,237,0.0051701480188982305,NO
70,345,0.007078481843330714,YES
71,47,0.004977150091346226,NO
72,781,0.22996037437089167,YES
73,27,0.004799924649116929,NO
74,89,0.004500416273225777,NO
75,300,0.012330715731455787,YES
76,166,0.00950150167141869,NO
77,92,0.004500416273225777,NO
78,497,0.6173917903355444,YES
79,93,0.004462863737506445,NO
80,244,0.0050557072872511625,NO
81,183,0.004892160548318171,YES
82,252,0.0050557072872511625,NO
83,109,0.004462863737506445,YES
84,607,0.05270110318681592,YES
85,565,0.03987143554903304,YES
86,69,0.004568107107891994,NO
87,77,0.004500416273225777,NO
88,97,0.004738194035289989,NO
89,343,0.007138354473135364,NO
90,214,0.0047215952919614675,NO
91,79,0.004500416273225777,NO
92,25,0.004799924649116929,NO
93,84,0.004500416273225777,NO
94,34,0.004667279545541722,NO
95,33,0.004667279545541722,NO
96,104,0.004462863737506445,NO
97,172,0.004526532219901713,NO
98,70,0.004568107107891994,NO
99,140,0.0044757945948724715,NO
100,156,0.004526532219901713,NO
101,142,0.005637326816992389,NO
102,152,0.00621786410089224,NO
103,31,0.004913506438669963,NO
104,60,0.0048714256112933575,NO
105,60,0.0048714256112933575,NO
106,876,0.9999543857383303,NO
107,61,0.0048714256112933575,NO
108,185,0.007211448451655074,NO
109,264,0.01340169249602603,NO
110,248,0.0050557072872511625,NO
111,286,0.011651065954848865,YES
112,185,0.009671481339539201,NO
113,194,0.004607924878974621,NO
114,346,0.006724496303302605,NO
115,309,0.006245578236292679,NO
116,363,0.28723624942328063,YES
117,84,0.004500416273225777,NO
118,53,0.004568107107891994,NO
119,132,0.004454709867118968,YES
120,4088,1.0,NO
121,721,0.5615269467722728,YES
122,47,0.004667279545541722,NO
123,101,0.004462863737506445,NO
124,517,0.030590468987405996,YES
125,327,0.006655375784594521,YES
126,274,0.01108032972931555,YES
127,136,0.0044757945948724715,YES
128,56,0.004568107107891994,NO
129,74,0.004500416273225777,YES
130,361,0.014081008719857813,YES
131,174,0.004526532219901713,NO
132,148,0.0044757945948724715,NO
133,92,0.004500416273225777,NO
134,45,0.004667279545541722,NO
135,168,0.004526532219901713,NO
136,77,0.004500416273225777,NO
137,666,0.041190351263590136,NO
138,88,0.004500416273225777,NO
139,263,0.005608746422969895,NO
140,54,0.004568107107891994,NO
141,51,0.004955158227689271,NO
142,132,0.0056108011422656276,NO
143,160,0.004765369400374055,YES
144,152,0.0044757945948724715,NO
145,39,0.004667279545541722,NO
146,677,0.9644789487157125,NO
147,131,0.004454709867118968,NO
148,47,0.004667279545541722,NO
149,129,0.004454709867118968,NO
150,43,0.004667279545541722,NO
151,257,0.011709068968666933,NO
152,356,0.03308970469366166,NO
153,62,0.004568107107891994,NO
154,45,0.004667279545541722,NO
155,97,0.004462863737506445,NO
156,476,0.011729984101288775,NO
157,77,0.004500416273225777,NO
158,69,0.004568107107891994,NO
