ID,Size,Predicted,Actual
0,215,0.0025678843669849185,NO
1,273,7.944613650149356E-4,YES
2,460,8.191552772105364E-4,YES
3,138,7.370463331811117E-4,NO
4,358,8.14023114054386E-4,NO
5,1154,0.9999999959671821,YES
6,51,6.875987114107642E-4,NO
7,157,7.457997108168942E-4,NO
8,31,6.767036574005557E-4,NO
9,1009,0.051602897940455666,YES
10,193,0.0025052116245255023,NO
11,83,0.00269817368089678,YES
12,262,7.889612280740026E-4,NO
13,638,0.016819285829409704,YES
14,40,6.767036574005557E-4,NO
15,374,0.0029623807503972657,NO
16,390,8.179980687465436E-4,NO
17,51,6.875987114107642E-4,NO
18,579,0.03356285442483177,YES
19,32,6.767036574005557E-4,NO
20,66,6.981842468993934E-4,NO
21,260,0.017434339905393725,YES
22,596,0.8280269148066157,NO
23,198,0.033888526332084855,NO
24,50,6.875987114107642E-4,NO
25,27,6.767036574005557E-4,NO
26,926,0.44601225028048014,NO
27,60,6.875987114107642E-4,NO
28,62,6.981842468993934E-4,NO
29,87,7.084407052388258E-4,NO
30,52,6.875987114107642E-4,NO
31,297,0.07165382598541643,NO
32,163,7.457997108168942E-4,NO
33,118,0.0023988222793410374,NO
34,83,0.00269817368089678,NO
35,147,7.370463331811117E-4,NO
36,58,6.875987114107642E-4,NO
37,44,6.875987114107642E-4,NO
38,106,0.005367124476709321,NO
39,192,0.17662809105756008,NO
40,151,0.0024519419295638838,NO
41,352,0.0026660116692692895,YES
42,752,0.3143800292566968,YES
43,877,0.16687026964254634,YES
44,319,0.014996528569159409,YES
45,27,0.005021731613445854,NO
46,55,6.875987114107642E-4,NO
47,94,0.002904777023836644,NO
48,191,7.620309072187594E-4,NO
49,90,7.084407052388258E-4,NO
50,90,0.002794402190350293,NO
51,271,0.005950538236932624,YES
52,138,0.00245984443628729,NO
53,79,7.084407052388258E-4,NO
54,82,7.084407052388258E-4,NO
55,147,7.370463331811117E-4,NO
56,422,8.191395717618132E-4,YES
57,1026,0.9948977256688759,YES
58,530,0.5109122476901811,NO
59,189,7.620309072187594E-4,YES
60,167,0.002516770617336015,YES
61,86,7.084407052388258E-4,NO
62,195,0.008536848031101444,YES
63,374,0.004025538771965197,YES
64,573,0.21477605767550378,NO
65,126,7.278901976047492E-4,YES
66,106,0.002397547903798988,YES
67,109,7.183489242700103E-4,NO
68,85,7.084407052388258E-4,NO
69,237,0.002612782769987704,NO
70,345,0.0026720484489053523,YES
71,47,0.0023233605930986193,NO
72,781,0.01472126860450907,YES
73,27,6.767036574005557E-4,NO
74,89,7.084407052388258E-4,NO
75,300,0.10558126175680774,YES
76,166,0.18919993909938285,NO
77,92,7.084407052388258E-4,NO
78,497,0.9990414606932692,YES
79,93,7.084407052388258E-4,NO
80,244,7.829555133221102E-4,NO
81,183,0.005789550695325033,YES
82,252,7.889612280740026E-4,NO
83,109,7.183489242700103E-4,YES
84,607,0.5013311016564662,YES
85,565,0.035816520579103894,YES
86,69,6.981842468993934E-4,NO
87,77,6.981842468993934E-4,NO
88,97,0.00538311511121816,NO
89,343,0.0026816601287383804,NO
90,214,7.69476843924885E-4,NO
91,79,7.084407052388258E-4,NO
92,25,6.655189801708072E-4,NO
93,84,7.084407052388258E-4,NO
94,34,6.767036574005557E-4,NO
95,33,6.767036574005557E-4,NO
96,104,7.183489242700103E-4,NO
97,172,7.541333385076664E-4,NO
98,70,6.981842468993934E-4,NO
99,140,7.370463331811117E-4,NO
100,156,7.457997108168942E-4,NO
101,142,0.004394203741011341,NO
102,152,0.004931980495029367,NO
103,31,0.0022297190874220846,NO
104,60,0.002410466822359527,NO
105,60,0.002410466822359527,NO
106,876,1.0,NO
107,61,0.002447510834401491,NO
108,185,0.007225360207204489,NO
109,264,0.026079488339890555,NO
110,248,7.829555133221102E-4,NO
111,286,0.016184909768827898,YES
112,185,0.01531530698865258,NO
113,194,7.620309072187594E-4,NO
114,346,8.111979044388627E-4,NO
115,309,0.0026688025050790863,NO
116,363,0.9834072318815087,YES
117,84,7.084407052388258E-4,NO
118,53,6.875987114107642E-4,NO
119,132,7.370463331811117E-4,YES
120,4088,1.7021071634186307E-10,NO
121,721,0.996170926646862,YES
122,47,6.875987114107642E-4,NO
123,101,7.183489242700103E-4,NO
124,517,0.009452605236684302,YES
125,327,0.006081137946608663,YES
126,274,0.03586407462683104,YES
127,136,7.370463331811117E-4,YES
128,56,6.875987114107642E-4,NO
129,74,6.981842468993934E-4,YES
130,361,0.5062001913656263,YES
131,174,7.541333385076664E-4,NO
132,148,7.457997108168942E-4,NO
133,92,7.084407052388258E-4,NO
134,45,6.875987114107642E-4,NO
135,168,7.541333385076664E-4,NO
136,77,6.981842468993934E-4,NO
137,666,7.765804356334542E-4,NO
138,88,7.084407052388258E-4,NO
139,263,0.002632787319774735,NO
140,54,6.875987114107642E-4,NO
141,51,0.005153711075040594,NO
142,132,0.0039942466634768315,NO
143,160,0.0024471622254131093,YES
144,152,7.457997108168942E-4,NO
145,39,6.767036574005557E-4,NO
146,677,0.9999849643246822,NO
147,131,7.370463331811117E-4,NO
148,47,6.875987114107642E-4,NO
149,129,7.278901976047492E-4,NO
150,43,6.767036574005557E-4,NO
151,257,0.007102630306591169,NO
152,356,0.18627322956961317,NO
153,62,6.981842468993934E-4,NO
154,45,6.875987114107642E-4,NO
155,97,7.183489242700103E-4,NO
156,476,8.191552772105364E-4,NO
157,77,6.981842468993934E-4,NO
158,69,6.981842468993934E-4,NO
159,104,7.183489242700103E-4,NO
160,115,7.278901976047492E-4,NO
161,421,8.191395717618132E-4,NO
162,61,6.981842468993934E-4,NO
163,2009,4.774169609120504E-5,NO
164,179,7.541333385076664E-4,NO
165,106,7.183489242700103E-4,NO
166,33,6.767036574005557E-4,NO
167,657,7.765804356334542E-4,NO
168,295,7.994447490293084E-4,NO
169,872,6.657274570332707E-4,NO
170,444,8.197187781560175E-4,NO
171,168,7.541333385076664E-4,NO
172,752,7.372112306037271E-4,NO
173,135,7.370463331811117E-4,NO
174,1126,4.7710820250088825E-4,NO
175,163,7.457997108168942E-4,NO
176,184,7.620309072187594E-4,NO
177,51,6.875987114107642E-4,NO
178,25,6.655189801708072E-4,NO
179,180,7.541333385076664E-4,NO
180,64,6.981842468993934E-4,NO
181,101,7.183489242700103E-4,NO
182,512,8.140699372408022E-4,NO
183,187,7.620309072187594E-4,NO
184,56,6.875987114107642E-4,NO
185,39,6.767036574005557E-4,NO
186,261,7.889612280740026E-4,NO
187,73,6.981842468993934E-4,NO
188,65,6.981842468993934E-4,NO
189,329,8.078216151131574E-4,NO
190,64,6.981842468993934E-4,NO
191,164,7.457997108168942E-4,NO
192,624,7.8906712519308E-4,NO
193,74,6.981842468993934E-4,NO
194,117,7.278901976047492E-4,NO
195,84,7.084407052388258E-4,NO
196,226,7.764563626568445E-4,NO
197,76,6.981842468993934E-4,NO
198,323,8.078216151131574E-4,NO
199,72,6.981842468993934E-4,NO
200,42,6.767036574005557E-4,NO
201,48,6.875987114107642E-4,NO
202,89,7.084407052388258E-4,NO
203,380,8.162914021634926E-4,NO
204,141,7.370463331811117E-4,NO
205,148,7.457997108168942E-4,NO
206,191,7.620309072187594E-4,NO
207,46,6.875987114107642E-4,NO
208,165,7.541333385076664E-4,NO
209,171,7.541333385076664E-4,NO
210,56,6.875987114107642E-4,NO
211,179,7.541333385076664E-4,NO
212,74,6.981842468993934E-4,NO
213,36,6.767036574005557E-4,NO
214,37,6.767036574005557E-4,NO
215,34,6.767036574005557E-4,NO
216,34,6.767036574005557E-4,NO
217,38,6.767036574005557E-4,NO
218,39,6.767036574005557E-4,NO
219,156,7.457997108168942E-4,NO
220,84,7.084407052388258E-4,NO
221,117,7.278901976047492E-4,NO
222,94,7.084407052388258E-4,NO
223,71,6.981842468993934E-4,NO
224,183,7.620309072187594E-4,NO
225,85,7.084407052388258E-4,NO
226,183,7.620309072187594E-4,NO
227,70,6.981842468993934E-4,NO
228,54,6.875987114107642E-4,NO
229,160,7.457997108168942E-4,NO
230,128,0.0024168865979377024,NO
231,151,7.457997108168942E-4,NO
232,422,8.191395717618132E-4,NO
233,221,7.764563626568445E-4,NO
234,50,6.875987114107642E-4,NO
235,42,6.767036574005557E-4,NO
236,624,7.8906712519308E-4,NO
237,377,8.162914021634926E-4,NO
238,382,0.006095033035448372,NO
239,72,6.981842468993934E-4,NO
240,92,7.084407052388258E-4,NO
