ID,Size,Predicted,Actual
0,215,0.3849283111752584,NO
1,271,0.39383967324311225,YES
2,458,0.8348461939118498,YES
3,137,0.3343348464968953,YES
4,357,0.021116945289091086,YES
5,1242,4.410853497186235E-55,YES
6,51,0.28396377071055035,NO
7,154,0.832799111142649,YES
8,31,0.2554251418499012,NO
9,928,0.6493594220160823,NO
10,180,0.35493800731963504,NO
11,260,0.4626905383785782,YES
12,551,0.8525248541977101,YES
13,40,0.2554251418499012,NO
14,361,0.2082339842660473,YES
15,388,0.08074616969809334,YES
16,51,0.9638355073322621,NO
17,577,1.5817284492182224E-69,NO
18,32,0.2554251418499012,NO
19,66,0.28396377071055035,NO
20,188,1.1970531082165196E-71,YES
21,582,2.139141558077777E-70,NO
22,158,0.010035696324692875,YES
23,50,0.007253427214291477,NO
24,27,0.2554251418499012,NO
25,928,3.268637938898759E-69,YES
26,60,0.28396377071055035,NO
27,62,0.007253427214291477,NO
28,87,0.008228236768970821,NO
29,52,0.007253427214291477,NO
30,268,5.765498775694786E-71,NO
31,163,0.35493800731963504,NO
32,109,0.026775453406583678,NO
33,147,0.3343348464968953,NO
34,58,0.7821288404891228,NO
35,44,0.2554251418499012,NO
36,106,0.9879690116944535,NO
37,139,0.3343348464968953,NO
38,326,0.9656300570212851,NO
39,648,4.076705336592444E-65,NO
40,778,3.6222123124561094E-68,YES
41,314,0.5636704275984401,YES
42,55,0.28396377071055035,NO
43,191,0.8427610850771243,NO
44,90,0.9532508173364295,NO
45,273,0.9994067338450908,NO
46,137,0.1356443441333727,NO
47,79,0.9644444192083035,NO
48,82,0.7821288404891228,NO
49,147,0.8491374492415698,NO
50,422,0.9994500965504176,NO
51,978,3.4060046249667133E-62,YES
52,467,6.793447696192463E-65,YES
53,189,0.9946537398317999,NO
54,153,0.07114840658396188,NO
55,84,0.310495456616898,YES
56,182,9.442670034819517E-70,NO
57,358,0.9999998915925882,NO
58,126,4.427634827382961E-73,NO
59,106,0.04123501393408137,NO
60,109,0.9532508173364295,NO
61,85,0.310495456616898,NO
62,236,0.6238095603368472,NO
63,314,5.021102021994658E-71,YES
64,694,0.8019898437721567,YES
65,27,0.2554251418499012,NO
66,89,0.008228236768970821,NO
67,301,0.9893186297081449,YES
68,153,0.7403869338167496,NO
69,92,0.9982971442446266,NO
70,466,0.87161837412205,NO
71,93,0.9982971442446266,NO
72,244,0.9997336309111334,NO
73,192,0.9988935061508222,NO
74,250,0.9996919341248981,YES
75,109,0.9844162635238928,NO
76,601,1.2163295318470635E-5,NO
77,565,0.9999999977659724,YES
78,69,0.07861698641280715,NO
79,77,0.9777568823119509,NO
80,94,0.9877620743296136,NO
81,337,0.09159686492878759,NO
82,214,0.9746313265644471,NO
