ID,Size,Predicted,Actual
0,215,0.0,NO
1,271,0.0,NO
2,451,0.0,NO
3,137,5.125076628482232E-60,NO
4,368,0.0,YES
5,764,0.0,YES
6,51,8.07710153831226E-159,NO
7,150,4.37399908915492E-232,NO
8,31,4.5512070550126694E-153,NO
9,684,0.0,YES
10,180,5.057426195976065E-60,NO
11,196,0.0,YES
12,482,0.0,YES
13,40,4.1695904411568254E-14,NO
14,259,1.262995101987414E-156,YES
15,379,0.0,YES
16,510,0.0,YES
17,32,4.169590441156824E-14,NO
18,66,3.3813654595535696E-89,NO
19,187,0.0,YES
20,576,0.0,YES
21,158,0.0,YES
22,46,0.0,YES
23,27,2.1612550689226365E-227,NO
24,788,0.0,YES
25,60,1.1400157847497592E-87,NO
26,62,6.575812662030865E-230,YES
27,88,0.0,YES
28,52,3.3813654595535696E-89,YES
29,163,6.264350119174801E-212,NO
30,91,0.0,YES
31,147,5.057426195976065E-60,NO
32,58,1.1400157847497592E-87,NO
33,44,8.600651649516766E-85,NO
34,139,3.277062227167698E-67,NO
35,282,3.237721853261228E-67,NO
36,582,0.0,YES
37,800,3.672248168437021E-226,YES
38,216,1.844020683655156E-139,YES
39,55,0.9998736791915692,NO
40,184,5.862152459355396E-212,NO
41,65,0.9998736791915692,NO
42,150,1.9784864740746246E-139,YES
43,81,0.9999999999919218,NO
44,84,0.9999999999919218,NO
45,905,0.0,YES
46,312,5.689035213712671E-223,YES
47,171,3.2338053759851304E-67,NO
48,153,7.387484345433159E-220,YES
49,84,1.853127982271594E-5,NO
50,169,6.264350119174801E-212,YES
51,189,5.862152459355396E-212,YES
52,127,1.2929643440010162E-217,YES
53,79,0.9998736791915692,YES
54,90,3.277062227167698E-67,NO
55,85,0.9999999999919218,NO
56,123,1.5407708229439092E-211,YES
57,276,2.3091730697919726E-226,YES
58,549,0.0,YES
59,27,0.013936665519447201,NO
60,88,0.0,YES
61,283,1.9953739805532166E-214,YES
62,175,6.264350119174801E-212,YES
63,507,6.575112540531644E-212,YES
64,209,3.220812884053029E-67,NO
65,147,3.233805375985131E-67,NO
66,98,3.277062227167698E-67,NO
67,132,0.0,NO
68,236,0.0,YES
69,227,1.009611781152303E-217,YES
70,172,5.862152459355396E-212,NO
71,507,0.0,YES
72,90,0.0,YES
73,58,1.1400157847497592E-87,NO
74,132,5.125076628482232E-60,NO
75,529,2.0766354018338205E-139,YES
76,694,0.0,YES
77,148,5.057426195976065E-60,YES
78,174,5.057426195976065E-60,NO
79,148,5.057426195976065E-60,NO
80,92,3.277062227167698E-67,NO
81,77,1.5794673031596715E-228,NO
82,664,0.0,NO
83,55,1.1400157847497592E-87,NO
84,256,7.650706889810133E-215,YES
85,54,0.9999999999919218,NO
86,38,0.9999999999919218,YES
87,98,5.125076628482232E-60,YES
88,39,0.9999999999919218,NO
89,47,8.600651649516766E-85,NO
90,69,0.9999999999919218,YES
91,43,8.600651649516766E-85,NO
92,94,5.125076628482232E-60,YES
93,72,0.9999999999919218,NO
94,42,0.9999999999919218,NO
95,48,0.9999999999919218,NO
96,63,0.9999999999919218,YES
97,318,4.1579752496358975E-232,YES
98,136,3.277062227167698E-67,YES
99,141,3.277062227167698E-67,YES
100,190,3.2338053759851304E-67,YES
101,46,0.9999999999919218,NO
102,165,2.2579615602530393E-87,NO
103,162,3.2338053759851304E-67,NO
104,58,0.9999999999919218,NO
105,148,3.2338053759851304E-67,YES
106,74,0.9999999999919218,NO
107,36,4.169590441156824E-14,NO
108,37,0.9999999999919218,NO
109,38,0.9999999999919218,NO
110,39,0.9999999999919218,NO
111,96,5.125076628482232E-60,YES
112,88,5.125076628482232E-60,NO
113,71,0.9999999999919218,NO
114,114,3.277062227167698E-67,NO
115,342,7.63937432940036E-76,YES
116,84,0.9999999999919218,NO
117,58,0.9999999999919218,NO
118,129,3.277062227167698E-67,NO
