ID,Size,Predicted,Actual
0,215,0.6018317962103102,NO
1,271,0.61842094283427,YES
2,458,0.9893113897453787,YES
3,137,0.5571911100251223,YES
4,357,0.23091223053995974,YES
5,1242,6.759041764149518E-55,YES
6,51,0.46966331477801676,NO
7,154,0.980345818064645,YES
8,31,0.4380619808901751,NO
9,928,0.9827242495216155,NO
10,180,0.5829811592401305,NO
11,260,0.9797751288040707,YES
12,551,0.9956067696847486,YES
13,40,0.45419034538324504,NO
14,361,0.7693738381814894,YES
15,388,0.7622529614336007,YES
16,51,0.9972570672999856,NO
17,577,1.26102006315054E-67,NO
18,32,0.45419034538324504,NO
19,66,0.484440701015838,NO
20,188,7.024509556359167E-70,YES
21,582,1.5915506198321689E-68,NO
22,158,0.08918316133646628,YES
23,50,0.06435199277579183,NO
24,27,0.4380619808901751,NO
25,928,5.214856681005974E-68,YES
26,60,0.484440701015838,NO
27,62,0.06363360560753518,NO
28,87,0.07047303942985293,NO
29,52,0.060193829663468895,NO
30,268,2.960475825856119E-69,NO
31,163,0.5751655269997189,NO
32,109,0.2019014429424344,NO
33,147,0.5665708440920706,NO
34,58,0.9709216488517824,NO
35,44,0.46966331477801676,NO
36,106,0.9992540078828703,NO
37,139,0.5571911100251223,NO
38,326,0.9987284586590048,NO
39,648,8.826967671959845E-64,NO
40,778,6.4258640283570545E-68,YES
41,314,0.9876803933195859,YES
42,55,0.46966331477801676,NO
43,191,0.9897827675258564,NO
44,90,0.9958134435431979,NO
45,273,0.9999823233226479,NO
46,137,0.8875673921856139,NO
47,79,0.999075296142625,NO
48,82,0.9738567033193533,NO
49,147,0.997087013930607,NO
50,422,0.9999624737024644,NO
51,978,3.171458194140887E-61,YES
52,467,3.00370304840557E-63,YES
53,189,0.9998897447637941,NO
54,153,0.5785954697073613,NO
55,84,0.5117883735246603,YES
56,182,4.7544947507269015E-68,NO
57,358,0.9999999915189788,NO
58,126,1.4532835093613268E-71,NO
59,106,0.26442671983866,NO
60,109,0.9962002909015502,NO
61,85,0.5117883735246603,NO
62,236,0.9837109463681819,NO
63,314,1.4323562053689956E-69,YES
64,694,0.9960606435483071,YES
65,27,0.4380619808901751,NO
66,89,0.07047303942985293,NO
67,301,0.9996858152905848,YES
68,153,0.9920967441225326,NO
69,92,0.9999542246500029,NO
70,466,0.9937221844703452,NO
71,93,0.9999542246500029,NO
72,244,0.9999916668545359,NO
73,192,0.9999674366455246,NO
74,250,0.9999950105531455,YES
75,109,0.9994470008930164,NO
76,601,3.255205193039195E-9,NO
77,565,0.999999999846354,YES
78,69,0.588067103134825,NO
79,77,0.9987763335091732,NO
80,94,0.9991608830175205,NO
81,337,2.067927509668285E-4,NO
82,214,0.9800302455187379,NO
83,79,0.9987757133281673,NO
84,25,0.991180216653933,NO
85,84,0.9990264477483745,NO
86,34,0.9951161293336982,NO
87,33,0.9949087751626046,NO
88,104,0.9991040232255204,NO
89,172,0.9980587010030401,NO
90,70,0.9986820693674066,NO
91,140,0.9989157820818758,NO
92,154,0.9986910393711447,YES
93,248,0.2011476870981827,NO
94,275,9.465355222722213E-72,YES
95,176,0.9815987666665386,NO
96,624,3.9854674801614044E-66,YES
97,91,0.07047303942985293,YES
98,58,0.484440701015838,YES
99,132,0.9781247023437044,NO
100,4088,5.317414460524255E-168,NO
101,558,0.750811513696019,NO
102,727,9.477440279312464E-66,YES
103,150,0.08637404205132986,YES
104,503,0.9999303205975572,YES
105,325,0.9999995930010973,NO
106,273,2.6815231750355753E-68,YES
107,136,0.9912222234562378,NO
108,56,0.9978888095374099,NO
109,74,0.9998786242998255,NO
110,357,0.9999992836502182,YES
111,174,0.5829811592401305,NO
112,148,0.5665708440920706,NO
113,92,0.5117883735246603,NO
114,45,0.9967411783857986,NO
115,168,0.9923551220131682,NO
116,77,0.4984905309332847,NO
117,664,0.3165944544993172,YES
118,88,0.9959543080007796,NO
119,260,0.9331674832217114,YES
120,54,0.46966331477801676,NO
121,48,0.12296548392333885,NO
122,140,0.8730971949971214,NO
123,152,0.9997653880579275,NO
124,39,0.45419034538324504,NO
125,131,0.9991399247839142,NO
126,47,0.46966331477801676,NO
127,129,0.9367332882339092,NO
