ID,Size,Predicted,Actual
0,215,1.8263617831133445E-10,NO
1,273,7.608041515152691E-10,YES
2,460,6.589875318194537E-9,YES
3,138,4.773656897393482E-10,NO
4,358,1.7987793903154782E-9,NO
5,1248,0.9995914447919368,YES
6,51,1.6913050638219237E-10,NO
7,157,4.986070897760615E-10,NO
8,31,1.8737470361197624E-10,NO
9,981,0.0018554843486143018,YES
10,180,1.6655109008776358E-10,NO
11,262,7.608041515152691E-10,NO
12,553,3.74090191078305E-8,YES
13,40,1.8737470361197624E-10,NO
14,369,1.5190370165934652E-8,NO
15,390,2.641261507138062E-9,NO
16,51,1.6913050638219237E-10,NO
17,577,1.2495837288383677E-8,YES
18,32,1.8737470361197624E-10,NO
19,66,1.6913050638219237E-10,NO
20,188,5.467613169312206E-10,YES
21,582,1.2495837288383677E-8,YES
22,160,4.986070897760615E-10,YES
23,50,1.8737470361197624E-10,NO
24,27,1.8737470361197624E-10,NO
25,923,0.006923135924602555,YES
26,60,1.6913050638219237E-10,NO
27,62,1.6913050638219237E-10,NO
28,87,1.6027472901013737E-10,NO
29,52,1.6913050638219237E-10,NO
30,268,2.541334918787463E-10,YES
31,163,1.6655109008776358E-10,NO
32,109,1.6027472901013737E-10,NO
33,147,1.5945576712751757E-10,NO
34,58,1.6913050638219237E-10,NO
35,44,1.8737470361197624E-10,NO
36,106,1.6027472901013737E-10,YES
37,139,1.5945576712751757E-10,NO
38,326,4.296018218679303E-10,YES
39,648,5.0718718477282686E-8,YES
40,792,1.5603657154758344E-5,YES
41,319,3.758016438782142E-9,YES
42,55,1.6913050638219237E-10,NO
43,191,1.8263617831133445E-10,NO
44,90,1.6027472901013737E-10,NO
45,273,2.541334918787463E-10,YES
46,137,1.5945576712751757E-10,NO
47,79,1.6913050638219237E-10,NO
48,82,1.6913050638219237E-10,NO
49,147,1.5945576712751757E-10,NO
50,422,1.3600873332705335E-9,YES
51,979,0.003091725222135195,YES
52,495,3.415990630850133E-8,YES
53,189,1.8263617831133445E-10,YES
54,167,2.2741050035402508E-10,YES
55,86,4.798174311274757E-10,NO
56,182,1.6655109008776358E-10,YES
57,361,1.0925117032085067E-9,YES
58,126,1.5945576712751757E-10,YES
59,106,1.6027472901013737E-10,NO
60,109,1.6027472901013737E-10,NO
61,85,1.6027472901013737E-10,NO
62,236,2.1026077678179413E-10,NO
63,315,8.152658356233034E-9,YES
64,695,1.617731174301893E-4,YES
65,27,1.8737470361197624E-10,NO
66,89,1.6027472901013737E-10,NO
67,301,9.654033164627214E-10,YES
68,153,1.6655109008776358E-10,YES
69,92,1.6027472901013737E-10,NO
70,466,6.589875318194537E-9,YES
71,93,1.6027472901013737E-10,NO
72,244,2.1026077678179413E-10,NO
73,192,1.8263617831133445E-10,YES
74,252,7.608041515152691E-10,NO
75,109,1.6027472901013737E-10,NO
76,601,2.4569685483686428E-8,YES
77,565,3.74090191078305E-8,YES
78,69,1.6913050638219237E-10,NO
79,77,1.6913050638219237E-10,NO
80,94,1.6027472901013737E-10,YES
81,337,4.296018218679303E-10,NO
82,214,1.8263617831133445E-10,NO
83,79,1.6913050638219237E-10,NO
84,25,1.8737470361197624E-10,NO
85,84,1.6027472901013737E-10,NO
86,34,1.8737470361197624E-10,NO
87,33,1.8737470361197624E-10,NO
88,104,1.6027472901013737E-10,NO
89,172,1.6655109008776358E-10,NO
90,70,1.6913050638219237E-10,NO
91,140,1.5945576712751757E-10,NO
92,156,4.986070897760615E-10,NO
93,248,2.1026077678179413E-10,NO
94,277,7.608041515152691E-10,YES
95,189,5.466302838209096E-7,NO
96,194,1.5898561615268915E-7,NO
97,346,4.428421462551396E-7,NO
98,304,0.5234818360781558,NO
99,356,0.99999931212096,YES
100,84,1.4020309899510642E-9,NO
101,53,5.063291362110304E-10,NO
102,132,1.5945576712751757E-10,NO
103,4088,1.0,NO
104,691,2.092609876493045E-5,YES
105,47,4.3740857999770527E-10,NO
106,101,8.441265910055114E-10,NO
107,510,4.275628194445467E-8,YES
108,328,1.2861069473568203E-9,YES
109,273,2.541334918787463E-10,YES
110,136,1.5945576712751757E-10,NO
111,56,1.6913050638219237E-10,NO
112,74,1.6913050638219237E-10,NO
113,359,1.7987793903154782E-9,YES
114,174,1.6655109008776358E-10,NO
115,148,1.5945576712751757E-10,NO
116,92,1.6027472901013737E-10,NO
117,45,1.8737470361197624E-10,NO
118,168,1.6655109008776358E-10,NO
119,77,1.6913050638219237E-10,NO
120,666,3.2906568205053597E-7,NO
121,88,1.6027472901013737E-10,NO
122,262,7.608041515152691E-10,NO
123,54,1.6913050638219237E-10,NO
124,48,1.8737470361197624E-10,YES
125,140,1.5945576712751757E-10,YES
126,152,1.6655109008776358E-10,NO
127,39,1.8737470361197624E-10,NO
128,131,1.5945576712751757E-10,NO
129,47,1.8737470361197624E-10,NO
130,129,1.5945576712751757E-10,NO
131,43,1.8737470361197624E-10,NO
132,243,2.1026077678179413E-10,YES
133,62,1.6913050638219237E-10,NO
134,45,1.8737470361197624E-10,NO
135,97,4.798174311274757E-10,NO
136,476,1.0,NO
137,77,4.352035959017631E-10,NO
138,69,4.352035959017631E-10,NO
139,104,1.019888752197118E-8,NO
140,115,2.652674152507853E-8,NO
141,421,1.0,NO
142,61,3.28133175201715E-10,NO
143,2009,1.0,NO
144,179,0.007267289254159208,NO
145,106,1.3115605506602206E-8,NO
146,33,1.7358454935292053E-10,NO
147,657,1.0,NO
148,295,1.0,NO
149,872,1.0,NO
150,444,1.0,NO
151,168,0.001420689788996493,NO
152,752,1.0,NO
153,135,1.6374282708654289E-6,NO
154,1126,1.0,NO
155,163,4.609965359069998E-4,NO
156,184,0.007267289254159208,NO
157,51,1.5587446409243675E-10,NO
158,25,1.733880467098002E-10,NO
159,180,0.007267289254159208,NO
160,64,4.352035959017631E-10,NO
161,101,1.019888752197118E-8,NO
162,512,1.0,NO
163,187,0.027715411354954214,NO
164,56,3.110032837347979E-10,NO
165,39,1.49864102670637E-10,NO
166,261,0.9999999999946478,NO
167,73,4.352035959017631E-10,NO
168,65,4.352035959017631E-10,NO
169,329,1.0,NO
170,64,4.352035959017631E-10,NO
171,164,4.609965359069998E-4,NO
172,624,1.0,NO
173,74,4.352035959017631E-10,NO
174,117,2.652674152507853E-8,NO
175,84,6.2958886167812E-10,NO
176,226,1.006647933848711E-5,NO
177,76,4.352035959017631E-10,NO
178,323,1.0,NO
179,72,1.6913050638219237E-10,NO
180,42,1.8737470361197624E-10,NO
181,48,1.8737470361197624E-10,NO
182,89,1.6027472901013737E-10,NO
183,380,6.008512006486007E-10,NO
184,141,4.773656897393482E-10,NO
185,148,4.773656897393482E-10,NO
186,191,1.8263617831133445E-10,NO
187,46,1.8737470361197624E-10,NO
188,165,1.6655109008776358E-10,NO
189,171,1.6655109008776358E-10,NO
190,56,1.6913050638219237E-10,NO
191,179,1.6655109008776358E-10,NO
192,74,1.6913050638219237E-10,NO
193,36,1.8737470361197624E-10,NO
194,37,1.8737470361197624E-10,NO
195,34,1.8737470361197624E-10,NO
196,34,1.8737470361197624E-10,NO
197,38,1.8737470361197624E-10,NO
198,39,1.8737470361197624E-10,NO
199,156,1.6655109008776358E-10,NO
200,84,1.6027472901013737E-10,NO
201,117,1.6027472901013737E-10,NO
202,94,1.6027472901013737E-10,NO
203,71,1.6913050638219237E-10,NO
204,183,1.6655109008776358E-10,NO
205,85,1.6027472901013737E-10,NO
206,183,1.6655109008776358E-10,NO
207,70,1.6913050638219237E-10,NO
208,54,1.6913050638219237E-10,NO
209,160,1.6655109008776358E-10,NO
210,125,1.5945576712751757E-10,NO
211,151,1.6655109008776358E-10,NO
212,422,4.071718684712595E-9,NO
213,221,6.294615900793239E-10,NO
214,50,1.8737470361197624E-10,NO
215,42,1.8737470361197624E-10,NO
216,624,5.0718718477282686E-8,NO
217,377,6.008512006486007E-10,NO
218,383,6.008512006486007E-10,YES
219,72,1.6913050638219237E-10,NO
220,92,1.6027472901013737E-10,NO
221,282,7.608041515152691E-10,NO
222,371,6.008512006486007E-10,NO
223,47,1.8737470361197624E-10,NO
224,108,1.6027472901013737E-10,NO
225,111,1.6027472901013737E-10,NO
226,319,4.296018218679303E-10,NO
227,129,1.5945576712751757E-10,NO
228,49,1.8737470361197624E-10,NO
229,358,6.008512006486007E-10,NO
230,277,2.541334918787463E-10,NO
231,49,1.8737470361197624E-10,NO
232,89,1.6027472901013737E-10,NO
233,41,1.8737470361197624E-10,NO
234,66,1.6913050638219237E-10,NO
235,63,1.6913050638219237E-10,NO
236,24,1.8737470361197624E-10,NO
237,50,1.8737470361197624E-10,NO
238,72,1.6913050638219237E-10,NO
239,47,1.8737470361197624E-10,NO
240,47,1.8737470361197624E-10,NO
241,183,1.6655109008776358E-10,NO
242,49,1.8737470361197624E-10,NO
243,50,1.8737470361197624E-10,NO
244,98,1.6027472901013737E-10,NO
245,143,1.5945576712751757E-10,NO
246,43,1.8737470361197624E-10,NO
247,42,1.8737470361197624E-10,NO
248,56,1.6913050638219237E-10,NO
249,44,1.8737470361197624E-10,NO
250,26,1.8737470361197624E-10,NO
251,254,2.541334918787463E-10,NO
252,16883,8.133145012422562E-10,NO
253,74,1.6913050638219237E-10,NO
254,153,1.6655109008776358E-10,NO
255,68,1.6913050638219237E-10,NO
256,100,1.6027472901013737E-10,NO
257,550,1.9974513625944704E-8,NO
258,437,1.3600873332705335E-9,NO
259,1038,0.25475557316811437,NO
260,104,4.798174311274757E-10,NO
261,332,1.2861069473568203E-9,NO
262,123,1.5945576712751757E-10,NO
263,106,1.6027472901013737E-10,NO
264,106,1.6027472901013737E-10,NO
265,94,4.798174311274757E-10,NO
266,101,4.798174311274757E-10,NO
267,38,1.8737470361197624E-10,NO
268,628,2.281077971576989E-7,NO
269,32,1.8737470361197624E-10,NO
270,111,1.6027472901013737E-10,NO
271,35,1.8737470361197624E-10,NO
272,90,1.6027472901013737E-10,NO
273,27,1.8737470361197624E-10,NO
274,28,1.8737470361197624E-10,NO
275,92,1.6027472901013737E-10,NO
