ID,Size,Predicted,Actual
0,215,0.0,NO
1,273,0.57,YES
2,460,0.73,YES
3,138,0.15,NO
4,358,0.74,NO
5,1248,0.85,YES
6,51,0.0,NO
7,157,0.33,NO
8,31,0.0,NO
9,981,0.57,YES
10,180,0.0,NO
11,262,0.68,NO
12,553,0.79,YES
13,40,0.0,NO
14,369,0.83,NO
15,390,0.86,NO
16,51,0.0,NO
17,577,0.39,YES
18,32,0.0,NO
19,66,0.0,NO
20,188,0.06,YES
21,582,0.39,YES
22,160,0.29,YES
23,50,0.0,NO
24,27,0.0,NO
25,923,0.49,YES
26,60,0.0,NO
27,62,0.0,NO
28,87,0.017777777777777778,NO
29,52,0.0,NO
30,268,0.04,YES
31,163,0.34,NO
32,109,0.02,NO
33,147,0.031451465201465204,NO
34,58,0.0,NO
35,44,0.5520541125541125,NO
36,106,0.6,YES
37,139,0.19,NO
38,326,0.31,YES
39,648,0.39,YES
40,792,0.66,YES
41,319,0.83,YES
42,55,0.0,NO
43,191,0.0,NO
44,90,0.6169517982017981,NO
45,273,0.04,YES
46,137,0.15,NO
47,79,0.17,NO
48,82,0.01,NO
49,147,0.031451465201465204,NO
50,422,0.35,YES
51,979,0.75,YES
52,495,0.8,YES
53,189,0.01,YES
54,167,0.27,YES
55,86,0.25,NO
56,182,0.0,YES
57,361,0.42,YES
58,126,0.04,YES
59,106,0.6,NO
60,109,0.02,NO
61,85,0.01,NO
62,236,0.04,NO
63,315,0.6,YES
64,695,0.88,YES
65,27,0.0,NO
66,89,0.22106349206349207,NO
67,301,0.68,YES
68,153,0.2365709113727689,YES
69,92,0.8529002109002108,NO
70,466,0.9,YES
71,93,0.8472391774891775,NO
72,244,0.04,NO
73,192,0.0,YES
74,252,0.51,NO
75,109,0.02,NO
76,601,0.39,YES
77,565,0.92,YES
78,69,0.87,NO
79,77,0.03,NO
80,94,0.8574058441558441,YES
81,337,0.32,NO
82,214,0.0,NO
83,79,0.17,NO
84,25,0.0,NO
85,84,0.0,NO
86,34,0.0,NO
87,33,0.0,NO
88,104,1.0,NO
89,172,0.03,NO
90,70,0.19,NO
91,140,0.22,NO
92,156,0.22,NO
93,248,0.03,NO
94,277,0.62,YES
95,189,0.97,NO
96,194,0.78,NO
97,346,0.57,NO
98,304,0.49,NO
99,356,0.28,YES
100,84,0.15,NO
101,53,0.12,NO
102,132,0.1,NO
103,4088,0.4,NO
104,691,0.33,YES
105,47,0.15,NO
106,101,0.47,NO
107,510,0.85,YES
108,328,0.4,YES
109,273,0.04,YES
110,136,0.15,NO
111,56,0.0,NO
112,74,0.0,NO
113,359,0.37,YES
114,174,0.01,NO
115,148,0.6628565505701728,NO
116,92,0.8529002109002108,NO
117,45,0.8009350649350649,NO
118,168,0.18,NO
119,77,0.03,NO
120,666,0.8,NO
121,88,0.027777777777777776,NO
122,262,0.55,NO
123,54,0.0,NO
124,48,0.0,YES
125,140,0.22,YES
126,152,0.2365709113727689,NO
127,39,0.008461538461538461,NO
128,131,0.1,NO
129,47,0.0,NO
130,129,0.04,NO
131,43,0.03714285714285715,NO
132,243,0.04,YES
133,62,0.0,NO
134,45,0.8009350649350649,NO
135,97,0.17,NO
136,476,0.98,NO
137,77,0.19747330447330447,NO
138,69,0.03733333333333333,NO
139,104,0.03,NO
140,115,0.07,NO
141,421,0.72,NO
142,61,0.01,NO
143,2009,0.81,NO
144,179,0.4,NO
145,106,0.03,NO
146,33,0.0,NO
147,657,0.44,NO
148,295,0.5,NO
149,872,0.76,NO
150,444,0.76,NO
151,168,0.05,NO
152,752,0.74,NO
153,135,0.11,NO
154,1126,0.76,NO
155,163,0.3,NO
156,184,0.9,NO
157,51,0.0,NO
158,25,0.0,NO
159,180,0.39,NO
160,64,0.99,NO
161,101,0.02,NO
162,512,0.97,NO
163,187,0.94,NO
164,56,0.0,NO
165,39,0.0,NO
166,261,0.19,NO
167,73,0.21616666666666667,NO
168,65,0.5422817460317461,NO
169,329,0.03,NO
170,64,0.99,NO
171,164,0.21,NO
172,624,0.71,NO
173,74,0.05616666666666667,NO
174,117,0.08,NO
175,84,0.2,NO
176,226,0.75,NO
177,76,0.16246139971139975,NO
178,323,0.03,NO
179,72,0.01,NO
180,42,0.01,NO
181,48,0.0,NO
182,89,0.22106349206349207,NO
183,380,0.35,NO
184,141,0.57,NO
185,148,0.21727272727272726,NO
186,191,0.0,NO
187,46,0.06766666666666667,NO
188,165,0.08,NO
189,171,0.03,NO
190,56,0.0,NO
191,179,0.0,NO
192,74,0.0,NO
193,36,0.11,NO
194,37,0.006,NO
195,34,0.0,NO
196,34,0.0,NO
197,38,0.8013648573648573,NO
198,39,0.008461538461538461,NO
199,156,0.32025,NO
200,84,0.0,NO
201,117,0.01,NO
202,94,0.8574058441558441,NO
203,71,0.04,NO
204,183,0.0,NO
205,85,0.01,NO
206,183,0.0,NO
207,70,0.19,NO
208,54,0.0,NO
209,160,0.73025,NO
210,125,0.03,NO
211,151,0.24228519708705462,NO
212,422,0.39,NO
213,221,0.05,NO
214,50,0.0,NO
215,42,0.01,NO
216,624,0.39,NO
217,377,0.35,NO
218,383,0.35,YES
219,72,0.01,NO
220,92,0.8529002109002108,NO
221,282,0.65,NO
222,371,0.36,NO
223,47,0.0,NO
224,108,0.02,NO
225,111,0.02,NO
226,319,0.31,NO
227,129,0.04,NO
228,49,0.0,NO
229,358,0.31,NO
230,277,0.08,NO
231,49,0.0,NO
232,89,0.22106349206349207,NO
233,41,0.0,NO
234,66,0.0,NO
235,63,0.5484444444444445,NO
236,24,0.0,NO
237,50,0.0,NO
238,72,0.01,NO
239,47,0.0,NO
240,47,0.0,NO
241,183,0.0,NO
242,49,0.0,NO
243,50,0.0,NO
244,98,0.0,NO
245,143,0.06,NO
246,43,0.03714285714285715,NO
247,42,0.01,NO
248,56,0.0,NO
249,44,0.5520541125541125,NO
250,26,0.0,NO
251,254,0.03,NO
252,16883,0.4,NO
253,74,0.0,NO
254,153,0.2365709113727689,NO
255,68,0.87,NO
256,100,0.0,NO
257,550,0.77,NO
258,437,0.35,NO
259,1038,0.86,NO
260,104,0.32,NO
261,332,0.75,NO
262,123,0.01,NO
263,106,0.6,NO
264,106,0.6,NO
265,94,0.1418051948051948,NO
266,101,0.0,NO
267,38,0.8013648573648573,NO
268,628,0.4675,NO
269,32,0.0,NO
270,111,0.02,NO
271,35,0.0,NO
272,90,0.6169517982017981,NO
273,27,0.0,NO
274,28,0.0,NO
275,92,0.8529002109002108,NO
276,956,0.67,YES
277,67,0.01,NO
278,29,0.0,NO
279,105,1.0,NO
280,72,0.01,NO
281,37,0.006,NO
282,47,0.0,NO
283,31,0.0,NO
284,90,0.6169517982017981,NO
285,223,0.01,NO
286,214,0.0,NO
287,107,0.47,NO
288,37,0.006,NO
289,27,0.0,NO
290,48,0.0,NO
291,167,0.08,NO
292,213,0.0,NO
293,867,0.76,NO
294,159,0.72025,NO
295,100,0.0,NO
296,96,1.0,NO
297,842,0.79,NO
298,525,0.92,NO
299,83,0.0,NO
300,63,0.5484444444444445,NO
301,76,0.0,NO
302,202,0.0,NO
303,155,0.05,NO
304,1263,0.84,NO
305,74,0.0,NO
306,101,0.0,NO
307,27,0.0,NO
308,22,0.0,NO
309,491,0.82,NO
310,62,0.0,NO
311,59,0.0,NO
312,99,0.0,NO
313,27,0.0,NO
314,77,0.03,NO
315,846,0.39,YES
316,64,0.1715714285714286,NO
317,45,0.8009350649350649,NO
318,63,0.5484444444444445,NO
319,54,0.0,NO
320,64,0.1715714285714286,NO
321,132,0.1,NO
322,177,0.0,NO
323,70,0.19,NO
324,36,0.11,NO
325,58,0.0,NO
326,62,0.0,NO
327,132,0.1,NO
328,74,0.0,NO
329,86,0.18,NO
330,74,0.0,NO
331,48,0.0,NO
332,74,0.0,NO
333,86,0.0,NO
334,355,0.31,NO
335,53,0.0,NO
336,804,0.86,NO
337,75,0.0,NO
338,125,0.03,NO
339,200,0.0,NO
340,134,0.14,NO
341,57,0.0,NO
342,123,0.01,NO
343,266,0.66,NO
344,162,0.99,NO
345,130,0.1,NO
346,108,0.02,NO
347,354,0.74,NO
348,88,0.41,NO
349,28,0.0,NO
350,58,0.01,NO
351,308,0.69,NO
352,343,0.8,NO
353,103,0.01,NO
354,35,0.0,NO
355,98,0.0,NO
356,117,0.03,NO
