ID,Size,Predicted,Actual
0,215,0.03,NO
1,274,0.25,YES
2,461,0.25,YES
3,138,0.06,NO
4,358,0.0,NO
5,1248,0.99,YES
6,51,0.0,NO
7,45,0.8950047452547453,NO
8,157,0.0,NO
9,31,0.0,NO
10,1008,0.48,YES
11,55,0.45555555555555555,NO
12,204,0.57,NO
13,55,0.03,NO
14,103,0.0,NO
15,83,0.245,NO
16,262,0.85,NO
17,83,0.0,NO
18,867,0.93,YES
19,40,0.0,NO
20,387,0.5,YES
21,390,0.99,NO
22,51,0.0,NO
23,637,0.81,YES
24,32,0.0,NO
25,68,0.0,YES
26,547,0.98,YES
27,566,0.95,NO
28,314,0.84,YES
29,839,0.96,YES
30,211,0.47,NO
31,31,0.0,NO
32,50,0.0,NO
33,27,0.0,NO
34,175,0.64,NO
35,50,0.03,NO
36,62,0.0,NO
37,87,0.2,NO
38,52,0.0,NO
39,373,0.83,NO
40,224,0.46,NO
41,118,0.0,YES
42,83,0.6579415584415584,NO
43,147,0.0,NO
44,58,0.0,NO
45,44,0.0,NO
46,106,0.44837945387945394,NO
47,189,0.41,NO
48,151,0.06654438689965007,NO
49,352,0.0,YES
50,849,0.44,YES
51,877,0.98,YES
52,41,0.0,NO
53,319,0.0,YES
54,27,0.0,NO
55,55,0.0,NO
56,94,0.6979079745840078,NO
57,191,0.0,NO
58,90,0.0,NO
59,90,0.0,NO
60,271,0.9,YES
61,152,0.36,NO
62,90,0.43363888888888885,YES
63,82,0.23,NO
64,147,0.0,NO
65,422,0.98,YES
66,1059,0.62,YES
67,530,0.12,YES
68,205,0.79,YES
69,190,0.84,NO
70,86,0.19,NO
71,207,0.75,YES
72,397,0.48,YES
73,573,0.99,NO
74,126,0.0,YES
75,167,0.507,YES
76,109,0.0,YES
77,85,0.0,NO
78,237,0.99,NO
79,424,0.77,YES
80,47,0.0,NO
81,1118,0.98,YES
82,27,0.0,NO
83,89,0.0,NO
84,474,0.63,YES
85,166,0.0,NO
86,92,0.5047325636572337,NO
87,476,0.74,YES
88,93,0.05164122315592904,NO
89,244,0.25,NO
90,204,0.31,YES
91,252,0.01,NO
92,109,0.0,YES
93,618,0.6,YES
94,565,0.34,YES
95,69,0.5383214285714285,NO
96,77,0.0,NO
97,97,0.0077674531351001955,NO
98,343,0.0,NO
99,214,0.0,NO
100,79,0.0,NO
101,25,0.0,NO
102,84,0.23910060281173484,NO
103,34,0.0,NO
104,33,0.0,NO
105,104,0.0,NO
106,172,0.0,NO
107,70,0.0,NO
108,140,0.0,NO
109,156,0.009833333333333335,NO
110,142,0.0,NO
111,152,0.21773017591283833,NO
112,31,0.0,NO
113,60,0.0,NO
114,60,0.0,NO
115,876,0.99,NO
116,61,0.0,NO
117,185,0.0,NO
118,264,0.12,NO
119,43,0.05,NO
120,248,0.01,NO
121,310,0.92,YES
122,199,0.43,NO
123,194,0.05,NO
124,346,0.0,NO
125,90,0.6242857142857143,NO
126,335,0.02,YES
127,372,0.61,NO
128,84,0.23910060281173484,NO
129,53,0.0,NO
130,148,0.57,YES
131,4088,0.07,NO
132,860,0.98,YES
133,47,0.0,NO
134,101,0.4594976523435435,NO
135,517,0.01,YES
136,327,0.0,YES
137,275,0.08,YES
138,136,0.04,YES
139,56,0.0,NO
140,74,0.0,YES
141,362,0.03,YES
142,174,0.09,NO
143,148,0.23647058823529413,NO
144,92,0.23133578431372548,NO
145,45,0.6492857142857142,YES
146,39,0.0,NO
147,182,0.83,NO
148,77,0.25,NO
149,666,0.81,NO
150,88,0.0,YES
151,263,0.12,YES
152,54,0.0,NO
153,76,0.4833636363636364,NO
154,132,0.01,NO
155,160,0.02,YES
156,152,0.21773017591283833,NO
157,39,0.0,NO
158,677,0.81,NO
159,131,0.0,NO
160,47,0.0,NO
161,129,0.0,NO
162,43,0.0,NO
163,73,0.01,NO
164,257,0.0,NO
165,356,0.0,NO
166,62,0.0,NO
167,45,0.6492857142857142,NO
168,97,0.0077674531351001955,NO
169,131,0.28,YES
170,68,0.0075,YES
171,99,0.08429169218580984,NO
172,53,0.0,NO
173,81,0.98,NO
174,78,1.0,YES
175,69,0.0075,NO
176,69,0.0075,NO
177,77,0.6857736852930351,NO
178,72,0.0,NO
179,72,0.0,NO
180,63,0.16517857142857145,NO
181,50,0.0,NO
182,28,0.006666666666666666,NO
183,96,0.3885175701788946,NO
184,40,0.0,NO
185,76,0.4547554520642756,NO
186,49,0.0,NO
187,63,0.16517857142857145,NO
188,55,0.03,NO
189,45,0.8950047452547453,NO
190,476,0.0,NO
191,77,0.0,NO
192,69,0.5383214285714285,NO
193,104,0.0,NO
194,115,0.0,NO
195,421,0.0,NO
196,61,0.0,NO
197,2009,0.13,NO
198,179,0.0,NO
199,106,0.44837945387945394,NO
200,33,0.0,NO
201,657,0.35,NO
202,295,0.0075,NO
203,872,0.99,NO
204,444,0.0,NO
205,168,0.0,NO
206,752,0.29,NO
207,135,0.08,NO
208,1126,0.35,NO
209,163,0.0,NO
210,184,0.0,NO
211,51,0.0,NO
212,25,0.0,NO
213,180,0.0,NO
214,64,0.0,NO
215,101,0.4594976523435435,NO
216,512,0.01,NO
217,187,0.0,NO
218,56,0.0,NO
219,39,0.0,NO
220,261,0.1,NO
221,73,0.0,NO
222,65,0.0,NO
223,329,0.0,NO
224,64,0.0,NO
225,164,0.0,NO
226,624,0.02,NO
227,74,0.0,NO
228,117,0.0,NO
229,84,0.23910060281173484,NO
230,226,0.0,NO
231,76,0.0,NO
232,323,0.0,NO
233,72,0.0,NO
234,42,0.0,NO
235,48,0.14175186728476205,NO
236,89,0.0,NO
237,380,1.0,NO
238,141,0.0,NO
239,148,0.5545983803777921,NO
240,191,0.0,NO
241,46,0.0,NO
242,165,0.0,NO
243,171,0.0,NO
244,56,0.0,NO
245,179,0.0,NO
246,74,0.0,NO
247,36,0.0,NO
248,37,0.0,NO
249,34,0.0,NO
250,34,0.0,NO
251,38,0.5941903292785645,NO
252,39,0.0,NO
253,156,0.009833333333333335,NO
254,84,0.23910060281173484,NO
255,117,0.0,NO
256,94,0.6979079745840078,NO
257,71,0.0,NO
258,183,0.0,NO
259,85,0.0,NO
260,183,0.0,NO
261,70,0.0,NO
262,54,0.0,NO
263,160,0.02,NO
264,128,0.0,NO
265,151,0.06654438689965007,NO
266,422,0.0,NO
267,221,0.0,NO
268,50,0.0,NO
269,42,0.0,NO
270,624,0.02,NO
271,377,0.07,NO
272,382,1.0,NO
273,72,0.0,NO
274,92,0.5047325636572337,NO
275,282,0.0075,NO
276,371,0.02,NO
277,47,0.0,NO
278,108,0.0,NO
279,111,0.0,NO
280,319,0.0,NO
281,129,0.0,NO
282,49,0.0,NO
283,358,0.0,NO
284,277,0.013055555555555556,NO
285,49,0.0,NO
286,89,0.0,NO
287,41,0.0,NO
288,66,0.0,NO
289,63,0.2666436504072171,NO
290,24,0.0,NO
291,50,0.0,NO
292,72,0.0,NO
293,47,0.0,NO
294,47,0.0,NO
295,183,0.0,NO
296,49,0.0,NO
297,50,0.0,NO
298,98,0.0723832557707171,NO
299,143,0.0,NO
300,43,0.0,NO
301,42,0.0,NO
302,56,0.0,NO
303,44,0.0,NO
304,26,0.0,NO
305,254,0.0,NO
306,16883,0.0,NO
307,74,0.0,NO
308,153,0.4753097479351688,NO
309,68,0.2076666666666667,NO
310,100,0.0035714285714285713,NO
311,550,0.33,NO
312,437,0.0,NO
313,1038,0.35,NO
314,104,0.0,NO
315,332,0.0,NO
316,123,0.0,NO
317,106,0.44837945387945394,NO
318,106,0.44837945387945394,NO
319,94,0.6979079745840078,NO
320,101,0.4594976523435435,NO
321,38,0.5941903292785645,NO
322,628,0.0,NO
323,32,0.0,NO
324,111,0.0,NO
325,35,0.0,NO
326,90,0.0,NO
327,27,0.0,NO
328,28,0.0,NO
329,92,0.5047325636572337,NO
330,979,0.35,NO
331,67,0.0,NO
332,29,0.0,NO
333,105,0.8378455272797378,NO
334,72,0.0,NO
335,37,0.0,NO
336,47,0.0,NO
337,31,0.0,NO
338,90,0.0,NO
339,223,0.0,NO
340,214,0.0,NO
341,107,0.02106060606060606,NO
342,37,0.0,NO
343,27,0.0,NO
344,48,0.14175186728476205,NO
345,167,0.0,NO
346,213,0.0,NO
347,867,0.99,NO
348,159,0.02,NO
349,100,0.0035714285714285713,NO
350,96,0.7044657287157287,NO
351,842,0.31,NO
352,535,0.12,NO
353,83,0.6579415584415584,NO
354,63,0.2666436504072171,NO
355,76,0.0,NO
356,202,0.0,NO
357,155,0.06048115773115774,NO
358,1263,0.35,NO
359,74,0.0,NO
