ID,Size,Predicted,Actual
0,212,0.63,NO
1,274,0.99,NO
2,461,0.66,YES
3,138,0.84,NO
4,358,0.0,NO
5,1272,0.79,YES
6,51,0.0,NO
7,45,0.64,NO
8,157,0.0,NO
9,31,0.0,NO
10,1406,0.96,YES
11,55,0.06030735930735929,NO
12,204,0.0,NO
13,55,0.06030735930735929,NO
14,103,0.04916666666666666,NO
15,34,0.0,NO
16,83,0.26967460317460307,NO
17,285,0.68,NO
18,83,0.26967460317460307,NO
19,129,0.07,NO
20,867,0.01,YES
21,380,0.46,NO
22,40,0.0,NO
23,387,0.6,YES
24,390,0.6,NO
25,51,0.0,NO
26,637,0.91,YES
27,32,0.0,NO
28,68,0.17616666666666667,YES
29,547,0.42,YES
30,566,0.96,NO
31,314,0.64,YES
32,907,0.89,YES
33,275,0.98,NO
34,31,0.0,NO
35,50,0.0,NO
36,27,0.0,NO
37,175,0.01,NO
38,50,0.0,NO
39,62,0.0,NO
40,87,0.0,NO
41,52,0.0,NO
42,373,0.31,NO
43,224,0.02,NO
44,118,0.0,YES
45,83,0.37,NO
46,147,0.20283333333333325,NO
47,58,0.271739898989899,NO
48,44,0.64,NO
49,106,0.13623687423687425,NO
50,238,0.72,NO
51,43,0.06483333333333334,NO
52,185,0.17,YES
53,189,0.66,NO
54,151,0.7321666666666666,NO
55,364,0.73,NO
56,910,0.91,NO
57,889,0.77,NO
58,43,0.37,NO
59,325,0.69,NO
60,27,0.0,NO
61,55,0.06030735930735929,NO
62,93,0.17,NO
63,191,0.05,NO
64,90,0.02541666666666666,NO
65,89,0.37,NO
66,272,0.88,NO
67,152,0.82,NO
68,90,0.02541666666666666,YES
69,82,0.03333333333333333,NO
70,148,0.62,NO
71,421,0.47,YES
72,1190,0.93,YES
73,528,0.44,YES
74,205,0.8,YES
75,190,0.05,NO
76,86,0.0,NO
77,212,0.9,YES
78,404,0.67,NO
79,572,0.37,NO
80,132,0.69,NO
81,168,0.48,NO
82,109,0.0014285714285714286,YES
83,85,0.0,NO
84,107,0.21,NO
85,237,0.63,NO
86,511,0.69,YES
87,47,0.01,NO
88,1328,0.93,YES
89,27,0.0,NO
90,89,0.00875,NO
91,482,0.92,YES
92,226,0.69,YES
93,166,0.0,NO
94,92,0.22,YES
95,476,0.08,NO
96,93,0.23,YES
97,244,0.63,NO
98,204,0.0,NO
99,252,0.24,NO
100,119,0.65,NO
101,733,0.44,NO
102,630,0.9,NO
103,69,0.3821904761904762,NO
104,77,0.0,NO
105,97,0.467,NO
106,380,0.815,NO
107,214,0.0,NO
108,38,0.16,NO
109,79,0.29,NO
110,25,0.0,NO
111,84,0.3338373015873016,NO
112,34,0.0,NO
113,33,0.0,NO
114,104,0.27091666666666664,NO
115,193,0.68,NO
116,70,0.005,NO
117,140,0.1,NO
118,22,0.13,NO
119,156,0.0,NO
120,142,0.05833333333333333,NO
121,100,0.26,YES
122,152,0.52,NO
123,31,0.0,NO
124,60,0.006,NO
125,60,0.006,NO
126,876,0.01,NO
127,61,0.0,NO
128,185,0.02,NO
129,264,0.09,NO
130,43,0.0,NO
131,248,0.63,NO
132,361,0.8,YES
133,199,0.3,YES
134,194,0.66,YES
135,346,0.0,YES
136,91,0.57,NO
137,335,0.75,YES
138,370,0.88,NO
139,82,0.4,NO
140,53,0.0,NO
141,148,0.81,NO
142,4088,0.0,NO
143,88,1.0,NO
144,878,0.87,YES
145,37,0.04,NO
146,48,0.03445238095238095,NO
147,47,0.01,NO
148,101,0.4704523809523809,NO
149,556,0.87,NO
150,360,0.71,NO
151,284,0.94,YES
152,135,0.44,NO
153,56,0.12367640692640693,NO
154,78,0.83,NO
155,409,0.94,YES
156,174,0.0,NO
157,148,0.4380000000000001,NO
158,88,0.42,NO
159,45,0.64,YES
160,39,0.006666666666666666,NO
161,182,0.61,NO
162,77,0.0,NO
163,666,0.74,NO
164,104,0.56,YES
165,263,0.08,YES
166,54,0.011142857142857144,NO
167,76,0.0,NO
168,119,0.67,NO
169,200,0.87,NO
170,152,0.52,NO
171,39,0.006666666666666666,NO
172,677,0.29,NO
173,131,0.19832178932178937,NO
174,47,0.01,NO
175,100,0.26916666666666667,NO
176,43,0.0,NO
177,73,0.0,NO
178,257,0.04,NO
179,356,0.0,NO
180,62,0.0,NO
181,45,0.64,NO
182,97,0.467,NO
183,131,0.19832178932178937,YES
184,68,0.17616666666666667,YES
185,99,0.1896190476190476,NO
186,53,0.0,NO
187,81,0.03333333333333333,NO
188,78,0.7,YES
189,69,0.3821904761904762,NO
190,69,0.3821904761904762,NO
191,77,0.0,NO
192,72,0.0,NO
193,72,0.0,NO
194,63,0.37192857142857144,NO
195,50,0.0,NO
196,28,0.0,NO
197,96,0.4028333333333333,NO
198,40,0.0,NO
199,76,0.0,NO
200,49,0.0,NO
201,63,0.37192857142857144,NO
202,55,0.06030735930735929,NO
203,45,0.64,NO
204,476,0.08,NO
205,77,0.0,NO
206,69,0.3821904761904762,NO
207,104,0.27091666666666664,NO
208,115,0.0,NO
209,421,0.13,NO
210,61,0.0,NO
211,2009,0.0,NO
212,179,0.06,NO
213,106,0.13623687423687425,NO
214,33,0.0,NO
215,657,0.74,NO
216,295,0.15,NO
217,872,0.01,NO
218,444,0.12,NO
219,168,0.0,NO
220,752,0.1,NO
221,135,0.7237222222222222,NO
222,1126,0.0,NO
223,163,0.03,NO
224,184,0.02,NO
225,51,0.0,NO
226,25,0.0,NO
227,180,0.06,NO
228,64,0.008333333333333333,NO
229,101,0.4704523809523809,NO
230,512,0.06,NO
231,187,0.24,NO
232,56,0.12367640692640693,NO
233,39,0.006666666666666666,NO
234,261,0.04,NO
235,73,0.0,NO
236,65,0.0,NO
