@relation BOOKKEEPER_TRAINING_1.arff
@attribute SIZE numeric
@attribute LOC_ADDED numeric
@attribute MAX_LOC_ADDED numeric
@attribute AVG_LOC_ADDED numeric
@attribute LOC_DELETED numeric
@attribute MAX_LOC_DELETED numeric
@attribute AVG_LOC_DELETED numeric
@attribute CHURN numeric
@attribute MAX_CHURN numeric
@attribute AVG_CHURN numeric
@attribute FIXED_DEFECTS numeric
@attribute NUMBER_OF_COMMITS numeric
@attribute NUMBER_OF_AUTHORS numeric
@attribute IS_BUGGY {'True', 'False'}
@data
137,470,137,58.75,196,94,58.75,278,137,34.75,0,8,2,False
244,680,252,68.0,192,64,68.0,524,252,52.4,0,10,2,False
1026,2492,545,89.0,440,81,89.0,2052,545,73.28571428571429,0,28,3,False
92,242,81,40.333333333333336,58,29,40.333333333333336,184,81,30.666666666666668,0,6,3,False
180,390,168,48.75,30,12,48.75,360,168,45.0,0,8,2,False
471,1266,487,70.33333333333333,324,104,70.33333333333333,1102,487,61.22222222222222,0,18,3,False
204,420,124,42.0,12,2,42.0,408,124,40.8,0,10,3,False
551,1242,536,88.71428571428571,140,26,88.71428571428571,1114,536,79.57142857142857,0,14,3,False
149,336,133,33.6,38,14,33.6,298,133,29.8,0,10,3,False
157,328,151,54.666666666666664,14,6,54.666666666666664,314,151,52.333333333333336,0,6,3,False
147,294,147,147.0,0,0,147.0,294,147,147.0,0,2,1,False
137,538,126,53.8,264,113,53.8,282,126,28.2,0,10,3,False
271,560,249,70.0,18,8,70.0,542,249,67.75,0,8,3,False
548,2080,410,115.55555555555556,984,401,115.55555555555556,1096,410,60.888888888888886,0,18,3,False
728,1862,714,155.16666666666666,406,121,155.16666666666666,1764,714,147.0,0,12,2,False
205,424,204,53.0,14,4,53.0,410,204,51.25,0,8,2,False
50,106,50,26.5,6,3,26.5,100,50,25.0,0,4,2,False
185,414,184,41.4,44,16,41.4,370,184,37.0,0,10,3,False
61,132,61,22.0,10,4,22.0,122,61,20.333333333333332,0,6,3,False
157,420,167,26.25,106,26,26.25,362,167,22.625,0,16,3,False
81,184,80,23.0,22,7,23.0,162,80,20.25,0,8,3,False
84,266,83,44.333333333333336,98,46,44.333333333333336,168,83,28.0,0,6,2,False
762,2924,547,121.83333333333333,1400,520,121.83333333333333,1540,547,64.16666666666667,0,24,3,False
248,576,198,41.142857142857146,80,16,41.142857142857146,504,198,36.0,0,14,3,False
169,464,140,25.77777777777778,126,17,25.77777777777778,342,140,19.0,0,18,3,False
196,448,178,37.333333333333336,56,9,37.333333333333336,392,178,32.666666666666664,0,12,3,False
67,152,67,19.0,18,7,19.0,134,67,16.75,0,8,3,False
165,364,138,45.5,34,11,45.5,330,138,41.25,0,8,3,False
173,386,170,48.25,40,17,48.25,346,170,43.25,0,8,3,False
103,254,101,21.166666666666668,48,10,21.166666666666668,214,101,17.833333333333332,0,12,2,False
78,156,78,78.0,0,0,78.0,156,78,78.0,0,2,1,False
87,176,87,44.0,2,1,44.0,174,87,43.5,0,4,2,False
85,172,85,43.0,2,1,43.0,170,85,42.5,0,4,2,False
105,212,61,53.0,2,1,53.0,210,61,52.5,0,4,1,False
216,448,216,56.0,16,6,56.0,432,216,54.0,0,8,2,False
377,794,377,99.25,40,11,99.25,754,377,94.25,0,8,2,False
253,510,251,127.5,4,2,127.5,506,251,126.5,0,4,1,False
193,386,193,193.0,0,0,193.0,386,193,193.0,0,2,1,False
514,1028,514,514.0,0,0,514.0,1028,514,514.0,0,2,1,False
204,408,204,204.0,0,0,204.0,408,204,204.0,0,2,1,False
144,288,144,144.0,0,0,144.0,288,144,144.0,0,2,1,False
98,196,98,98.0,0,0,98.0,196,98,98.0,0,2,1,False
181,406,178,29.0,44,9,29.0,378,178,27.0,0,14,3,False
154,324,75,40.5,16,5,40.5,308,75,38.5,0,8,3,False
393,978,209,44.45454545454545,192,48,44.45454545454545,798,209,36.27272727272727,0,22,3,False
132,278,75,46.333333333333336,14,7,46.333333333333336,264,75,44.0,0,6,3,False
533,1112,521,69.5,46,8,69.5,1070,521,66.875,0,16,3,False
603,1366,573,75.88888888888889,160,24,75.88888888888889,1214,573,67.44444444444444,0,18,3,False
148,296,148,148.0,0,0,148.0,296,148,148.0,0,2,1,False
174,368,173,61.333333333333336,20,8,61.333333333333336,348,173,58.0,0,6,2,False
148,316,147,52.666666666666664,20,8,52.666666666666664,296,147,49.333333333333336,0,6,2,False
92,1668,763,139.0,1484,688,139.0,2884,763,240.33333333333334,0,12,3,False
234,876,209,73.0,408,101,73.0,468,209,39.0,0,12,3,False
54,118,54,19.666666666666668,10,4,19.666666666666668,108,54,18.0,0,6,3,False
38,86,38,21.5,10,5,21.5,76,38,19.0,0,4,2,False
98,204,98,51.0,8,4,51.0,196,98,49.0,0,4,2,False
39,98,38,16.333333333333332,20,7,16.333333333333332,78,38,13.0,0,6,2,False
69,196,94,32.666666666666664,58,25,32.666666666666664,238,94,39.666666666666664,0,6,3,False
94,188,94,94.0,0,0,94.0,188,94,94.0,0,2,1,False
72,144,72,72.0,0,0,72.0,144,72,72.0,0,2,1,False
42,84,42,42.0,0,0,42.0,84,42,42.0,0,2,1,False
48,112,48,18.666666666666668,16,5,18.666666666666668,96,48,16.0,0,6,2,False
63,134,63,33.5,8,4,33.5,126,63,31.5,0,4,2,False
237,514,237,128.5,40,20,128.5,474,237,118.5,0,4,2,False
133,278,133,46.333333333333336,12,5,46.333333333333336,266,133,44.333333333333336,0,6,2,False
137,300,136,37.5,26,10,37.5,274,136,34.25,0,8,2,False
177,362,176,60.333333333333336,8,2,60.333333333333336,354,176,59.0,0,6,2,False
46,94,46,23.5,2,1,23.5,92,46,23.0,0,4,2,False
128,274,127,27.4,18,5,27.4,256,127,25.6,0,10,3,False
149,304,148,50.666666666666664,6,2,50.666666666666664,298,148,49.666666666666664,0,6,2,False
58,118,58,29.5,2,1,29.5,116,58,29.0,0,4,2,False
149,304,149,76.0,6,3,76.0,298,149,74.5,0,4,2,False
74,156,74,39.0,8,4,39.0,148,74,37.0,0,4,2,False
37,74,37,37.0,0,0,37.0,74,37,37.0,0,2,1,False
38,80,38,20.0,4,2,20.0,76,38,19.0,0,4,2,False
39,80,39,20.0,2,1,20.0,78,39,19.5,0,4,2,False
96,214,95,26.75,22,5,26.75,192,95,24.0,0,8,2,False
88,182,87,30.333333333333332,6,2,30.333333333333332,176,87,29.333333333333332,0,6,2,False
71,156,70,19.5,14,3,19.5,142,70,17.75,0,8,2,False
114,246,113,30.75,18,4,30.75,228,113,28.5,0,8,2,False
336,828,329,69.0,156,35,69.0,672,329,56.0,0,12,3,False
84,186,83,23.25,18,5,23.25,168,83,21.0,0,8,2,False
58,126,58,21.0,10,3,21.0,116,58,19.333333333333332,0,6,2,False
123,260,122,32.5,14,4,32.5,246,122,30.75,0,8,2,False
369,738,369,369.0,0,0,369.0,738,369,369.0,0,2,1,False
231,486,224,48.6,24,6,48.6,462,224,46.2,0,10,2,False
586,1290,585,161.25,118,48,161.25,1172,585,146.5,0,8,2,False
366,780,365,78.0,48,14,78.0,732,365,73.2,0,10,2,False
99,216,98,27.0,18,4,27.0,198,98,24.75,0,8,2,False
41,82,41,41.0,0,0,41.0,82,41,41.0,0,2,1,False
66,158,65,39.5,26,13,39.5,132,65,33.0,0,4,2,False
54,110,45,18.333333333333332,2,1,18.333333333333332,108,45,18.0,0,6,3,False
47,102,47,25.5,8,4,25.5,94,47,23.5,0,4,2,False
183,406,185,50.75,40,16,50.75,374,185,46.75,0,8,3,False
49,98,49,49.0,0,0,49.0,98,49,49.0,0,2,1,False
