DATASET,TRAINING_RELEASES,TRAINING_INSTANCES,CLASSIFIER,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,PRECISION,RECALL,AUC,KAPPA,TRUE_POSITIVE,FALSE_POSITIVE,TRUE_NEGATIVE,FALSE_NEGATIVE
OPENJPA,1,49.44297082228117,IBK,BEST_FIRST_FORWARD,NONE,SENSITIVE_LEARNING,NaN,0.0,0.5,0.0,0.0,0.0,847.0,106.0
OPENJPA,1,49.44297082228117,IBK,BEST_FIRST_FORWARD,NONE,NONE,NaN,0.0,0.7379040342162126,0.0,0.0,0.0,847.0,106.0
OPENJPA,1,49.44297082228117,IBK,BEST_FIRST_FORWARD,OVERSAMPLING,SENSITIVE_LEARNING,NaN,0.0,0.5,0.0,0.0,0.0,847.0,106.0
OPENJPA,1,49.44297082228117,IBK,BEST_FIRST_FORWARD,OVERSAMPLING,NONE,NaN,0.0,0.7350749593459713,0.0,0.0,0.0,847.0,106.0
OPENJPA,1,49.44297082228117,IBK,BEST_FIRST_FORWARD,SMOTE,SENSITIVE_LEARNING,NaN,0.0,0.5,0.0,0.0,0.0,847.0,106.0
OPENJPA,1,49.44297082228117,IBK,BEST_FIRST_FORWARD,SMOTE,NONE,NaN,0.0,0.7379040342162126,0.0,0.0,0.0,847.0,106.0
OPENJPA,1,49.44297082228117,IBK,BEST_FIRST_FORWARD,UNDERSAMPLING,SENSITIVE_LEARNING,NaN,0.0,0.5,0.0,0.0,0.0,847.0,106.0
OPENJPA,1,49.44297082228117,IBK,BEST_FIRST_FORWARD,UNDERSAMPLING,NONE,NaN,0.0,0.7379040342162126,0.0,0.0,0.0,847.0,106.0
OPENJPA,1,49.44297082228117,IBK,BEST_FIRST_BACKWARD,NONE,SENSITIVE_LEARNING,NaN,0.0,0.5,0.0,0.0,0.0,847.0,106.0
OPENJPA,1,49.44297082228117,IBK,BEST_FIRST_BACKWARD,NONE,NONE,NaN,0.0,0.7379040342162126,0.0,0.0,0.0,847.0,106.0
OPENJPA,1,49.44297082228117,IBK,BEST_FIRST_BACKWARD,OVERSAMPLING,SENSITIVE_LEARNING,NaN,0.0,0.5,0.0,0.0,0.0,847.0,106.0
OPENJPA,1,49.44297082228117,IBK,BEST_FIRST_BACKWARD,OVERSAMPLING,NONE,NaN,0.0,0.7350749593459713,0.0,0.0,0.0,847.0,106.0
OPENJPA,1,49.44297082228117,IBK,BEST_FIRST_BACKWARD,SMOTE,SENSITIVE_LEARNING,NaN,0.0,0.5,0.0,0.0,0.0,847.0,106.0
OPENJPA,1,49.44297082228117,IBK,BEST_FIRST_BACKWARD,SMOTE,NONE,NaN,0.0,0.7379040342162126,0.0,0.0,0.0,847.0,106.0
OPENJPA,1,49.44297082228117,IBK,BEST_FIRST_BACKWARD,UNDERSAMPLING,SENSITIVE_LEARNING,NaN,0.0,0.5,0.0,0.0,0.0,847.0,106.0
OPENJPA,1,49.44297082228117,IBK,BEST_FIRST_BACKWARD,UNDERSAMPLING,NONE,NaN,0.0,0.7379040342162126,0.0,0.0,0.0,847.0,106.0
OPENJPA,1,49.44297082228117,IBK,NONE,NONE,SENSITIVE_LEARNING,NaN,0.0,0.5,0.0,0.0,0.0,847.0,106.0
OPENJPA,1,49.44297082228117,IBK,NONE,NONE,NONE,NaN,0.0,0.5011583613641932,0.0,0.0,0.0,847.0,106.0
OPENJPA,1,49.44297082228117,IBK,NONE,OVERSAMPLING,SENSITIVE_LEARNING,NaN,0.0,0.5,0.0,0.0,0.0,847.0,106.0
OPENJPA,1,49.44297082228117,IBK,NONE,OVERSAMPLING,NONE,NaN,0.0,0.43384531420552,0.0,0.0,0.0,847.0,106.0
OPENJPA,1,49.44297082228117,IBK,NONE,SMOTE,SENSITIVE_LEARNING,NaN,0.0,0.5,0.0,0.0,0.0,847.0,106.0
OPENJPA,1,49.44297082228117,IBK,NONE,SMOTE,NONE,NaN,0.0,0.5011583613641932,0.0,0.0,0.0,847.0,106.0
OPENJPA,1,49.44297082228117,IBK,NONE,UNDERSAMPLING,SENSITIVE_LEARNING,NaN,0.0,0.5,0.0,0.0,0.0,847.0,106.0
OPENJPA,1,49.44297082228117,IBK,NONE,UNDERSAMPLING,NONE,NaN,0.0,0.5011583613641932,0.0,0.0,0.0,847.0,106.0
OPENJPA,2,66.4200140944327,IBK,BEST_FIRST_FORWARD,NONE,SENSITIVE_LEARNING,NaN,0.0,0.5,0.0,0.0,0.0,859.0,94.0
OPENJPA,2,66.4200140944327,IBK,BEST_FIRST_FORWARD,NONE,NONE,NaN,0.0,0.488117058430139,0.0,0.0,0.0,859.0,94.0
OPENJPA,2,66.4200140944327,IBK,BEST_FIRST_FORWARD,OVERSAMPLING,SENSITIVE_LEARNING,1.0,0.010638297872340425,0.5053191489361702,0.019015573289649666,1.0,0.0,859.0,93.0
OPENJPA,2,66.4200140944327,IBK,BEST_FIRST_FORWARD,OVERSAMPLING,NONE,1.0,0.010638297872340425,0.7142644836895945,0.019015573289649666,1.0,0.0,859.0,93.0
OPENJPA,2,66.4200140944327,IBK,BEST_FIRST_FORWARD,SMOTE,SENSITIVE_LEARNING,0.21739130434782608,0.05319148936170213,0.5161184454957521,0.04857385446504379,5.0,18.0,841.0,89.0
