@relation OPENJPA_TRAINING_16.arff
@attribute SIZE numeric
@attribute LOC_ADDED numeric
@attribute MAX_LOC_ADDED numeric
@attribute AVG_LOC_ADDED numeric
@attribute LOC_DELETED numeric
@attribute MAX_LOC_DELETED numeric
@attribute AVG_LOC_DELETED numeric
@attribute CHURN numeric
@attribute MAX_CHURN numeric
@attribute AVG_CHURN numeric
@attribute FIXED_DEFECTS numeric
@attribute NUMBER_OF_COMMITS numeric
@attribute NUMBER_OF_AUTHORS numeric
@attribute IS_BUGGY {'True', 'False'}
@data
62,62,62,31.0,0,0,31.0,62,62,31.0,0,2,1,False
100,100,100,50.0,0,0,50.0,100,100,50.0,0,2,1,False
211,215,211,53.75,3,2,53.75,212,211,53.0,0,4,2,False
257,259,257,86.33333333333333,2,2,86.33333333333333,257,257,85.66666666666667,0,3,2,False
147,151,147,37.75,3,2,37.75,148,147,37.0,0,4,2,False
50,50,49,16.666666666666668,0,0,16.666666666666668,50,49,16.666666666666668,0,3,1,False
603,618,609,206.0,15,15,206.0,615,609,205.0,0,3,2,False
873,927,900,132.42857142857142,54,34,132.42857142857142,933,900,133.28571428571428,0,7,3,False
52,57,50,19.0,5,5,19.0,52,50,17.333333333333332,0,3,2,False
58,58,58,29.0,0,0,29.0,58,58,29.0,0,2,1,False
158,158,158,79.0,0,0,79.0,158,158,79.0,0,2,1,False
61,65,65,21.666666666666668,4,4,21.666666666666668,69,65,23.0,0,3,1,False
135,135,135,67.5,0,0,67.5,135,135,67.5,0,2,1,False
189,189,189,94.5,0,0,94.5,189,189,94.5,0,2,1,False
376,420,384,140.0,44,44,140.0,392,384,130.66666666666666,0,3,1,False
259,276,262,69.0,17,15,69.0,265,262,66.25,0,4,2,False
32,32,32,16.0,0,0,16.0,32,32,16.0,0,2,1,False
243,244,233,61.0,1,1,61.0,243,233,60.75,0,4,2,True
42,42,42,21.0,0,0,21.0,42,42,21.0,0,2,1,False
126,130,127,32.5,4,3,32.5,128,127,32.0,0,4,2,False
58,61,58,20.333333333333332,3,3,20.333333333333332,58,58,19.333333333333332,0,3,2,False
168,169,168,56.333333333333336,1,1,56.333333333333336,168,168,56.0,0,3,2,False
172,174,164,43.5,2,2,43.5,172,164,43.0,0,4,2,True
322,428,285,61.142857142857146,106,52,61.142857142857146,332,285,47.42857142857143,0,7,3,True
46,46,46,23.0,0,0,23.0,46,46,23.0,0,2,1,False
38,38,38,19.0,0,0,19.0,38,38,19.0,0,2,1,False
96,107,106,26.75,11,10,26.75,116,106,29.0,0,4,2,False
1383,1720,1458,172.0,337,122,172.0,1559,1458,155.9,0,10,3,True
628,726,636,121.0,98,52,121.0,644,636,107.33333333333333,0,6,2,True
43,43,43,21.5,0,0,21.5,43,43,21.5,0,2,1,False
