ID,Size,Predicted,Actual
0,78,4.1497219686281014E-5,YES
1,87,4.1497219686281014E-5,NO
2,68,4.1497219686281014E-5,NO
3,58,1.2447099825740602E-4,NO
4,196,4.1497219686281014E-5,NO
5,132,1.2447099825740602E-4,NO
6,64,4.1497219686281014E-5,NO
7,173,4.1497219686281014E-5,NO
8,246,4.1497219686281014E-5,NO
9,107,4.1497219686281014E-5,NO
10,121,2.488800398208064E-4,NO
11,110,0.004466489103900896,YES
12,58,4.1497219686281014E-5,NO
13,37,4.1497219686281014E-5,NO
14,142,0.004466489103900896,YES
15,114,4.1497219686281014E-5,NO
16,59,4.1497219686281014E-5,NO
17,64,4.1497219686281014E-5,NO
18,164,4.1497219686281014E-5,NO
19,70,4.1497219686281014E-5,NO
20,32,4.1497219686281014E-5,NO
21,148,4.1497219686281014E-5,NO
22,156,4.1497219686281014E-5,NO
23,119,4.1497219686281014E-5,NO
24,118,4.1497219686281014E-5,NO
25,156,4.1497219686281014E-5,NO
26,85,4.1497219686281014E-5,NO
27,48,3.3178500331785003E-4,YES
28,33,4.1497219686281014E-5,NO
29,69,1.2447099825740602E-4,NO
30,77,1.2447099825740602E-4,YES
31,83,1.1064394777605666E-4,YES
32,48,1.2447099825740602E-4,NO
33,85,1.2447099825740602E-4,NO
34,43,1.1064394777605666E-4,NO
35,90,1.2447099825740602E-4,NO
36,202,1.2447099825740602E-4,NO
37,135,1.2447099825740602E-4,NO
38,30,1.2447099825740602E-4,NO
39,29,1.2447099825740602E-4,NO
40,69,1.2447099825740602E-4,NO
41,52,1.2447099825740602E-4,NO
42,89,1.2447099825740602E-4,NO
43,31,9.958175662218681E-5,NO
44,233,9.958175662218681E-5,YES
45,40,1.2447099825740602E-4,NO
46,164,1.1064394777605666E-4,YES
47,40,1.2447099825740602E-4,NO
48,32,1.2447099825740602E-4,NO
49,139,4.526935264825713E-5,NO
50,131,4.526935264825713E-5,YES
51,149,4.526935264825713E-5,YES
52,86,0.004466489103900896,NO
53,52,4.526935264825713E-5,NO
54,88,0.004466489103900896,NO
55,42,0.004466489103900896,NO
56,32,0.004466489103900896,NO
57,40,4.526935264825713E-5,NO
58,51,0.004466489103900896,NO
59,81,0.004466489103900896,NO
60,35,0.004466489103900896,NO
61,55,0.1667219917012448,NO
62,46,0.004466489103900896,NO
63,46,0.004466489103900896,NO
64,27,4.526935264825713E-5,NO
65,12,4.526935264825713E-5,NO
66,48,4.526935264825713E-5,YES
67,317,0.1667219917012448,NO
68,29,4.526935264825713E-5,NO
69,14,4.526935264825713E-5,NO
70,83,0.004466489103900896,NO
71,54,4.526935264825713E-5,NO
72,83,0.004466489103900896,NO
73,40,0.004466489103900896,NO
74,32,0.004466489103900896,NO
75,40,4.526935264825713E-5,NO
76,50,0.004466489103900896,NO
77,81,0.004466489103900896,NO
78,35,0.004466489103900896,NO
79,54,0.1667219917012448,NO
80,46,0.004466489103900896,NO
81,46,0.004466489103900896,NO
82,86,2.2132707715461908E-5,NO
83,25,4.1497219686281014E-5,NO
84,152,2.488800398208064E-4,YES
85,94,4.1497219686281014E-5,NO
86,29,4.1497219686281014E-5,NO
87,52,2.2132707715461908E-5,YES
88,43,4.1497219686281014E-5,NO
89,195,4.1497219686281014E-5,NO
90,243,9.940357852882703E-4,YES
91,28,4.1497219686281014E-5,NO
92,37,4.1497219686281014E-5,NO
93,69,2.2132707715461908E-5,NO
94,28,4.1497219686281014E-5,NO
95,273,0.9990059642147118,YES
96,36,6.639224538573895E-5,NO
97,51,4.1497219686281014E-5,NO
98,38,4.1497219686281014E-5,NO
99,52,4.1497219686281014E-5,NO
100,37,4.1497219686281014E-5,NO
101,46,4.1497219686281014E-5,NO
102,5,1.1064394777605666E-4,YES
103,113,4.1497219686281014E-5,NO
104,36,4.1497219686281014E-5,NO
105,116,4.1497219686281014E-5,NO
106,116,1.1064394777605666E-4,YES
107,48,0.1667219917012448,NO
108,32,4.526935264825713E-5,NO
109,34,0.1667219917012448,NO
110,26,1.2447099825740602E-4,NO
111,50,4.1497219686281014E-5,NO
112,31,4.1497219686281014E-5,NO
113,98,4.1497219686281014E-5,NO
114,26,4.1497219686281014E-5,NO
115,25,4.1497219686281014E-5,NO
116,40,4.1497219686281014E-5,NO
117,59,4.1497219686281014E-5,NO
118,36,4.1497219686281014E-5,NO
119,58,4.1497219686281014E-5,NO
120,37,4.1497219686281014E-5,NO
121,268,4.1497219686281014E-5,YES
122,99,0.09098316132536666,NO
123,57,1.2447099825740602E-4,NO
124,31,0.1667219917012448,NO
125,70,4.1497219686281014E-5,NO
126,41,4.526935264825713E-5,NO
127,28,4.526935264825713E-5,NO
128,34,0.1667219917012448,NO
129,26,1.2447099825740602E-4,NO
130,72,2.6349489083406673E-6,NO
131,1424,0.9990059642147118,YES
132,345,3.3178500331785003E-4,YES
133,36,1.2447099825740602E-4,YES
134,32,1.2447099825740602E-4,YES
135,49,1.2447099825740602E-4,YES
136,27,2.6349489083406673E-6,NO
137,423,9.940357852882703E-4,YES
138,119,2.6349489083406673E-6,NO
139,153,2.6349489083406673E-6,NO
140,51,2.6349489083406673E-6,NO
141,51,2.6349489083406673E-6,NO
142,108,2.6349489083406673E-6,NO
143,46,2.6349489083406673E-6,NO
144,53,2.6349489083406673E-6,NO
145,436,2.6349489083406673E-6,NO
146,382,2.6349489083406673E-6,NO
147,30,2.6349489083406673E-6,NO
148,22,2.6349489083406673E-6,NO
149,108,1.2447099825740602E-4,YES
150,253,1.2447099825740602E-4,YES
151,75,2.6349489083406673E-6,NO
152,93,2.6349489083406673E-6,NO
153,49,2.6349489083406673E-6,NO
154,383,2.6349489083406673E-6,NO
155,59,2.6349489083406673E-6,NO
156,124,1.2447099825740602E-4,YES
157,344,2.6349489083406673E-6,YES
158,344,1.2447099825740602E-4,YES
159,443,2.6349489083406673E-6,YES
160,1127,2.6349489083406673E-6,YES
161,614,2.6349489083406673E-6,YES
162,723,2.6349489083406673E-6,YES
163,402,2.6349489083406673E-6,YES
164,389,1.2447099825740602E-4,YES
165,344,2.6349489083406673E-6,YES
166,441,2.6349489083406673E-6,YES
167,1079,1.2447099825740602E-4,YES
168,2346,1.2447099825740602E-4,YES
169,625,0.004466489103900896,YES
170,436,2.6349489083406673E-6,YES
171,335,2.6349489083406673E-6,YES
172,695,2.6349489083406673E-6,YES
173,824,2.6349489083406673E-6,YES
174,441,2.6349489083406673E-6,YES
175,679,2.6349489083406673E-6,YES
176,344,2.6349489083406673E-6,YES
177,479,2.6349489083406673E-6,YES
178,549,2.6349489083406673E-6,YES
179,336,2.6349489083406673E-6,YES
180,16276,1.2447099825740602E-4,YES
181,344,2.6349489083406673E-6,YES
182,241,2.6349489083406673E-6,YES
183,565,2.6349489083406673E-6,YES
184,433,2.6349489083406673E-6,YES
185,443,2.6349489083406673E-6,YES
186,772,2.6349489083406673E-6,YES
187,443,2.6349489083406673E-6,YES
188,676,2.6349489083406673E-6,YES
189,478,2.6349489083406673E-6,YES
190,452,1.2447099825740602E-4,YES
191,722,2.6349489083406673E-6,YES
192,1124,1.2447099825740602E-4,YES
193,61,2.6349489083406673E-6,YES
194,1101,1.2447099825740602E-4,YES
195,43,2.6349489083406673E-6,NO
196,61,2.6349489083406673E-6,NO
197,38,2.6349489083406673E-6,NO
198,32,2.6349489083406673E-6,NO
199,32,2.6349489083406673E-6,NO
200,32,2.6349489083406673E-6,NO
201,35,2.6349489083406673E-6,NO
202,30,2.6349489083406673E-6,NO
203,30,2.6349489083406673E-6,NO
204,49,4.1497219686281014E-5,NO
205,59,2.6349489083406673E-6,NO
206,53,2.6349489083406673E-6,NO
207,57,2.6349489083406673E-6,NO
208,384,4.975124378109452E-4,YES
209,112,4.1497219686281014E-5,YES
210,71,2.2132707715461908E-5,YES
211,136,4.1497219686281014E-5,NO
212,145,2.2132707715461908E-5,YES
213,43,9.958175662218681E-5,YES
214,52,0.004466489103900896,NO
215,99,0.09098316132536666,YES
216,166,2.2132707715461908E-5,YES
217,31,9.958175662218681E-5,YES
218,165,0.09098316132536666,YES
219,31,9.958175662218681E-5,YES
220,158,2.2132707715461908E-5,YES
221,83,9.958175662218681E-5,YES
222,155,2.2132707715461908E-5,YES
223,74,2.488800398208064E-4,YES
224,301,3.3178500331785003E-4,YES
225,41,4.1497219686281014E-5,NO
226,54,2.488800398208064E-4,YES
227,66,0.09098316132536666,YES
228,57,0.09098316132536666,YES
229,72,2.6349489083406673E-6,NO
230,64,2.6349489083406673E-6,NO
231,155,2.6349489083406673E-6,NO
232,34,2.6349489083406673E-6,NO
233,38,2.6349489083406673E-6,NO
234,41,2.6349489083406673E-6,NO
235,23,2.6349489083406673E-6,NO
236,22,2.6349489083406673E-6,NO
237,60,2.6349489083406673E-6,NO
238,24,2.6349489083406673E-6,NO
239,22,2.6349489083406673E-6,NO
240,55,2.6349489083406673E-6,NO
241,45,2.6349489083406673E-6,NO
242,50,2.6349489083406673E-6,NO
243,38,2.6349489083406673E-6,NO
244,31,2.6349489083406673E-6,NO
245,30,2.2132707715461908E-5,NO
246,31,2.2132707715461908E-5,NO
247,38,2.2132707715461908E-5,NO
248,31,2.2132707715461908E-5,NO
249,32,2.2132707715461908E-5,NO
250,80,0.004466489103900896,NO
251,82,0.004466489103900896,NO
252,202,9.940357852882703E-4,NO
253,40,0.004466489103900896,NO
254,185,9.940357852882703E-4,NO
255,51,0.004466489103900896,NO
256,31,2.6349489083406673E-6,NO
257,28,2.6349489083406673E-6,NO
258,25,2.6349489083406673E-6,NO
259,25,2.6349489083406673E-6,NO
260,33,2.6349489083406673E-6,NO
261,448,1.2447099825740602E-4,YES
262,54,2.6349489083406673E-6,NO
263,39,2.6349489083406673E-6,NO
264,40,2.6349489083406673E-6,NO
265,45,2.6349489083406673E-6,NO
266,58,2.6349489083406673E-6,NO
267,110,2.6349489083406673E-6,NO
268,89,2.6349489083406673E-6,NO
269,57,2.6349489083406673E-6,NO
270,89,2.6349489083406673E-6,NO
271,52,2.6349489083406673E-6,NO
272,219,1.2447099825740602E-4,YES
273,125,1.2447099825740602E-4,YES
274,346,1.2447099825740602E-4,YES
275,98,1.2447099825740602E-4,YES
276,343,0.09098316132536666,YES
277,296,1.2447099825740602E-4,YES
278,47,2.2132707715461908E-5,YES
279,284,3.3178500331785003E-4,YES
280,87,0.09098316132536666,YES
281,43,1.2447099825740602E-4,YES
282,47,2.6349489083406673E-6,NO
283,55,1.2447099825740602E-4,YES
284,41,0.09098316132536666,YES
285,42,2.488800398208064E-4,YES
286,50,1.2447099825740602E-4,YES
287,41,1.2447099825740602E-4,YES
288,59,1.2447099825740602E-4,YES
289,45,1.2447099825740602E-4,YES
290,116,1.2447099825740602E-4,YES
291,172,2.488800398208064E-4,YES
292,94,2.2132707715461908E-5,YES
293,159,1.2447099825740602E-4,YES
294,56,1.2447099825740602E-4,YES
295,77,0.09098316132536666,YES
296,114,1.2447099825740602E-4,YES
297,77,1.2447099825740602E-4,YES
298,80,1.2447099825740602E-4,YES
299,46,1.2447099825740602E-4,YES
300,157,1.2447099825740602E-4,YES
301,57,1.2447099825740602E-4,YES
302,57,1.2447099825740602E-4,YES
303,131,1.1064394777605666E-4,YES
304,70,1.2447099825740602E-4,YES
305,110,2.6349489083406673E-6,NO
306,70,1.2447099825740602E-4,YES
307,114,2.6349489083406673E-6,NO
308,261,0.09098316132536666,YES
309,281,6.639224538573895E-5,YES
310,108,1.2447099825740602E-4,YES
311,44,1.2447099825740602E-4,YES
312,104,1.2447099825740602E-4,YES
313,206,1.2447099825740602E-4,YES
314,86,1.2447099825740602E-4,YES
315,89,2.6349489083406673E-6,YES
316,64,2.6349489083406673E-6,NO
317,61,2.2132707715461908E-5,NO
318,64,3.3178500331785003E-4,NO
319,68,2.2132707715461908E-5,NO
320,23,2.6349489083406673E-6,NO
321,40,2.6349489083406673E-6,NO
322,25,2.6349489083406673E-6,NO
323,26,2.6349489083406673E-6,NO
324,59,2.6349489083406673E-6,NO
325,60,2.6349489083406673E-6,NO
326,51,2.6349489083406673E-6,NO
327,58,2.6349489083406673E-6,NO
328,61,2.6349489083406673E-6,NO
329,35,0.09098316132536666,NO
330,224,2.6349489083406673E-6,NO
331,32,2.6349489083406673E-6,NO
332,32,2.6349489083406673E-6,NO
333,32,2.6349489083406673E-6,NO
334,32,2.6349489083406673E-6,NO
335,23,2.6349489083406673E-6,NO
336,24,2.6349489083406673E-6,NO
337,105,2.2132707715461908E-5,NO
338,29,2.6349489083406673E-6,NO
339,34,2.6349489083406673E-6,NO
340,28,2.6349489083406673E-6,NO
341,31,2.6349489083406673E-6,NO
342,38,2.6349489083406673E-6,NO
343,32,2.6349489083406673E-6,NO
344,28,2.6349489083406673E-6,NO
345,41,2.6349489083406673E-6,NO
346,260,9.940357852882703E-4,YES
347,41,2.6349489083406673E-6,NO
348,134,2.6349489083406673E-6,NO
349,29,2.6349489083406673E-6,NO
350,22,2.6349489083406673E-6,NO
351,25,2.6349489083406673E-6,NO
352,24,2.6349489083406673E-6,NO
353,28,2.6349489083406673E-6,NO
354,30,2.6349489083406673E-6,NO
355,198,2.6349489083406673E-6,NO
356,84,2.6349489083406673E-6,YES
