ID,Size,Predicted,Actual
0,120,2.84608378870674E-5,NO
1,22,6.324910660636918E-6,NO
2,75,1.4230823964707557E-5,NO
3,135,0.9999430815641188,NO
4,79,5.6918435881381986E-5,NO
5,91,2.84608378870674E-5,NO
6,70,2.84608378870674E-5,NO
7,57,0.2500071154119824,NO
8,70,2.84608378870674E-5,NO
9,59,6.324910660636918E-6,NO
10,88,5.6918435881381986E-5,NO
11,40,0.2631593139090705,NO
12,104,0.5000000000000001,NO
13,196,5.6918435881381986E-5,NO
14,202,5.6918435881381986E-5,NO
15,97,5.6918435881381986E-5,NO
16,99,1.4230823964707557E-5,NO
17,96,1.8974251940117262E-5,NO
18,189,0.9999430815641188,NO
19,151,5.6918435881381986E-5,NO
20,153,5.6918435881381986E-5,NO
21,199,5.6918435881381986E-5,NO
22,90,2.84608378870674E-5,NO
23,115,0.20000683083438645,NO
24,62,1.138472397736717E-5,NO
25,61,6.324910660636918E-6,NO
26,91,2.84608378870674E-5,NO
27,81,0.5999977230552046,NO
28,91,2.84608378870674E-5,NO
29,67,1.8974251940117262E-5,NO
30,88,5.6918435881381986E-5,NO
31,85,1.8974251940117262E-5,NO
32,49,1.4230823964707557E-5,NO
33,102,2.84608378870674E-5,NO
34,94,0.2500071154119824,NO
35,72,1.8974251940117262E-5,NO
36,70,2.84608378870674E-5,NO
37,87,2.84608378870674E-5,NO
38,166,5.6918435881381986E-5,NO
39,116,5.6918435881381986E-5,NO
40,155,5.6918435881381986E-5,NO
41,67,1.8974251940117262E-5,NO
42,88,5.6918435881381986E-5,NO
43,40,0.2631593139090705,NO
44,57,0.2500071154119824,NO
45,39,0.28571602829958526,NO
46,98,2.84608378870674E-5,NO
47,106,2.84608378870674E-5,NO
48,101,2.84608378870674E-5,NO
49,94,0.2500071154119824,NO
50,76,0.40000227694479557,NO
51,116,5.6918435881381986E-5,NO
52,56,8.13199860129624E-6,NO
53,48,1.138472397736717E-5,NO
54,82,5.6918435881381986E-5,NO
55,45,0.1666729915373231,NO
56,45,0.1666729915373231,NO
57,30,0.10000455394143631,NO
58,78,0.047621500153154306,NO
59,302,1.4230823964707557E-5,NO
60,87,0.23255884763093687,NO
61,198,0.6470578386758683,NO
62,175,7.115513241970143E-6,NO
63,65,0.19117698763894259,NO
64,105,0.13636551816930417,NO
65,58,0.017544823288435978,NO
66,196,6.324910660636918E-6,NO
67,106,1.8974900002276987E-6,NO
68,130,0.05882648397239495,NO
69,64,0.025974726853217476,NO
70,132,0.5,NO
