ID,Size,Predicted,Actual
0,78,0.019999999999999997,YES
1,87,0.019999999999999997,NO
2,68,0.019999999999999997,NO
3,58,0.9285714285714285,NO
4,196,0.9285714285714285,NO
5,132,0.9285714285714285,NO
6,64,0.019999999999999997,NO
7,173,0.9285714285714285,NO
8,246,0.9285714285714285,NO
9,107,0.019999999999999997,NO
10,121,0.9285714285714285,NO
11,110,0.9285714285714285,YES
12,58,0.019999999999999997,NO
13,37,0.019999999999999997,NO
14,142,0.9285714285714285,YES
15,114,0.019999999999999997,NO
16,59,0.019999999999999997,NO
17,64,0.019999999999999997,NO
18,164,0.9285714285714285,NO
19,70,0.019999999999999997,NO
20,32,0.019999999999999997,NO
21,148,0.9285714285714285,NO
22,156,0.9285714285714285,NO
23,119,0.9285714285714285,NO
24,118,0.9285714285714285,NO
25,156,0.9285714285714285,NO
26,85,0.019999999999999997,NO
27,48,0.9285714285714285,YES
28,33,0.019999999999999997,NO
29,69,0.9285714285714285,NO
30,77,0.9285714285714285,YES
31,83,0.9285714285714285,YES
32,48,0.9285714285714285,NO
33,85,0.9285714285714285,NO
34,43,0.9285714285714285,NO
35,90,0.9285714285714285,NO
36,202,0.9285714285714285,NO
37,135,0.9285714285714285,NO
38,30,0.9285714285714285,NO
39,29,0.9285714285714285,NO
40,69,0.9285714285714285,NO
41,52,0.9285714285714285,NO
42,89,0.9285714285714285,NO
43,31,0.9285714285714285,NO
44,233,0.9285714285714285,YES
45,40,0.9285714285714285,NO
46,164,0.9285714285714285,YES
47,40,0.9285714285714285,NO
48,32,0.9285714285714285,NO
49,139,0.9285714285714285,NO
50,131,0.9285714285714285,YES
51,149,0.9285714285714285,YES
52,86,0.9285714285714285,NO
53,52,0.9285714285714285,NO
54,88,0.9285714285714285,NO
55,42,0.9285714285714285,NO
56,32,0.9285714285714285,NO
57,40,0.9285714285714285,NO
58,51,0.9285714285714285,NO
59,81,0.9285714285714285,NO
60,35,0.9285714285714285,NO
61,55,0.9285714285714285,NO
62,46,0.9285714285714285,NO
63,46,0.9285714285714285,NO
64,27,0.9285714285714285,NO
65,12,0.9285714285714285,NO
66,48,0.9285714285714285,YES
67,317,0.9285714285714285,NO
68,29,0.9285714285714285,NO
69,14,0.9285714285714285,NO
70,83,0.9285714285714285,NO
71,54,0.9285714285714285,NO
72,83,0.9285714285714285,NO
73,40,0.9285714285714285,NO
74,32,0.9285714285714285,NO
75,40,0.9285714285714285,NO
76,50,0.9285714285714285,NO
77,81,0.9285714285714285,NO
78,35,0.9285714285714285,NO
79,54,0.9285714285714285,NO
80,46,0.9285714285714285,NO
81,46,0.9285714285714285,NO
82,86,0.9285714285714285,NO
83,25,0.019999999999999997,NO
84,152,0.9285714285714285,YES
85,94,0.019999999999999997,NO
86,29,0.019999999999999997,NO
87,52,0.9285714285714285,YES
88,43,0.019999999999999997,NO
89,195,0.9285714285714285,NO
90,243,0.9285714285714285,YES
91,28,0.019999999999999997,NO
92,37,0.019999999999999997,NO
93,69,0.9285714285714285,NO
94,28,0.019999999999999997,NO
95,273,0.9285714285714285,YES
96,36,0.9285714285714285,NO
97,51,0.019999999999999997,NO
98,38,0.019999999999999997,NO
99,52,0.019999999999999997,NO
100,37,0.019999999999999997,NO
101,46,0.019999999999999997,NO
102,5,0.9285714285714285,YES
103,113,0.019999999999999997,NO
104,36,0.019999999999999997,NO
105,116,0.019999999999999997,NO
106,116,0.9285714285714285,YES
107,48,0.9285714285714285,NO
108,32,0.9285714285714285,NO
109,34,0.9285714285714285,NO
110,26,0.9285714285714285,NO
111,50,0.019999999999999997,NO
112,31,0.019999999999999997,NO
113,98,0.019999999999999997,NO
114,26,0.019999999999999997,NO
115,25,0.019999999999999997,NO
116,40,0.019999999999999997,NO
117,59,0.019999999999999997,NO
118,36,0.019999999999999997,NO
119,58,0.019999999999999997,NO
120,37,0.019999999999999997,NO
121,268,0.9285714285714285,YES
122,99,0.9285714285714285,NO
123,57,0.9285714285714285,NO
124,31,0.9285714285714285,NO
125,70,0.019999999999999997,NO
126,41,0.9285714285714285,NO
127,28,0.9285714285714285,NO
128,34,0.9285714285714285,NO
129,26,0.9285714285714285,NO
130,72,0.019999999999999997,NO
131,1424,0.9285714285714285,YES
132,345,0.9285714285714285,YES
133,36,0.9285714285714285,YES
134,32,0.9285714285714285,YES
135,49,0.9285714285714285,YES
136,27,0.019999999999999997,NO
137,423,0.9285714285714285,YES
138,119,0.019999999999999997,NO
139,153,0.019999999999999997,NO
140,51,0.019999999999999997,NO
141,51,0.019999999999999997,NO
142,108,0.019999999999999997,NO
143,46,0.019999999999999997,NO
144,53,0.019999999999999997,NO
145,436,0.019999999999999997,NO
146,382,0.019999999999999997,NO
147,30,0.019999999999999997,NO
148,22,0.019999999999999997,NO
149,108,0.9285714285714285,YES
150,253,0.9285714285714285,YES
151,75,0.019999999999999997,NO
152,93,0.019999999999999997,NO
153,49,0.019999999999999997,NO
154,383,0.019999999999999997,NO
155,59,0.019999999999999997,NO
156,124,0.9285714285714285,YES
157,344,0.019999999999999997,YES
158,344,0.9285714285714285,YES
159,443,0.019999999999999997,YES
160,1127,0.019999999999999997,YES
161,614,0.019999999999999997,YES
162,723,0.019999999999999997,YES
163,402,0.019999999999999997,YES
164,389,0.9285714285714285,YES
165,344,0.019999999999999997,YES
166,441,0.019999999999999997,YES
167,1079,0.9285714285714285,YES
168,2346,0.9285714285714285,YES
169,625,0.9285714285714285,YES
170,436,0.019999999999999997,YES
171,335,0.019999999999999997,YES
172,695,0.019999999999999997,YES
173,824,0.019999999999999997,YES
174,441,0.019999999999999997,YES
175,679,0.019999999999999997,YES
176,344,0.019999999999999997,YES
177,479,0.019999999999999997,YES
178,549,0.019999999999999997,YES
179,336,0.019999999999999997,YES
180,16276,0.9285714285714285,YES
181,344,0.019999999999999997,YES
182,241,0.019999999999999997,YES
183,565,0.019999999999999997,YES
184,433,0.019999999999999997,YES
185,443,0.019999999999999997,YES
186,772,0.019999999999999997,YES
187,443,0.019999999999999997,YES
188,676,0.019999999999999997,YES
189,478,0.019999999999999997,YES
190,452,0.9285714285714285,YES
191,722,0.019999999999999997,YES
192,1124,0.9285714285714285,YES
193,61,0.019999999999999997,YES
194,1101,0.9285714285714285,YES
195,43,0.019999999999999997,NO
196,61,0.019999999999999997,NO
197,38,0.019999999999999997,NO
198,32,0.019999999999999997,NO
199,32,0.019999999999999997,NO
200,32,0.019999999999999997,NO
201,35,0.019999999999999997,NO
202,30,0.019999999999999997,NO
203,30,0.019999999999999997,NO
204,49,0.019999999999999997,NO
205,59,0.019999999999999997,NO
206,53,0.019999999999999997,NO
207,57,0.019999999999999997,NO
208,384,0.9285714285714285,YES
209,112,0.019999999999999997,YES
210,71,0.9285714285714285,YES
211,136,0.9285714285714285,NO
212,145,0.9285714285714285,YES
213,43,0.9285714285714285,YES
214,52,0.07142857142857142,NO
215,99,0.9285714285714285,YES
216,166,0.9285714285714285,YES
217,31,0.9285714285714285,YES
218,165,0.9285714285714285,YES
219,31,0.9285714285714285,YES
220,158,0.9285714285714285,YES
221,83,0.9285714285714285,YES
222,155,0.9285714285714285,YES
223,74,0.9285714285714285,YES
224,301,0.9285714285714285,YES
225,41,0.019999999999999997,NO
226,54,0.9285714285714285,YES
227,66,0.9285714285714285,YES
228,57,0.9285714285714285,YES
229,72,0.019999999999999997,NO
230,64,0.019999999999999997,NO
231,155,0.019999999999999997,NO
232,34,0.019999999999999997,NO
233,38,0.019999999999999997,NO
234,41,0.019999999999999997,NO
235,23,0.019999999999999997,NO
236,22,0.019999999999999997,NO
237,60,0.019999999999999997,NO
238,24,0.019999999999999997,NO
239,22,0.019999999999999997,NO
240,55,0.019999999999999997,NO
241,45,0.019999999999999997,NO
242,50,0.019999999999999997,NO
243,38,0.019999999999999997,NO
244,31,0.019999999999999997,NO
245,30,0.9285714285714285,NO
246,31,0.9285714285714285,NO
247,38,0.9285714285714285,NO
248,31,0.9285714285714285,NO
249,32,0.9285714285714285,NO
250,80,0.07142857142857142,NO
251,82,0.07142857142857142,NO
252,202,0.9285714285714285,NO
253,40,0.07142857142857142,NO
254,185,0.9285714285714285,NO
255,51,0.07142857142857142,NO
256,31,0.019999999999999997,NO
257,28,0.019999999999999997,NO
258,25,0.019999999999999997,NO
259,25,0.019999999999999997,NO
260,33,0.019999999999999997,NO
261,448,0.9285714285714285,YES
262,54,0.019999999999999997,NO
263,39,0.019999999999999997,NO
264,40,0.019999999999999997,NO
265,45,0.019999999999999997,NO
266,58,0.019999999999999997,NO
267,110,0.019999999999999997,NO
268,89,0.019999999999999997,NO
269,57,0.019999999999999997,NO
270,89,0.019999999999999997,NO
271,52,0.019999999999999997,NO
272,219,0.9285714285714285,YES
273,125,0.9285714285714285,YES
274,346,0.9285714285714285,YES
275,98,0.9285714285714285,YES
276,343,0.9285714285714285,YES
277,296,0.9285714285714285,YES
278,47,0.9285714285714285,YES
279,284,0.9285714285714285,YES
280,87,0.9285714285714285,YES
281,43,0.9285714285714285,YES
282,47,0.019999999999999997,NO
283,55,0.9285714285714285,YES
284,41,0.9285714285714285,YES
285,42,0.9285714285714285,YES
286,50,0.9285714285714285,YES
287,41,0.9285714285714285,YES
288,59,0.9285714285714285,YES
289,45,0.9285714285714285,YES
290,116,0.9285714285714285,YES
291,172,0.9285714285714285,YES
292,94,0.9285714285714285,YES
293,159,0.9285714285714285,YES
294,56,0.9285714285714285,YES
295,77,0.9285714285714285,YES
296,114,0.9285714285714285,YES
297,77,0.9285714285714285,YES
298,80,0.9285714285714285,YES
299,46,0.9285714285714285,YES
300,157,0.9285714285714285,YES
301,57,0.9285714285714285,YES
302,57,0.9285714285714285,YES
303,131,0.9285714285714285,YES
304,70,0.9285714285714285,YES
305,110,0.019999999999999997,NO
306,70,0.9285714285714285,YES
307,114,0.019999999999999997,NO
308,261,0.9285714285714285,YES
309,281,0.9285714285714285,YES
310,108,0.9285714285714285,YES
311,44,0.9285714285714285,YES
312,104,0.9285714285714285,YES
313,206,0.9285714285714285,YES
314,86,0.9285714285714285,YES
315,89,0.019999999999999997,YES
316,64,0.019999999999999997,NO
317,61,0.9285714285714285,NO
318,64,0.9285714285714285,NO
319,68,0.9285714285714285,NO
320,23,0.019999999999999997,NO
321,40,0.019999999999999997,NO
322,25,0.019999999999999997,NO
323,26,0.019999999999999997,NO
324,59,0.019999999999999997,NO
325,60,0.019999999999999997,NO
326,51,0.019999999999999997,NO
327,58,0.019999999999999997,NO
328,61,0.019999999999999997,NO
329,35,0.9285714285714285,NO
330,224,0.019999999999999997,NO
331,32,0.019999999999999997,NO
332,32,0.019999999999999997,NO
333,32,0.019999999999999997,NO
334,32,0.019999999999999997,NO
335,23,0.019999999999999997,NO
336,24,0.019999999999999997,NO
337,105,0.9285714285714285,NO
338,29,0.019999999999999997,NO
339,34,0.019999999999999997,NO
340,28,0.019999999999999997,NO
341,31,0.019999999999999997,NO
342,38,0.019999999999999997,NO
343,32,0.019999999999999997,NO
344,28,0.019999999999999997,NO
345,41,0.019999999999999997,NO
346,260,0.9285714285714285,YES
347,41,0.019999999999999997,NO
348,134,0.019999999999999997,NO
349,29,0.019999999999999997,NO
350,22,0.019999999999999997,NO
351,25,0.019999999999999997,NO
352,24,0.019999999999999997,NO
353,28,0.019999999999999997,NO
354,30,0.019999999999999997,NO
355,198,0.019999999999999997,NO
356,84,0.019999999999999997,YES
357,22,0.019999999999999997,NO
358,31,0.019999999999999997,NO
359,32,0.019999999999999997,NO
360,225,0.019999999999999997,NO
361,383,0.9285714285714285,YES
362,314,0.9285714285714285,YES
363,106,0.019999999999999997,NO
364,25,0.019999999999999997,NO
365,52,0.019999999999999997,NO
366,52,0.019999999999999997,NO
367,72,0.019999999999999997,NO
368,39,0.019999999999999997,NO
369,48,0.019999999999999997,NO
370,42,0.019999999999999997,NO
371,67,0.019999999999999997,NO
372,55,0.019999999999999997,NO
373,57,0.019999999999999997,NO
374,100,0.019999999999999997,NO
375,42,0.019999999999999997,NO
376,179,0.019999999999999997,NO
377,95,0.9285714285714285,YES
378,42,0.019999999999999997,NO
379,61,0.019999999999999997,NO
380,24,0.019999999999999997,NO
381,61,0.019999999999999997,NO
382,181,0.019999999999999997,NO
383,38,0.019999999999999997,NO
384,57,0.019999999999999997,NO
385,51,0.019999999999999997,NO
386,60,0.019999999999999997,NO
387,50,0.019999999999999997,NO
388,51,0.019999999999999997,NO
389,186,0.019999999999999997,NO
390,52,0.019999999999999997,NO
391,32,0.9285714285714285,NO
392,35,0.9285714285714285,NO
393,37,0.9285714285714285,YES
394,105,0.019999999999999997,NO
