ID,Size,Predicted,Actual
0,78,1.0,YES
1,87,1.0,NO
2,68,1.0,NO
3,58,1.0,YES
4,196,1.0,NO
5,78,1.0,NO
6,64,1.0,NO
7,173,1.0,NO
8,246,1.0,NO
9,107,1.0,NO
10,110,1.0,YES
11,58,1.0,NO
12,37,1.0,NO
13,142,1.0,YES
14,114,1.0,NO
15,59,1.0,NO
16,64,1.0,NO
17,164,1.0,NO
18,70,1.0,NO
19,32,1.0,NO
20,148,1.0,NO
21,156,1.0,NO
22,119,1.0,NO
23,118,1.0,NO
24,156,1.0,NO
25,85,1.0,NO
26,39,1.0,YES
27,33,1.0,NO
28,81,1.0,NO
29,25,1.0,NO
30,147,1.0,YES
31,94,1.0,NO
32,29,1.0,NO
33,52,1.0,YES
34,43,1.0,NO
35,195,1.0,NO
36,243,1.0,YES
37,28,1.0,NO
38,37,1.0,NO
39,64,1.0,NO
40,28,1.0,NO
41,265,1.0,YES
42,36,1.0,NO
43,51,1.0,NO
44,38,1.0,NO
45,52,1.0,NO
46,37,1.0,NO
47,46,1.0,NO
48,113,1.0,NO
49,36,1.0,NO
50,116,1.0,NO
51,89,1.0,YES
52,50,1.0,NO
53,31,1.0,NO
54,98,1.0,NO
55,26,1.0,NO
56,25,1.0,NO
57,40,1.0,NO
58,59,1.0,NO
59,36,1.0,NO
60,58,1.0,NO
61,37,1.0,NO
62,268,1.0,YES
63,70,1.0,NO
64,72,1.0,NO
65,993,1.0,YES
66,155,1.0,YES
67,35,1.0,YES
68,47,1.0,YES
69,27,1.0,NO
70,301,1.0,YES
71,119,1.0,NO
72,153,1.0,NO
73,51,1.0,NO
74,51,1.0,NO
75,108,1.0,NO
76,46,1.0,NO
77,53,1.0,NO
78,436,1.0,NO
79,382,1.0,NO
80,30,1.0,NO
81,22,1.0,NO
82,91,1.0,YES
83,169,1.0,YES
84,75,1.0,NO
85,93,1.0,NO
86,49,1.0,NO
87,383,1.0,NO
88,59,1.0,NO
89,95,1.0,YES
90,344,1.0,YES
91,443,1.0,YES
92,1127,1.0,YES
93,614,1.0,YES
94,723,1.0,YES
95,402,1.0,YES
96,344,1.0,YES
97,441,1.0,YES
98,981,1.0,YES
99,2032,1.0,YES
100,625,1.0,YES
101,436,1.0,YES
102,335,1.0,YES
103,695,1.0,YES
104,824,1.0,YES
105,441,1.0,YES
106,679,1.0,YES
107,344,1.0,YES
108,479,1.0,YES
109,549,1.0,YES
110,336,1.0,YES
111,13508,1.0,YES
112,344,1.0,YES
113,241,1.0,YES
114,565,1.0,YES
115,433,1.0,YES
116,443,1.0,YES
117,772,1.0,YES
118,443,1.0,YES
119,676,1.0,YES
120,478,1.0,YES
121,356,1.0,YES
122,722,1.0,YES
123,934,1.0,YES
124,61,1.0,YES
125,911,1.0,YES
126,43,1.0,NO
127,61,1.0,NO
128,38,1.0,NO
129,32,1.0,NO
130,32,1.0,NO
131,32,1.0,NO
132,35,1.0,NO
133,30,1.0,NO
134,30,1.0,NO
135,49,1.0,NO
136,59,1.0,NO
137,53,1.0,NO
138,57,1.0,NO
139,350,1.0,YES
140,112,1.0,NO
141,69,1.0,YES
142,136,1.0,NO
143,115,1.0,YES
144,39,1.0,YES
145,52,1.0,NO
146,243,1.0,YES
147,41,1.0,NO
148,44,1.0,YES
149,66,1.0,YES
150,45,1.0,YES
151,72,1.0,NO
152,64,1.0,NO
153,155,1.0,NO
154,34,1.0,NO
155,38,1.0,NO
156,41,1.0,NO
157,23,1.0,NO
158,22,1.0,NO
159,60,1.0,NO
160,24,1.0,NO
161,22,1.0,NO
162,55,1.0,NO
163,45,1.0,NO
164,50,1.0,NO
165,38,1.0,NO
166,31,1.0,NO
167,80,1.0,NO
168,82,1.0,NO
169,179,1.0,YES
170,40,1.0,NO
171,122,1.0,YES
172,51,1.0,NO
173,31,1.0,NO
174,28,1.0,NO
175,25,1.0,NO
176,25,1.0,NO
177,33,1.0,NO
178,435,1.0,YES
179,54,1.0,NO
180,39,1.0,NO
181,40,1.0,NO
182,45,1.0,NO
183,58,1.0,NO
184,110,1.0,NO
185,89,1.0,NO
186,57,1.0,NO
187,89,1.0,NO
188,52,1.0,NO
189,97,1.0,YES
190,47,1.0,NO
191,55,1.0,YES
192,108,1.0,YES
193,160,1.0,YES
194,124,1.0,YES
195,79,1.0,YES
196,79,1.0,YES
197,57,1.0,YES
198,57,1.0,YES
199,110,1.0,NO
200,69,1.0,YES
201,114,1.0,NO
202,89,1.0,NO
203,64,1.0,NO
204,23,1.0,NO
205,40,1.0,NO
206,25,1.0,NO
207,26,1.0,NO
208,59,1.0,NO
209,60,1.0,NO
210,51,1.0,NO
211,58,1.0,NO
212,61,1.0,NO
213,224,1.0,NO
214,32,1.0,NO
215,32,1.0,NO
216,32,1.0,NO
217,32,1.0,NO
218,23,1.0,NO
219,24,1.0,NO
220,105,1.0,YES
221,29,1.0,NO
222,34,1.0,NO
223,28,1.0,NO
224,31,1.0,NO
225,38,1.0,NO
226,32,1.0,NO
227,28,1.0,NO
228,41,1.0,NO
229,130,1.0,YES
230,41,1.0,NO
231,134,1.0,NO
232,29,1.0,NO
233,22,1.0,NO
234,25,1.0,NO
235,24,1.0,NO
236,28,1.0,NO
237,30,1.0,NO
238,198,1.0,NO
239,84,1.0,YES
240,22,1.0,NO
241,31,1.0,NO
242,32,1.0,NO
243,225,1.0,NO
244,230,1.0,YES
245,286,1.0,YES
246,106,1.0,NO
247,25,1.0,NO
248,52,1.0,NO
249,52,1.0,NO
250,72,1.0,NO
251,39,1.0,NO
252,48,1.0,NO
253,42,1.0,NO
254,67,1.0,NO
255,55,1.0,NO
256,57,1.0,NO
257,100,1.0,NO
258,42,1.0,NO
259,179,1.0,NO
260,42,1.0,NO
261,61,1.0,NO
262,24,1.0,NO
263,61,1.0,NO
264,181,1.0,NO
265,38,1.0,NO
266,57,1.0,NO
267,51,1.0,NO
268,60,1.0,NO
269,50,1.0,NO
270,51,1.0,NO
271,186,1.0,NO
272,52,1.0,NO
273,105,1.0,NO
274,63,1.0,NO
275,62,1.0,NO
276,139,1.0,NO
277,76,1.0,NO
278,60,1.0,NO
279,41,1.0,NO
280,31,1.0,NO
281,45,1.0,NO
282,85,1.0,NO
283,37,1.0,NO
284,61,1.0,NO
285,86,1.0,NO
286,34,1.0,NO
287,83,1.0,NO
288,54,1.0,NO
289,67,1.0,NO
290,62,1.0,NO
291,22,1.0,NO
292,29,1.0,NO
293,36,1.0,NO
294,33,1.0,NO
295,26,1.0,NO
296,44,1.0,NO
297,29,1.0,NO
298,29,1.0,NO
299,25,1.0,NO
300,53,1.0,NO
301,32,1.0,NO
302,53,1.0,NO
303,36,1.0,NO
304,22,1.0,NO
305,359,1.0,YES
306,33,1.0,NO
307,25,1.0,NO
308,28,1.0,NO
309,25,1.0,NO
310,25,1.0,NO
311,26,1.0,NO
312,50,1.0,NO
313,24,1.0,NO
314,25,1.0,NO
315,26,1.0,NO
316,31,1.0,NO
317,94,1.0,NO
318,61,1.0,NO
319,96,1.0,NO
320,217,1.0,NO
321,510,1.0,NO
322,56,1.0,NO
323,69,1.0,NO
324,159,1.0,NO
325,142,1.0,NO
326,149,1.0,NO
327,139,1.0,YES
328,100,1.0,NO
329,98,1.0,NO
330,171,1.0,NO
331,351,1.0,NO
332,37,1.0,NO
333,54,1.0,NO
334,44,1.0,NO
335,35,1.0,NO
336,24,1.0,NO
337,84,1.0,YES
338,217,1.0,YES
339,177,1.0,NO
340,59,1.0,NO
341,68,1.0,NO
342,156,1.0,NO
343,90,1.0,YES
344,43,1.0,NO
345,43,1.0,NO
346,38,1.0,NO
347,54,1.0,YES
348,64,1.0,NO
349,124,1.0,NO
350,47,1.0,NO
351,144,1.0,YES
352,58,1.0,NO
353,109,1.0,NO
354,161,1.0,NO
355,113,1.0,YES
356,452,1.0,YES
357,186,1.0,YES
358,51,1.0,NO
359,375,1.0,NO
360,48,1.0,YES
361,30,1.0,NO
362,377,1.0,NO
363,40,1.0,NO
364,813,1.0,NO
365,112,1.0,YES
366,183,1.0,NO
367,32,1.0,NO
368,32,1.0,NO
369,26,1.0,NO
370,174,1.0,NO
371,31,1.0,NO
372,24,1.0,NO
373,34,1.0,NO
374,123,1.0,NO
375,87,1.0,NO
376,26,1.0,NO
377,25,1.0,NO
378,23,1.0,NO
379,23,1.0,NO
380,23,1.0,NO
381,33,1.0,NO
382,32,1.0,NO
383,29,1.0,NO
384,22,1.0,NO
385,25,1.0,NO
386,24,1.0,NO
387,31,1.0,NO
388,31,1.0,NO
389,26,1.0,NO
390,26,1.0,NO
391,26,1.0,NO
392,36,1.0,NO
393,65,1.0,NO
394,41,1.0,NO
395,39,1.0,NO
396,38,1.0,NO
397,31,1.0,NO
398,125,1.0,NO
399,38,1.0,NO
400,48,1.0,NO
401,44,1.0,NO
402,42,1.0,NO
403,46,1.0,NO
404,42,1.0,NO
405,113,1.0,NO
406,53,1.0,NO
407,56,1.0,NO
408,61,1.0,NO
409,49,1.0,NO
410,53,1.0,NO
411,29,1.0,NO
412,48,1.0,NO
413,96,1.0,NO
414,95,1.0,NO
415,51,1.0,NO
416,29,1.0,NO
417,159,1.0,NO
418,53,1.0,NO
419,56,1.0,NO
420,27,1.0,NO
421,95,1.0,NO
422,40,1.0,NO
423,45,1.0,NO
424,61,1.0,NO
425,53,1.0,NO
426,38,1.0,NO
427,64,1.0,NO
428,31,1.0,NO
429,52,1.0,NO
430,29,1.0,NO
431,33,1.0,NO
432,39,1.0,NO
433,218,1.0,NO
434,40,1.0,NO
435,27,1.0,NO
436,84,1.0,NO
437,62,1.0,NO
438,80,1.0,NO
439,59,1.0,NO
440,93,1.0,NO
441,107,1.0,NO
442,73,1.0,NO
443,106,1.0,NO
444,76,1.0,NO
445,92,1.0,NO
446,24,1.0,NO
447,33,1.0,NO
448,31,1.0,NO
449,62,1.0,NO
450,77,1.0,NO
451,25,1.0,NO
452,94,1.0,YES
453,201,1.0,NO
454,171,1.0,NO
455,198,1.0,YES
456,49,1.0,NO
457,38,1.0,NO
458,178,1.0,NO
459,94,1.0,NO
460,138,1.0,NO
461,25,1.0,NO
462,25,1.0,NO
463,36,1.0,NO
464,26,1.0,NO
465,44,1.0,NO
466,52,1.0,NO
467,50,1.0,NO
468,75,1.0,NO
469,28,1.0,NO
470,31,1.0,NO
