ID,Size,Predicted,Actual
0,118,8.373105584861424E-5,NO
1,22,0.020619384448824506,NO
2,75,0.11290427152783031,NO
3,133,8.373105584861424E-5,NO
4,79,0.9999162689441515,NO
5,91,8.373105584861424E-5,NO
6,70,0.2682936294765137,NO
7,57,0.08450802240588431,NO
8,70,0.2682936294765137,NO
9,59,9.004831091880794E-7,NO
10,88,0.11111292040997678,NO
11,40,0.029412151072716122,NO
12,104,8.373105584861424E-5,NO
13,195,8.373105584861424E-5,NO
14,201,8.373105584861424E-5,NO
15,97,0.058825702716282915,NO
16,101,8.373105584861424E-5,NO
17,98,8.373105584861424E-5,NO
18,187,8.373105584861424E-5,NO
19,149,8.373105584861424E-5,NO
20,151,8.373105584861424E-5,NO
21,196,8.373105584861424E-5,NO
22,90,0.20000251233135977,NO
23,115,0.9999162689441515,NO
24,62,0.01562626762240489,NO
25,61,0.04819368280858234,NO
26,142,8.373105584861424E-5,YES
27,47,0.9999162689441515,YES
28,85,0.03174727663053231,NO
29,65,0.11111834820556245,NO
30,106,8.373105584861424E-5,NO
31,85,0.9999162689441515,NO
32,88,8.373105584861424E-5,NO
33,144,0.9999162689441515,NO
34,81,0.9999162689441515,NO
35,80,0.14285821103098859,NO
36,69,0.104478600685708,NO
37,89,8.373105584861424E-5,NO
38,67,0.033334636030940924,NO
39,88,0.11111292040997678,NO
40,40,0.029412151072716122,NO
41,92,0.9999162689441515,NO
42,95,0.11904913822668506,NO
43,49,0.043011575710368614,NO
44,102,0.2666692720400632,NO
45,94,0.07407539515148508,NO
46,72,0.027398344604477484,NO
47,69,8.373105584861424E-5,NO
48,86,0.9999162689441515,NO
49,174,0.9999162689441515,NO
50,131,4.926132641047493E-6,NO
51,166,8.373105584861424E-5,NO
52,116,0.9999162689441515,NO
53,155,8.373105584861424E-5,NO
54,67,0.033334636030940924,NO
55,88,0.11111292040997678,NO
56,40,0.029412151072716122,NO
57,57,0.08450802240588431,NO
58,39,0.10679675589974999,NO
59,98,0.9999162689441515,NO
60,106,8.373105584861424E-5,NO
61,101,0.9999162689441515,NO
62,94,8.373105584861424E-5,NO
63,76,0.2048198727682738,NO
64,116,0.2142868536700138,NO
65,56,0.08108171319541319,NO
66,48,0.09243754842605215,NO
67,82,8.373105584861424E-5,NO
68,45,0.0405415804697862,NO
69,45,0.0405415804697862,NO
70,30,0.031008360864222134,NO
71,77,8.373105584861424E-5,NO
72,302,1.67484549550304E-5,NO
73,86,8.373105584861424E-5,NO
74,198,0.33333565955308664,NO
75,175,0.07143369861702638,NO
76,68,8.373105584861424E-5,NO
77,105,8.373105584861424E-5,NO
78,194,0.9999162689441515,NO
79,106,8.373105584861424E-5,NO
80,97,8.373105584861424E-5,NO
81,65,0.9999162689441515,NO
82,101,8.373105584861424E-5,NO
83,62,8.373105584861424E-5,NO
84,108,8.373105584861424E-5,NO
85,432,8.373105584861424E-5,NO
86,173,0.9999162689441515,NO
87,243,8.373105584861424E-5,YES
88,107,0.9999162689441515,NO
89,120,0.9999162689441515,NO
90,110,0.22727480358121688,NO
91,58,0.024692340856245144,NO
92,37,0.06015092985256477,NO
93,77,0.09259385623185529,NO
94,142,0.043481585319230284,NO
95,114,0.043481585319230284,NO
96,80,0.14285821103098859,NO
97,59,9.004831091880794E-7,NO
98,69,0.104478600685708,NO
99,95,0.11904913822668506,NO
100,97,0.9999162689441515,NO
101,95,8.373105584861424E-5,NO
102,71,4.1869033662703066E-5,NO
103,114,8.373105584861424E-5,NO
104,109,8.373105584861424E-5,NO
105,116,0.9999162689441515,NO
106,88,8.373105584861424E-5,NO
107,63,8.373105584861424E-5,NO
108,79,8.373105584861424E-5,NO
109,105,8.373105584861424E-5,NO
110,70,0.2682936294765137,NO
111,32,0.06278059744371152,NO
112,148,0.18182302650110768,NO
113,156,2.6170200516076353E-6,NO
114,119,0.10810988210104137,NO
115,116,0.2142868536700138,NO
116,73,0.9999162689441515,NO
117,92,0.9999162689441515,NO
118,125,8.373105584861424E-5,NO
119,202,8.373105584861424E-5,NO
120,181,8.373105584861424E-5,NO
121,153,8.373105584861424E-5,NO
122,98,0.9999162689441515,NO
123,88,0.9999162689441515,NO
124,143,0.3529426253331297,NO
125,144,8.373105584861424E-5,NO
126,112,0.9999162689441515,NO
127,261,0.9999162689441515,NO
128,629,4.1869033662703066E-5,NO
129,39,0.10679675589974999,NO
130,39,0.10679675589974999,NO
131,37,0.06015092985256477,NO
132,39,0.10679675589974999,NO
133,24,5.30031589882757E-7,NO
134,67,0.033334636030940924,NO
135,77,0.09259385623185529,NO
136,77,0.09259385623185529,NO
137,54,0.03921719954088142,NO
138,95,4.1869033662703066E-5,NO
139,58,0.024692340856245144,NO
140,24,5.30031589882757E-7,NO
141,64,0.03669795961956743,NO
142,216,0.06250457976111967,NO
143,36,0.04402563755483585,NO
144,36,0.04402563755483585,NO
145,208,1.1963296606012753E-5,NO
146,64,0.03669795961956743,NO
147,39,0.10679675589974999,NO
148,47,0.1274515921391414,NO
149,74,0.11111292040997678,NO
150,71,0.24000087094591427,NO
151,175,8.373105584861424E-5,NO
152,44,0.03681029190011226,NO
153,175,8.373105584861424E-5,NO
154,58,0.024692340856245144,NO
155,58,0.024692340856245144,NO
156,290,0.9999162689441515,NO
157,85,8.373105584861424E-5,NO
158,35,0.05102117550546051,NO
159,183,8.373105584861424E-5,NO
160,231,1.67484549550304E-5,NO
161,51,0.9999162689441515,NO
162,238,8.373105584861424E-5,NO
163,139,8.373105584861424E-5,NO
164,132,0.2333348221264432,NO
165,484,0.9999162689441515,NO
166,225,9.304835723125309E-6,NO
167,42,0.04615443088205358,NO
168,44,0.03681029190011226,NO
169,94,0.07407539515148508,NO
170,166,0.9999162689441515,NO
171,27,8.291578326809242E-7,NO
172,47,0.1274515921391414,NO
173,60,0.05555624481440413,NO
174,37,0.06015092985256477,NO
175,68,0.07692443963448611,NO
176,24,5.30031589882757E-7,NO
177,32,0.06278059744371152,NO
178,32,0.06278059744371152,NO
179,36,0.04402563755483585,NO
180,35,0.05102117550546051,NO
181,24,5.30031589882757E-7,NO
182,36,0.04402563755483585,NO
183,34,0.028986650581177307,NO
184,156,0.9999162689441515,NO
185,125,8.373105584861424E-5,NO
186,110,0.22727480358121688,NO
187,97,8.373105584861424E-5,NO
188,65,8.373105584861424E-5,NO
189,67,0.033334636030940924,NO
190,69,0.9999162689441515,NO
191,26,0.013825260043709495,NO
192,76,0.2048198727682738,NO
193,55,8.373105584861424E-5,NO
194,39,0.10679675589974999,NO
195,45,0.0405415804697862,NO
196,45,0.0405415804697862,NO
197,37,0.06015092985256477,NO
198,71,0.24000087094591427,NO
199,45,0.0405415804697862,NO
200,58,8.373105584861424E-5,NO
201,135,0.4000011165885985,NO
202,170,0.9999162689441515,NO
203,126,0.9999162689441515,NO
204,228,8.373105584861424E-5,NO
205,31,0.028000316221210134,NO
206,52,0.9999162689441515,NO
207,46,0.9999162689441515,NO
208,30,0.9999162689441515,NO
209,41,0.9999162689441515,NO
210,109,0.9999162689441515,NO
211,27,0.9999162689441515,NO
212,47,8.373105584861424E-5,NO
213,76,0.9999162689441515,NO
214,47,2.791346824842987E-5,NO
215,31,0.028000316221210134,NO
216,65,0.9999162689441515,NO
217,41,0.5000000000000001,NO
218,34,0.9999162689441515,NO
219,45,0.0405415804697862,NO
220,31,0.028000316221210134,NO
221,79,0.15789624471086036,NO
222,101,2.990877822640945E-6,NO
223,89,0.18604773450965498,NO
224,59,9.004831091880794E-7,NO
225,177,0.05000376849703964,NO
226,74,0.9999162689441515,NO
227,72,8.373105584861424E-5,NO
228,41,8.373105584861424E-5,NO
229,70,0.33334263782274953,NO
230,59,0.9999162689441515,NO
231,58,0.9999162689441515,NO
232,57,0.08450802240588431,NO
233,58,8.373105584861424E-5,NO
234,54,8.373105584861424E-5,NO
235,86,8.373105584861424E-5,NO
236,61,8.373105584861424E-5,NO
237,67,8.373105584861424E-5,NO
238,30,0.031008360864222134,NO
239,39,0.10679675589974999,NO
240,123,8.373105584861424E-5,NO
241,55,8.373105584861424E-5,NO
242,60,0.05555624481440413,NO
243,85,0.03174727663053231,NO
244,92,0.04000154090430984,NO
245,156,2.6170200516076353E-6,NO
246,98,0.13513678678372817,NO
247,131,4.926132641047493E-6,NO
248,229,8.373105584861424E-5,YES
249,201,8.373105584861424E-5,YES
250,69,0.104478600685708,YES
251,68,0.07692443963448611,NO
252,52,0.008130751083407944,NO
253,50,0.08163336808463366,NO
254,202,3.806565564285279E-6,NO
255,73,0.08695952957454167,NO
256,42,0.04615443088205358,NO
257,35,0.05102117550546051,NO
258,125,0.0882373225351974,NO
259,65,0.06329206511749198,NO
260,48,0.09243754842605215,NO
261,89,0.18604773450965498,NO
262,153,0.09091220537182532,NO
263,40,0.029412151072716122,NO
