ID,Size,Predicted,Actual
0,118,1.0,NO
1,22,1.0,NO
2,75,1.0,NO
3,133,1.0,NO
4,79,1.0,NO
5,91,1.0,NO
6,70,1.0,NO
7,57,1.0,NO
8,70,1.0,NO
9,59,0.0,NO
10,88,1.0,NO
11,40,1.0,NO
12,104,1.0,NO
13,195,0.0,NO
14,201,1.0,NO
15,192,1.0,NO
16,97,1.0,NO
17,101,1.0,NO
18,98,1.0,NO
19,187,0.0,NO
20,149,0.0,NO
21,151,0.0,NO
22,196,0.0,NO
23,90,1.0,NO
24,115,1.0,NO
25,62,1.0,NO
26,61,1.0,NO
27,142,1.0,YES
28,47,1.0,YES
29,85,1.0,NO
30,65,1.0,NO
31,106,1.0,NO
32,85,1.0,NO
33,88,1.0,NO
34,144,0.0,NO
35,81,1.0,NO
36,80,1.0,NO
37,69,1.0,NO
38,89,1.0,NO
39,67,1.0,NO
40,88,1.0,NO
41,40,1.0,NO
42,92,1.0,NO
43,95,1.0,NO
44,49,1.0,NO
45,102,1.0,NO
46,94,1.0,NO
47,72,1.0,NO
48,69,1.0,NO
49,86,1.0,NO
50,221,0.0,NO
51,131,0.0,NO
52,166,1.0,NO
53,116,1.0,NO
54,155,1.0,NO
55,67,1.0,NO
56,88,1.0,NO
57,40,1.0,NO
58,57,1.0,NO
59,39,1.0,NO
60,98,1.0,NO
61,106,1.0,NO
62,101,1.0,NO
63,94,1.0,NO
64,76,1.0,NO
65,116,1.0,NO
66,56,1.0,NO
67,48,1.0,NO
68,82,1.0,NO
69,45,1.0,NO
70,45,1.0,NO
71,30,1.0,NO
72,77,1.0,NO
73,302,0.0,NO
74,86,1.0,NO
75,198,1.0,NO
76,175,1.0,NO
77,86,1.0,NO
78,68,1.0,NO
79,105,1.0,NO
80,194,0.0,NO
81,106,1.0,NO
82,97,1.0,NO
83,69,1.0,NO
84,101,1.0,NO
85,62,1.0,NO
86,108,1.0,NO
87,432,0.0,NO
88,173,1.0,NO
89,243,0.0,YES
90,107,0.0,NO
91,120,1.0,NO
92,110,1.0,NO
93,58,0.0,NO
94,37,1.0,NO
95,77,1.0,NO
96,142,1.0,NO
97,118,1.0,NO
98,80,1.0,NO
99,59,0.0,NO
100,69,1.0,NO
101,95,1.0,NO
102,97,1.0,NO
103,95,1.0,NO
104,71,1.0,NO
105,114,1.0,NO
106,109,1.0,NO
107,116,1.0,NO
108,88,1.0,NO
109,63,1.0,NO
110,79,1.0,NO
111,105,1.0,NO
112,70,1.0,NO
113,32,1.0,NO
114,148,1.0,NO
115,156,0.0,NO
116,119,1.0,NO
117,116,1.0,NO
118,73,1.0,NO
119,92,1.0,NO
120,125,1.0,NO
121,202,0.0,NO
122,181,0.0,NO
123,153,1.0,NO
124,98,1.0,NO
125,88,1.0,NO
126,144,0.0,NO
127,112,1.0,NO
128,261,0.0,NO
129,629,0.0,NO
130,39,1.0,NO
131,39,1.0,NO
132,37,1.0,NO
133,39,1.0,NO
134,24,0.0,NO
135,67,1.0,NO
136,77,1.0,NO
137,77,1.0,NO
138,54,1.0,NO
139,95,1.0,NO
140,58,0.0,NO
141,24,0.0,NO
142,64,1.0,NO
143,216,1.0,NO
144,36,1.0,NO
145,36,1.0,NO
146,208,0.0,NO
147,64,1.0,NO
148,39,1.0,NO
149,47,1.0,NO
150,74,1.0,NO
151,71,1.0,NO
