ID,Size,Predicted,Actual
0,78,2.414875633904854E-4,NO
1,87,6.0393767363208115E-5,NO
2,198,0.9997585124366095,NO
3,175,0.9997585124366095,NO
4,68,8.052178114179885E-5,NO
5,105,0.9997585124366095,NO
6,58,2.684347569323276E-5,NO
7,196,0.9997585124366095,NO
8,87,0.9997585124366095,YES
9,132,2.414875633904854E-4,YES
10,64,2.4159257827599535E-5,NO
11,134,1.2077294685990338E-4,YES
12,432,0.9997585124366095,NO
13,174,0.9997585124366095,NO
14,246,2.414875633904854E-4,NO
15,107,8.052178114179885E-5,NO
16,121,2.414875633904854E-4,NO
17,110,2.414875633904854E-4,NO
18,58,2.684347569323276E-5,NO
19,37,0.08335011073082343,NO
20,77,4.831618108904672E-5,NO
21,142,2.414875633904854E-4,NO
22,114,1.2077294685990338E-4,NO
23,59,2.1963058136214887E-5,NO
24,64,2.4159257827599535E-5,NO
25,164,2.414875633904854E-4,NO
26,70,0.5,NO
27,32,0.027033203826438996,NO
28,148,2.414875633904854E-4,NO
29,156,6.0393767363208115E-5,NO
30,119,8.052178114179885E-5,NO
31,118,2.414875633904854E-4,NO
32,230,2.414875633904854E-4,NO
33,156,6.0393767363208115E-5,NO
34,85,4.0264132710581415E-5,NO
35,48,0.1250226490306215,NO
36,263,0.9997585124366095,YES
37,594,0.9997585124366095,YES
38,39,2.414875633904854E-4,YES
39,39,2.414875633904854E-4,NO
40,39,2.414875633904854E-4,NO
41,24,2.414875633904854E-4,NO
42,62,2.414875633904854E-4,NO
43,77,2.414875633904854E-4,YES
44,77,2.414875633904854E-4,NO
45,54,2.414875633904854E-4,NO
46,90,0.9997585124366095,YES
47,58,2.414875633904854E-4,NO
48,24,2.414875633904854E-4,NO
49,64,2.414875633904854E-4,NO
50,216,0.9997585124366095,YES
51,36,2.414875633904854E-4,NO
52,36,2.414875633904854E-4,NO
53,208,2.414875633904854E-4,NO
54,74,2.414875633904854E-4,NO
55,71,2.414875633904854E-4,YES
56,56,2.414875633904854E-4,YES
57,44,2.414875633904854E-4,YES
58,55,2.414875633904854E-4,YES
59,36,1.2077294685990338E-4,YES
60,43,2.414875633904854E-4,YES
61,81,2.414875633904854E-4,YES
62,75,0.9997585124366095,YES
63,81,2.414875633904854E-4,YES
64,88,2.414875633904854E-4,YES
65,42,2.414875633904854E-4,YES
66,82,2.414875633904854E-4,NO
67,55,2.414875633904854E-4,YES
68,48,2.414875633904854E-4,NO
69,72,2.414875633904854E-4,NO
70,113,2.414875633904854E-4,YES
71,55,0.9997585124366095,YES
72,35,2.414875633904854E-4,YES
73,47,2.414875633904854E-4,YES
74,101,2.414875633904854E-4,YES
75,109,2.414875633904854E-4,NO
76,28,2.414875633904854E-4,YES
77,54,4.0264132710581415E-5,NO
78,158,0.9997585124366095,YES
79,52,2.414875633904854E-4,YES
80,53,3.0198707495319198E-5,YES
81,81,1.2077294685990338E-4,YES
82,83,8.052178114179885E-5,YES
83,63,0.5,YES
84,48,8.052178114179885E-5,NO
85,55,6.0393767363208115E-5,YES
86,149,2.414875633904854E-4,YES
87,263,0.9997585124366095,YES
88,179,0.9997585124366095,NO
89,37,3.4512510785159616E-5,NO
90,25,0.05264295614358557,NO
91,30,3.4512510785159616E-5,YES
92,36,2.414875633904854E-4,NO
93,30,3.4512510785159616E-5,NO
94,27,6.0393767363208115E-5,NO
95,37,3.4512510785159616E-5,NO
96,33,2.4159257827599535E-5,NO
