ID,Size,Predicted,Actual
0,78,0.9996191926884997,NO
1,302,0.5,NO
2,87,0.33341797866937534,NO
3,198,0.9992389649923896,NO
4,175,0.9992389649923896,NO
5,65,7.610350076103501E-4,NO
6,105,0.9992389649923896,NO
7,58,0.20009143553794573,NO
8,196,0.9992389649923896,NO
9,106,0.9992389649923896,NO
10,130,0.9992389649923896,NO
11,64,0.25009523809523804,NO
12,132,0.9992389649923896,NO
13,62,7.610350076103501E-4,NO
14,108,0.5,YES
15,432,0.9992389649923896,NO
16,174,0.9992389649923896,NO
17,246,0.9992389649923896,NO
18,106,0.9992389649923896,YES
19,121,7.610350076103501E-4,NO
20,110,3.808073115003808E-4,NO
21,58,0.20009143553794573,NO
22,37,0.5999695214873514,NO
23,77,0.9992389649923896,NO
24,142,0.9996191926884997,NO
25,114,7.610350076103501E-4,NO
26,80,0.9996191926884997,NO
27,59,3.808073115003808E-4,NO
28,69,0.6665820213306247,NO
29,95,0.6665820213306247,NO
30,64,0.25009523809523804,NO
31,164,7.610350076103501E-4,YES
32,70,0.9992389649923896,NO
33,32,0.454551752805875,NO
34,148,3.808073115003808E-4,NO
35,156,7.610350076103501E-4,NO
36,119,7.610350076103501E-4,NO
37,116,7.610350076103501E-4,NO
38,93,7.610350076103501E-4,NO
39,229,0.9992389649923896,YES
40,123,7.610350076103501E-4,NO
41,201,0.9992389649923896,NO
42,180,7.610350076103501E-4,NO
43,156,7.610350076103501E-4,NO
44,98,0.9992389649923896,NO
45,85,3.808073115003808E-4,YES
46,48,0.5,NO
47,145,0.9992389649923896,YES
48,145,0.9992389649923896,NO
49,113,7.610350076103501E-4,NO
50,260,0.9992389649923896,NO
51,610,0.9992389649923896,YES
52,39,0.25009523809523804,NO
53,39,0.25009523809523804,NO
54,39,0.25009523809523804,NO
55,24,7.620789513793629E-5,NO
56,62,7.610350076103501E-4,NO
57,77,0.9992389649923896,NO
58,77,0.9992389649923896,NO
59,54,3.808073115003808E-4,NO
60,92,3.808073115003808E-4,NO
61,58,0.20009143553794573,NO
62,24,7.620789513793629E-5,NO
63,64,0.25009523809523804,NO
64,216,0.9992389649923896,NO
65,36,0.20009143553794573,NO
66,36,0.20009143553794573,NO
67,208,0.9992389649923896,NO
68,39,0.25009523809523804,NO
69,47,0.6666243332486664,NO
70,74,0.9992389649923896,NO
71,71,0.9997460639918742,NO
72,56,0.9996191926884997,YES
73,44,0.166751333502667,NO
74,55,0.5,YES
75,53,0.20009143553794573,NO
76,221,7.610350076103501E-4,YES
77,44,0.166751333502667,NO
78,171,0.9992389649923896,NO
79,511,7.610350076103501E-4,YES
