ID,Size,Predicted,Actual
0,78,2.9515938606847696E-4,NO
1,302,2.9515938606847696E-4,NO
2,87,2.9515938606847696E-4,NO
3,198,0.9997048406139315,NO
4,175,2.9515938606847696E-4,NO
5,65,2.9515938606847696E-4,NO
6,105,2.9515938606847696E-4,NO
7,58,2.9515938606847696E-4,NO
8,196,2.9515938606847696E-4,NO
9,106,0.9997048406139315,NO
10,130,2.9515938606847696E-4,NO
11,64,2.9515938606847696E-4,NO
12,132,2.9515938606847696E-4,NO
13,62,2.9515938606847696E-4,NO
14,108,2.9515938606847696E-4,YES
15,432,0.9997048406139315,NO
16,174,2.9515938606847696E-4,NO
17,246,2.9515938606847696E-4,NO
18,106,2.9515938606847696E-4,YES
19,121,2.9515938606847696E-4,NO
20,110,2.9515938606847696E-4,NO
21,58,2.9515938606847696E-4,NO
22,37,2.9515938606847696E-4,NO
23,77,2.9515938606847696E-4,NO
24,142,2.9515938606847696E-4,NO
25,114,2.9515938606847696E-4,NO
26,80,2.9515938606847696E-4,NO
27,59,2.9515938606847696E-4,NO
28,69,0.9997048406139315,NO
29,95,0.9997048406139315,NO
30,64,2.9515938606847696E-4,NO
31,164,2.9515938606847696E-4,YES
32,70,2.9515938606847696E-4,NO
33,32,2.9515938606847696E-4,NO
34,148,2.9515938606847696E-4,NO
35,156,2.9515938606847696E-4,NO
36,119,2.9515938606847696E-4,NO
37,116,0.9997048406139315,NO
38,93,2.9515938606847696E-4,NO
39,229,2.9515938606847696E-4,YES
40,123,2.9515938606847696E-4,NO
41,201,2.9515938606847696E-4,NO
42,180,2.9515938606847696E-4,NO
43,156,2.9515938606847696E-4,NO
44,98,2.9515938606847696E-4,NO
45,85,2.9515938606847696E-4,YES
46,48,2.9515938606847696E-4,NO
47,145,2.9515938606847696E-4,YES
48,145,2.9515938606847696E-4,NO
49,113,2.9515938606847696E-4,NO
50,260,2.9515938606847696E-4,NO
51,610,0.9997048406139315,YES
52,39,0.9997048406139315,NO
53,39,2.9515938606847696E-4,NO
54,39,2.9515938606847696E-4,NO
55,24,2.9515938606847696E-4,NO
56,62,2.9515938606847696E-4,NO
57,77,0.9997048406139315,NO
58,77,2.9515938606847696E-4,NO
59,54,2.9515938606847696E-4,NO
60,92,0.9997048406139315,NO
61,58,2.9515938606847696E-4,NO
62,24,2.9515938606847696E-4,NO
63,64,2.9515938606847696E-4,NO
64,216,0.9997048406139315,NO
65,36,2.9515938606847696E-4,NO
66,36,2.9515938606847696E-4,NO
67,208,2.9515938606847696E-4,NO
68,39,2.9515938606847696E-4,NO
69,47,2.9515938606847696E-4,NO
70,74,2.9515938606847696E-4,NO
71,71,0.9997048406139315,NO
72,56,0.9997048406139315,YES
73,44,0.9997048406139315,NO
74,55,0.9997048406139315,YES
75,53,0.9997048406139315,NO
76,187,0.9997048406139315,YES
77,44,0.9997048406139315,NO
78,171,2.9515938606847696E-4,NO
79,493,2.9515938606847696E-4,YES
80,122,2.9515938606847696E-4,YES
81,132,0.9997048406139315,YES
82,115,2.9515938606847696E-4,YES
83,201,0.9997048406139315,YES
84,116,0.9997048406139315,NO
85,225,2.9515938606847696E-4,NO
86,42,2.9515938606847696E-4,NO
87,44,2.9515938606847696E-4,NO
88,136,2.9515938606847696E-4,NO
89,27,2.9515938606847696E-4,NO
90,47,2.9515938606847696E-4,NO
91,60,2.9515938606847696E-4,NO
92,58,0.9997048406139315,NO
93,56,2.9515938606847696E-4,NO
94,205,2.9515938606847696E-4,NO
95,44,0.9997048406139315,YES
96,49,0.9997048406139315,NO
97,30,0.9997048406139315,YES
98,39,0.9997048406139315,YES
99,80,0.9997048406139315,YES
100,29,2.9515938606847696E-4,NO
101,49,2.9515938606847696E-4,NO
102,78,2.9515938606847696E-4,NO
103,45,2.9515938606847696E-4,NO
104,31,2.9515938606847696E-4,NO
105,30,0.9997048406139315,NO
106,36,2.9515938606847696E-4,NO
107,43,0.9997048406139315,NO
108,60,2.9515938606847696E-4,NO
109,85,2.9515938606847696E-4,NO
110,92,2.9515938606847696E-4,NO
111,156,2.9515938606847696E-4,NO
112,98,2.9515938606847696E-4,NO
113,131,2.9515938606847696E-4,NO
114,194,2.9515938606847696E-4,NO
115,201,2.9515938606847696E-4,NO
116,69,2.9515938606847696E-4,NO
117,68,2.9515938606847696E-4,NO
118,52,2.9515938606847696E-4,NO
119,50,2.9515938606847696E-4,NO
120,202,2.9515938606847696E-4,NO
121,73,2.9515938606847696E-4,NO
122,42,2.9515938606847696E-4,NO
123,35,2.9515938606847696E-4,NO
124,125,2.9515938606847696E-4,NO
125,65,2.9515938606847696E-4,NO
126,48,2.9515938606847696E-4,NO
127,89,2.9515938606847696E-4,NO
128,153,2.9515938606847696E-4,NO
129,40,2.9515938606847696E-4,NO
130,64,2.9515938606847696E-4,NO
131,99,2.9515938606847696E-4,NO
132,73,2.9515938606847696E-4,NO
133,72,2.9515938606847696E-4,NO
134,51,0.9997048406139315,NO
135,36,2.9515938606847696E-4,NO
136,31,2.9515938606847696E-4,NO
137,61,2.9515938606847696E-4,NO
138,74,0.9997048406139315,NO
139,101,0.9997048406139315,NO
140,86,0.9997048406139315,NO
141,106,0.9997048406139315,NO
142,91,0.9997048406139315,NO
143,58,0.9997048406139315,NO
144,106,0.9997048406139315,NO
145,143,0.9997048406139315,NO
146,52,0.9997048406139315,NO
147,88,0.9997048406139315,NO
148,66,0.9997048406139315,NO
149,44,2.9515938606847696E-4,NO
150,158,2.9515938606847696E-4,NO
151,51,2.9515938606847696E-4,NO
152,36,2.9515938606847696E-4,NO
153,63,2.9515938606847696E-4,NO
154,36,0.9997048406139315,NO
155,43,0.9997048406139315,NO
156,81,2.9515938606847696E-4,NO
157,75,2.9515938606847696E-4,NO
158,81,2.9515938606847696E-4,NO
159,88,2.9515938606847696E-4,NO
160,42,0.9997048406139315,NO
161,82,2.9515938606847696E-4,NO
162,55,0.9997048406139315,NO
163,48,2.9515938606847696E-4,NO
164,72,2.9515938606847696E-4,NO
165,113,2.9515938606847696E-4,NO
166,55,2.9515938606847696E-4,NO
167,35,2.9515938606847696E-4,NO
168,47,0.9997048406139315,NO
169,101,0.9997048406139315,NO
170,109,2.9515938606847696E-4,NO
171,28,0.9997048406139315,NO
172,54,9.84251968503937E-5,NO
173,158,0.9997048406139315,NO
174,52,0.9997048406139315,NO
175,53,2.9515938606847696E-4,NO
176,81,2.9515938606847696E-4,NO
177,83,2.9515938606847696E-4,NO
178,63,2.9515938606847696E-4,NO
179,48,2.9515938606847696E-4,NO
180,55,2.9515938606847696E-4,NO
181,149,0.9997048406139315,NO
182,263,0.9997048406139315,NO
183,179,2.9515938606847696E-4,NO
184,37,1.4762326542663124E-4,NO
185,25,0.5,NO
186,30,2.9515938606847696E-4,NO
187,36,0.9997048406139315,NO
188,30,1.4762326542663124E-4,NO
189,27,2.9515938606847696E-4,NO
190,37,1.4762326542663124E-4,NO
191,33,9.84251968503937E-5,NO
192,31,2.9515938606847696E-4,NO
193,56,2.9515938606847696E-4,NO
194,101,2.9515938606847696E-4,NO
195,139,2.9515938606847696E-4,NO
196,85,2.9515938606847696E-4,NO
197,95,2.9515938606847696E-4,NO
198,60,2.9515938606847696E-4,NO
199,35,7.382253063635021E-5,NO
200,26,0.33336614173228346,NO
201,69,2.9515938606847696E-4,NO
202,64,2.9515938606847696E-4,NO
203,39,2.9515938606847696E-4,NO
204,41,2.9515938606847696E-4,NO
205,167,0.9997048406139315,NO
206,66,2.9515938606847696E-4,NO
207,93,2.9515938606847696E-4,NO
208,77,0.9997048406139315,YES
