ID,Size,Predicted,Actual
0,78,0.9999194976654321,NO
1,87,1.2074378169524268E-4,NO
2,198,2.4142926122646064E-4,NO
3,175,6.037918125830213E-5,NO
4,68,8.050233456770245E-5,NO
5,105,6.037918125830213E-5,NO
6,58,2.1957753282684114E-5,NO
7,196,0.9999194976654321,NO
8,87,2.4142926122646064E-4,YES
9,132,1.2074378169524268E-4,YES
10,64,3.450417500517562E-5,NO
11,134,2.4142926122646064E-4,YES
12,432,0.9999698085864377,NO
13,174,0.9999194976654321,NO
14,246,1.2074378169524268E-4,NO
15,107,1.2074378169524268E-4,NO
16,121,2.4142926122646064E-4,NO
17,110,8.050233456770245E-5,NO
18,58,2.1957753282684114E-5,NO
19,37,0.22222967714232036,NO
20,77,1.2074378169524268E-4,NO
21,142,0.9999396208187415,NO
22,114,8.050233456770245E-5,NO
23,59,3.450417500517562E-5,NO
24,64,3.450417500517562E-5,NO
25,164,0.9999516954883585,NO
26,70,0.8749773564398283,NO
27,32,0.17307996023819916,NO
28,148,1.2074378169524268E-4,NO
29,156,4.83045116413873E-5,NO
30,119,4.83045116413873E-5,NO
31,118,2.4142926122646064E-4,NO
32,230,0.9999396208187415,NO
33,156,4.83045116413873E-5,NO
34,85,3.450417500517562E-5,NO
35,48,0.29412349748515243,NO
36,263,2.4142926122646064E-4,YES
37,594,0.9999194976654321,YES
38,39,8.050233456770245E-5,YES
39,39,8.050233456770245E-5,NO
40,39,8.050233456770245E-5,NO
41,24,2.4142926122646064E-4,NO
42,62,2.4142926122646064E-4,NO
43,77,1.2074378169524268E-4,YES
44,77,1.2074378169524268E-4,NO
45,54,2.4142926122646064E-4,NO
46,90,0.9999516954883585,YES
47,58,2.4142926122646064E-4,NO
48,24,2.4142926122646064E-4,NO
49,64,2.4142926122646064E-4,NO
50,216,8.050233456770245E-5,YES
51,36,2.4142926122646064E-4,NO
52,36,2.4142926122646064E-4,NO
53,208,2.4142926122646064E-4,NO
54,74,1.2074378169524268E-4,NO
55,71,1.2074378169524268E-4,YES
56,56,2.4142926122646064E-4,YES
57,44,1.2074378169524268E-4,YES
58,55,2.4142926122646064E-4,YES
59,36,1.2074378169524268E-4,YES
60,43,1.2074378169524268E-4,YES
61,81,6.037918125830213E-5,YES
62,75,0.9999654958249947,YES
63,81,2.4142926122646064E-4,YES
64,88,0.9999654958249947,YES
65,42,2.4142926122646064E-4,YES
66,82,0.9999654958249947,NO
67,55,8.050233456770245E-5,YES
68,48,2.4142926122646064E-4,NO
69,72,2.4142926122646064E-4,NO
70,113,0.9999654958249947,YES
71,55,0.9999654958249947,YES
72,35,0.9999654958249947,YES
73,47,1.2074378169524268E-4,YES
74,101,1.2074378169524268E-4,YES
75,109,2.4142926122646064E-4,NO
76,28,2.4142926122646064E-4,YES
77,54,1.2074378169524268E-4,NO
78,158,1.2074378169524268E-4,YES
79,52,2.4142926122646064E-4,YES
80,53,2.4142926122646064E-4,YES
81,81,4.83045116413873E-5,YES
82,83,2.4142926122646064E-4,YES
83,63,2.4142926122646064E-4,YES
84,48,4.83045116413873E-5,NO
85,55,1.2074378169524268E-4,YES
86,149,1.2074378169524268E-4,YES
87,263,1.2074378169524268E-4,YES
88,179,1.2074378169524268E-4,NO
89,37,1.2074378169524268E-4,NO
90,25,0.9999194976654321,NO
91,30,1.2074378169524268E-4,YES
92,36,0.9999597455921423,NO
93,30,1.2074378169524268E-4,NO
94,27,2.4142926122646064E-4,NO
95,37,1.2074378169524268E-4,NO
96,33,2.4142926122646064E-4,NO
97,31,1.2074378169524268E-4,NO
98,56,2.4142926122646064E-4,NO
99,101,8.050233456770245E-5,NO
