ID,Size,Predicted,Actual
0,233,3.337783711615487E-4,NO
1,557,3.337783711615487E-4,NO
2,22,4.174668113884946E-5,NO
3,39,0.9996662216288384,NO
4,39,0.9996662216288384,NO
5,24,3.3397902611715986E-5,NO
6,45,0.9996662216288384,NO
7,77,1.669449081803005E-4,NO
8,77,1.669449081803005E-4,NO
9,54,3.337783711615487E-4,NO
10,90,1.669449081803005E-4,NO
11,58,3.337783711615487E-4,NO
12,24,3.3397902611715986E-5,NO
13,64,3.337783711615487E-4,NO
14,214,3.337783711615487E-4,NO
15,19,4.174668113884946E-5,NO
16,35,3.337783711615487E-4,NO
17,157,3.337783711615487E-4,NO
18,55,3.337783711615487E-4,NO
19,26,3.337783711615487E-4,NO
20,54,3.337783711615487E-4,NO
