ID,Size,Predicted,Actual
0,78,0.0017004213599443848,NO
1,87,5.495649796494877E-4,NO
2,198,0.0036101849043315933,NO
3,175,6.727374447725767E-4,NO
4,68,5.483723377188788E-4,NO
5,105,0.0034961274946149292,NO
6,58,5.483723377188788E-4,NO
7,196,0.0012907438676413585,NO
8,87,0.17681439845809596,YES
9,132,5.495649796494877E-4,YES
10,64,5.483723377188788E-4,NO
11,134,4.953331873556597E-4,YES
12,432,0.00553523317637098,NO
13,174,0.0012907438676413585,NO
14,246,6.039862625313719E-4,NO
15,107,5.495649796494877E-4,NO
16,121,5.495649796494877E-4,NO
17,110,4.953331873556597E-4,NO
18,58,5.483723377188788E-4,NO
19,37,5.483723377188788E-4,NO
20,77,4.942581786915405E-4,NO
21,142,4.953331873556597E-4,NO
22,114,5.495649796494877E-4,NO
23,59,5.483723377188788E-4,NO
24,64,5.483723377188788E-4,NO
25,164,5.67548696652137E-4,NO
26,70,5.483723377188788E-4,NO
27,32,5.483723377188788E-4,NO
28,148,5.67548696652137E-4,NO
29,156,5.67548696652137E-4,NO
30,119,5.495649796494877E-4,NO
31,118,5.495649796494877E-4,NO
32,230,0.0865022188910652,NO
33,156,5.67548696652137E-4,NO
34,85,5.483723377188788E-4,NO
35,48,5.483723377188788E-4,NO
36,263,7.850985432496638E-4,YES
37,594,0.7827266690312591,YES
38,39,6.500092755732802E-4,YES
39,39,6.500092755732802E-4,NO
40,39,6.500092755732802E-4,NO
41,24,6.683676374056581E-4,NO
42,62,6.500092755732802E-4,NO
43,77,6.500092755732802E-4,YES
44,77,6.500092755732802E-4,NO
45,54,6.500092755732802E-4,NO
46,90,6.514228211836507E-4,YES
47,58,6.500092755732802E-4,NO
48,24,6.683676374056581E-4,NO
49,64,6.500092755732802E-4,NO
50,216,7.159234648313042E-4,YES
51,36,6.500092755732802E-4,NO
52,36,6.500092755732802E-4,NO
53,208,0.10267114842513701,NO
54,74,6.500092755732802E-4,NO
55,71,6.500092755732802E-4,YES
56,56,6.500092755732802E-4,YES
57,44,6.500092755732802E-4,YES
58,55,6.500092755732802E-4,YES
59,36,0.4301110225386686,YES
60,43,0.07916376868885976,YES
61,81,1.0,YES
62,75,0.9987102705766687,YES
63,81,0.9066906168848664,YES
64,88,0.9999536447669589,YES
65,42,0.014140231794942953,YES
66,82,0.9999996969152157,NO
67,55,0.0034885626712152203,YES
68,48,0.0034885626712152203,NO
69,72,0.0034885626712152203,NO
70,113,0.9999999999999851,YES
71,55,0.9999998387071698,YES
72,35,0.9066906168848664,YES
73,47,6.500092755732802E-4,YES
74,101,8.88363243192746E-4,YES
75,109,6.514228211836507E-4,NO
76,28,6.683676374056581E-4,YES
77,54,4.942581786915405E-4,NO
78,158,6.727374447725767E-4,YES
79,52,6.500092755732802E-4,YES
80,53,4.942581786915405E-4,YES
81,81,4.942581786915405E-4,YES
82,83,4.942581786915405E-4,YES
83,63,4.942581786915405E-4,YES
84,48,4.942581786915405E-4,NO
85,55,4.942581786915405E-4,YES
86,149,0.002829533135559982,YES
87,263,7.850985432496638E-4,YES
88,179,0.923608064475015,NO
89,37,4.942581786915405E-4,NO
90,25,5.082198634552783E-4,NO
91,30,4.942581786915405E-4,YES
92,36,6.500092755732802E-4,NO
93,30,4.942581786915405E-4,NO
94,27,5.082198634552783E-4,NO
95,37,4.942581786915405E-4,NO
96,33,4.942581786915405E-4,NO
97,31,4.942581786915405E-4,NO
98,56,4.942581786915405E-4,NO
99,101,4.953331873556597E-4,NO
100,139,6.514228211836507E-4,NO
101,85,6.500092755732802E-4,NO
102,95,4.953331873556597E-4,NO
103,60,4.942581786915405E-4,YES
104,35,4.942581786915405E-4,NO
105,26,5.082198634552783E-4,NO
106,69,4.942581786915405E-4,YES
107,64,0.014140231794942953,YES
108,39,4.942581786915405E-4,YES
109,41,4.942581786915405E-4,NO
110,167,6.727374447725767E-4,YES
111,66,0.014140231794942953,YES
112,93,6.514228211836507E-4,NO
113,78,0.0034885626712152203,YES
114,134,0.2989947401962198,YES
115,83,4.942581786915405E-4,YES
