ID,Size,Predicted,Actual
0,79,1.1121576718881897E-4,NO
1,87,1.0028290017293448E-4,NO
2,68,1.0028290017293448E-4,NO
3,58,1.0028290017293448E-4,NO
4,196,1.3017578143039617E-4,NO
5,132,1.0326938731643818E-4,NO
6,64,1.0028290017293448E-4,NO
7,134,1.1452780461977093E-4,NO
8,173,1.3017578143039617E-4,NO
9,246,2.008635863809532E-4,NO
10,107,1.0326938731643818E-4,NO
11,121,1.0326938731643818E-4,NO
12,110,0.025826227534358464,NO
13,58,1.0028290017293448E-4,NO
14,37,1.0028290017293448E-4,NO
15,77,0.025098021072397312,NO
16,142,0.025826227534358464,NO
17,114,1.0326938731643818E-4,NO
18,59,1.0028290017293448E-4,NO
19,64,1.0028290017293448E-4,NO
20,164,1.3017578143039617E-4,NO
21,70,1.0028290017293448E-4,NO
22,32,1.0028290017293448E-4,NO
23,148,1.0326938731643818E-4,NO
24,156,1.3017578143039617E-4,NO
25,119,1.0326938731643818E-4,NO
26,118,1.0326938731643818E-4,NO
27,156,1.3017578143039617E-4,NO
28,85,1.0028290017293448E-4,NO
29,48,1.0028290017293448E-4,YES
30,263,2.2275934224615232E-4,NO
31,590,0.1741324425015033,YES
32,39,1.1121576718881897E-4,NO
33,39,1.1121576718881897E-4,NO
34,39,1.1121576718881897E-4,NO
35,24,1.3220104032448993E-4,NO
36,62,1.1121576718881897E-4,NO
37,77,1.1121576718881897E-4,NO
38,77,1.1121576718881897E-4,NO
39,54,1.1121576718881897E-4,NO
40,90,1.1452780461977093E-4,NO
41,58,1.1121576718881897E-4,NO
42,24,1.3220104032448993E-4,NO
43,64,1.1121576718881897E-4,NO
44,216,2.2275934224615232E-4,NO
45,36,1.1121576718881897E-4,NO
46,36,1.1121576718881897E-4,NO
47,202,1.4436710735495694E-4,NO
48,74,1.1121576718881897E-4,NO
49,71,1.1121576718881897E-4,NO
50,56,1.1121576718881897E-4,NO
51,44,1.1121576718881897E-4,NO
52,55,1.1121576718881897E-4,NO
53,47,0.9973928284039248,NO
54,101,1.0,YES
55,109,1.0,NO
56,28,0.09826278130491954,NO
57,54,0.004818712331966459,YES
58,158,0.012884565779979665,YES
59,52,0.9999993314490693,YES
60,53,0.004818712331966459,YES
61,81,0.004818712331966459,YES
62,83,0.004818712331966459,YES
63,63,0.004818712331966459,YES
64,48,0.004818712331966459,YES
65,55,0.004818712331966459,YES
66,149,0.972656158720041,YES
67,263,0.01974435363222221,YES
68,179,0.9999999866442124,YES
69,37,0.004818712331966459,YES
70,25,0.005722869922695206,YES
71,30,0.004818712331966459,YES
72,36,0.009954982369073799,YES
73,30,0.004818712331966459,YES
74,27,0.005722869922695206,YES
75,37,0.004818712331966459,YES
76,33,0.004818712331966459,YES
77,31,0.004818712331966459,YES
78,56,0.004818712331966459,YES
79,101,0.004961519330948562,YES
80,139,0.01024843993169014,YES
81,85,0.009954982369073799,YES
82,95,0.004961519330948562,YES
83,60,0.004818712331966459,YES
84,35,0.004818712331966459,YES
85,26,0.005722869922695206,YES
86,69,0.004818712331966459,YES
87,64,0.004818712331966459,YES
88,39,0.004818712331966459,YES
89,41,0.004818712331966459,YES
90,167,0.012884565779979665,YES
91,66,0.004818712331966459,YES
92,93,0.01024843993169014,YES
93,76,1.1121576718881897E-4,NO
94,77,0.025098021072397312,NO
95,83,0.025098021072397312,NO
96,48,1.0028290017293448E-4,NO
97,85,1.0028290017293448E-4,NO
98,43,1.0028290017293448E-4,NO
99,90,1.0326938731643818E-4,NO
100,202,1.3017578143039617E-4,NO
101,135,1.0326938731643818E-4,NO
102,30,1.0028290017293448E-4,NO
103,29,1.1920549951676456E-4,NO
104,69,1.0028290017293448E-4,YES
105,242,2.2275934224615232E-4,NO
106,64,4.198824032310694E-4,NO
107,50,0.004818712331966459,YES
108,89,1.0028290017293448E-4,NO
109,40,0.004818712331966459,YES
110,49,1.0028290017293448E-4,NO
111,249,0.9995502374574947,YES
112,40,1.0028290017293448E-4,NO
113,171,0.032338385456067244,NO
114,40,1.0028290017293448E-4,NO
115,32,1.0028290017293448E-4,NO
116,139,1.0326938731643818E-4,YES
117,131,0.025826227534358464,YES
118,149,0.032338385456067244,YES
119,86,1.0028290017293448E-4,NO
120,69,1.0028290017293448E-4,NO
121,88,1.0028290017293448E-4,NO
122,42,1.0028290017293448E-4,NO
123,32,1.0028290017293448E-4,NO
124,56,1.1121576718881897E-4,NO
125,51,1.0028290017293448E-4,NO
126,81,1.0028290017293448E-4,NO
127,35,1.0028290017293448E-4,NO
128,72,1.0028290017293448E-4,NO
129,46,1.0028290017293448E-4,NO
130,46,1.0028290017293448E-4,NO
131,44,1.0028290017293448E-4,NO
132,29,1.1920549951676456E-4,NO
133,280,4.207234048809701E-4,NO
134,63,0.017957849510852695,NO
135,334,8.76931513140053E-4,YES
136,46,1.0028290017293448E-4,NO
137,31,1.0028290017293448E-4,NO
138,83,1.0028290017293448E-4,NO
139,71,1.0028290017293448E-4,NO
140,83,1.0028290017293448E-4,NO
141,40,1.0028290017293448E-4,NO
142,32,1.0028290017293448E-4,NO
143,57,1.0028290017293448E-4,NO
144,50,1.0028290017293448E-4,YES
145,81,1.0028290017293448E-4,YES
146,35,1.0028290017293448E-4,YES
147,71,1.0028290017293448E-4,YES
148,46,1.0028290017293448E-4,NO
149,46,1.0028290017293448E-4,NO
150,289,4.207234048809701E-4,YES
151,143,1.1452780461977093E-4,NO
152,81,1.1121576718881897E-4,NO
153,132,1.1452780461977093E-4,NO
154,146,1.1452780461977093E-4,YES
155,76,1.1121576718881897E-4,YES
156,420,0.002748509885962569,YES
157,306,4.207234048809701E-4,YES
158,48,1.520136360865925E-4,YES
159,31,1.520136360865925E-4,YES
160,62,2.560694671498768E-4,NO
161,96,2.636941516469579E-4,NO
162,77,2.560694671498768E-4,NO
163,111,2.636941516469579E-4,NO
164,43,1.520136360865925E-4,NO
165,63,1.520136360865925E-4,NO
166,235,0.003062143410014091,NO
167,75,1.1121576718881897E-4,NO
168,43,1.520136360865925E-4,NO
169,33,1.1121576718881897E-4,NO
170,63,1.520136360865925E-4,NO
171,94,2.636941516469579E-4,NO
172,40,1.1121576718881897E-4,NO
173,160,3.323846327626559E-4,NO
174,40,1.1121576718881897E-4,NO
