ID,Size,Predicted,Actual
0,78,0.0,NO
1,302,0.0,NO
2,87,0.0,NO
3,198,0.0,NO
4,175,0.0,NO
5,65,0.0,NO
6,105,0.0,NO
7,58,0.0,NO
8,196,0.0,NO
9,106,0.0,NO
10,130,0.0,NO
11,64,0.0,NO
12,132,0.0,NO
13,62,0.0,NO
14,108,0.0,YES
15,432,0.0,NO
16,174,0.0,NO
17,246,0.0,NO
18,106,0.0,YES
19,121,0.0,NO
20,110,0.0,NO
21,58,0.0,NO
22,37,0.0,NO
23,77,0.0,NO
24,142,0.0,NO
25,114,0.0,NO
26,80,0.0,NO
27,59,0.0,NO
28,69,0.0,NO
29,95,0.0,NO
30,64,0.0,NO
31,164,0.0,YES
32,70,0.0,NO
33,32,0.0,NO
34,148,0.0,NO
35,156,0.0,NO
36,119,0.0,NO
37,116,0.0,NO
38,93,0.0,NO
39,256,0.0,YES
40,123,0.0,NO
41,201,0.0,NO
42,180,0.0,NO
43,156,0.0,NO
44,98,0.0,NO
45,86,0.0,YES
46,48,0.0,NO
47,143,0.0,YES
48,145,0.0,NO
49,113,0.0,NO
50,260,0.0,NO
51,618,0.0,YES
52,39,0.0,NO
53,39,0.0,NO
54,39,0.0,NO
55,24,0.0,NO
56,62,0.0,NO
57,77,0.0,NO
58,77,0.0,NO
59,54,0.0,NO
60,92,0.0,NO
61,58,0.0,NO
62,24,0.0,NO
63,64,0.0,NO
64,216,0.0,NO
65,36,0.0,NO
66,36,0.0,NO
67,208,0.0,NO
68,64,0.0,YES
69,39,0.0,NO
70,47,0.0,NO
71,74,0.0,NO
72,71,0.0,NO
73,123,0.0,YES
74,44,0.0,NO
75,122,0.0,YES
76,53,0.0,NO
77,239,1.0,YES
78,44,0.0,NO
79,171,0.0,NO
80,523,1.0,YES
81,132,1.0,YES
82,178,0.0,YES
83,130,0.0,YES
84,460,1.0,YES
85,71,1.0,YES
86,392,1.0,YES
87,225,0.0,NO
88,42,0.0,NO
89,44,0.0,NO
90,94,0.0,NO
91,136,0.0,NO
92,27,0.0,NO
93,47,0.0,NO
94,60,0.0,NO
95,58,0.0,NO
96,56,0.0,NO
97,198,0.0,NO
98,54,0.0,YES
99,49,0.0,YES
100,32,0.0,YES
101,43,0.0,YES
102,111,0.0,YES
103,29,0.0,YES
104,49,0.0,YES
105,78,0.0,YES
106,45,0.0,NO
107,31,0.0,NO
108,30,0.0,NO
109,36,0.0,YES
110,43,0.0,YES
111,47,1.0,YES
112,35,1.0,YES
113,62,1.0,YES
114,64,1.0,YES
115,30,1.0,YES
116,154,1.0,YES
117,53,1.0,YES
118,45,1.0,YES
119,68,1.0,YES
120,68,1.0,YES
121,60,1.0,YES
122,60,0.0,NO
123,85,0.0,NO
124,92,0.0,NO
125,156,0.0,NO
126,98,0.0,NO
127,131,0.0,NO
128,194,0.0,YES
129,201,0.0,YES
130,69,0.0,YES
131,68,0.0,NO
132,52,0.0,NO
133,50,0.0,NO
134,202,0.0,NO
135,73,0.0,NO
136,42,0.0,NO
137,35,0.0,NO
138,125,0.0,NO
139,65,0.0,NO
140,48,0.0,NO
141,89,0.0,NO
142,153,0.0,NO
143,40,0.0,NO
144,64,0.0,NO
145,99,0.0,NO
146,73,0.0,NO
147,72,0.0,NO
148,51,0.0,NO
149,36,0.0,NO
150,31,0.0,NO
151,61,0.0,NO
152,74,0.0,NO
153,101,0.0,NO
154,86,0.0,NO
155,106,0.0,NO
156,91,0.0,NO
157,58,0.0,NO
158,106,0.0,NO
159,143,0.0,NO
160,52,0.0,NO
161,88,0.0,NO
162,66,0.0,NO
163,44,0.0,NO
164,158,0.0,NO
165,51,0.0,NO
166,36,0.0,NO
167,63,0.0,NO
168,110,1.0,YES
169,29,1.0,YES
170,104,1.0,YES
171,38,1.0,YES
172,44,1.0,YES
173,96,1.0,YES
174,42,1.0,YES
175,48,1.0,YES
176,36,0.0,NO
177,43,0.0,NO
178,81,0.0,YES
179,75,0.0,YES
180,81,0.0,YES
181,88,0.0,YES
182,42,0.0,NO
183,82,0.0,NO
184,55,0.0,NO
185,48,0.0,NO
186,72,0.0,NO
187,113,0.0,NO
188,55,0.0,NO
189,35,0.0,NO
190,47,0.0,NO
191,101,0.0,YES
192,109,0.0,NO
193,28,0.0,NO
194,54,0.0,NO
195,158,0.0,NO
196,52,0.0,NO
197,53,0.0,NO
198,81,0.0,NO
199,83,0.0,YES
200,63,0.0,YES
201,48,0.0,NO
202,55,0.0,NO
203,149,0.0,NO
204,263,0.0,NO
205,179,0.0,NO
206,37,0.0,NO
207,25,0.0,NO
208,30,0.0,NO
209,36,0.0,NO
210,30,0.0,NO
211,27,0.0,NO
212,37,0.0,NO
213,33,0.0,NO
214,31,0.0,NO
215,56,0.0,NO
216,101,0.0,NO
217,139,0.0,NO
218,85,0.0,NO
219,95,0.0,NO
220,60,0.0,NO
221,35,0.0,NO
222,26,0.0,NO
223,69,0.0,NO
224,64,0.0,NO
225,39,0.0,NO
226,41,0.0,NO
227,167,0.0,NO
228,66,0.0,NO
229,93,0.0,NO
230,86,0.0,YES
231,117,0.0,YES
232,90,0.0,NO
233,48,0.0,NO
234,85,0.0,NO
235,43,0.0,NO
236,90,0.0,NO
237,202,0.0,NO
238,141,0.0,YES
239,30,0.0,NO
240,29,0.0,NO
241,67,0.0,NO
242,242,0.0,NO
243,72,0.0,NO
244,50,0.0,NO
245,89,0.0,NO
246,40,0.0,NO
247,49,0.0,NO
248,249,0.0,NO
249,40,0.0,NO
250,171,0.0,NO
251,40,0.0,NO
252,32,0.0,NO
253,271,0.0,NO
254,55,0.0,NO
255,80,0.0,NO
256,28,0.0,NO
257,44,0.0,NO
258,83,0.0,NO
259,67,0.0,NO
260,36,0.0,NO
261,384,0.0,YES
262,196,0.0,NO
263,312,0.0,NO
264,120,0.0,YES
265,315,0.0,YES
266,112,0.0,NO
267,119,0.0,NO
268,146,0.0,NO
269,86,0.0,NO
270,69,0.0,NO
271,88,0.0,NO
272,42,0.0,NO
273,32,0.0,NO
274,56,0.0,NO
275,102,0.0,YES
276,56,0.0,NO
277,89,0.0,NO
278,40,0.0,NO
279,80,0.0,NO
280,46,0.0,NO
281,46,0.0,NO
282,68,0.0,NO
283,80,0.0,NO
284,66,0.0,NO
285,100,0.0,NO
286,32,0.0,YES
287,31,0.0,NO
288,36,0.0,NO
289,59,0.0,NO
290,44,0.0,NO
291,29,0.0,NO
292,280,0.0,NO
293,67,0.0,NO
294,60,0.0,NO
295,46,0.0,NO
296,133,0.0,NO
297,333,0.0,NO
298,36,0.0,NO
299,44,0.0,NO
300,823,0.0,YES
301,26,0.0,NO
302,70,0.0,NO
303,213,0.0,NO
304,192,0.0,YES
305,562,0.0,YES
306,46,0.0,NO
307,31,0.0,NO
308,83,0.0,NO
309,71,0.0,NO
310,83,0.0,NO
311,40,0.0,NO
312,32,0.0,NO
313,57,0.0,NO
314,97,0.0,YES
315,64,0.0,NO
316,94,0.0,NO
317,45,0.0,NO
318,98,0.0,NO
319,46,0.0,NO
320,46,0.0,NO
321,337,0.0,YES
322,143,0.0,NO
323,81,0.0,YES
324,132,0.0,NO
325,162,0.0,NO
326,85,0.0,NO
327,454,0.0,YES
328,316,0.0,YES
329,49,0.0,NO
330,32,0.0,NO
331,64,0.0,YES
332,105,0.0,YES
333,82,0.0,YES
334,111,0.0,NO
335,42,0.0,NO
336,63,0.0,NO
337,235,0.0,NO
338,75,0.0,NO
339,43,0.0,NO
340,33,0.0,NO
341,66,0.0,NO
342,99,0.0,NO
343,40,0.0,NO
344,160,0.0,NO
345,40,0.0,NO
346,32,0.0,NO
347,613,1.0,YES
348,328,0.0,YES
349,101,0.0,YES
350,281,1.0,YES
351,72,0.0,YES
352,121,0.0,YES
353,35,0.0,YES
354,154,0.0,YES
355,61,0.0,YES
356,58,0.0,NO
357,32,0.0,YES
358,78,0.0,YES
359,36,0.0,YES
360,102,0.0,YES
361,406,1.0,YES
362,71,0.0,YES
363,76,0.0,YES
364,124,0.0,YES
365,86,0.0,NO
366,25,0.0,NO
367,41,0.0,NO
368,213,0.0,YES
369,98,0.0,YES
370,201,1.0,YES
371,29,0.0,NO
372,75,0.0,YES
373,44,0.0,NO
374,56,0.0,YES
375,43,0.0,NO
376,240,0.0,YES
377,285,0.0,YES
378,27,0.0,NO
379,38,0.0,NO
380,27,0.0,NO
381,41,0.0,NO
382,88,0.0,YES
383,28,0.0,NO
384,364,0.0,YES
385,50,0.0,YES
386,52,0.0,YES
387,38,0.0,NO
388,52,0.0,NO
389,38,0.0,NO
390,43,0.0,NO
391,47,0.0,YES
392,50,0.0,NO
393,25,0.0,NO
394,113,0.0,YES
395,36,0.0,NO
396,116,0.0,YES
397,178,0.0,YES
398,48,0.0,NO
399,32,0.0,NO
400,34,0.0,NO
401,48,0.0,YES
402,49,0.0,YES
403,26,0.0,NO
404,51,0.0,NO
405,31,0.0,NO
406,116,0.0,YES
407,26,0.0,NO
408,30,0.0,NO
409,40,0.0,NO
410,60,0.0,YES
411,49,0.0,NO
412,58,0.0,NO
413,37,0.0,NO
414,289,0.0,YES
415,102,0.0,NO
416,63,0.0,NO
417,31,0.0,NO
418,84,0.0,YES
419,41,0.0,NO
420,28,0.0,NO
421,34,0.0,NO
422,26,0.0,NO
423,39,1.0,YES
424,164,1.0,YES
425,48,1.0,YES
426,133,1.0,YES
427,108,1.0,YES
428,111,1.0,YES
429,73,1.0,YES
430,449,1.0,YES
431,84,1.0,YES
432,38,1.0,YES
433,95,1.0,YES
434,118,1.0,YES
435,79,0.0,NO
436,60,0.0,NO
437,56,0.0,NO
438,119,0.0,YES
439,76,0.0,YES
440,87,0.0,NO
441,38,0.0,NO
442,39,0.0,NO
443,38,0.0,NO
444,40,0.0,NO
445,41,0.0,NO
446,97,0.0,NO
447,42,0.0,NO
448,34,0.0,NO
449,36,0.0,NO
450,41,0.0,NO
451,44,0.0,NO
452,37,0.0,NO
453,107,0.0,YES
454,334,0.0,NO
455,67,0.0,NO
456,88,0.0,NO
457,64,0.0,NO
458,34,0.0,NO
459,37,0.0,NO
460,71,0.0,NO
461,262,0.0,NO
462,97,0.0,NO
463,35,0.0,NO
464,85,0.0,NO
465,49,0.0,NO
466,102,0.0,NO
467,119,0.0,YES
468,39,0.0,YES
469,179,0.0,YES
470,120,0.0,YES
471,178,0.0,YES
472,153,0.0,YES
473,89,0.0,YES
474,50,0.0,YES
475,36,0.0,YES
476,109,0.0,YES
477,148,0.0,YES
478,137,0.0,YES
479,133,0.0,YES
480,131,0.0,NO
481,176,0.0,YES
482,70,0.0,YES
483,53,0.0,NO
484,37,0.0,YES
485,76,0.0,YES
486,71,0.0,YES
487,32,0.0,YES
488,43,0.0,YES
489,29,0.0,NO
490,24,0.0,NO
491,41,0.0,NO
492,300,1.0,YES
493,120,0.0,NO
494,137,0.0,NO
495,95,0.0,NO
496,96,0.0,NO
497,56,0.0,NO
498,40,0.0,NO
499,350,0.0,NO
500,112,0.0,NO
501,71,0.0,NO
502,93,0.0,NO
503,381,0.0,NO
504,115,0.0,NO
505,69,0.0,NO
506,98,0.0,NO
507,157,0.0,YES
508,59,0.0,NO
509,30,0.0,NO
510,57,0.0,NO
511,182,0.0,NO
512,160,0.0,NO
513,32,0.0,NO
514,24,0.0,NO
515,50,0.0,NO
516,50,0.0,NO
517,63,0.0,NO
518,116,0.0,NO
519,182,0.0,NO
520,69,0.0,NO
521,27,0.0,NO
522,67,0.0,NO
523,44,0.0,NO
524,33,0.0,NO
525,105,1.0,YES
526,81,1.0,YES
527,56,1.0,YES
528,88,1.0,YES
529,67,1.0,YES
530,72,0.0,NO
531,89,0.0,NO
532,304,0.0,NO
533,2574,0.0,YES
534,58,1.0,YES
535,32,0.0,NO
536,49,0.0,NO
537,27,0.0,NO
538,31,0.0,NO
539,72,0.0,NO
540,83,0.0,NO
541,82,0.0,YES
542,590,1.0,YES
543,242,0.0,YES
544,351,0.0,NO
545,32,0.0,NO
546,40,0.0,NO
547,452,0.0,NO
548,409,0.0,YES
549,50,0.0,NO
550,276,1.0,YES
551,124,0.0,YES
552,201,1.0,YES
553,248,0.0,YES
554,26,0.0,NO
555,22,0.0,NO
556,229,0.0,YES
557,311,0.0,YES
558,158,0.0,NO
559,423,1.0,YES
560,35,0.0,NO
561,24,0.0,NO
562,25,0.0,NO
563,119,0.0,NO
564,153,0.0,NO
565,51,0.0,NO
566,51,0.0,NO
567,41,0.0,NO
568,22,0.0,NO
569,244,0.0,NO
570,24,0.0,NO
571,27,0.0,NO
572,44,0.0,NO
573,222,0.0,NO
574,126,0.0,NO
575,216,0.0,NO
576,65,0.0,NO
577,28,0.0,NO
578,724,0.0,YES
579,252,0.0,YES
580,36,0.0,NO
581,40,0.0,NO
582,348,1.0,YES
583,369,0.0,NO
584,30,0.0,NO
585,40,0.0,NO
586,35,0.0,NO
587,80,1.0,YES
588,125,0.0,YES
589,89,1.0,YES
590,51,0.0,YES
591,55,0.0,NO
592,52,0.0,NO
593,65,0.0,NO
594,86,0.0,NO
595,116,0.0,NO
596,61,0.0,NO
597,59,0.0,NO
598,216,0.0,NO
599,270,0.0,NO
600,81,0.0,NO
601,74,0.0,NO
602,214,0.0,NO
603,79,0.0,NO
604,118,0.0,NO
605,75,0.0,NO
606,130,0.0,NO
607,81,0.0,NO
608,36,0.0,NO
609,75,0.0,YES
610,213,0.0,NO
611,26,0.0,NO
612,135,0.0,NO
613,71,0.0,NO
614,209,0.0,NO
615,189,0.0,NO
616,66,0.0,NO
617,188,0.0,NO
