ID,Size,Predicted,Actual
0,111,0.2433620856257141,YES
1,22,0.024608797968538484,YES
2,75,0.03777983426563193,NO
3,131,0.22916828209629872,YES
4,74,0.04403549167923907,NO
5,84,0.04931705703899962,NO
6,70,0.02753866185862612,NO
7,57,0.02452193457712196,NO
8,70,0.024500420507448727,NO
9,59,0.027549659613942276,NO
10,88,0.027518312949836397,NO
11,40,0.024568364676935336,NO
12,99,0.04401268727474163,NO
13,187,0.10917974404047544,NO
14,196,0.1016344674835349,NO
15,192,0.0582136728297662,NO
16,97,0.027515270028594496,NO
17,98,0.04931172588281988,NO
18,96,0.04931254878808598,NO
19,173,0.10897690242619684,NO
20,141,0.07437097636266687,NO
21,142,0.07437097636266687,NO
22,188,0.1775175008385224,NO
23,90,0.02751573972608248,NO
24,110,0.04682370588420894,NO
25,62,0.0245102355015309,NO
26,61,0.0245102355015309,NO
27,120,0.07081935844815147,NO
28,116,0.057419550273811744,NO
29,58,0.03660161489190091,NO
30,74,0.036558205453761865,NO
31,113,0.26989877985017297,NO
32,48,0.027614543402432724,NO
33,77,0.06786687254307376,NO
34,65,0.0245102355015309,NO
35,74,0.042284839896089825,NO
36,83,0.03886976385273546,NO
37,128,0.07867297036096205,NO
38,72,0.04536631102321101,NO
39,76,0.03995700514224402,NO
40,69,0.02753866185862612,NO
41,83,0.04340975302876355,NO
42,65,0.03666710948247368,NO
43,88,0.027518312949836397,NO
44,40,0.024568364676935336,NO
45,86,0.04125265050002758,NO
46,89,0.04226750499044207,NO
47,49,0.024535520360316955,NO
48,102,0.024479544449473173,NO
49,94,0.02751573972608248,NO
50,72,0.027566262731772213,NO
51,60,0.0468720967866806,NO
52,76,0.04683893372123392,NO
53,92,0.08440791737946947,NO
54,96,0.09390920278331416,NO
55,70,0.07308578462385323,NO
56,86,0.09391738537496591,NO
57,101,0.057470616714154196,NO
58,169,0.05798522568955251,NO
59,115,0.05749331612515158,NO
60,153,0.1499097283172699,NO
61,58,0.05749291039207246,NO
62,47,0.05752368575825666,NO
63,49,0.0575975772157025,NO
64,58,0.05749291039207246,NO
65,70,0.05744417301740366,NO
66,141,0.05750941273812642,NO
67,93,0.05739782789614495,NO
68,273,0.32140385034023755,NO
69,96,0.977419548969118,NO
70,50,0.05752368575825666,NO
71,241,0.11499796839069129,NO
72,195,0.08906610405109645,NO
73,131,0.027544487181777728,NO
74,170,0.027622830329391612,YES
75,161,0.07710363783351531,NO
76,102,0.05434951750400359,NO
77,150,0.06800285538793634,NO
78,65,0.03666710948247368,NO
79,88,0.027518312949836397,NO
80,40,0.024568364676935336,NO
81,57,0.02452193457712196,NO
82,39,0.024568364676935336,NO
83,85,0.052198081992096905,NO
84,93,0.05798144264122772,NO
85,87,0.06214856241479439,NO
86,81,0.05220672897150224,NO
87,95,0.05888450254172318,NO
88,66,0.04404946893943594,NO
89,94,0.059989073362957154,NO
90,76,0.0275297727389793,NO
91,116,0.027526483390893825,NO
92,56,0.02452193457712196,NO
93,48,0.024535520360316955,NO
94,71,0.04538069064495031,NO
95,45,0.024550995901600405,NO
96,45,0.024550995901600405,NO
97,30,0.02458763058899598,NO
98,74,0.14257647358399397,NO
99,299,0.03825794356231092,YES
100,82,0.058332806286972544,YES
101,197,0.05828170128059353,NO
102,173,0.05803581228147247,NO
103,84,0.039940584746893194,NO
104,75,0.027566262731772213,YES
105,65,0.04231492170135321,NO
106,96,0.06610398467023106,NO
107,193,0.9999868246829686,NO
108,98,0.4529504248623668,NO
109,88,0.03886323529197758,NO
110,67,0.07440435435332342,NO
111,92,0.0388596436012764,NO
112,56,0.04541968619933453,NO
113,101,0.07302660955706905,YES
114,136,0.0646477128185001,NO
115,105,0.06610667016660421,NO
116,377,1.0,NO
117,174,0.999732193080387,NO
118,244,0.9999999999999996,NO
119,101,0.038263037839007766,YES
120,113,0.4064801829327272,NO
121,110,0.02448433800177612,NO
122,58,0.02452193457712196,NO
123,37,0.024568364676935336,NO
124,77,0.0275297727389793,NO
125,142,0.02757093118178605,NO
126,118,0.027526483390893825,NO
127,80,0.027522990273318882,NO
128,59,0.0245102355015309,NO
129,69,0.02753866185862612,NO
130,95,0.02751573972608248,NO
131,97,0.027515270028594496,NO
132,82,0.06091747712824064,NO
133,67,0.038891637904130326,NO
134,110,0.06385678247490335,NO
135,103,0.06455801355962547,NO
136,111,0.0625612586623396,NO
137,82,0.03920393275246517,NO
138,56,0.041318350967412154,YES
139,73,0.041269587124924886,NO
140,100,0.0388589879994176,NO
141,70,0.024500420507448727,YES
142,32,0.02458763058899598,NO
143,148,0.024543850624831786,NO
144,156,0.024560373405322383,NO
145,119,0.024489551810065013,YES
146,116,0.024489551810065013,NO
147,73,0.0275297727389793,NO
148,84,0.0434024963664068,NO
149,122,0.04763956147950527,NO
150,191,0.04722562478109186,NO
151,170,0.047038144221772445,NO
152,153,0.9969042916856697,NO
153,78,0.06526388186341475,NO
154,84,0.1739183946872209,NO
155,140,0.9994404513507014,NO
156,127,0.037786160126482976,NO
157,30,0.02760998078693289,NO
158,80,0.027496696035063287,NO
159,45,0.9999981686682118,NO
160,63,0.036825174047878016,NO
161,141,0.9996087352380308,NO
162,81,0.9997397145778832,NO
163,45,0.9999999998030878,NO
164,63,0.036825174047878016,NO
165,190,0.03920291110565859,NO
166,74,0.058913564437552815,NO
167,47,1.0,NO
168,65,0.036825174047878016,NO
169,253,0.03868309866510441,NO
170,32,0.02760998078693289,NO
171,61,0.027523340618093167,NO
172,86,0.02749202305376206,NO
173,93,0.03754316297638712,NO
174,157,0.027579467841582158,NO
175,99,0.027488982957431365,NO
176,132,0.027518172987474502,NO
177,212,0.05880550119362514,NO
178,201,0.027953102686460674,NO
179,62,0.027549659613942276,NO
180,68,0.024500420507448727,NO
181,52,0.024535520360316955,NO
182,50,0.024535520360316955,NO
183,321,0.062165135985524984,NO
184,79,0.05923330664986949,NO
185,42,0.024550995901600405,NO
186,35,0.024568364676935336,NO
187,125,0.02449664505872048,NO
188,65,0.027889652050572106,NO
189,48,0.027734707677999605,NO
190,89,0.02825426920130178,NO
191,314,0.02901839223759308,NO
192,40,0.027614793114872867,NO
193,64,0.0245102355015309,NO
194,58,0.02753643729269413,NO
195,99,0.024479544449473173,NO
196,73,0.024492487392246822,NO
197,72,0.024492487392246822,NO
198,36,0.027588413660377703,NO
199,51,0.02757799131206041,NO
200,36,0.024568364676935336,NO
201,31,0.02458763058899598,NO
202,61,0.027586175218523242,NO
203,74,0.024492487392246822,NO
204,101,0.027854850217380295,NO
205,86,0.02448226010077208,NO
206,106,0.02448100246429788,NO
207,91,0.024479963630293033,NO
208,58,0.027562768457189177,NO
209,106,0.02751690375270046,NO
210,83,0.024486434375985328,NO
211,53,0.02452193457712196,NO
212,88,0.027518312949836397,NO
213,72,0.024492487392246822,NO
214,241,0.037380408063625095,NO
215,106,0.036575892645059865,NO
216,44,0.024550995901600405,NO
217,158,0.02764242693580703,NO
218,51,0.02757799131206041,NO
219,36,0.024568364676935336,NO
220,226,0.027924208627865044,NO
221,64,0.027523340618093167,NO
222,127,0.02750812658062134,NO
223,67,0.027512353072007466,NO
224,104,0.027490615164859105,NO
225,213,0.03703906631422815,NO
226,35,0.027588413660377703,NO
227,105,0.027490615164859105,NO
228,117,0.027500185909839502,NO
229,63,0.0245102355015309,NO
230,117,0.02756296914731701,NO
231,29,0.02458763058899598,NO
232,104,0.02448100246429788,NO
233,38,0.024568364676935336,NO
234,44,0.024550995901600405,NO
235,96,0.024479963630293033,NO
236,42,0.027595331574694956,NO
237,48,0.024535520360316955,NO
238,62,0.036584368905617046,NO
239,42,0.03688563974310967,NO
240,99,0.04534285012405416,NO
241,87,0.03919735035374131,YES
242,99,0.04401268727474163,YES
243,102,0.04226290201096403,YES
244,62,0.036584368905617046,NO
245,134,0.11792476225632421,YES
246,64,0.036584368905617046,NO
247,55,0.043471465509000135,YES
248,69,0.03656990014772001,NO
249,43,0.036644454249871526,NO
250,91,0.03653974321382407,NO
251,42,0.036644454249871526,NO
252,63,0.057466407990379685,NO
253,43,0.036644454249871526,NO
254,80,0.03654928226647964,NO
255,63,0.036584368905617046,NO
256,85,0.036543128634924156,NO
257,141,0.05229535314611205,YES
258,54,0.06100249184352269,NO
259,35,0.024568364676935336,NO
260,47,0.024535520360316955,NO
261,146,0.07441306915377076,NO
262,111,0.03702801707429081,NO
263,28,0.02458763058899598,NO
264,74,0.04763166769764585,NO
265,78,0.05552006154024602,NO
