ID,Size,Predicted,Actual
0,78,0.7924281700705659,NO
1,302,0.803433243986897,NO
2,87,0.7926110144061379,NO
3,198,0.8985940790355293,NO
4,175,0.7956422361922547,NO
5,65,0.9657373042615679,NO
6,105,0.7930697216486635,NO
7,58,0.792276416518103,NO
8,196,0.79664947701954,NO
9,106,0.9602969496950676,NO
10,130,0.7936519269672416,NO
11,64,0.792276416518103,NO
12,132,0.7939891050150454,NO
13,62,0.792276416518103,NO
14,108,0.7930697216486635,YES
15,432,0.9999987012649547,NO
16,174,0.7956422361922547,NO
17,246,0.79901852711336,NO
18,106,0.7930697216486635,YES
19,121,0.7933454317348593,NO
20,110,0.7930697216486635,NO
21,58,0.792276416518103,NO
22,37,0.792066373290114,NO
23,77,0.7924281700705659,NO
24,142,0.7939891050150454,NO
25,114,0.7933454317348593,NO
26,80,0.7926110144061379,NO
27,59,0.792276416518103,NO
28,69,0.9999984998288567,NO
29,95,0.19354754072258598,NO
30,64,0.792276416518103,NO
31,164,0.8512420217572013,YES
32,70,0.7924281700705659,NO
33,32,0.7920081534367487,NO
34,148,0.7943568531857461,NO
35,156,0.7947550484298954,NO
36,119,0.7933454317348593,NO
37,116,0.9606577991759626,NO
38,93,0.08959294342967458,NO
39,229,0.7983824253640048,YES
40,123,0.9999999999998737,NO
41,201,0.1972334027918363,NO
42,180,0.1962526152419993,NO
43,156,0.7947550484298954,NO
44,98,0.09483466788128411,NO
45,85,0.7926110144061379,YES
46,48,0.7921558042247275,NO
47,145,0.1073083955820756,YES
48,145,0.9999960654628217,NO
49,113,0.10334160483588031,NO
50,260,0.9994703145861075,NO
51,610,0.9996039098445711,YES
52,39,0.8960086754579712,NO
53,39,0.0537286326755532,NO
54,39,0.0537286326755532,NO
55,24,0.053702338702276343,NO
56,62,0.05379353391667146,NO
57,77,0.8962917240793782,NO
58,77,0.05384050041196617,NO
59,54,0.05375625098583873,NO
60,92,0.9340347136162009,NO
61,58,0.05379353391667146,NO
62,24,0.053702338702276343,NO
63,64,0.05379353391667146,NO
64,216,0.8992269584028797,NO
65,36,0.053710664956235485,NO
66,36,0.053710664956235485,NO
67,208,0.05534996461277093,NO
68,39,0.9339000709309633,NO
69,47,0.9342324263106309,NO
70,74,0.05384050041196617,NO
71,71,0.8972906955527312,NO
72,56,0.8962852365774725,YES
73,44,0.8962347413133376,NO
74,55,0.8962852365774725,YES
75,53,0.9939229286917318,NO
76,187,0.9941793728435292,YES
77,44,0.9939100595845716,NO
78,171,0.8277473833757283,NO
79,493,0.938844712068078,YES
80,122,0.3097815072175903,YES
81,132,0.9939755090406639,YES
82,115,0.8200482032761396,YES
83,201,0.9941407598440359,YES
84,116,0.9939519260595198,NO
85,225,0.2881100282578265,NO
86,42,0.2810010212073494,NO
87,44,0.28098056558329637,NO
88,136,0.2838672841745223,NO
89,27,0.2809091614653384,NO
90,47,0.8188966895849934,NO
91,60,0.2812383890583327,NO
92,58,0.9939273528017738,NO
93,56,0.2816017956720561,NO
94,205,0.994232571577507,NO
95,44,0.993904953335073,YES
96,49,0.9939082424250897,NO
97,30,0.9939028117384148,YES
98,39,0.993904953335073,YES
99,80,0.9939249729735271,YES
100,29,0.2809091614653384,NO
101,49,0.2811107594937768,NO
102,78,0.28144534790769943,NO
103,45,0.28098056558329637,NO
104,31,0.2809091614653384,NO
105,30,0.9939079197710821,NO
106,36,0.2809091614653384,NO
107,43,0.993904953335073,NO
108,60,0.9601124967945065,NO
109,85,0.9601903311738538,NO
110,92,0.09593443628885515,NO
111,156,1.0,NO
112,98,0.9602400549331438,NO
113,131,0.9999999999999263,NO
114,194,0.9616081088815301,NO
115,201,0.9615580379208644,NO
116,69,0.9601478043865292,NO
117,68,0.9601124967945065,NO
118,52,0.9600844268575026,NO
119,50,0.9600844268575026,NO
120,202,0.9615580379208644,NO
121,73,0.09573407306314852,NO
122,42,0.09553520130847792,NO
123,35,0.09550466384394318,NO
124,125,0.2862519603120354,NO
125,65,0.0956454982398308,NO
126,48,0.0955821389048564,NO
127,89,0.09582160638305447,NO
128,153,0.09765829120908964,NO
129,40,0.09553520130847792,NO
130,64,0.9601124967945065,NO
131,99,0.9603326704099662,NO
132,73,0.9601478043865292,NO
133,72,0.9601478043865292,NO
134,51,0.9999999999996774,NO
135,36,0.9600500548845035,NO
136,31,0.9999999999999248,NO
137,61,1.0,NO
138,74,0.9999999999996779,NO
139,101,0.9999991756336346,NO
140,86,0.9999999999996783,NO
141,106,1.0,NO
142,91,1.0,NO
143,58,0.9999999999996776,NO
144,106,0.9999999999996791,NO
145,143,1.0,NO
146,52,0.9999999999996774,NO
147,88,0.9999999999996783,NO
148,66,1.0,NO
149,44,0.9601566186864601,NO
150,158,0.9617141725827147,NO
151,51,0.9601167299660619,NO
152,36,0.9600823846532716,NO
153,63,0.9601447781294793,NO
154,36,0.8959757364826333,NO
155,43,0.8960086754579712,NO
156,81,0.9341041140110218,NO
157,75,0.934035634970834,NO
158,81,0.9340064677203246,NO
159,88,0.9342472219490225,NO
160,42,0.8960086754579712,NO
161,82,0.07487173337225485,NO
162,55,0.8960592679740398,NO
163,48,0.07005378260215406,NO
164,72,0.070161680418252,NO
165,113,0.9402563999498447,NO
166,55,0.9347776229445736,NO
167,35,0.933780290998427,NO
168,47,0.8960086754579712,NO
169,101,0.9011289627659748,NO
170,109,0.05403976475793868,NO
171,28,0.8959757364826333,NO
172,54,0.04294611395044597,NO
173,158,0.8979637870377752,NO
174,52,0.8962852365774725,NO
175,53,0.849278788008634,NO
176,81,0.8501189104694807,NO
177,83,0.8496326382759395,NO
178,63,0.8493725549063242,NO
179,48,0.04294611395044597,NO
180,55,0.8482744009708469,NO
181,149,0.9063736906636726,NO
182,263,0.9011105378333639,NO
183,179,0.09415604612666696,NO
184,37,0.04292379761802013,NO
185,25,0.04290255162869604,NO
186,30,0.8481589747867924,NO
187,36,0.053715811199246594,NO
188,30,0.042909279361525915,NO
189,27,0.042909279361525915,NO
190,37,0.04292379761802013,NO
191,33,0.042909279361525915,NO
192,31,0.042909279361525915,NO
193,56,0.04294611395044597,NO
194,101,0.04317521579977866,NO
195,139,0.05445745474626055,NO
196,85,0.05390233743929202,NO
197,95,0.04311365335840932,NO
198,60,0.8483686811576054,NO
199,35,0.042909279361525915,NO
200,26,0.04290255162869604,NO
201,69,0.8485956674920812,NO
202,64,0.9338809648445858,NO
203,39,0.848204489615745,NO
204,41,0.04292379761802013,NO
205,167,0.8979914287329174,NO
206,66,0.9338809648445858,NO
207,93,0.05409287931272215,NO
208,77,0.9971202841866152,YES
209,123,0.9999999999999952,YES
210,90,0.9999958346371333,NO
211,48,0.7921724736971345,NO
212,85,0.03617853585366086,NO
213,43,0.7922218880659022,NO
214,90,0.7928415185175752,NO
215,202,0.037051436362272344,NO
216,135,0.036472735723514074,YES
217,30,0.036051004844678415,NO
218,29,0.036051004844678415,NO
219,67,0.0704188118088133,NO
220,242,0.7994244714696881,NO
221,72,0.9999995761426379,NO
222,50,0.04294611395044597,NO
223,89,0.7927662284168868,NO
224,40,0.04292379761802013,NO
225,49,0.7923112696528384,NO
226,249,0.8650681763434896,NO
227,40,0.7924827127463049,NO
228,171,0.8512420217572013,NO
229,40,0.7922218880659022,NO
230,32,0.7921637003299361,NO
231,273,0.10686646731369921,NO
232,55,0.09559089176218777,NO
233,80,0.9999935525310191,NO
234,28,0.9999935288670124,NO
235,44,0.9999935311538786,NO
236,83,0.9999935525310191,NO
237,67,0.999993539401548,NO
238,36,0.9999935288670124,NO
239,384,0.9426234308276542,YES
240,196,0.9354646696451718,NO
241,312,0.9383335830996169,NO
242,120,0.9349412788648823,NO
243,315,1.0,YES
244,112,1.0,NO
245,119,0.9998515117474872,NO
246,146,0.9988101972851343,NO
247,86,0.7926276569272029,NO
248,69,0.7924448234222219,NO
249,88,0.7926276569272029,NO
250,42,0.7920830480524707,NO
251,32,0.7920248316420112,NO
252,56,0.7921724736971345,NO
253,56,0.8482744009708469,NO
254,89,0.8486301889748178,NO
255,40,0.848204489615745,NO
256,80,0.8486301889748178,NO
257,46,0.7920830480524707,NO
258,46,0.7920830480524707,NO
259,68,0.04297623996994599,NO
260,80,0.043059987866783944,NO
261,66,0.04297623996994599,NO
262,100,0.09615407083321591,NO
263,32,0.09550466384394318,YES
264,31,0.042909279361525915,NO
265,36,0.042909279361525915,NO
266,59,0.04297623996994599,NO
267,44,0.0360632900556952,NO
268,29,0.036051004844678415,NO
269,280,0.8022510141131913,NO
270,63,0.8961274912418437,YES
271,60,0.09752902463682225,NO
272,46,0.09622230242179125,NO
273,133,0.10101961761479117,NO
274,333,0.11201706601743451,NO
275,36,0.09551341035581437,NO
276,44,0.09622230242179125,NO
277,741,0.2833944950566608,YES
278,26,0.09549051245510717,NO
279,70,0.09594451505627136,NO
280,213,0.12210799494915701,NO
281,192,0.10493461786276909,YES
282,562,0.9732257793076504,NO
283,46,0.7922218880659022,NO
284,31,0.7921637003299361,NO
285,83,0.03617853585366086,NO
286,71,0.7924448234222219,NO
287,83,0.7926276569272029,NO
288,40,0.0360632900556952,NO
289,32,0.7920248316420112,NO
290,57,0.7921724736971345,NO
291,64,0.8961274912418437,NO
292,94,0.8964375986832263,NO
293,45,0.8960086754579712,NO
294,98,0.8964375986832263,NO
295,46,0.7920830480524707,NO
296,46,0.7920830480524707,NO
297,349,1.0,YES
298,143,0.7945110993249876,NO
299,81,0.7927662284168868,YES
300,132,0.7941435555076102,NO
301,162,1.0,NO
302,85,0.9999999999993381,NO
303,454,1.0,YES
304,312,1.0,YES
305,49,1.0,NO
306,32,1.0,NO
307,64,0.9880269626299871,NO
308,105,0.9880839319797434,NO
309,82,0.9880322735664805,NO
310,111,0.05425541485286943,NO
311,42,0.9337499979906018,NO
312,63,0.9338288768137163,NO
313,235,0.056882223371098696,NO
314,75,0.03613978171968631,NO
315,43,0.8960872216805869,NO
316,33,0.7920248316420112,NO
317,66,0.9880269626299871,NO
318,99,0.9880376920296781,NO
319,40,0.7924827127463049,NO
320,160,0.8982446671048462,NO
321,40,0.7922218880659022,NO
322,32,0.7921637003299361,NO
323,547,0.12073479019725361,YES
324,309,0.0721360271605761,YES
325,101,0.055469390824798334,YES
326,281,0.05688715851591928,YES
327,72,0.05384050041196617,YES
328,70,0.053969517112556514,YES
329,158,0.05637107566491038,YES
330,58,0.053798687648295415,NO
331,82,0.05389717434395905,YES
332,86,0.7926110144061379,NO
333,25,0.7919811640092939,NO
334,41,0.792066373290114,NO
335,213,0.7971976998736331,YES
336,98,0.7928248886737161,YES
337,184,0.7956422361922547,YES
338,29,0.7920081534367487,NO
339,29,0.7920081534367487,YES
340,44,0.977620045234166,NO
341,53,0.7921558042247275,YES
342,43,0.792066373290114,NO
343,198,0.9782257569598639,YES
344,285,0.9974569868573541,YES
345,27,0.7920081534367487,NO
346,38,0.792066373290114,NO
347,27,0.7920081534367487,NO
348,41,0.792066373290114,NO
349,87,0.7926110144061379,YES
350,28,0.7920081534367487,NO
351,341,0.9999999815163042,YES
352,46,0.792066373290114,YES
353,52,0.7921558042247275,YES
354,38,0.792066373290114,NO
355,52,0.7921558042247275,NO
356,38,0.792066373290114,NO
357,43,0.792066373290114,NO
358,48,0.7921558042247275,YES
359,50,0.7921558042247275,NO
360,25,0.7919811640092939,NO
361,113,0.7933454317348593,YES
362,36,0.7920081534367487,NO
363,116,0.7933454317348593,YES
364,178,0.7956422361922547,YES
365,48,0.7921558042247275,NO
366,32,0.7920081534367487,NO
367,34,0.7920081534367487,NO
368,26,0.7919811640092939,NO
369,51,0.7921558042247275,NO
370,31,0.7920081534367487,NO
371,112,0.7933454317348593,YES
372,26,0.7919811640092939,NO
373,30,0.7920081534367487,NO
374,40,0.792066373290114,NO
375,60,0.792276416518103,YES
376,49,0.7921558042247275,NO
377,58,0.792276416518103,NO
378,37,0.792066373290114,NO
379,289,0.9987766153076406,YES
380,102,0.7930697216486635,NO
381,63,0.792276416518103,NO
382,31,0.7920081534367487,NO
383,84,0.7926110144061379,YES
384,41,0.792066373290114,NO
385,28,0.7920081534367487,NO
386,34,0.7920081534367487,NO
387,26,0.7919811640092939,NO
388,79,0.9338858480252424,NO
389,60,0.9338288768137163,NO
390,56,0.8482613694012574,NO
391,126,0.9131924608047526,YES
392,76,0.8962133145334422,NO
393,87,0.8982964372264524,NO
394,38,0.8481914531161314,NO
395,39,0.8481914531161314,NO
396,38,0.8481914531161314,NO
397,40,0.8481914531161314,NO
398,41,0.8481914531161314,NO
399,97,0.8964375986832263,NO
400,42,0.8481914531161314,NO
401,34,0.848145935078086,NO
402,36,0.07076334038938377,NO
403,41,0.0700184107033743,NO
404,44,0.07002500383427371,NO
405,37,0.07002500383427371,NO
406,107,0.07118906607715154,NO
407,334,0.07589889879491697,NO
408,67,0.08627449116135141,NO
409,88,0.07024087108140079,NO
410,64,0.07010153138256663,NO
411,34,0.07000198950187095,NO
412,37,0.07002500383427371,NO
413,71,0.070161680418252,NO
414,262,0.08492548999624301,NO
415,97,0.07031930315914978,NO
416,35,0.06999539837476894,NO
417,85,0.07075362752126887,NO
418,49,0.07006037881285077,NO
419,102,0.07041685408416497,NO
420,109,0.8968009332384682,YES
421,133,0.8971729584664657,YES
422,122,0.999998510972747,YES
423,131,0.054270051704885934,NO
424,177,0.8980178853731118,YES
425,65,0.05379353391667146,YES
426,53,0.05375625098583873,NO
427,37,0.0537286326755532,YES
428,76,0.05384050041196617,YES
429,70,0.05384050041196617,YES
430,43,0.8960872216805869,YES
431,29,0.053715811199246594,NO
432,24,0.053702338702276343,NO
433,41,0.8960086754579712,NO
434,306,0.8059933367245109,YES
435,120,0.7946419233801159,NO
436,137,0.8975333450939137,NO
437,95,0.8966628396439887,NO
438,96,0.8966628396439887,NO
439,56,0.05375625098583873,NO
440,40,0.8960086754579712,NO
441,350,0.9894436463055293,NO
442,112,0.8974541056167998,NO
443,71,0.07023598378604375,NO
444,93,0.06668037280295493,NO
445,381,0.9969866260948351,NO
446,115,0.8974541056167998,NO
447,69,0.06653032311006422,NO
448,98,0.06668037280295493,NO
449,157,0.9999999999999298,NO
450,59,0.05379353391667146,NO
451,30,0.053710664956235485,NO
452,57,0.8488854839728855,NO
453,182,0.8980271574641997,NO
454,160,0.8975272112827779,NO
455,32,0.8959757364826333,NO
456,24,0.053702338702276343,NO
457,50,0.05375625098583873,NO
