ID,Size,Predicted,Actual
0,78,0.5544525191420161,NO
1,302,0.5629468208245901,NO
2,87,0.5544525191420161,NO
3,198,0.5577519137436997,NO
4,175,0.5577519137436997,NO
5,65,0.5544525191420161,NO
6,105,0.5544525191420161,NO
7,58,0.5544525191420161,NO
8,196,0.5577519137436997,NO
9,106,0.5544525191420161,NO
10,130,0.5577519137436997,NO
11,64,0.5544525191420161,NO
12,132,0.5577519137436997,NO
13,62,0.5544525191420161,NO
14,108,0.5544525191420161,YES
15,432,0.5648455764047502,NO
16,174,0.5577519137436997,NO
17,246,0.5605827793869248,NO
18,106,0.5544525191420161,YES
19,121,0.5544525191420161,NO
20,110,0.5544525191420161,NO
21,58,0.5544525191420161,NO
22,37,0.550682798079886,NO
23,77,0.5544525191420161,NO
24,142,0.5577519137436997,NO
25,114,0.5544525191420161,NO
26,80,0.5544525191420161,NO
27,59,0.5544525191420161,NO
28,69,0.5544525191420161,NO
29,95,0.5544525191420161,NO
30,64,0.5544525191420161,NO
31,164,0.5577519137436997,YES
32,70,0.5544525191420161,NO
33,32,0.550682798079886,NO
34,148,0.5577519137436997,NO
35,156,0.5577519137436997,NO
36,119,0.5544525191420161,NO
37,116,0.5544525191420161,NO
38,93,0.5544525191420161,NO
39,256,0.5926730639221706,YES
40,123,0.5544525191420161,NO
41,201,0.5577519137436997,NO
42,180,0.5577519137436997,NO
43,156,0.5577519137436997,NO
44,98,0.5544525191420161,NO
45,86,0.5544525191420161,YES
46,48,0.5544525191420161,NO
47,143,0.5577519137436997,YES
48,145,0.5577519137436997,NO
49,113,0.5544525191420161,NO
50,260,0.5605827793869248,NO
51,618,0.5672521981711449,YES
52,39,0.550682798079886,NO
53,39,0.550682798079886,NO
54,39,0.550682798079886,NO
55,24,0.550682798079886,NO
56,62,0.5544525191420161,NO
57,77,0.5544525191420161,NO
58,77,0.5544525191420161,NO
59,54,0.5544525191420161,NO
60,92,0.5544525191420161,NO
61,58,0.5544525191420161,NO
62,24,0.550682798079886,NO
63,64,0.5544525191420161,NO
64,216,0.5605827793869248,NO
65,36,0.550682798079886,NO
66,36,0.550682798079886,NO
67,208,0.5577519137436997,NO
68,64,0.5544525191420161,YES
69,39,0.550682798079886,NO
70,47,0.5544525191420161,NO
71,74,0.5544525191420161,NO
72,71,0.5544525191420161,NO
73,123,0.6559589266867902,YES
74,44,0.5544525191420161,NO
75,122,0.6559589266867902,YES
76,53,0.5544525191420161,NO
77,239,0.995351486274464,YES
78,44,0.5544525191420161,NO
79,171,0.5577519137436997,NO
80,523,0.9909406545667789,YES
81,132,0.9999999901050216,YES
82,178,0.5577519137436997,YES
83,130,0.5577519137436997,YES
84,460,0.9922947653690064,YES
85,71,1.0,YES
86,392,0.029952628339764364,YES
87,225,0.5605827793869248,NO
