ID,Size,Predicted,Actual
0,111,6.680326684880593E-7,YES
1,22,6.773564907908223E-7,YES
2,75,6.680326684880593E-7,NO
3,131,6.700410177769163E-7,YES
4,74,6.680326684880593E-7,NO
5,84,6.680326684880593E-7,NO
6,70,6.680326684880593E-7,NO
7,57,6.680326684880593E-7,NO
8,70,6.680326684880593E-7,NO
9,59,6.680326684880593E-7,NO
10,88,6.680326684880593E-7,NO
11,40,6.680326684880593E-7,NO
12,99,6.680326684880593E-7,NO
13,187,6.700410177769163E-7,NO
14,196,6.700410177769163E-7,NO
15,192,6.700410177769163E-7,NO
16,97,6.680326684880593E-7,NO
17,98,6.680326684880593E-7,NO
18,96,6.680326684880593E-7,NO
19,173,6.700410177769163E-7,NO
20,141,6.700410177769163E-7,NO
21,142,6.700410177769163E-7,NO
22,188,6.700410177769163E-7,NO
23,90,6.680326684880593E-7,NO
24,110,6.680326684880593E-7,NO
25,62,6.680326684880593E-7,NO
26,61,6.680326684880593E-7,NO
27,120,6.700410177769163E-7,NO
28,116,6.680326684880593E-7,NO
29,58,6.680326684880593E-7,NO
30,74,6.680326684880593E-7,NO
31,109,5.678481204592406E-6,NO
32,49,7.315425462986381E-7,NO
33,77,6.680326684880593E-7,NO
34,65,6.680326684880593E-7,NO
35,74,6.680326684880593E-7,NO
36,83,6.680326684880593E-7,NO
37,128,6.700410177769163E-7,NO
38,72,6.680326684880593E-7,NO
39,76,6.680326684880593E-7,NO
40,69,6.680326684880593E-7,NO
41,83,6.680326684880593E-7,NO
42,65,6.680326684880593E-7,NO
43,88,6.680326684880593E-7,NO
44,40,6.680326684880593E-7,NO
45,86,6.680326684880593E-7,NO
46,89,6.680326684880593E-7,NO
47,49,6.680326684880593E-7,NO
48,102,6.680326684880593E-7,NO
49,94,6.680326684880593E-7,NO
50,72,6.680326684880593E-7,NO
51,60,6.680326684880593E-7,NO
52,76,6.680326684880593E-7,NO
53,92,6.680326684880593E-7,NO
54,96,6.680326684880593E-7,NO
55,70,6.680326684880593E-7,NO
56,86,6.680326684880593E-7,NO
57,101,6.680326684880593E-7,NO
58,169,6.700410177769163E-7,NO
59,115,6.680326684880593E-7,NO
60,153,6.700410177769163E-7,NO
61,58,6.680326684880593E-7,NO
62,47,6.680326684880593E-7,NO
63,49,6.680326684880593E-7,NO
64,58,6.680326684880593E-7,NO
65,70,6.680326684880593E-7,NO
66,141,6.700410177769163E-7,NO
