ID,Size,Predicted,Actual
0,78,0.0,NO
1,302,0.0,NO
2,87,0.0,NO
3,198,0.0,NO
4,175,0.0,NO
5,65,0.0,NO
6,105,0.0,NO
7,58,0.0,NO
8,196,0.0,NO
9,106,0.0,NO
10,130,0.0,NO
11,64,0.0,NO
12,132,0.0,NO
13,62,0.0,NO
14,108,0.0,YES
15,432,0.0,NO
16,174,0.0,NO
17,246,0.0,NO
18,106,0.0,YES
19,121,0.0,NO
20,110,0.0,NO
21,58,0.0,NO
22,37,0.0,NO
23,77,0.0,NO
24,142,0.0,NO
25,114,0.0,NO
26,80,0.0,NO
27,59,0.0,NO
28,69,0.0,NO
29,95,0.0,NO
30,64,0.0,NO
31,164,0.0,YES
32,70,0.0,NO
33,32,0.0,NO
34,148,0.0,NO
35,156,0.0,NO
36,119,0.0,NO
37,116,0.0,NO
38,93,0.0,NO
39,229,0.0,YES
40,123,0.0,NO
41,201,0.0,NO
42,180,0.0,NO
43,156,0.0,NO
44,98,0.0,NO
45,85,0.0,YES
46,48,0.0,NO
47,145,0.0,YES
48,145,0.0,NO
49,113,0.0,NO
50,260,0.0,NO
51,610,0.0,YES
52,39,0.0,NO
53,39,0.0,NO
54,39,0.0,NO
55,24,0.0,NO
56,62,0.0,NO
57,77,0.0,NO
58,77,0.0,NO
59,54,0.0,NO
60,92,0.0,NO
61,58,0.0,NO
62,24,0.0,NO
63,64,0.0,NO
64,216,0.0,NO
65,36,0.0,NO
66,36,0.0,NO
67,208,0.0,NO
68,39,0.0,NO
69,47,0.0,NO
70,74,0.0,NO
71,71,0.0,NO
72,56,0.0,YES
73,44,0.0,NO
74,55,0.0,YES
75,53,0.0,NO
76,221,0.0,YES
77,44,0.0,NO
78,171,0.0,NO
79,511,0.0,YES
80,122,0.0,YES
81,132,0.0,YES
82,115,0.0,YES
83,201,0.0,YES
84,116,0.0,NO
85,225,0.0,NO
86,42,0.0,NO
87,44,0.0,NO
88,94,0.0,NO
89,136,0.0,NO
90,27,0.0,NO
91,47,0.0,NO
92,60,0.0,NO
93,58,0.0,NO
94,56,0.0,NO
95,205,0.0,NO
96,44,0.0,YES
97,49,0.0,NO
98,30,0.0,YES
99,39,0.0,YES
100,80,0.0,YES
101,29,0.0,NO
102,49,0.0,NO
103,78,0.0,NO
104,45,0.0,NO
105,31,0.0,NO
106,30,0.0,NO
107,36,0.0,NO
108,43,0.0,NO
109,60,0.0,NO
110,85,0.0,NO
111,92,0.0,NO
112,156,0.0,NO
113,98,0.0,NO
114,131,0.0,NO
115,194,0.0,NO
116,201,0.0,NO
117,69,0.0,NO
118,68,0.0,NO
119,52,0.0,NO
120,50,0.0,NO
121,202,0.0,NO
122,73,0.0,NO
123,42,0.0,NO
124,35,0.0,NO
125,125,0.0,NO
126,65,0.0,NO
127,48,0.0,NO
128,89,0.0,NO
129,153,0.0,NO
130,40,0.0,NO
131,64,0.0,NO
132,99,0.0,NO
133,73,0.0,NO
134,72,0.0,NO
135,51,0.0,NO
136,36,0.0,NO
137,31,0.0,NO
138,61,0.0,NO
139,74,0.0,NO
140,101,0.0,NO
141,86,0.0,NO
142,106,0.0,NO
143,91,0.0,NO
144,58,0.0,NO
145,106,0.0,NO
146,143,0.0,NO
147,52,0.0,NO
148,88,0.0,NO
149,66,0.0,NO
150,44,0.0,NO
151,158,0.0,NO
152,51,0.0,NO
153,36,0.0,NO
154,63,0.0,NO
155,36,0.0,NO
156,43,0.0,NO
157,81,0.0,NO
158,75,0.0,NO
159,81,0.0,NO
160,88,0.0,NO
161,42,0.0,NO
162,82,0.0,NO
163,55,0.0,NO
164,48,0.0,NO
165,72,0.0,NO
166,113,0.0,NO
167,55,0.0,NO
168,35,0.0,NO
169,47,0.0,NO
170,101,0.0,NO
171,109,0.0,NO
172,28,0.0,NO
173,54,0.0,NO
174,158,0.0,NO
175,52,0.0,NO
176,53,0.0,NO
177,81,0.0,NO
178,83,0.0,NO
179,63,0.0,NO
180,48,0.0,NO
181,55,0.0,NO
182,149,0.0,NO
183,263,0.0,NO
184,179,0.0,NO
185,37,0.0,NO
186,25,0.0,NO
187,30,0.0,NO
188,36,0.0,NO
189,30,0.0,NO
190,27,0.0,NO
191,37,0.0,NO
192,33,0.0,NO
193,31,0.0,NO
194,56,0.0,NO
195,101,0.0,NO
196,139,0.0,NO
197,85,0.0,NO
198,95,0.0,NO
199,60,0.0,NO
200,35,0.0,NO
201,26,0.0,NO
202,69,0.0,NO
203,64,0.0,NO
204,39,0.0,NO
205,41,0.0,NO
206,167,0.0,NO
207,66,0.0,NO
208,93,0.0,NO
209,77,0.0,YES
210,123,0.0,YES
211,90,0.0,NO
212,48,0.0,NO
213,85,0.0,NO
214,43,0.0,NO
215,90,0.0,NO
216,202,0.0,NO
217,135,0.0,YES
218,30,0.0,NO
219,29,0.0,NO
220,67,0.0,NO
221,242,0.0,NO
222,72,0.0,NO
223,50,0.0,NO
224,89,0.0,NO
225,40,0.0,NO
226,49,0.0,NO
227,249,0.0,NO
228,40,0.0,NO
229,171,0.0,NO
230,40,0.0,NO
231,32,0.0,NO
232,271,0.0,NO
233,55,0.0,NO
234,80,0.0,NO
235,28,0.0,NO
236,44,0.0,NO
237,83,0.0,NO
238,67,0.0,NO
239,36,0.0,NO
240,384,0.0,YES
241,196,0.0,NO
242,312,0.0,NO
243,120,0.0,NO
244,315,1.0,YES
245,112,1.0,NO
246,119,0.0,NO
247,146,0.0,NO
248,86,0.0,NO
249,69,0.0,NO
250,88,0.0,NO
251,42,0.0,NO
252,32,0.0,NO
253,56,0.0,NO
254,56,0.0,NO
255,89,0.0,NO
256,40,0.0,NO
257,80,0.0,NO
258,46,0.0,NO
259,46,0.0,NO
260,68,0.0,NO
261,80,0.0,NO
262,66,0.0,NO
263,100,0.0,NO
264,32,0.0,YES
265,31,0.0,NO
266,36,0.0,NO
267,59,0.0,NO
268,44,0.0,NO
269,29,0.0,NO
270,280,0.0,NO
271,67,1.0,NO
272,60,0.0,NO
273,46,0.0,NO
274,133,0.0,NO
275,333,0.0,NO
276,36,0.0,NO
277,44,0.0,NO
278,741,1.0,YES
279,26,0.0,NO
280,70,0.0,NO
281,213,0.0,NO
282,192,0.0,YES
283,562,0.0,NO
284,46,0.0,NO
285,31,0.0,NO
286,83,0.0,NO
287,71,0.0,NO
288,83,0.0,NO
289,40,0.0,NO
290,32,0.0,NO
291,57,0.0,NO
292,64,0.0,NO
293,94,0.0,NO
294,45,0.0,NO
295,98,0.0,NO
296,46,0.0,NO
297,46,0.0,NO
298,349,0.0,YES
299,143,0.0,NO
300,81,0.0,YES
301,132,0.0,NO
302,162,0.0,NO
303,85,0.0,NO
304,454,0.0,YES
305,312,0.0,YES
306,49,0.0,NO
307,32,0.0,NO
308,64,0.0,NO
309,105,0.0,NO
310,82,0.0,NO
311,111,0.0,NO
312,42,0.0,NO
313,63,0.0,NO
314,235,0.0,NO
315,75,0.0,NO
316,43,0.0,NO
317,33,0.0,NO
318,66,0.0,NO
319,99,0.0,NO
320,40,0.0,NO
321,160,0.0,NO
322,40,0.0,NO
323,32,0.0,NO
324,547,0.0,YES
325,309,0.0,YES
326,101,0.0,YES
327,281,0.0,YES
328,72,0.0,YES
329,70,0.0,YES
330,158,0.0,YES
331,58,0.0,NO
332,82,0.0,YES
333,86,0.0,NO
334,25,0.0,NO
335,41,0.0,NO
336,213,0.0,YES
337,98,0.0,YES
338,184,0.0,YES
339,29,0.0,NO
340,29,0.0,YES
341,44,0.0,NO
342,56,0.0,YES
343,43,0.0,NO
344,198,0.0,YES
345,285,0.0,YES
346,27,0.0,NO
347,38,0.0,NO
348,27,0.0,NO
349,41,0.0,NO
350,87,0.0,YES
351,28,0.0,NO
352,341,0.0,YES
353,46,0.0,YES
354,52,0.0,YES
355,38,0.0,NO
356,52,0.0,NO
357,38,0.0,NO
358,43,0.0,NO
359,48,0.0,YES
360,50,0.0,NO
361,25,0.0,NO
362,113,0.0,YES
363,36,0.0,NO
364,116,0.0,YES
365,178,0.0,YES
366,48,0.0,NO
367,32,0.0,NO
368,34,0.0,NO
369,26,0.0,NO
370,51,0.0,NO
371,31,0.0,NO
372,112,0.0,YES
373,26,0.0,NO
374,30,0.0,NO
375,40,0.0,NO
376,60,0.0,YES
377,49,0.0,NO
378,58,0.0,NO
379,37,0.0,NO
380,289,0.0,YES
381,102,0.0,NO
382,63,0.0,NO
383,31,0.0,NO
384,84,0.0,YES
385,41,0.0,NO
386,28,0.0,NO
387,34,0.0,NO
388,26,0.0,NO
389,79,0.0,NO
390,60,0.0,NO
391,56,0.0,NO
392,126,0.0,YES
393,76,0.0,NO
394,87,0.0,NO
395,38,0.0,NO
396,39,0.0,NO
397,38,0.0,NO
398,40,0.0,NO
399,41,0.0,NO
400,97,0.0,NO
401,42,0.0,NO
402,34,0.0,NO
403,36,0.0,NO
404,41,0.0,NO
405,44,0.0,NO
406,37,0.0,NO
407,107,0.0,NO
408,334,0.0,NO
409,67,0.0,NO
410,88,0.0,NO
411,64,0.0,NO
412,34,0.0,NO
413,37,0.0,NO
414,71,0.0,NO
415,262,0.0,NO
416,97,0.0,NO
417,35,0.0,NO
418,85,0.0,NO
419,49,0.0,NO
420,102,0.0,NO
421,109,0.0,YES
422,133,0.0,YES
423,122,0.0,YES
424,131,0.0,NO
425,177,0.0,YES
426,65,0.0,YES
427,53,0.0,NO
428,37,0.0,YES
429,76,0.0,YES
430,70,0.0,YES
431,43,0.0,YES
432,29,0.0,NO
433,24,0.0,NO
434,41,0.0,NO
435,306,0.0,YES
436,120,0.0,NO
437,137,0.0,NO
438,95,0.0,NO
439,96,0.0,NO
440,56,0.0,NO
441,40,0.0,NO
442,350,0.0,NO
443,112,0.0,NO
444,71,0.0,NO
445,93,0.0,NO
446,381,0.0,NO
447,115,0.0,NO
448,69,0.0,NO
449,98,0.0,NO
450,157,0.0,NO
451,59,0.0,NO
452,30,0.0,NO
453,57,0.0,NO
454,182,0.0,NO
455,160,0.0,NO
456,32,0.0,NO
457,24,0.0,NO
458,50,0.0,NO
459,50,0.0,NO
460,63,0.0,NO
461,116,0.0,NO
462,182,0.0,NO
463,69,0.0,NO
464,27,0.0,NO
465,67,0.0,NO
466,44,0.0,NO
467,33,0.0,NO
468,72,0.0,NO
469,89,0.0,NO
470,304,0.0,NO
471,2521,1.0,YES
472,36,0.0,YES
473,32,0.0,NO
474,49,0.0,NO
475,27,0.0,NO
476,31,0.0,NO
477,72,0.0,NO
478,83,0.0,NO
479,82,0.0,NO
480,496,0.0,YES
481,242,0.0,NO
482,351,0.0,NO
483,32,0.0,NO
484,40,0.0,NO
485,452,0.0,NO
486,399,0.0,YES
487,50,0.0,NO
488,257,0.0,YES
489,124,0.0,YES
490,184,0.0,YES
491,248,0.0,YES
492,26,0.0,NO
493,22,0.0,NO
494,229,0.0,YES
495,311,0.0,YES
496,158,0.0,NO
497,420,0.0,YES
498,35,0.0,NO
499,24,0.0,NO
500,25,0.0,NO
501,119,0.0,NO
502,153,0.0,NO
503,51,0.0,NO
504,51,0.0,NO
505,41,0.0,NO
506,22,0.0,NO
507,244,0.0,NO
508,24,0.0,NO
509,27,0.0,NO
510,44,0.0,NO
511,222,0.0,NO
512,126,0.0,NO
513,216,0.0,NO
514,65,0.0,NO
515,28,0.0,NO
516,722,1.0,YES
517,244,1.0,YES
518,36,0.0,NO
519,40,0.0,NO
520,369,0.0,NO
521,30,0.0,NO
522,40,0.0,NO
523,35,0.0,NO
524,125,0.0,NO
525,51,0.0,YES
526,55,0.0,NO
527,52,0.0,NO
528,65,0.0,NO
529,86,0.0,NO
530,116,0.0,NO
531,61,0.0,NO
532,59,0.0,NO
533,216,0.0,NO
534,270,0.0,NO
535,81,0.0,NO
536,74,0.0,NO
537,214,0.0,NO
538,79,0.0,NO
539,118,0.0,NO
540,75,0.0,NO
541,130,0.0,NO
542,81,0.0,NO
543,36,0.0,NO
544,75,0.0,NO
545,213,0.0,NO
546,26,0.0,NO
547,135,0.0,NO
548,71,0.0,NO
549,209,0.0,NO
550,189,0.0,NO
551,66,0.0,NO
552,188,0.0,NO
553,69,0.0,NO
554,65,0.0,NO
555,108,0.0,NO
556,46,0.0,NO
557,53,0.0,NO
558,447,0.0,NO
559,386,0.0,NO
560,30,0.0,NO
561,134,0.0,YES
562,41,0.0,NO
563,22,0.0,NO
564,177,0.0,NO
565,357,0.0,NO
566,243,0.0,NO
567,31,0.0,NO
568,22,0.0,NO
569,541,0.0,YES
570,247,0.0,YES
571,78,0.0,NO
572,33,0.0,NO
573,81,0.0,NO
574,64,0.0,NO
575,108,0.0,NO
576,57,0.0,NO
577,76,0.0,NO
578,79,0.0,NO
579,70,0.0,NO
580,32,0.0,NO
581,31,0.0,NO
582,37,0.0,NO
583,83,0.0,NO
584,22,0.0,NO
585,45,0.0,NO
586,177,0.0,NO
587,28,0.0,NO
588,234,0.0,NO
589,92,0.0,NO
590,286,0.0,YES
591,427,0.0,YES
592,633,0.0,YES
593,211,0.0,NO
594,52,0.0,NO
595,87,0.0,NO
596,105,0.0,NO
597,401,0.0,YES
598,35,0.0,NO
599,113,0.0,NO
600,286,0.0,NO
601,75,0.0,NO
602,93,0.0,NO
603,52,0.0,NO
604,393,0.0,NO
605,59,0.0,NO
606,129,0.0,NO
607,24,0.0,NO
608,97,0.0,NO
609,626,0.0,NO
610,62,0.0,NO
611,405,0.0,NO
612,1158,1.0,YES
613,405,0.0,NO
614,607,0.0,NO
615,513,0.0,NO
616,703,1.0,NO
617,1389,1.0,YES
