ID,Size,Predicted,Actual
0,120,1.2469909488253649E-7,NO
1,22,6.135237792526173E-8,NO
2,75,7.338567733535756E-8,NO
3,135,1.577922319053839E-7,NO
4,79,7.668067998964363E-8,NO
5,91,8.449630231664551E-8,NO
6,70,7.159235436434624E-8,NO
7,57,6.489373423693686E-8,NO
8,70,7.159235436434624E-8,NO
9,59,6.616695451354405E-8,NO
10,88,8.182175533909576E-8,NO
11,40,6.234541111047707E-8,NO
12,104,9.97182659949191E-8,NO
13,196,5.938868583223089E-7,NO
14,202,7.181642994495186E-7,NO
15,97,8.974842904961027E-8,NO
16,99,8.974842904961027E-8,NO
17,96,8.974842904961027E-8,NO
18,189,4.880541133310429E-7,NO
19,151,2.1347526929803955E-7,NO
20,153,2.2170251521927414E-7,NO
21,199,7.181642994495186E-7,NO
22,90,8.327299240508623E-8,NO
23,115,1.1227450213888062E-7,NO
24,62,6.760999090004654E-8,NO
25,61,6.760999090004654E-8,NO
26,91,8.449630231664551E-8,NO
27,81,7.668067998964363E-8,NO
28,91,8.449630231664551E-8,NO
29,67,6.894307025824106E-8,NO
30,88,8.182175533909576E-8,NO
31,85,8.182175533909576E-8,NO
32,49,6.387936874015201E-8,NO
33,102,9.97182659949191E-8,NO
34,94,8.974842904961027E-8,NO
35,72,7.221256049523812E-8,NO
36,70,7.159235436434624E-8,NO
37,87,8.182175533909576E-8,NO
38,166,3.0446438642795566E-7,NO
39,116,1.1227450213888062E-7,NO
40,155,2.3079930946590667E-7,NO
41,67,6.894307025824106E-8,NO
42,88,8.182175533909576E-8,NO
43,40,6.234541111047707E-8,NO
44,57,6.489373423693686E-8,NO
45,39,6.200935098040703E-8,NO
46,98,8.974842904961027E-8,NO
47,106,9.97182659949191E-8,NO
48,101,9.314587625311856E-8,NO
49,94,8.974842904961027E-8,NO
50,76,7.338567733535756E-8,NO
51,116,1.1227450213888062E-7,NO
52,56,6.489373423693686E-8,NO
53,48,6.336515399601663E-8,NO
54,82,7.763836577262109E-8,NO
55,45,6.317616566088851E-8,NO
56,45,6.317616566088851E-8,NO
57,30,6.129025227692599E-8,NO
58,78,5.5017796821877205E-8,NO
59,302,6.283083430729283E-8,NO
60,87,5.496927054530571E-8,NO
61,198,5.668289257948176E-8,NO
62,175,5.596590691648272E-8,NO
63,65,5.5175546902266415E-8,NO
64,105,5.493264868891308E-8,NO
65,58,5.5284944342449436E-8,NO
66,196,5.668289257948176E-8,NO
67,106,5.493264868891308E-8,NO
68,130,5.5101028734335075E-8,NO
69,64,5.5175546902266415E-8,NO
70,132,5.5101028734335075E-8,NO
71,62,5.5284944342449436E-8,NO
72,108,5.494451287024353E-8,YES
73,432,7.970101770316582E-8,NO
74,174,5.596590691648272E-8,NO
75,246,5.872215716251107E-8,YES
76,106,5.493264868891308E-8,YES
77,121,5.497650380433891E-8,NO
78,110,5.494451287024353E-8,NO
79,58,5.5284944342449436E-8,NO
80,37,5.573674269617727E-8,NO
81,77,5.5086530402612354E-8,NO
82,142,5.5193699699604366E-8,NO
83,114,5.494451287024353E-8,NO
84,80,5.5017796821877205E-8,NO
85,59,5.5284944342449436E-8,NO
86,69,5.5175546902266415E-8,NO
87,95,5.494089822635102E-8,NO
88,64,5.5175546902266415E-8,NO
89,164,5.5594639861422737E-8,YES
90,70,5.5175546902266415E-8,NO
91,32,5.592909942926962E-8,NO
92,148,5.530677160749467E-8,NO
93,156,5.544036914740231E-8,NO
94,119,5.497650380433891E-8,NO
95,116,5.497650380433891E-8,NO
96,93,5.494089822635102E-8,NO
97,256,5.9592374412506205E-8,YES
98,123,5.5028656645829143E-8,NO
99,201,5.668289257948176E-8,NO
100,180,5.596590691648272E-8,NO
101,156,5.544036914740231E-8,NO
102,98,5.494089822635102E-8,NO
103,86,5.496927054530571E-8,YES
104,48,5.541484333156325E-8,NO
105,143,5.5193699699604366E-8,YES
106,145,5.530677160749467E-8,NO
107,113,5.494451287024353E-8,NO
108,260,5.9592374412506205E-8,NO
109,618,1.3501676793999095E-7,YES
110,39,5.573674269617727E-8,NO
111,39,5.573674269617727E-8,NO
112,39,5.573674269617727E-8,NO
113,24,5.614267108403783E-8,NO
114,62,5.5284944342449436E-8,NO
115,77,5.5086530402612354E-8,NO
116,77,5.5086530402612354E-8,NO
117,54,5.541484333156325E-8,NO
118,92,5.496927054530571E-8,NO
119,58,5.5284944342449436E-8,NO
120,24,5.614267108403783E-8,NO
121,64,5.5175546902266415E-8,NO
122,216,5.727072202257403E-8,NO
123,36,5.573674269617727E-8,NO
124,36,5.573674269617727E-8,NO
125,208,5.6965620199648134E-8,NO
126,64,5.5175546902266415E-8,YES
127,39,5.573674269617727E-8,NO
128,47,5.556538728641729E-8,NO
129,74,5.5086530402612354E-8,NO
130,71,5.5086530402612354E-8,NO
131,123,5.5028656645829143E-8,YES
132,44,5.556538728641729E-8,NO
133,122,5.5028656645829143E-8,YES
134,53,5.541484333156325E-8,NO
135,239,5.832384686260336E-8,YES
136,44,5.556538728641729E-8,NO
137,171,5.5769754415974125E-8,NO
138,523,9.975739150535558E-8,YES
139,132,5.5101028734335075E-8,YES
140,178,5.596590691648272E-8,YES
141,130,5.5101028734335075E-8,YES
142,460,8.38856418946153E-8,YES
143,71,5.5086530402612354E-8,YES
144,447,1.0600174234014673E-7,YES
145,225,5.7949450726879824E-8,NO
146,42,5.556538728641729E-8,NO
147,44,5.556538728641729E-8,NO
148,94,5.494089822635102E-8,NO
149,136,5.5101028734335075E-8,NO
150,27,5.592909942926962E-8,NO
151,47,5.556538728641729E-8,NO
152,60,5.5284944342449436E-8,NO
153,58,5.5284944342449436E-8,NO
154,56,5.5284944342449436E-8,NO
155,198,7.168224787345428E-8,NO
156,54,5.541484333156325E-8,YES
157,49,5.541484333156325E-8,YES
158,32,5.592909942926962E-8,YES
159,43,5.556538728641729E-8,YES
160,111,5.494451287024353E-8,YES
161,29,5.592909942926962E-8,YES
162,49,5.541484333156325E-8,YES
163,78,5.5017796821877205E-8,YES
164,45,5.556538728641729E-8,NO
165,31,5.592909942926962E-8,NO
166,30,5.592909942926962E-8,NO
167,36,5.573674269617727E-8,YES
168,43,5.556538728641729E-8,YES
169,47,5.556538728641729E-8,YES
170,35,5.573674269617727E-8,YES
171,62,5.5284944342449436E-8,YES
172,64,5.5175546902266415E-8,YES
173,30,5.592909942926962E-8,YES
174,154,5.544036914740231E-8,YES
175,53,5.541484333156325E-8,YES
176,45,5.556538728641729E-8,YES
177,68,5.5175546902266415E-8,YES
178,68,5.5175546902266415E-8,YES
179,60,5.5284944342449436E-8,YES
180,60,5.5284944342449436E-8,NO
181,85,5.496927054530571E-8,NO
182,92,5.496927054530571E-8,NO
183,156,5.544036914740231E-8,NO
184,98,5.494089822635102E-8,NO
185,131,5.5101028734335075E-8,NO
186,194,5.6422221568803576E-8,YES
187,201,5.668289257948176E-8,YES
188,69,5.5175546902266415E-8,YES
189,68,5.5175546902266415E-8,NO
190,52,5.541484333156325E-8,NO
191,50,5.541484333156325E-8,NO
192,202,5.668289257948176E-8,NO
193,73,5.5086530402612354E-8,NO
194,42,5.556538728641729E-8,NO
195,35,5.573674269617727E-8,NO
196,125,5.5028656645829143E-8,NO
197,65,5.5175546902266415E-8,NO
198,48,5.541484333156325E-8,NO
199,89,5.496927054530571E-8,NO
200,153,5.544036914740231E-8,NO
201,40,5.573674269617727E-8,NO
202,64,5.5175546902266415E-8,NO
203,99,5.494089822635102E-8,NO
204,73,5.5086530402612354E-8,NO
205,72,5.5086530402612354E-8,NO
206,51,5.541484333156325E-8,NO
207,36,5.573674269617727E-8,NO
208,31,5.592909942926962E-8,NO
209,61,5.5284944342449436E-8,NO
210,74,5.5086530402612354E-8,NO
211,101,5.493264868891308E-8,NO
212,86,5.496927054530571E-8,NO
213,106,5.493264868891308E-8,NO
214,91,5.496927054530571E-8,NO
215,58,5.5284944342449436E-8,NO
216,106,5.493264868891308E-8,NO
217,143,5.5193699699604366E-8,NO
218,52,5.541484333156325E-8,NO
219,88,5.496927054530571E-8,NO
220,66,5.5175546902266415E-8,NO
221,44,5.556538728641729E-8,NO
222,158,5.544036914740231E-8,NO
223,51,5.541484333156325E-8,NO
224,36,5.573674269617727E-8,NO
225,63,5.5175546902266415E-8,NO
226,110,5.494451287024353E-8,YES
227,29,5.592909942926962E-8,YES
228,104,5.493264868891308E-8,YES
229,38,5.573674269617727E-8,YES
230,44,5.556538728641729E-8,YES
231,96,5.494089822635102E-8,YES
232,42,5.556538728641729E-8,YES
233,48,5.541484333156325E-8,YES
234,36,5.573674269617727E-8,NO
235,43,5.556538728641729E-8,NO
236,81,5.5017796821877205E-8,YES
237,75,5.5086530402612354E-8,YES
238,81,5.5017796821877205E-8,YES
239,88,5.496927054530571E-8,YES
240,42,5.556538728641729E-8,NO
241,82,5.5017796821877205E-8,NO
242,55,5.541484333156325E-8,NO
