ID,Size,Predicted,Actual
0,233,6.611494175219919E-7,NO
1,557,1.0,NO
2,22,1.4093647898249314E-8,NO
3,39,1.3744996468727524E-8,NO
4,39,1.3744996468727524E-8,NO
5,24,1.401627028864816E-8,NO
6,45,1.3500036581377845E-8,NO
7,77,1.5098716845983524E-8,NO
8,77,1.5098716845983524E-8,NO
9,54,1.1399860268949011E-8,NO
10,90,1.2906017370434269E-8,NO
11,58,1.2398151570194886E-8,NO
12,24,1.401627028864816E-8,NO
13,64,1.2398151570194886E-8,NO
14,214,5.8280355372864744E-8,NO
15,19,1.4093647898249314E-8,NO
16,35,1.3744996468727524E-8,NO
17,157,1.0101028589535838E-7,NO
18,55,1.169034302014357E-8,NO
19,26,1.3815807128026346E-8,NO
20,54,1.1399860268949011E-8,NO
