ID,Size,Predicted,Actual
0,78,0.49577380952380956,NO
1,302,0.99,NO
2,87,0.7991666666666667,NO
3,198,0.65,NO
4,175,0.9325,NO
5,65,0.94,NO
6,105,0.7,NO
7,58,0.85,NO
8,196,0.65,NO
9,106,0.85,NO
10,130,0.99,NO
11,64,0.47378571428571425,NO
12,132,0.97,NO
13,62,0.32366666666666666,NO
14,108,0.98,YES
15,432,0.08,NO
16,174,0.9175,NO
17,246,1.0,NO
18,106,0.85,YES
19,121,0.6023333333333334,NO
20,110,0.29,NO
21,58,0.85,NO
22,37,0.9575,NO
23,77,0.49577380952380956,NO
24,142,0.1,NO
25,114,0.96,NO
26,80,0.676888888888889,NO
27,59,1.0,NO
28,69,0.87,NO
29,95,0.12623390758932218,NO
30,64,0.47378571428571425,NO
31,164,1.0,YES
32,70,0.98,NO
33,32,0.28437698412698403,NO
34,148,1.0,NO
35,156,0.98,NO
36,119,0.5756666666666667,NO
37,116,0.99,NO
38,93,0.0,NO
39,229,0.87,YES
40,123,0.3775,NO
41,201,0.0,NO
42,180,0.0,NO
43,156,0.98,NO
44,98,0.06895195284591572,NO
45,85,0.7365,YES
46,48,0.7719444444444443,NO
47,145,0.4715,YES
48,145,0.59,NO
49,113,0.22572879897879897,NO
50,260,0.99,NO
51,610,0.38,YES
52,39,0.40105158730158713,NO
53,39,0.06124838625860742,NO
54,39,0.06124838625860742,NO
55,24,0.0,NO
56,62,0.0,NO
57,77,0.49577380952380956,NO
58,77,0.1508222879956164,NO
59,54,0.053705921417888054,NO
60,92,0.44166666666666665,NO
61,58,0.06649032749894071,NO
62,24,0.0,NO
63,64,0.0,NO
64,216,0.85,NO
65,36,0.02405824746873218,NO
66,36,0.02405824746873218,NO
67,208,0.13,NO
68,39,0.40105158730158713,NO
69,47,0.9933333333333333,NO
70,74,0.11471689421689417,NO
71,71,0.99,NO
72,56,0.9916666666666667,YES
73,44,0.9440000000000001,NO
74,55,0.5515833333333332,YES
75,53,0.8263571428571429,NO
76,187,0.04,YES
77,44,0.9440000000000001,NO
78,171,0.1185918942168942,NO
79,493,0.11554365079365081,YES
80,122,0.29969841269841263,YES
81,132,0.97,YES
82,115,0.36233333333333334,YES
83,201,0.65,YES
84,116,0.99,NO
85,225,0.0,NO
86,42,0.029200380394502488,NO
87,44,0.021313179060715,NO
88,136,0.1877276334776335,NO
89,27,0.0,NO
90,47,0.12256248321801752,NO
91,60,0.0,NO
92,58,0.85,NO
93,56,0.052021849491395995,NO
94,205,0.8,NO
95,44,0.9440000000000001,YES
96,49,0.87,NO
97,30,0.6105238095238096,YES
98,39,0.40105158730158713,YES
99,80,0.676888888888889,YES
100,29,0.0,NO
101,49,0.03836959414247511,NO
102,78,0.24227491952491953,NO
103,45,0.08876334910567955,NO
104,31,0.024652465347390174,NO
105,30,0.6105238095238096,NO
106,36,0.02405824746873218,NO
107,43,0.641547619047619,NO
108,60,0.89,NO
109,85,0.7365,NO
110,92,0.0,NO
111,156,0.31,NO
112,98,0.8083333333333332,NO
113,131,0.74,NO
114,194,0.58,NO
115,201,0.65,NO
116,69,0.98,NO
117,68,0.45,NO
118,52,0.19733333333333333,NO
119,50,0.6805000000000001,NO
120,202,0.65,NO
121,73,0.0,NO
122,42,0.029200380394502488,NO
123,35,0.06210909780948832,NO
124,125,0.2544798257298257,NO
125,65,0.08653257234681377,NO
126,48,0.08057225500419292,NO
127,89,0.2410798585902065,NO
128,153,0.0,NO
129,40,0.0,NO
130,64,0.47378571428571425,NO
131,99,0.5902380952380952,NO
132,73,0.5535,NO
133,72,0.8178333333333333,NO
134,51,0.8441666666666667,NO
135,36,0.9575,NO
136,31,0.9854999999999999,NO
137,61,0.235,NO
138,74,0.4103333333333333,NO
139,101,0.92,NO
140,86,0.7203333333333334,NO
141,106,0.31,NO
142,91,0.3021666666666667,NO
143,58,0.16583333333333336,NO
144,106,0.4908333333333333,NO
145,143,0.07,NO
146,52,0.9241666666666667,NO
147,88,0.5696666666666667,NO
148,66,0.4558333333333333,NO
149,44,0.9440000000000001,NO
150,158,1.0,NO
151,51,0.08666666666666666,NO
152,36,0.9575,NO
153,63,0.49928571428571417,NO
154,36,0.9575,NO
155,43,0.641547619047619,NO
156,81,0.06688888888888889,NO
157,75,0.3710833333333333,NO
158,81,0.06688888888888889,NO
159,88,0.33166666666666667,NO
160,42,0.23833333333333337,NO
161,82,0.0,NO
162,55,0.5515833333333332,NO
163,48,0.08057225500419292,NO
164,72,0.0,NO
165,113,0.34,NO
166,55,0.5515833333333332,NO
167,35,0.1908044733044734,NO
168,47,0.9933333333333333,NO
169,101,0.9853571428571429,NO
170,109,0.0,NO
171,28,0.016666666666666666,NO
