ID,Size,Predicted,Actual
0,118,1.0,NO
1,22,0.0,NO
2,75,1.0,NO
3,133,1.0,NO
4,79,1.0,NO
5,91,1.0,NO
6,70,1.0,NO
7,57,1.0,NO
8,70,1.0,NO
9,59,0.0,NO
10,88,1.0,NO
11,40,1.0,NO
12,104,1.0,NO
13,195,1.0,NO
14,201,1.0,NO
15,97,1.0,NO
16,101,1.0,NO
17,98,1.0,NO
18,187,0.0,NO
19,149,1.0,NO
20,151,1.0,NO
21,196,1.0,NO
22,90,1.0,NO
23,115,1.0,NO
24,62,1.0,NO
25,61,1.0,NO
26,142,1.0,YES
27,47,1.0,YES
28,85,1.0,NO
29,65,1.0,NO
30,106,1.0,NO
31,85,1.0,NO
32,88,1.0,NO
33,144,1.0,NO
34,81,1.0,NO
35,80,1.0,NO
36,69,1.0,NO
37,89,1.0,NO
38,67,1.0,NO
39,88,1.0,NO
40,40,1.0,NO
41,92,1.0,NO
42,95,1.0,NO
43,49,1.0,NO
44,102,1.0,NO
45,94,1.0,NO
46,72,1.0,NO
47,69,1.0,NO
48,86,1.0,NO
49,174,0.0,NO
50,131,0.0,NO
51,166,1.0,NO
52,116,1.0,NO
53,155,1.0,NO
54,67,1.0,NO
55,88,1.0,NO
56,40,1.0,NO
57,57,1.0,NO
58,39,1.0,NO
59,98,1.0,NO
60,106,0.0,NO
61,101,1.0,NO
62,94,1.0,NO
63,76,1.0,NO
64,116,1.0,NO
65,56,1.0,NO
66,48,1.0,NO
67,82,1.0,NO
68,45,1.0,NO
69,45,1.0,NO
70,30,1.0,NO
71,77,1.0,NO
72,302,0.0,NO
73,86,1.0,NO
74,198,1.0,NO
75,175,1.0,NO
76,68,1.0,NO
77,105,1.0,NO
78,194,1.0,NO
79,106,0.0,NO
80,97,1.0,NO
81,65,1.0,NO
82,101,1.0,NO
83,62,1.0,NO
84,108,0.0,NO
85,432,1.0,NO
86,173,1.0,NO
87,243,1.0,YES
88,107,1.0,NO
89,120,1.0,NO
90,110,1.0,NO
91,58,1.0,NO
92,37,1.0,NO
93,77,1.0,NO
94,142,0.0,NO
95,114,1.0,NO
96,80,1.0,NO
97,59,0.0,NO
98,69,1.0,NO
99,95,1.0,NO
100,97,1.0,NO
101,95,1.0,NO
102,71,0.0,NO
103,114,1.0,NO
104,109,1.0,NO
105,116,1.0,NO
106,88,1.0,NO
107,63,1.0,NO
108,79,1.0,NO
109,105,1.0,NO
110,70,1.0,NO
111,32,1.0,NO
112,148,1.0,NO
113,156,0.0,NO
114,119,1.0,NO
115,116,1.0,NO
116,73,1.0,NO
117,92,1.0,NO
