ID,Size,Predicted,Actual
0,118,0.55,NO
1,22,0.14103643578643577,NO
2,75,0.027333333333333324,NO
3,133,0.63,NO
4,79,0.32,NO
5,91,0.29,NO
6,70,0.5557619047619047,NO
7,57,0.08910714285714287,NO
8,70,0.5557619047619047,NO
9,59,0.0,NO
10,88,0.09,NO
11,40,0.0,NO
12,104,0.27,NO
13,195,0.32,NO
14,201,0.31,NO
15,97,0.18000000000000002,NO
16,101,0.37,NO
17,98,0.3,NO
18,187,0.24,NO
19,149,0.68,NO
20,151,0.66,NO
21,196,0.36,NO
22,90,0.5290476190476191,NO
23,115,0.5066666666666666,NO
24,62,0.01,NO
25,61,0.63,NO
26,142,0.57,YES
27,47,0.385,YES
28,85,0.04,NO
29,65,0.717579365079365,NO
30,106,0.56,NO
31,85,0.5,NO
32,88,0.25,NO
33,144,0.66,NO
34,81,0.3,NO
35,80,0.7908412698412699,NO
36,69,0.022857142857142854,NO
37,89,0.61,NO
38,67,0.0,NO
39,88,0.09,NO
40,40,0.0,NO
41,92,0.46,NO
42,95,0.2575,NO
43,49,0.0,NO
44,102,0.19,NO
45,94,0.16154761904761905,NO
46,72,0.01,NO
47,69,0.23,NO
48,86,0.43,NO
49,174,0.73,NO
50,131,0.57,NO
51,166,0.77,NO
52,116,0.53,NO
53,155,0.93,NO
54,67,0.0,NO
55,88,0.09,NO
56,40,0.0,NO
57,57,0.08910714285714287,NO
58,39,0.016428571428571428,NO
59,98,0.275,NO
60,106,0.25,NO
61,101,0.335,NO
62,94,0.17,NO
63,76,0.596047619047619,NO
64,116,0.04,NO
65,56,0.07,NO
66,48,0.6929761904761905,NO
67,82,0.38,NO
68,45,0.0,NO
69,45,0.0,NO
70,30,0.01,NO
71,77,0.9616666666666667,NO
72,302,0.01,NO
73,86,0.56,NO
74,198,0.5706477219751425,NO
75,175,0.0,NO
76,68,0.1,NO
77,105,0.23966666666666664,NO
78,194,0.18,NO
79,106,0.23966666666666664,NO
80,97,0.15,NO
81,65,0.03,NO
82,101,0.21,NO
83,62,0.1,NO
84,108,0.18466666666666665,NO
85,432,0.72,NO
86,173,0.23,NO
87,243,0.39,YES
88,107,0.6,NO
89,120,0.7391666666666666,NO
90,110,0.36637369966176875,NO
91,58,0.02548255766140308,NO
92,37,0.26813828746446755,NO
93,77,0.21114965986988943,NO
94,142,0.0,NO
95,114,0.0,NO
96,80,0.4317560840720623,NO
97,59,0.0,NO
98,69,0.3642055875743573,NO
99,95,0.16503769610250482,NO
100,97,0.26,NO
101,95,0.42,NO
102,71,0.18,NO
103,114,0.65,NO
104,109,0.27,NO
105,116,0.53,NO
106,88,0.5,NO
107,63,0.46,NO
108,79,0.45,NO
109,105,0.43,NO
110,70,0.7046790472905032,NO
111,32,0.28376145367216515,NO
112,148,0.35604962473886625,NO
113,156,0.0,NO
114,119,0.330246637716176,NO
115,116,0.6306987894222643,NO
116,73,1.0,NO
117,92,0.5833333333333334,NO
118,125,0.51,NO
119,202,0.12,NO
120,181,0.02,NO
121,153,0.3,NO
122,98,0.212,NO
123,88,0.55,NO
124,143,0.5918964047320173,NO
125,144,0.4206666666666667,NO
126,112,0.5095,NO
127,261,0.58,NO
128,629,0.8,NO
129,39,0.2981517439416211,NO
130,39,0.2981517439416211,NO
131,37,0.4188333333333334,NO
132,39,0.2981517439416211,NO
133,24,0.0,NO
134,67,0.18633333333333332,NO
135,77,0.21114965986988943,NO
136,77,0.21114965986988943,NO
137,54,0.04676742250664251,NO
138,95,0.06,NO
139,58,0.02548255766140308,NO
140,24,0.0,NO
141,64,0.12979472076167,NO
142,216,0.0,NO
143,36,0.23072430442778047,NO
144,36,0.23072430442778047,NO
145,208,0.0,NO
146,64,0.12979472076167,NO
147,39,0.2981517439416211,NO
148,47,0.3768123390752094,NO
149,74,0.33824839501719417,NO
150,71,0.6156032564756739,NO
151,175,0.24,NO
152,44,0.09807108505645971,NO
153,175,0.3,NO
154,58,0.0,NO
155,58,0.0,NO
156,290,0.98,NO
157,85,0.3133333333333333,NO
158,35,0.0,NO
159,183,0.33,NO
160,231,0.16,NO
161,51,1.0,NO
162,238,0.54,NO
163,139,0.29,NO
164,132,0.7293333333333334,NO
165,484,0.38,NO
166,225,0.0,NO
167,42,0.08632629348506336,NO
168,44,0.09807108505645971,NO
169,94,0.1732542580461365,NO
170,166,0.45,NO
171,27,0.0,NO
172,47,0.3768123390752094,NO
173,60,0.13990118713134223,NO
174,37,0.4188333333333334,NO
175,68,0.19883333333333333,NO
176,24,0.0,NO
177,32,0.4,NO
178,32,0.4,NO
179,36,0.13,NO
180,35,0.32,NO
181,24,0.0,NO
182,36,0.13,NO
183,34,0.72,NO
184,156,0.92,NO
185,125,0.58,NO
186,110,0.35,NO
187,97,0.41,NO
188,65,0.6666666666666667,NO
189,67,0.18633333333333332,NO
190,69,0.3,NO
191,26,0.01,NO
192,76,0.6730421245421244,NO
193,55,0.4366666666666667,NO
194,39,0.66020892995893,NO
195,45,0.32,NO
196,45,0.32,NO
197,37,0.4188333333333334,NO
198,71,0.5051190476190476,NO
199,45,0.32,NO
200,58,0.39666666666666667,NO
