ID,Size,Predicted,Actual
0,78,1.0,NO
1,302,1.0,NO
2,87,1.0,NO
3,198,1.0,NO
4,175,1.0,NO
5,65,1.0,NO
6,105,1.0,NO
7,58,1.0,NO
8,196,1.0,NO
9,106,1.0,NO
10,130,1.0,NO
11,64,1.0,NO
12,132,1.0,NO
13,62,1.0,NO
14,108,1.0,YES
15,432,1.0,NO
16,174,1.0,NO
17,246,1.0,NO
18,106,1.0,YES
19,121,1.0,NO
20,110,1.0,NO
21,58,1.0,NO
22,37,1.0,NO
23,77,1.0,NO
24,142,1.0,NO
25,114,1.0,NO
26,80,1.0,NO
27,59,1.0,NO
28,69,1.0,NO
29,95,1.0,NO
30,64,1.0,NO
31,164,1.0,YES
32,70,1.0,NO
33,32,1.0,NO
34,148,1.0,NO
35,156,1.0,NO
36,119,1.0,NO
37,116,1.0,NO
38,93,1.0,NO
39,229,1.0,YES
40,123,1.0,NO
41,201,0.0,NO
42,180,0.0,NO
43,156,1.0,NO
44,98,0.0,NO
45,85,1.0,YES
46,48,1.0,NO
47,145,1.0,YES
48,145,1.0,NO
49,113,1.0,NO
50,260,1.0,NO
51,610,1.0,YES
52,39,1.0,NO
53,39,0.0,NO
54,39,0.0,NO
55,24,0.0,NO
56,62,0.0,NO
57,77,1.0,NO
58,77,0.0,NO
59,54,0.0,NO
60,92,1.0,NO
61,58,0.0,NO
62,24,0.0,NO
63,64,0.0,NO
64,216,1.0,NO
65,36,0.0,NO
66,36,0.0,NO
67,208,0.0,NO
68,39,1.0,NO
69,47,1.0,NO
70,74,0.0,NO
71,71,1.0,NO
72,56,1.0,YES
73,44,1.0,NO
74,55,1.0,YES
75,53,1.0,NO
76,187,1.0,YES
77,44,1.0,NO
78,171,0.0,NO
79,493,0.0,YES
80,122,0.0,YES
81,132,1.0,YES
82,115,0.0,YES
83,201,1.0,YES
84,116,1.0,NO
85,225,1.0,NO
86,42,0.0,NO
87,44,1.0,NO
88,136,0.0,NO
89,27,0.0,NO
90,47,0.0,NO
91,60,0.0,NO
92,58,1.0,NO
93,56,0.0,NO
94,205,1.0,NO
95,44,1.0,YES
96,49,1.0,NO
97,30,1.0,YES
98,39,1.0,YES
99,80,1.0,YES
100,29,0.0,NO
101,49,0.0,NO
102,78,1.0,NO
103,45,0.0,NO
104,31,0.0,NO
105,30,1.0,NO
106,36,0.0,NO
107,43,1.0,NO
108,60,1.0,NO
109,85,1.0,NO
110,92,0.0,NO
111,156,1.0,NO
112,98,1.0,NO
113,131,1.0,NO
114,194,1.0,NO
115,201,1.0,NO
116,69,1.0,NO
117,68,1.0,NO
118,52,1.0,NO
119,50,1.0,NO
120,202,1.0,NO
121,73,1.0,NO
122,42,0.0,NO
123,35,0.0,NO
124,125,1.0,NO
125,65,0.0,NO
