ID,Size,Predicted,Actual
0,78,0.756452380952381,NO
1,302,0.76,NO
2,87,0.9399166666666666,NO
3,198,0.62,NO
4,175,0.11583333333333334,NO
5,65,0.20913780663780673,NO
6,105,0.68,NO
7,58,0.1799592074592074,NO
8,196,0.62,NO
9,106,0.11,NO
10,130,0.2935,NO
11,64,0.22284523809523804,NO
12,132,0.30864285714285716,NO
13,62,0.0033333333333333335,NO
14,108,0.58,YES
15,432,0.8433333333333333,NO
16,174,0.4441666666666667,NO
17,246,0.18128571428571427,NO
18,106,0.11,YES
19,121,0.003333333333333333,NO
20,110,0.0,NO
21,58,0.1799592074592074,NO
22,37,0.4463182928182928,NO
23,77,0.36188095238095236,NO
24,142,0.08566666666666668,NO
25,114,0.0,NO
26,80,0.6264404761904762,NO
27,59,0.7632579365079365,NO
28,69,0.8906666666666666,NO
29,95,0.3279617327117327,NO
30,64,0.22284523809523804,NO
31,164,0.91,YES
32,70,0.33738095238095234,NO
33,32,0.30272991665795207,NO
34,148,0.03583333333333333,NO
35,156,0.6,NO
36,119,0.0,NO
37,116,0.0,NO
38,93,0.08908730158730158,NO
39,229,0.3286190476190476,YES
40,123,0.10680952380952383,NO
41,201,0.11,NO
42,180,0.0,NO
43,156,0.6,NO
44,98,0.48188095238095235,NO
45,85,0.0,YES
46,48,0.48240873015873026,NO
47,145,0.41295238095238085,YES
48,145,0.41295238095238085,NO
49,113,0.0,NO
50,260,0.42450000000000004,NO
51,610,0.3,YES
52,39,0.4885753968253968,NO
53,39,0.4885753968253968,NO
54,39,0.4885753968253968,NO
55,24,0.0,NO
56,62,0.0033333333333333335,NO
57,77,0.36188095238095236,NO
58,77,0.36188095238095236,NO
59,54,0.3436269841269841,NO
60,92,0.08908730158730158,NO
61,58,0.1799592074592074,NO
62,24,0.0,NO
63,64,0.22284523809523804,NO
64,216,0.394702380952381,NO
65,36,0.13723529248529256,NO
66,36,0.13723529248529256,NO
67,208,0.0,NO
