ID,Size,Predicted,Actual
0,79,1.0,NO
1,87,0.0,NO
2,68,0.0,NO
3,58,0.0,NO
4,196,1.0,NO
5,132,0.0,NO
6,64,0.0,NO
7,134,0.0,NO
8,173,1.0,NO
9,246,1.0,NO
10,107,0.0,NO
11,121,0.0,NO
12,110,1.0,NO
13,58,0.0,NO
14,37,0.0,NO
15,77,1.0,NO
16,142,1.0,NO
17,114,0.0,NO
18,59,0.0,NO
19,64,0.0,NO
20,164,0.0,NO
21,70,0.0,NO
22,32,0.0,NO
23,148,0.0,NO
24,156,0.0,NO
25,119,0.0,NO
26,118,0.0,NO
27,156,0.0,NO
28,85,0.0,NO
29,48,0.0,YES
30,263,1.0,NO
31,590,1.0,YES
32,39,1.0,NO
33,39,1.0,NO
34,39,1.0,NO
35,24,0.0,NO
36,62,0.0,NO
37,77,1.0,NO
38,77,1.0,NO
39,54,0.0,NO
40,90,0.0,NO
41,58,0.0,NO
42,24,0.0,NO
43,64,0.0,NO
44,216,1.0,NO
45,36,0.0,NO
46,36,0.0,NO
47,202,1.0,NO
48,74,1.0,NO
49,71,0.0,NO
50,56,0.0,NO
51,44,1.0,NO
52,55,0.0,NO
53,47,1.0,NO
54,101,1.0,YES
55,109,1.0,NO
56,28,1.0,NO
57,54,0.0,YES
58,158,1.0,YES
59,52,1.0,YES
60,53,0.0,YES
61,81,1.0,YES
62,83,1.0,YES
63,63,1.0,YES
64,48,1.0,YES
65,55,1.0,YES
66,149,1.0,YES
67,263,1.0,YES
68,179,1.0,YES
69,37,0.0,YES
70,25,0.0,YES
71,30,0.0,YES
72,36,1.0,YES
73,30,0.0,YES
74,27,0.0,YES
75,37,0.0,YES
76,33,0.0,YES
77,31,0.0,YES
78,56,1.0,YES
79,101,1.0,YES
80,139,1.0,YES
81,85,1.0,YES
82,95,1.0,YES
83,60,1.0,YES
84,35,0.0,YES
85,26,0.0,YES
86,69,1.0,YES
87,64,1.0,YES
88,39,0.0,YES
89,41,0.0,YES
90,167,1.0,YES
91,66,1.0,YES
92,93,1.0,YES
93,76,1.0,NO
94,77,1.0,NO
95,83,1.0,NO
96,48,0.0,NO
97,85,0.0,NO
98,43,0.0,NO
99,90,0.0,NO
100,202,1.0,NO
101,135,0.0,NO
102,30,0.0,NO
103,29,0.0,NO
104,69,0.0,YES
105,242,1.0,NO
106,64,1.0,NO
107,50,1.0,YES
108,89,0.0,NO
109,40,0.0,YES
110,49,0.0,NO
111,249,1.0,YES
112,40,0.0,NO
113,171,1.0,NO
114,40,0.0,NO
115,32,0.0,NO
116,139,0.0,YES
117,131,1.0,YES
118,149,1.0,YES
119,86,0.0,NO
120,69,0.0,NO
121,88,0.0,NO
122,42,0.0,NO
123,32,0.0,NO
124,56,1.0,NO
125,51,0.0,NO
126,81,0.0,NO
127,35,0.0,NO
128,72,0.0,NO
129,46,0.0,NO
130,46,0.0,NO
131,44,0.0,NO
132,29,0.0,NO
133,280,1.0,NO
134,63,1.0,NO
135,334,1.0,YES
136,46,0.0,NO
137,31,0.0,NO
138,83,0.0,NO
139,71,0.0,NO
140,83,0.0,NO
141,40,0.0,NO
142,32,0.0,NO
143,57,0.0,NO
144,50,0.0,YES
