ID,Size,Predicted,Actual
0,78,0.46,NO
1,87,0.0,NO
2,198,0.9,NO
3,175,0.46,NO
4,68,0.0,NO
5,105,0.92,NO
6,58,0.0,NO
7,196,0.88,NO
8,87,0.79,YES
9,132,0.0,YES
10,64,0.0,NO
11,134,0.0,YES
12,432,0.93,NO
13,174,0.99,NO
14,246,0.19,NO
15,107,0.08,NO
16,121,0.0,NO
17,110,0.42,NO
18,58,0.0,NO
19,37,0.22619963059579423,NO
20,77,0.0,NO
21,142,0.17,NO
22,114,0.007222222222222222,NO
23,59,0.0,NO
24,64,0.0,NO
25,164,0.69,NO
26,70,0.8716059871501047,NO
27,32,0.17529261355303055,NO
28,148,0.0,NO
29,156,0.0,NO
30,119,0.0,NO
31,118,0.0,NO
32,230,0.52,NO
33,156,0.0,NO
34,85,0.0,NO
35,48,0.2938680701995415,NO
36,263,0.2,YES
37,594,0.96,YES
38,39,0.22584232026143788,YES
39,39,0.22584232026143788,NO
40,39,0.22584232026143788,NO
41,24,0.0,NO
42,62,0.08,NO
43,77,0.36,YES
44,77,0.36,NO
45,54,0.07,NO
46,90,0.13,YES
47,58,0.12,NO
48,24,0.0,NO
49,64,0.07,NO
50,216,0.32,YES
51,36,0.0,NO
52,36,0.0,NO
53,208,0.27,NO
54,74,0.25,NO
55,71,0.03,YES
56,56,0.13,YES
57,44,0.0,YES
58,55,0.05,YES
59,36,0.06,YES
60,43,0.01,YES
61,81,0.3,YES
62,75,0.73,YES
63,81,0.64,YES
64,88,0.6,YES
65,42,0.02,YES
66,82,0.32,NO
67,55,0.01,YES
68,48,0.0,NO
69,72,0.06,NO
70,113,0.29,YES
71,55,0.93,YES
72,35,0.07,YES
73,47,0.00980952380952381,YES
74,101,0.36,YES
75,109,0.11,NO
76,28,0.0,YES
77,54,0.0,NO
78,158,0.83,YES
79,52,0.3975,YES
80,53,0.0,YES
81,81,0.0,YES
82,83,0.15,YES
83,63,0.8986616161616161,YES
84,48,0.0,NO
85,55,0.0,YES
86,149,0.31,YES
87,263,0.2,YES
88,179,0.56,NO
89,37,0.0,NO
90,25,0.17208203773500239,NO
91,30,0.0,YES
92,36,0.23666666666666664,NO
93,30,0.0,NO
94,27,0.0,NO
95,37,0.0,NO
96,33,0.0,NO
97,31,0.0,NO
98,56,0.0,NO
99,101,0.01,NO
100,139,0.25,NO
101,85,0.06,NO
102,95,0.004,NO
103,60,0.0,YES
104,35,0.0,NO
105,26,0.0,NO
106,69,0.0,YES
107,64,0.15,YES
108,39,0.3167652836783473,YES
109,41,0.0,NO
110,167,0.95,YES
111,66,0.14,YES
112,93,0.71,NO
113,78,0.96,YES
114,134,0.75,YES
115,83,0.83,YES
116,48,0.2938680701995415,YES
117,85,0.0,NO
118,43,0.4688573967826592,YES
119,90,0.0,YES
120,202,0.03222222222222222,NO
121,135,0.0,NO
122,30,0.0,NO
123,29,0.0,NO
124,67,0.87,NO
125,242,1.0,YES
126,64,0.0,YES
127,50,0.0,NO
128,89,0.0,YES
129,40,0.0,NO
130,49,0.10871189925361076,YES
131,249,0.07,YES
132,40,0.0,YES
133,171,0.47,YES
134,40,0.0,YES
135,32,0.17529261355303055,YES
136,263,1.0,YES
137,128,0.95,YES
138,126,0.99,YES
139,143,1.0,YES
140,86,0.0,YES
141,69,0.043250000000000004,YES
142,88,0.0,YES
143,42,0.4393945826690172,YES
144,32,0.17529261355303055,YES
145,56,0.37844362388557434,YES
146,51,0.0,YES
147,81,0.044136904761904766,YES
148,35,0.0,YES
149,72,0.0,YES
150,46,0.0,YES
151,46,0.0,YES
152,44,0.34608581754353385,NO
153,29,0.0,NO
154,280,1.0,YES
155,63,0.22,YES
156,101,0.66,YES
157,562,1.0,YES
158,46,0.0,YES
159,31,0.29344383041904565,YES
160,83,0.5069301794042843,NO
161,71,0.4941588134088134,YES
162,83,0.5069301794042843,YES
163,40,0.0,NO
164,32,0.17529261355303055,YES
165,57,0.5081236423640935,YES
166,64,0.44,YES
167,94,0.67,YES
168,45,0.48,YES
169,98,0.66,YES
170,46,0.0,YES
171,46,0.0,YES
172,337,1.0,YES
173,143,0.02,YES
174,81,0.0,YES
175,132,0.0,YES
176,157,0.13,YES
177,76,0.0,YES
178,419,0.66,YES
179,306,0.1,YES
180,48,0.027999999999999997,YES
181,31,0.0,YES
182,64,0.55,YES
183,105,0.57,YES
184,82,0.75,YES
185,111,0.15,NO
186,43,0.0,YES
187,63,0.09,YES
188,235,0.93,NO
189,75,0.0,NO
190,43,0.0,YES
191,33,0.0,YES
192,66,0.0,YES
193,99,0.58,YES
194,40,0.0,YES
195,160,0.87,YES
196,40,0.0,YES
197,32,0.0,YES
198,86,0.0,NO
199,25,0.0,NO
200,213,0.28,NO
201,98,0.09,NO
202,184,0.93,NO
203,29,0.0,NO
204,29,0.94,NO
205,53,0.9191666666666667,NO
206,43,0.4688573967826592,NO
207,207,0.84,NO
208,275,0.94,YES
209,28,0.0,YES
210,37,0.22619963059579423,YES
211,25,0.12,YES
212,40,0.14,YES
213,87,0.33,NO
214,28,0.0,NO
215,316,0.99,YES
216,47,0.06,NO
217,52,0.04,NO
218,38,0.0,NO
219,52,0.0,NO
220,37,0.22619963059579423,YES
221,42,0.0,YES
222,57,0.00625,YES
223,46,0.0,YES
224,25,0.0,YES
225,113,0.78,NO
226,36,0.20865499468711532,NO
227,116,0.19,YES
228,187,0.83,NO
229,48,0.2938680701995415,NO
230,32,0.17529261355303055,NO
231,34,0.32870574951215,NO
232,26,0.0,NO
233,51,0.2,NO
234,31,0.29344383041904565,NO
235,112,0.98,NO
236,26,0.0,NO
237,30,0.0,NO
238,40,0.0,NO
239,60,0.76,NO
240,49,0.06,NO
241,58,0.8,NO
242,37,0.22619963059579423,NO
243,287,0.93,YES
244,99,0.45,NO
245,57,0.5081236423640935,NO
246,31,0.29344383041904565,NO
247,84,0.7373473193473193,NO
248,41,0.45541659645026356,NO
249,28,0.0,NO
250,34,0.32870574951215,NO
251,26,0.0,NO
252,79,0.36,YES
253,60,0.12,YES
254,109,0.33,YES
255,133,0.27,YES
256,121,0.06,YES
257,131,0.81,NO
258,163,0.27,YES
259,65,0.0,NO
260,53,0.04,NO
261,37,0.0,NO
262,76,0.77,NO
263,70,0.04,NO
264,43,0.18,YES
265,29,0.01,NO
266,24,0.0,NO
267,41,0.17,YES
268,137,0.07,YES
269,95,0.15,YES
270,96,0.01,YES
271,56,0.01,NO
272,40,0.01,YES
273,350,0.98,YES
274,112,0.71,YES
275,71,0.22,NO
276,93,0.62,NO
277,381,0.97,YES
278,115,0.8,YES
279,69,0.08,NO
280,98,0.62,NO
281,136,0.34,YES
282,59,0.58,NO
283,30,0.04,NO
284,42,0.21,YES
285,182,0.57,YES
286,160,0.53,YES
287,32,0.07,YES
288,24,0.06,NO
289,50,0.21,NO
290,50,0.66,NO
291,63,0.1,NO
292,116,0.43,NO
293,182,0.82,NO
294,69,0.18,NO
295,27,0.06,NO
296,67,0.49,YES
297,44,0.14,YES
298,33,0.03,YES
299,72,0.0,NO
300,89,0.0,NO
301,304,0.1,NO
302,1941,1.0,YES
303,36,0.20865499468711532,NO
304,32,0.17529261355303055,NO
305,49,0.10871189925361076,NO
306,27,0.0,NO
307,83,0.0,NO
308,484,0.98,YES
309,119,0.0,NO
310,153,0.010892857142857145,NO
311,51,0.0,NO
