ID,Size,Predicted,Actual
0,118,0.054779185877511384,NO
1,22,0.011133212551939794,NO
2,75,0.5314846247952012,NO
3,133,0.6197427053804522,NO
4,79,0.42015416808674644,NO
5,91,0.6707201555201973,NO
6,70,0.6892507009401337,NO
7,57,0.255941228455687,NO
8,70,0.6892507009401337,NO
9,59,0.0,NO
10,88,0.31009596408671525,NO
11,40,0.04786403531816986,NO
12,104,0.6621234534579453,NO
13,195,0.0,NO
14,201,0.5124822814237491,NO
15,192,0.24559862359862358,NO
16,97,0.47541590088157226,NO
17,101,0.5303483336491075,NO
18,98,0.4133563695961,NO
19,187,0.032916666666666664,NO
20,149,0.0,NO
21,151,0.14493263418727817,NO
22,196,0.0,NO
23,90,0.2330178156668822,NO
24,115,0.22354699303964004,NO
25,62,0.016434702348499072,NO
26,61,0.1584636320373326,NO
27,142,0.0,YES
28,47,0.36155108843178535,YES
29,85,0.07035171529954125,NO
30,65,0.3555264738231445,NO
31,106,0.49211664112348097,NO
32,85,0.07035171529954125,NO
33,88,0.31009596408671525,NO
34,144,0.0,NO
35,81,0.48702241784907874,NO
36,80,0.3965565085249569,NO
37,69,0.341845026001069,NO
38,89,0.5235817702607073,NO
39,67,0.015162007530831259,NO
40,88,0.31009596408671525,NO
41,40,0.04786403531816986,NO
42,92,0.07328776220011093,NO
43,95,0.1684908019015297,NO
44,49,0.34955186565792884,NO
45,102,0.5368037968548104,NO
46,94,0.11035618855630258,NO
47,72,0.056294778093205086,NO
48,69,0.341845026001069,NO
49,86,0.5193668025525823,NO
50,221,0.16,NO
51,131,0.0,NO
52,166,1.0,NO
53,116,0.5963689643527195,NO
54,155,0.37059523809523803,NO
55,67,0.015162007530831259,NO
56,88,0.31009596408671525,NO
57,40,0.04786403531816986,NO
58,57,0.255941228455687,NO
59,39,0.2697664824732796,NO
60,98,0.4133563695961,NO
61,106,0.49211664112348097,NO
62,101,0.5303483336491075,NO
63,94,0.11035618855630258,NO
64,76,0.6095839576593884,NO
65,116,0.5963689643527195,NO
66,56,0.3080862301494536,NO
67,48,0.2743952150807344,NO
68,82,0.39963379400541393,NO
69,45,0.04567872771644785,NO
70,45,0.04567872771644785,NO
71,30,0.054466771101538226,NO
72,77,0.1453121766217326,NO
73,302,0.0,NO
74,86,0.5193668025525823,NO
75,198,0.5822340621154307,NO
76,175,0.0,NO
77,86,0.085,NO
78,68,0.25277268332481684,NO
79,105,0.2396935856286302,NO
80,194,0.0,NO
81,106,0.49211664112348097,NO
82,97,0.47541590088157226,NO
83,69,0.34915079365079366,NO
84,101,0.5303483336491075,NO
85,62,0.016434702348499072,NO
86,108,0.7062069857542063,NO
87,432,0.0,NO
88,173,0.2265570580520271,NO
89,243,0.0,YES
90,107,0.0,NO
91,120,0.5754023833691647,NO
92,110,0.3135446987120334,NO
93,58,0.04050666260982401,NO
94,37,0.25830224792409445,NO
95,77,0.1453121766217326,NO
96,142,0.0,NO
97,118,0.0,NO
98,80,0.3965565085249569,NO
99,59,0.0,NO
100,69,0.341845026001069,NO
101,95,0.1684908019015297,NO
102,97,0.47541590088157226,NO
103,95,0.1684908019015297,NO
104,71,0.574861826074743,NO
105,114,0.0,NO
106,109,0.3023948701058554,NO
107,116,0.5963689643527195,NO
108,88,0.31009596408671525,NO
109,63,0.1607523145515333,NO
110,79,0.42015416808674644,NO
111,105,0.2396935856286302,NO
112,70,0.6892507009401337,NO
113,32,0.333300893507095,NO
114,148,0.41074577084995056,NO
115,156,0.0,NO
116,119,0.3361157306502117,NO
117,116,0.5963689643527195,NO
118,73,0.04504801941846814,NO
119,92,0.07328776220011093,NO
120,125,0.5264310632078143,NO
121,202,0.0,NO
122,181,0.0,NO
123,153,0.08737607837478546,NO
124,98,0.4133563695961,NO
125,88,0.31009596408671525,NO
126,144,0.0,NO
127,112,0.4682379290406107,NO
128,261,0.95,NO
129,629,0.0,NO
130,39,0.2697664824732796,NO
131,39,0.2697664824732796,NO
132,37,0.25830224792409445,NO
133,39,0.2697664824732796,NO
134,24,0.0,NO
