ID,Size,Predicted,Actual
0,78,0.8,YES
1,87,0.8,NO
2,68,0.8,NO
3,58,0.78,YES
4,196,0.59,NO
5,78,0.8,NO
6,64,0.8,NO
7,173,0.59,NO
8,246,0.59,NO
9,107,0.8,NO
10,110,0.89,YES
11,58,0.8,NO
12,37,0.91,NO
13,142,0.59,YES
14,114,0.89,NO
15,59,0.8,NO
16,64,0.8,NO
17,164,0.57,NO
18,70,0.8,NO
19,32,0.91,NO
20,148,0.59,NO
21,156,0.59,NO
22,119,0.59,NO
23,118,0.59,NO
24,156,0.59,NO
25,85,0.8,NO
26,39,0.91,YES
27,33,0.91,NO
28,81,0.8,NO
29,25,0.91,NO
30,147,0.5,YES
31,94,0.8,NO
32,29,0.91,NO
33,52,0.91,YES
34,43,0.91,NO
35,195,0.59,NO
36,243,0.59,YES
37,28,0.91,NO
38,37,0.91,NO
39,64,0.8,NO
40,28,0.91,NO
41,265,0.57,YES
42,36,0.91,NO
43,51,0.91,NO
44,38,0.91,NO
45,52,0.91,NO
46,37,0.91,NO
47,46,0.91,NO
48,113,0.8,NO
49,36,0.91,NO
50,116,0.8,NO
51,89,0.8,YES
52,50,0.91,NO
53,31,0.91,NO
54,98,0.8,NO
55,26,0.91,NO
56,25,0.91,NO
57,40,0.91,NO
58,59,0.8,NO
59,36,0.91,NO
60,58,0.8,NO
61,37,0.91,NO
62,268,0.59,YES
63,70,0.78,NO
64,72,0.91,NO
65,993,0.48,YES
66,155,0.59,YES
67,35,0.91,YES
68,47,0.91,YES
69,27,0.91,NO
70,301,0.48,YES
71,119,0.7,NO
72,153,0.7,NO
73,51,0.91,NO
74,51,0.91,NO
75,108,0.91,NO
76,46,0.91,NO
77,53,0.91,NO
78,436,0.7,NO
79,382,0.7,NO
80,30,0.91,NO
81,22,0.91,NO
82,91,0.89,YES
83,169,0.7,YES
84,75,0.91,NO
85,93,0.91,NO
86,49,0.91,NO
87,383,0.7,NO
88,59,0.91,NO
89,95,0.91,YES
