ID,Size,Predicted,Actual
0,111,0.13581528362939566,YES
1,22,0.010356534733140134,YES
2,75,0.1912872296683987,NO
3,131,0.0,YES
4,74,0.09927743805620855,NO
5,84,0.17415399181327615,NO
6,70,0.19731237247042208,NO
7,57,0.05706645922530796,NO
8,70,0.19731237247042208,NO
9,59,0.0,NO
10,88,0.14107306804309655,NO
11,40,0.017609623523949965,NO
12,99,0.03316483540480843,NO
13,187,0.0,NO
14,196,0.0,NO
15,192,0.6883272005772005,NO
16,97,0.10727985850858536,NO
17,98,0.11356869476678584,NO
18,96,0.0181216494337538,NO
19,173,0.11710542957214776,NO
20,141,0.9906666666666666,NO
21,142,0.07689209559823226,NO
22,188,0.0,NO
23,90,0.10042186788575828,NO
24,110,0.10359918591710357,NO
25,62,0.015002607985464902,NO
26,61,0.049755919219068974,NO
27,120,0.21491443125120932,NO
28,116,0.16271446882576382,NO
29,58,0.029481946623381786,NO
30,74,0.09927743805620855,NO
31,109,0.13,NO
32,49,0.4758333333333333,NO
33,77,0.053321628723896286,NO
34,65,0.07741529183705959,NO
35,74,0.09927743805620855,NO
36,83,0.0995128877857545,NO
37,128,0.0,NO
38,72,0.036411509088554846,NO
39,76,0.20691537673697155,NO
40,69,0.09445562879754171,NO
41,83,0.0995128877857545,NO
42,65,0.07741529183705959,NO
43,88,0.14107306804309655,NO
44,40,0.017609623523949965,NO
45,86,0.12849100181234763,NO
46,89,0.12789655212878814,NO
47,49,0.08888053843750403,NO
48,102,0.20251736364521136,NO
49,94,0.04748262602302183,NO
50,72,0.036411509088554846,NO
51,60,0.06672956617684266,NO
52,76,0.20691537673697155,NO
53,92,0.034124846403485495,NO
54,96,0.0181216494337538,NO
55,70,0.19731237247042208,NO
56,86,0.12849100181234763,NO
57,101,0.20256117501117477,NO
58,169,0.0073856837606837596,NO
59,115,0.15264938200774117,NO
60,153,0.0663472436679215,NO
61,58,0.029481946623381786,NO
62,47,0.08560138100636042,NO
63,49,0.08888053843750403,NO
64,58,0.029481946623381786,NO
65,70,0.19731237247042208,NO
66,141,0.9906666666666666,NO
67,93,0.0,NO
68,273,0.0,NO
69,96,0.0181216494337538,NO
70,50,0.0810737466795158,NO
71,241,0.7290923243423242,NO
72,195,0.0,NO
73,131,0.0,NO
74,170,0.006155608191807833,YES
75,161,0.0,NO
76,102,0.20251736364521136,NO
77,150,0.6665718725718724,NO
78,65,0.07741529183705959,NO
79,88,0.14107306804309655,NO
80,40,0.017609623523949965,NO
81,57,0.05706645922530796,NO
82,39,0.052145265745086364,NO
83,85,0.02581080355550955,NO
84,93,0.0,NO
85,87,0.0754647689637668,NO
86,81,0.19802889269790092,NO
87,95,0.06258673526009727,NO
88,66,0.13603338247988606,NO
89,94,0.04748262602302183,NO
90,76,0.20691537673697155,NO
91,116,0.16271446882576382,NO
92,56,0.05660906637929776,NO
93,48,0.048512485901502915,NO
94,71,0.15554195341232122,NO
95,45,0.022991479397368227,NO
96,45,0.022991479397368227,NO
97,30,0.01936491999186235,NO
98,74,0.09927743805620855,NO
99,299,0.0,YES
100,82,0.25694500678333126,YES
101,197,0.24125886712187028,NO
102,173,0.11710542957214776,NO
103,84,0.17415399181327615,NO
104,75,0.1912872296683987,YES
105,65,0.07741529183705959,NO
106,96,0.0181216494337538,NO
107,193,0.0,NO
108,157,0.2950793650793651,NO
109,88,0.14107306804309655,NO
110,67,0.04796425519173182,NO
111,92,0.034124846403485495,NO
112,56,0.05660906637929776,NO
113,101,0.20256117501117477,YES
114,136,0.12168403818403817,NO
115,105,0.18971050936978434,NO
116,377,0.0,NO
117,174,0.0,NO
118,244,0.11888930513930511,NO
119,101,0.20256117501117477,YES
120,113,0.0836678432975586,NO
121,110,0.10359918591710357,NO
122,58,0.029481946623381786,NO
123,37,0.04280894473442857,NO
124,77,0.053321628723896286,NO
125,142,0.07689209559823226,NO
126,118,0.02808774103270969,NO
127,80,0.08658728257094796,NO
128,59,0.0,NO
129,69,0.09445562879754171,NO
130,95,0.06258673526009727,NO
131,97,0.10727985850858536,NO
132,82,0.25694500678333126,NO
133,67,0.04796425519173182,NO
134,110,0.10359918591710357,NO
135,103,0.0,NO
136,111,0.13581528362939566,NO
137,82,0.25694500678333126,NO
138,56,0.05660906637929776,YES
139,73,0.03244743674392764,NO
140,100,0.0,NO
141,70,0.19731237247042208,YES
142,32,0.0743265581727906,NO
143,148,0.22272470241316988,NO
144,156,0.0,NO
145,119,0.08475682325084358,YES
146,116,0.16271446882576382,NO
147,73,0.03244743674392764,NO
148,84,0.17415399181327615,NO
149,122,0.44274828744526895,NO
150,191,0.6795772005772005,NO
151,170,0.006155608191807833,NO
152,153,0.0663472436679215,NO
153,78,0.15479693977719977,NO
154,84,0.17415399181327615,NO
155,140,0.2032301693404634,NO
156,127,0.0,YES
157,30,0.01936491999186235,NO
158,80,0.08658728257094796,NO
159,45,0.022991479397368227,NO
160,63,0.09562925819479563,NO
161,141,0.9906666666666666,NO
162,81,0.19802889269790092,NO
163,45,0.022991479397368227,NO
164,63,0.09562925819479563,NO
165,190,0.0,NO
166,74,0.09927743805620855,NO
167,47,0.08560138100636042,NO
168,65,0.07741529183705959,NO
169,253,0.17294644811672674,NO
170,32,0.0743265581727906,NO
171,61,0.049755919219068974,NO
172,86,0.12849100181234763,NO
173,93,0.0,NO
174,157,0.20484721002575698,NO
175,99,0.03316483540480843,NO
176,132,0.18371014012363251,NO
177,212,0.07488091568136328,NO
178,201,0.2638165506246009,NO
