ID,Size,Predicted,Actual
0,118,0.81,NO
1,22,1.0,NO
2,75,0.6,NO
3,133,0.88,NO
4,79,0.45,NO
5,91,0.58,NO
6,70,0.15,NO
7,57,0.0,NO
8,70,0.15,NO
9,59,0.0,NO
10,88,0.8287254967254968,NO
11,40,0.13,NO
12,104,0.775,NO
13,195,0.59,NO
14,201,0.55,NO
15,97,0.75,NO
16,101,0.7,NO
17,98,0.65,NO
18,187,0.67,NO
19,149,0.82,NO
20,151,0.81,NO
21,196,0.65,NO
22,90,1.0,NO
23,115,0.86,NO
24,62,0.0,NO
25,61,0.0,NO
26,142,0.41,YES
27,47,0.43,YES
28,85,0.18486202686202682,NO
29,65,0.3523671679197995,NO
30,106,0.31,NO
31,85,0.37,NO
32,88,0.73,NO
33,144,0.63,NO
34,81,0.44,NO
35,80,0.5750714285714286,NO
36,69,0.02,NO
37,89,0.29,NO
38,67,0.0,NO
39,88,0.8287254967254968,NO
40,40,0.13,NO
41,92,0.28,NO
42,95,0.93,NO
43,49,0.04,NO
44,102,0.8975,NO
45,94,0.67,NO
46,72,0.2,NO
47,69,0.45,NO
48,86,0.54,NO
49,174,0.64,NO
50,131,0.8734444444444445,NO
51,166,0.89,NO
52,116,0.86,NO
53,155,0.9,NO
54,67,0.0,NO
55,88,0.8287254967254968,NO
56,40,0.13,NO
57,57,0.0,NO
58,39,0.07,NO
59,98,0.69,NO
60,106,0.765,NO
61,101,0.75,NO
62,94,0.62,NO
63,76,1.0,NO
64,116,0.10666666666666666,NO
65,56,0.0,NO
66,48,0.96,NO
67,82,0.48,NO
68,45,0.96,NO
69,45,0.96,NO
70,30,0.09621566668625489,NO
71,77,0.6957142857142857,NO
72,302,0.0,NO
73,86,0.59,NO
74,198,0.7565059731378345,NO
75,175,0.0,NO
76,68,0.3,NO
77,105,0.6345627705627706,NO
78,194,0.475,NO
79,106,0.6345627705627706,NO
80,97,0.49,NO
81,65,0.24,NO
82,101,0.57,NO
83,62,0.30557142857142855,NO
84,108,0.5745627705627705,NO
85,432,0.88,NO
86,173,0.6069230769230769,NO
87,243,0.6153846153846154,YES
88,107,0.92,NO
89,120,0.45857142857142863,NO
90,110,0.5158656853324574,NO
91,58,0.15297128186471493,NO
92,37,0.28196042502023744,NO
93,77,0.4723058328891972,NO
94,142,0.0,NO
95,114,0.0,NO
96,80,0.43672635733440407,NO
97,59,0.0,NO
98,69,0.30271840590078625,NO
99,95,0.3901182474913945,NO
100,97,0.48,NO
101,95,0.7775,NO
102,71,0.6542857142857144,NO
