ID,Size,Predicted,Actual
0,120,1.0,NO
1,22,1.0,NO
2,75,0.0,NO
3,135,1.0,NO
4,79,0.0,NO
5,91,0.0,NO
6,70,1.0,NO
7,57,1.0,NO
8,70,1.0,NO
9,59,1.0,NO
10,88,0.0,NO
11,40,1.0,NO
12,104,1.0,NO
13,196,1.0,NO
14,202,1.0,NO
15,97,0.0,NO
16,99,0.0,NO
17,96,0.0,NO
18,189,1.0,NO
19,151,1.0,NO
20,153,1.0,NO
21,199,1.0,NO
22,90,0.0,NO
23,115,1.0,NO
24,62,1.0,NO
25,61,1.0,NO
26,91,0.0,NO
27,81,1.0,NO
28,91,0.0,NO
29,67,0.0,NO
30,88,0.0,NO
31,85,1.0,NO
32,49,1.0,NO
33,102,0.0,NO
34,94,0.0,NO
35,72,1.0,NO
36,70,1.0,NO
37,87,0.0,NO
38,166,1.0,NO
39,116,1.0,NO
40,155,1.0,NO
41,67,0.0,NO
42,88,0.0,NO
43,40,1.0,NO
44,57,1.0,NO
45,39,1.0,NO
46,98,0.0,NO
47,106,1.0,NO
48,101,0.0,NO
49,94,0.0,NO
50,76,1.0,NO
51,116,1.0,NO
52,56,1.0,NO
53,48,1.0,NO
54,82,1.0,NO
55,45,1.0,NO
56,45,1.0,NO
57,30,1.0,NO
58,78,1.0,NO
59,302,0.0,NO
60,87,1.0,NO
61,198,1.0,NO
62,175,0.0,NO
63,65,1.0,NO
64,105,1.0,NO
65,58,1.0,NO
66,196,0.0,NO
67,106,0.0,NO
68,130,1.0,NO
69,64,1.0,NO
70,132,1.0,NO
71,62,0.0,NO
72,108,1.0,YES
73,432,1.0,NO
74,174,0.0,NO
75,246,0.0,YES
76,106,0.0,YES
77,121,1.0,NO
78,110,1.0,NO
79,58,1.0,NO
80,37,1.0,NO
81,77,1.0,NO
82,142,0.0,NO
83,114,0.0,NO
84,80,1.0,NO
85,59,0.0,NO
86,69,1.0,NO
87,95,1.0,NO
88,64,1.0,NO
89,164,1.0,YES
90,70,1.0,NO
91,32,1.0,NO
92,148,1.0,NO
93,156,0.0,NO
94,119,1.0,NO
95,116,1.0,NO
96,93,0.0,NO
97,256,1.0,YES
98,123,1.0,NO
99,201,1.0,NO
100,180,0.0,NO
101,156,0.0,NO
102,98,1.0,NO
103,86,1.0,YES
104,48,1.0,NO
105,143,1.0,YES
106,145,1.0,NO
107,113,1.0,NO
108,260,0.0,NO
109,618,1.0,YES
110,39,1.0,NO
111,39,1.0,NO
112,39,1.0,NO
113,24,0.0,NO
114,62,0.0,NO
115,77,1.0,NO
116,77,1.0,NO
117,54,1.0,NO
118,92,1.0,NO
119,58,1.0,NO
120,24,0.0,NO
121,64,1.0,NO
122,216,0.0,NO
123,36,1.0,NO
124,36,1.0,NO
125,208,0.0,NO
126,64,1.0,YES
127,39,1.0,NO
128,47,1.0,NO
129,74,1.0,NO
130,71,1.0,NO
